"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"1","E02003113","South Gloucestershire 024",4232,10,81,121,3,39,3431,185,91,241,30,144.897003173828,53.8969993591309,233.951995849609,-7.0479998588562,3389.11108398438,-41.8889999389648,148.626998901367,57.6269989013672,235.514007568359,-5.48600006103516,3385.02709960938,-45.9729995727539,303.720001220703,212.720001220703,200.164001464844,-40.8359985351562,3276.18505859375,-154.815002441406,600.255981445312,509.256011962891,177.505996704102,-63.4939994812012,3032.25708007812,-398.743011474609,-0.0607899986207485,112772,-0.092799998819828,172088,-0.0320100001990795,59316,-0.0892399996519089,165532,-0.0284499991685152,52760,-0.14452999830246,268081,-0.0837400034070015,155309,-0.252559989690781,468495,-0.191760003566742,355723,-0.0359300002455711,66651,-0.0547799989581108,101551,-0.0188500005751848,34900,-0.0528800003230572,98081,-0.016950000077486,31430,-0.0897300019860268,166404,-0.0538000017404556,99753,-0.166449993848801,308737,-0.13052000105381,242086,-41168,-63932,-22764,-69556,-28388,-103263,-62095,-259508,-218340,0.0223955702458487
"6","E02003086","North Somerset 022",2377,2,89,86,14,17,1511,188,93,365,12,209.388000488281,116.388000488281,338.087005615234,-26.9130001068115,1439.65795898438,-71.3420028686523,123.962997436523,30.9629993438721,359.842010498047,-5.15799999237061,1490.88598632812,-20.1140003204346,673.674987792969,580.674987792969,224.255004882812,-140.744995117188,1161.2080078125,-349.792999267578,758.388977050781,665.388977050781,215.04899597168,-149.95100402832,1100.46105957031,-410.539001464844,-0.0291600003838539,54094,-0.0582499988377094,108059,-0.0290900003165007,53965,-0.0421699993312359,78221,-0.0130099998787045,24127,-0.146209999918938,271250,-0.117049999535084,217156,-0.126479998230934,234641,-0.0973199978470802,180547,-0.0175000000745058,32467,-0.0359300002455711,66624,-0.0184199996292591,34157,-0.0258900001645088,48014,-0.00837999954819679,15547,-0.0949499979615211,176141,-0.0774499997496605,143674,-0.0860100015997887,159556,-0.068510003387928,127089,-13617,-27665,-14048,-19235,-5618,-72588,-58971,-98222,-84605,0.00625776843807965
"18","E02003022","Bristol 011",2423,5,41,143,3,37,1557,86,263,276,12,324.428009033203,61.4280014038086,266.368011474609,-9.63199996948242,1513.59704589844,-43.4029998779297,414.710998535156,151.710998535156,248.914001464844,-27.0860004425049,1455.34704589844,-101.65299987793,448.622985839844,185.623001098633,236.792007446289,-39.2080001831055,1429.90405273438,-127.096000671387,699.335021972656,436.334991455078,201.712005615234,-74.2880020141602,1253.81298828125,-303.18701171875,-0.0852700024843216,158187,-0.104189999401569,193223,-0.0189100001007318,35036,-0.109090000391006,202359,-0.02381999976933,44172,-0.146500006318092,271745,-0.0612300001084805,113558,-0.196529999375343,364559,-0.111259996891022,206372,-0.0556900016963482,103304,-0.0679199993610382,125940,-0.0122300004586577,22636,-0.0713900029659271,132408,-0.0156999994069338,29104,-0.0959499999880791,177944,-0.0402599982917309,74640,-0.130970001220703,242924,-0.0752800032496452,139620,-48532,-59534,-11002,-71971,-23439,-75264,-26732,-126017,-77485,0.0236385982130998
"29","E02003068","North Somerset 004",2605,13,19,104,3,28,1923,159,110,225,21,160.585006713867,50.5849990844727,217.901992797852,-7.09800004959106,1886.38500976562,-36.6150016784668,167.940994262695,57.9410018920898,218.942993164062,-6.05700016021729,1881.44897460938,-41.5509986877441,330.710998535156,220.710998535156,184.516998291016,-40.4830017089844,1769.23303222656,-153.766998291016,562.302001953125,452.302001953125,161.841003417969,-63.1590003967285,1594.208984375,-328.790985107422,-0.0774400010704994,143670,-0.105240002274513,195192,-0.0277999993413687,51522,-0.119350001215935,221402,-0.0419000014662743,77732,-0.164370000362396,304897,-0.0869200006127357,161227,-0.22537000477314,418075,-0.14792999625206,274405,-0.0515699982643127,95665,-0.0697600021958351,129357,-0.0181900002062321,33692,-0.0796800032258034,147806,-0.0281099993735552,52141,-0.109209999442101,202566,-0.0576400011777878,106901,-0.154870003461838,287280,-0.103299997746944,191615,-33423,-46075,-12652,-51141,-17718,-75474,-42051,-150786,-117363,0.028247835345104
"81","E02003076","North Somerset 012",4080,3,284,69,7,47,2995,201,121,338,15,251.850997924805,130.850997924805,310.822998046875,-27.1770000457764,2904.93408203125,-90.0660018920898,211.022994995117,90.0230026245117,319.876007080078,-18.1240005493164,2933.3369140625,-61.6629981994629,674.234985351562,553.234985351562,207.578994750977,-130.421005249023,2622.02587890625,-372.973999023438,898.031982421875,777.031982421875,199.707000732422,-138.292999267578,2440.31298828125,-554.68701171875,-0.0791499987244606,146843,-0.150539994239807,279232,-0.0713799968361855,132389,-0.136199995875359,252667,-0.0570399984717369,105824,-0.291949987411499,541612,-0.212799996137619,394769,-0.379090011119843,703279,-0.29993999004364,556436,-0.0443499982357025,82272,-0.0859799981117249,159459,-0.0416299998760223,77187,-0.0759200006723404,140826,-0.0315699987113476,58554,-0.181390002369881,336473,-0.137040004134178,254201,-0.244639992713928,453815,-0.200279995799065,371543,-32698,-65207,-32509,-56837,-24139,-141166,-108468,-260415,-227717,0.00838856044762776
"176","E02003099","South Gloucestershire 010",3186,2,57,111,7,37,2227,191,154,388,12,259.696990966797,105.696998596191,361.890991210938,-26.1089992523193,2159.92211914062,-67.0780029296875,248.97200012207,94.9720001220703,363.683990478516,-24.3159999847412,2167.37109375,-59.6290016174316,593.22900390625,439.22900390625,262.397003173828,-125.602996826172,1961.81604003906,-265.183990478516,805.591979980469,651.591979980469,243.975006103516,-144.024993896484,1797.1650390625,-429.834991455078,-0.0635000020265579,117796,-0.0942799970507622,174847,-0.0307800006121397,57051,-0.0860200002789497,159574,-0.022520000115037,41778,-0.152649998664856,283159,-0.089149996638298,165363,-0.193670004606247,359254,-0.130170002579689,241458,-0.0421300008893013,78151,-0.062100000679493,115144,-0.0199699997901917,36993,-0.0567299984395504,105228,-0.0146000003442168,27077,-0.101530000567436,188307,-0.0593999996781349,110156,-0.134499996900558,249470,-0.0923700034618378,171319,-44983,-67782,-22799,-70024,-25041,-114399,-69416,-206324,-161341,0.0146879639452166
"197","E02003065","North Somerset 001",4022,9,34,109,6,48,3057,211,88,437,23,165.921005249023,77.9209976196289,421.065002441406,-15.9350004196167,3002.49096679688,-54.5089988708496,167.733001708984,79.7330017089844,424.678985595703,-12.3210000991821,2998.26000976562,-58.7400016784668,484.518005371094,396.518005371094,327.980987548828,-109.018997192383,2803.55493164062,-253.445007324219,777.619995117188,689.619995117188,291.701995849609,-145.298004150391,2578.09594726562,-478.903991699219,-0.0783199965953827,145299,-0.127560004591942,236598,-0.0492299981415272,91299,-0.157509997487068,292213,-0.0791900008916855,146914,-0.217559993267059,403591,-0.139239996671677,258292,-0.323509991168976,600164,-0.245189994573593,454865,-0.046119999140501,85552,-0.0752400010824203,139523,-0.0291200000792742,53971,-0.0907099992036819,168272,-0.0445900000631809,82720,-0.134650006890297,249760,-0.088529996573925,164208,-0.211300000548363,391961,-0.165179997682571,306409,-34531,-57375,-22844,-70650,-36119,-104822,-70291,-228148,-193617,0.0235109977167486
"297","E02003027","Bristol 016",6123,14,129,600,12,61,2835,202,1008,1243,19,1189.60998535156,181.610000610352,1187.37805175781,-55.6220016479492,2747.11694335938,-87.8830032348633,1404.54895019531,396.549011230469,1122.875,-120.125,2646.13403320312,-188.865997314453,1342.52502441406,334.524993896484,1117.3740234375,-125.625999450684,2671.4150390625,-163.585006713867,1912.36499023438,904.364990234375,958.096008300781,-284.903991699219,2383.60498046875,-451.394989013672,-0.19930000603199,369740,-0.23641000688076,438531,-0.0371100008487701,68791,-0.246389999985695,457092,-0.0470900014042854,87352,-0.284240007400513,527282,-0.0849400013685226,157542,-0.334800004959106,621085,-0.135499998927116,251345,-0.134250000119209,249050,-0.158820003271103,294578,-0.0245699994266033,45528,-0.165649995207787,307294,-0.0313999988138676,58244,-0.19081999361515,353956,-0.0565700009465218,104906,-0.231629997491837,429675,-0.0973799973726273,180625,-119168,-141133,-21965,-166922,-47754,-157025,-37857,-239267,-120099,0.0249879854448538
"373","E02003069","North Somerset 005",2154,3,41,53,5,17,1650,103,63,208,11,98.1279983520508,35.1279983520508,202.279998779297,-5.71999979019165,1623.82299804688,-26.17799949646,101.261001586914,38.2610015869141,201.175003051758,-6.82499980926514,1622.81396484375,-27.1860008239746,223.401992797852,160.401992797852,172.227996826172,-35.7719993591309,1539.26000976562,-110.73999786377,381.492004394531,318.492004394531,148.567993164062,-59.431999206543,1420.2099609375,-229.789993286133,-0.0502099990844727,93154,-0.0763299986720085,141558,-0.0261100009083748,48404,-0.0797600001096725,147956,-0.0295400004833937,54802,-0.11557000130415,214371,-0.065360002219677,121217,-0.16737000644207,310472,-0.117159999907017,217318,-0.0263400003314018,48856,-0.0405399985611439,75153,-0.0142000000923872,26297,-0.0417799986898899,77496,-0.0154400002211332,28640,-0.0671899989247322,124604,-0.0408499985933304,75748,-0.104929998517036,194622,-0.0785899981856346,145766,-22082,-34221,-12139,-34748,-12666,-55489,-33407,-117069,-94987,0.0175299737148474
"426","E02003020","Bristol 009",2422,7,47,156,6,37,1734,102,149,172,12,203.949005126953,54.9490013122559,166.925003051758,-5.07499980926514,1693.22900390625,-40.7709999084473,234.160995483398,85.161003112793,166.680999755859,-5.31899976730347,1670.59899902344,-63.4010009765625,379.148986816406,230.149002075195,141.423004150391,-30.5769996643066,1564.041015625,-169.958999633789,635.508972167969,486.509002685547,121.915000915527,-50.0849990844727,1371.12902832031,-362.871002197266,-0.0665699988603592,123500,-0.0887700021266937,164633,-0.0221999995410442,41133,-0.0883100032806396,163811,-0.0217300001531839,40311,-0.16957999765873,314569,-0.10300999879837,191069,-0.231389999389648,429240,-0.164820000529289,305740,-0.043249998241663,80230,-0.0574599988758564,106541,-0.0142099997028708,26311,-0.0573699995875359,106418,-0.0141200004145503,26188,-0.110019996762276,204067,-0.066770002245903,123837,-0.151820003986359,281596,-0.108570002019405,201366,-33638,-45391,-11753,-52584,-18946,-74528,-40890,-136532,-102894,0.0258865594645769
