"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02002985 E02002986","E02002985","E02002986","Bath and North East Somerset 001","Bath and North East Somerset 002",303,7,151,115,19,1,0,7,0,2,1,2.31023,19.57,12.57,144.58,110.12,-4.88,11.21,4.21,148.78999,113.49,-1.51,98.9,91.9,104.14,79.25,-35.75,123.1,116.1,91.79,69.85,-45.15,-3e-05,49,-2e-05,36,-1e-05,12,0,-1,-1e-05,21,0,8,0.00204,-3789,0.00205,-3802,-432,-280,-238,-86,-2213,-2061,-2755,-2603,0.64971,1.134,1.134,1.74538,1,2.73369,2.73369,722,722
"2","E02002985 E02002987","E02002985","E02002987","Bath and North East Somerset 001","Bath and North East Somerset 003",249,9,87,124,20,0,0,4,2,2,1,3.61446,17.24,8.24,84.03,119.74,-4.26,13.78,4.78,85.43,121.45,-2.55,64.79,55.79,66.61,95.26,-28.74,96.87,87.87,55,78.67,-45.33,-0.00073,1345,-0.00032,584,-0.00055,1023,-0.00014,262,-0.0024,4459,-0.00199,3698,-0.00046,848,-5e-05,87,-1057,-495,-860,-298,-3895,-3333,-5823,-5261,1.53205,2.246,2.048,1.466,0.91184,2.93856,2.92969,1136,1330
"3","E02002985 E02002988","E02002985","E02002988","Bath and North East Somerset 001","Bath and North East Somerset 004",11,1,1,6,1,1,0,1,0,0,0,9.09091,1.09,0.09,0.99,5.95,-0.05,6,5,0,3,-3,1.16,0.16,1,5.9,-0.1,1.55,0.55,1,5.67,-0.33,-0.00074,1363,-6e-05,117,-0.00283,5258,-0.00216,4012,-8e-04,1476,-0.00012,230,-0.00095,1761,-0.00028,515,-482,-39,-2660,-2217,-515,-72,-690,-247,11.26783,14.435,15.074,1.28108,1.04427,3.37374,3.62876,7916,8342
"4","E02002985 E02002990","E02002985","E02002990","Bath and North East Somerset 001","Bath and North East Somerset 006",15,0,0,15,0,0,0,0,0,0,0,0,0.24,0.24,0,14.76,-0.24,0,0,0,15,0,1.02,1.02,0,13.98,-1.02,2.43,2.43,0,12.57,-2.43,-0.00017,321,-0.00017,321,0,0,0,0,-0.00072,1336,-0.00072,1336,-0.00113,2090,-0.00113,2090,-165,-165,0,0,-700,-700,-1672,-1672,10.98355,13.435,14.104,1.22319,1.0498,3.31969,3.67272,7220,8054
"5","E02002985 E02002991","E02002985","E02002991","Bath and North East Somerset 001","Bath and North East Somerset 007",116,9,19,46,5,19,1,17,0,0,0,7.75862,11.1,2.1,18.63,45.1,-0.9,18.04,9.04,17.38,42.16,-3.84,9.25,0.25,18.96,45.86,-0.14,20.74,11.74,16.92,40.93,-5.07,-0.00659,12226,-0.00125,2312,-0.0088,16325,-0.00346,6411,-0.00549,10191,-0.00015,277,-0.00938,17395,-0.00403,7481,-3087,-586,-5013,-2512,-2589,-88,-5816,-3315,10.51836,12.564,13.121,1.19448,1.04433,2.97676,2.85039,6640,6966
"6","E02002985 E02002992","E02002985","E02002992","Bath and North East Somerset 001","Bath and North East Somerset 008",62,2,0,56,2,1,0,1,0,0,0,3.22581,3.46,1.46,0,54.64,-1.36,2.75,0.75,0,55.31,-0.69,7.65,5.65,0,50.73,-5.27,14.91,12.91,0,43.96,-12.04,-0.00184,3406,-0.00077,1437,-0.00132,2444,-0.00026,475,-0.00408,7559,-0.00301,5590,-0.00546,10122,-0.00439,8153,-1619,-685,-1284,-350,-3593,-2659,-7016,-6082,8.36236,9.633,10.24,1.15195,1.06301,2.95858,3.0957,5108,5320
"7","E02002985 E02002993","E02002985","E02002993","Bath and North East Somerset 001","Bath and North East Somerset 009",36,1,1,16,3,11,0,2,0,2,0,2.77778,1.75,0.75,0.99,15.63,-0.37,1.88,0.88,1,15.52,-0.48,3.57,2.57,0.93,14.8,-1.2,7.4,6.4,0.83,13.03,-2.97,-0.00108,2000,-0.00046,850,-0.00097,1798,-0.00035,648,-0.00214,3970,-0.00152,2820,-0.00307,5694,-0.00245,4544,-543,-218,-610,-285,-1032,-707,-2076,-1751,9.95482,11.463,12.398,1.1515,1.08157,2.88755,2.8311,5746,6512
"8","E02002985 E02002994","E02002985","E02002994","Bath and North East Somerset 001","Bath and North East Somerset 010",22,0,1,19,1,0,0,0,0,1,0,0,0.24,0.24,0.99,18.79,-0.21,0,0,1,19,0,0.89,0.89,0.96,18.23,-0.77,2.61,2.61,0.88,16.75,-2.25,-0.00019,344,-0.00019,344,0,0,0,0,-0.00071,1319,-0.00071,1319,-0.00136,2528,-0.00136,2528,-170,-170,0,0,-622,-622,-1829,-1829,13.08513,15.827,17.088,1.20954,1.07967,3.48771,3.1367,8804,9818
"9","E02002985 E02002995","E02002985","E02002995","Bath and North East Somerset 001","Bath and North East Somerset 011",21,0,0,19,0,1,0,1,0,0,0,0,0.32,0.32,0,18.71,-0.29,0,0,0,19,0,1.76,1.76,0,17.39,-1.61,4.25,4.25,0,15.13,-3.87,-0.00016,301,-0.00016,301,0,0,0,0,-0.00091,1687,-0.00091,1687,-0.0014,2600,-0.0014,2600,-141,-141,0,0,-789,-789,-1893,-1893,8.33127,9.568,11.236,1.14844,1.17433,4.06564,3.17729,5582,6594
"10","E02002985 E02002996","E02002985","E02002996","Bath and North East Somerset 001","Bath and North East Somerset 012",44,2,6,26,2,8,0,0,0,0,0,4.54545,2.71,0.71,5.92,25.55,-0.45,2.25,0.25,5.99,25.84,-0.16,3.02,1.02,5.77,25.4,-0.6,7.15,5.15,5.2,22.83,-3.17,-0.00186,3453,-0.00047,877,-0.0015,2783,-0.00011,207,-0.00198,3669,-0.00059,1093,-0.00334,6196,-0.00195,3620,-1201,-308,-1004,-111,-1305,-412,-3076,-2183,11.58612,13.613,14.307,1.17494,1.05098,2.81349,2.63507,6892,7914
