"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"139667",1,1,1,1.134,656,36,23,0.02028,211,25,2090,"E02002985 E02002986",36
"139668",1,1,1,2.324,1158,78,68,0.02926,433,48,5087,"E02002985 E02002987",78
"139669",1,1,1,12.867,6040,330,209,0.01624,2399,231,22974,"E02002985 E02002991",330
"139670",1,1,1,9.938,4550,225,178,0.01791,1853,175,16405,"E02002985 E02002992",225
"139671",1,1,1,11.611,5180,289,173,0.0149,2164,183,17505,"E02002985 E02002993",289
"139672",1,1,1,15.907,7844,433,323,0.02031,2965,298,38781,"E02002985 E02002994",433
"139673",1,1,1,9.647,5068,289,280,0.02902,1798,221,30878,"E02002985 E02002995",289
"139674",1,1,1,13.573,6120,394,208,0.01532,2530,219,28094,"E02002985 E02002996",394
"139675",1,1,1,5.172,3090,127,155,0.02997,964,142,14383,"E02002985 E02003000",127
"139676",1,1,1,15.909,9560,450,584,0.03671,2966,455,51815,"E02002985 E02003006",450
"139677",1,1,1,15.601,8190,443,405,0.02596,2908,360,64960,"E02002985 E02003007",443
"139678",1,1,1,18.953,10414,491,625,0.03298,3533,481,68792,"E02002985 E02003010",491
"139679",1,1,1,17.868,9558,544,522,0.02921,3331,369,68256,"E02002985 E02003019",544
"139680",1,1,1,7.934,4474,231,221,0.02785,1479,179,24640,"E02002985 E02003032",231
"139681",1,1,1,10.392,5690,304,284,0.02733,1937,222,41695,"E02002985 E02003036",304
"139682",1,1,1,7.958,4072,251,226,0.0284,1483,160,27753,"E02002985 E02003040",251
"139683",1,1,1,10.054,5144,324,250,0.02487,1874,183,39318,"E02002985 E02003043",324
"139684",1,1,1,6.261,3064,165,164,0.02619,1167,122,24003,"E02002985 E02003046",165
"139685",1,1,1,5.022,2536,130,154,0.03067,936,104,17880,"E02002985 E02003049",130
"139686",1,1,1,10.066,5046,290,269,0.02672,1876,191,33403,"E02002985 E02003052",290
"139687",1,1,1,4.774,2458,119,145,0.03037,890,101,19941,"E02002985 E02003054",119
"139688",1,1,1,7.9,4026,198,187,0.02367,1473,165,29819,"E02002985 E02003056",198
"139689",1,1,1,10.549,4972,313,194,0.01839,1966,182,31008,"E02002985 E02003059",313
