"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"1","E02003113","South Gloucestershire 024",4232,91,241,3431,185,81,10,121,3,39,30,144.897,53.897,233.952,3389.1111,-41.889,148.627,57.627,235.51401,3385.0271,-45.973,303.72,212.72,200.164,3276.1851,-154.815,599.04401,508.04401,177.618,3033.239,-397.76099,-0.05478,101551,-0.01885,34900,-0.05288,98081,-0.01695,31430,-0.08973,166404,-0.0538,99753,-0.16609,308069,-0.13016,241418,-63932,-22764,-69556,-28388,-103263,-62095,-258928,-217760,2.23956
"6","E02003086","North Somerset 022",2377,93,365,1511,188,89,2,86,14,17,12,209.388,116.388,338.08701,1439.658,-71.342,123.963,30.963,359.84201,1490.886,-20.114,673.67499,580.67499,224.255,1161.208,-349.793,758.41901,665.41901,215.035,1100.446,-410.55399,-0.03593,66624,-0.01842,34157,-0.02589,48014,-0.00838,15547,-0.09495,176141,-0.07745,143674,-0.086,159542,-0.0685,127075,-27665,-14048,-19235,-5618,-72588,-58971,-98218,-84601,0.62578
"18","E02003022","Bristol 011",2423,263,276,1557,86,41,5,143,3,37,12,324.42801,61.428,266.36801,1513.597,-43.403,414.711,151.711,248.914,1455.347,-101.653,448.62299,185.623,236.79201,1429.9041,-127.096,697.94501,434.94501,201.93201,1254.7581,-302.242,-0.06792,125940,-0.01223,22636,-0.07139,132408,-0.0157,29104,-0.09595,177944,-0.04026,74640,-0.13072,242459,-0.07503,139155,-59534,-11002,-71971,-23439,-75264,-26732,-125765,-77233,2.36386
"29","E02003068","North Somerset 004",2605,110,225,1923,159,19,13,104,3,28,21,160.58501,50.585,217.90199,1886.385,-36.615,167.94099,57.941,218.94299,1881.449,-41.551,330.711,220.711,184.517,1769.233,-153.767,561.08301,451.08301,161.97099,1595.1169,-327.883,-0.06976,129357,-0.01819,33692,-0.07968,147806,-0.02811,52141,-0.10921,202566,-0.05764,106901,-0.15453,286638,-0.10296,190973,-46075,-12652,-51141,-17718,-75474,-42051,-150411,-116988,2.82478
"81","E02003076","North Somerset 012",4080,121,338,2995,201,284,3,69,7,47,15,251.851,130.851,310.823,2904.9341,-90.066,211.02299,90.023,319.87601,2933.3369,-61.663,674.23499,553.23499,207.57899,2622.0259,-372.974,897.81897,776.81897,199.673,2440.5129,-554.487,-0.08598,159459,-0.04163,77187,-0.07592,140826,-0.03157,58554,-0.18139,336473,-0.13704,254201,-0.24443,453427,-0.20008,371155,-65207,-32509,-56837,-24139,-141166,-108468,-260209,-227511,0.83886
"176","E02003099","South Gloucestershire 010",3186,154,388,2227,191,57,2,111,7,37,12,259.69699,105.697,361.89099,2159.9221,-67.078,248.972,94.972,363.68399,2167.3711,-59.629,593.229,439.229,262.397,1961.816,-265.18399,805.16498,651.16498,243.995,1797.514,-429.48599,-0.0621,115144,-0.01997,36993,-0.05673,105228,-0.0146,27077,-0.10153,188307,-0.0594,110156,-0.13436,249223,-0.09223,171072,-67782,-22799,-70024,-25041,-114399,-69416,-206116,-161133,1.4688
"197","E02003065","North Somerset 001",4022,88,437,3057,211,34,9,109,6,48,23,165.92101,77.921,421.065,3002.491,-54.509,167.733,79.733,424.67899,2998.26,-58.74,484.51801,396.51801,327.98099,2803.5549,-253.44501,776.41302,688.41302,291.92801,2578.9529,-478.047,-0.07524,139523,-0.02912,53971,-0.09071,168272,-0.04459,82720,-0.13465,249760,-0.08853,164208,-0.21097,391337,-0.16485,305785,-57375,-22844,-70650,-36119,-104822,-70291,-227766,-193235,2.3511
"297","E02003027","Bristol 016",6123,1008,1243,2835,202,129,14,600,12,61,19,1189.61,181.61,1187.3781,2747.1169,-87.883,1404.549,396.54901,1122.875,2646.134,-188.866,1342.525,334.52499,1117.374,2671.415,-163.58501,1909.207,901.20697,959.05402,2385.146,-449.85501,-0.15882,294578,-0.02457,45528,-0.16565,307294,-0.0314,58244,-0.19082,353956,-0.05657,104906,-0.23134,429137,-0.09709,180087,-141133,-21965,-166922,-47754,-157025,-37857,-238853,-119685,2.4988
"373","E02003069","North Somerset 005",2154,63,208,1650,103,41,3,53,5,17,11,98.128,35.128,202.28,1623.823,-26.178,101.261,38.261,201.175,1622.814,-27.186,223.40199,160.40199,172.228,1539.26,-110.74,380.76501,317.76501,148.726,1420.702,-229.298,-0.04054,75153,-0.0142,26297,-0.04178,77496,-0.01544,28640,-0.06719,124604,-0.04085,75748,-0.10478,194334,-0.07844,145478,-34221,-12139,-34748,-12666,-55489,-33407,-116884,-94802,1.753
"426","E02003020","Bristol 009",2422,149,172,1734,102,47,7,156,6,37,12,203.94901,54.949,166.925,1693.229,-40.771,234.161,85.161,166.681,1670.599,-63.401,379.14899,230.149,141.423,1564.041,-169.959,634.16498,485.16501,122.038,1372.125,-361.875,-0.05746,106541,-0.01421,26311,-0.05737,106418,-0.01412,26188,-0.11002,204067,-0.06677,123837,-0.1515,281021,-0.10825,200791,-45391,-11753,-52584,-18946,-74528,-40890,-136232,-102594,2.58866
"440","E02003011","Bath and North East Somerset 027",2258,61,239,1691,135,8,4,76,1,24,19,105.086,44.086,231.22501,1659.325,-31.675,110.521,49.521,230.46201,1656.507,-34.493,311.98999,250.99001,187.73801,1516.382,-174.618,496.38,435.38,163.655,1376.816,-314.18399,-0.02392,44319,-0.00844,15606,-0.02395,44418,-0.00847,15705,-0.05141,95337,-0.03593,66624,-0.07551,140049,-0.06003,111336,-22581,-8205,-26113,-11737,-48818,-34442,-101477,-87101,2.35677
"450","E02003064","Bristol 053",2067,55,310,1150,176,7,0,321,6,27,15,115.082,60.082,298.396,1117.936,-32.064,115.113,60.113,302.00299,1122.3051,-27.695,395.444,340.444,230.88699,973.896,-176.104,586.45697,531.45697,205.645,866.06097,-283.939,-0.03115,57718,-0.01314,24324,-0.02934,54411,-0.01133,21017,-0.104,192885,-0.08599,159491,-0.12067,223831,-0.10267,190437,-20186,-9023,-20945,-9782,-54485,-43322,-95250,-84087,2.72801
"474","E02003062","Bristol 051",2026,60,232,1186,200,7,0,292,2,42,5,110.965,50.965,223.722,1157.877,-28.123,109.064,49.064,228.448,1160.97,-25.03,342.97601,282.97601,172.769,1037.189,-148.811,545.41699,485.41699,150.787,918.46002,-267.54001,-0.03126,57922,-0.01263,23385,-0.02798,51879,-0.00935,17342,-0.09984,185177,-0.08122,150640,-0.12742,236348,-0.1088,201811,-21065,-8433,-21146,-8514,-51614,-38982,-96480,-83848,2.61076
