"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",26,60.99,38.49,240.13,312.55,0,2.88,0,23.27,28.15,1
"2",24,57.4,34.8,233.62,298.75,NA,NA,NA,NA,NA,0
"3",2,3.59,3.69,6.51,13.8,NA,NA,NA,NA,NA,0
"4",1,7.59,1,51.07,61.87,6,11.01,8.63,42.39,51.32,1
"5",23,49.81,33.8,182.55,236.88,6,11.01,8.63,42.39,51.32,1
"6",49,95.45,95.59,318.51,413.63,6,11.01,8.63,42.39,51.32,1
"7",72,145.26,129.39,501.06,650.50999,NA,NA,NA,NA,NA,0
"8",30,75.35,63.69,320.66,412.85,11,35.95,14.67,203.88001,233,1
"9",42,69.91,65.7,180.4,237.66,11,35.95,14.67,203.88001,233,1
"10",40,65.4,61.91,169.61,215.13,NA,NA,NA,NA,NA,0
"11",2,4.51,3.79,10.79,22.53,NA,NA,NA,NA,NA,0
"12",4,8.1,7.48,17.3,36.33,NA,NA,NA,NA,NA,0
"13",28,71.76,59.59,313.3,397.7,11,35.95,14.67,203.88001,233,1
"14",2,3.59,4.1,7.36,15.15,11,35.95,14.67,203.88001,233,1
"15",6,13.5,11.27,48.07,59,11,35.95,14.67,203.88001,233,1
"16",22,58.26,48.32,265.23,338.7,11,35.95,14.67,203.88001,233,1
"17",2,2.44,3.64,2,4.31,11,35.95,14.67,203.88001,233,1
"18",6,7.11,9.52,6.36,11.71,NA,NA,NA,NA,NA,0
"19",4,4.67,5.88,4.36,7.4,11,35.95,14.67,203.88001,233,1
"20",10,18.17,17.15,52.43,66.4,11,35.95,14.67,203.88001,233,1
"21",103,213.59,152.33,716.27999,865.65,11,35.95,14.67,203.88001,233,1
"22",113,231.76,169.48,768.70999,932.05,11,35.95,14.67,203.88001,233,1
"23",41,97.22,65.07,348.87999,416.25,11,35.95,14.67,203.88001,233,1
"24",72,134.54,104.41,419.83,515.8,11,35.95,14.67,203.88001,233,1
"25",2,4.35,4.1,10.17,22.32,11,35.95,14.67,203.88001,233,1
"26",0,0.76,0,2.81,7.17,11,35.95,14.67,203.88001,233,1
"27",72,133.78,104.41,417.02,508.63,11,35.95,14.67,203.88001,233,1
"28",74,138.13,108.51,427.19,530.95,11,35.95,14.67,203.88001,233,1
"29",2,3.59,4.1,7.36,15.15,11,35.95,14.67,203.88001,233,1
"30",72,134.54,104.41,419.83,515.8,NA,NA,NA,NA,NA,0
"31",32,81.68,49.69,318.11999,355.63,NA,NA,NA,NA,NA,0
"32",9,15.54,15.38,30.76,60.62,11,35.95,14.67,203.88001,233,1
"33",11,19.13,19.48,38.12,75.77,NA,NA,NA,NA,NA,0
"34",112,199.94,166.32,589.44,730.93,40,68.02,68.75,215.88001,240.14999,1
"35",63,108.45,90.04,259.29,307.57999,40,68.02,68.75,215.88001,240.14999,1
"36",175,308.39,256.36,848.73,1038.50999,40,68.02,68.75,215.88001,240.14999,1
"37",5,11.71,8.4,30.12,61.65,40,68.02,68.75,215.88001,240.14999,1
"38",58,96.74,81.64,229.17,245.92999,40,68.02,68.75,215.88001,240.14999,1
"39",69,115.87,101.12,267.29,321.69999,NA,NA,NA,NA,NA,0
"40",11,19.13,19.48,38.12,75.77,NA,NA,NA,NA,NA,0
"41",58,96.74,81.64,229.17,245.92999,4,11.52,8.55,55.33,59.77,1
"42",187,336.68,273.43,922.57,1186.01999,40,68.02,68.75,215.88001,240.14999,1
"43",16,45.51,24.77,135.72,272.25,NA,NA,NA,NA,NA,0
"44",97,191.88,146.78,578.73999,661.44,4,11.52,8.55,55.33,59.77,1
"45",16,30.84,27.88,68.24,137.42,NA,NA,NA,NA,NA,0
"46",65,110.2,97.09,260.62,305.80999,4,11.52,8.55,55.33,59.77,1
"47",7,13.46,15.45,31.45,59.88,4,11.52,8.55,55.33,59.77,1
"48",23,44.3,43.33,99.69,197.3,NA,NA,NA,NA,NA,0
"49",21,40.35,38.83,90.13,178.31,7,26.38,16.44,136.56,172.17999,1
"50",2,3.95,4.5,9.56,18.99,7,26.38,16.44,136.56,172.17999,1
"51",6,7.3,9.52,6.73,13.39,NA,NA,NA,NA,NA,0
"52",0,0.19,0,0.37,1.68,11,34.12,12.81,145.16,162.14999,1
"53",3,6.72,5.02,19.32,31.53,7,26.38,16.44,136.56,172.17999,1
"54",13,38.79,19.75,116.4,240.72,7,26.38,16.44,136.56,172.17999,1
"55",7,14.82,12.5,36.62,67.86,NA,NA,NA,NA,NA,0
"56",3,4.88,3.5,6.77,17.77,34,74.11,59.46,260.09,303.92001,1
"57",0,0.26,0,0.47,2.23,34,74.11,59.46,260.09,303.92001,1
"58",3,4.62,3.5,6.3,15.54,34,74.11,59.46,260.09,303.92001,1
"59",26,59.96,40.73,170.1,294.9,34,74.11,59.46,260.09,303.92001,1
"60",0,1.26,0,3.3,11.05,34,74.11,59.46,260.09,303.92001,1
"61",3,3.36,3.5,3,4.49,34,74.11,59.46,260.09,303.92001,1
"62",6,7.56,9.52,7.2,15.62,34,74.11,59.46,260.09,303.92001,1
"63",3,4.2,6.02,4.2,11.13,34,74.11,59.46,260.09,303.92001,1
"64",0,0.26,0,0.47,2.23,34,74.11,59.46,260.09,303.92001,1
"65",3,3.94,6.02,3.73,8.9,34,74.11,59.46,260.09,303.92001,1
"66",23,56.04,35.73,165.69,285.77,NA,NA,NA,NA,NA,0
"67",3,3.92,5,4.41,9.13,NA,NA,NA,NA,NA,0
"68",3,3.94,6.02,3.73,8.9,NA,NA,NA,NA,NA,0
"69",0,1.26,0,3.3,11.05,34,74.11,59.46,260.09,303.92001,1
"70",0,1.52,0,3.77,13.28,NA,NA,NA,NA,NA,0
"71",2,8.61,4.5,31.73,61.91,7,26.38,16.44,136.56,172.17999,1
"72",15,38.08,24.25,103.79,216.79,7,26.38,16.44,136.56,172.17999,1
"73",0,4.66,0,22.17,42.92,7,26.38,16.44,136.56,172.17999,1
"74",38,61.61,65.26,104.61,238.47,16,29.36,17.31,90.29,119.95,1
"75",6,9.54,15.56,17.25,35.81,NA,NA,NA,NA,NA,0
"76",0,0.51,0,1.27,4.73,11,34.12,12.81,145.16,162.14999,1
"77",0,0.7,0,1.64,6.41,NA,NA,NA,NA,NA,0
"78",2,4.98,3.79,12.72,26.66,NA,NA,NA,NA,NA,0
"79",17,43.06,28.04,116.51,243.45,NA,NA,NA,NA,NA,0
"80",5,9.84,8.71,23.9,41.2,5,13.77,7.9,63.91,78.24,1
"81",0,1.43,0,5.93,13.1,5,13.77,7.9,63.91,78.24,1
"82",3,6.72,5.02,19.32,31.53,5,13.77,7.9,63.91,78.24,1
"83",3,8.15,5.02,25.25,44.63,5,13.77,7.9,63.91,78.24,1
"84",2,3.12,3.69,4.58,9.67,5,13.77,7.9,63.91,78.24,1
"85",2,4.55,3.69,10.51,22.77,5,13.77,7.9,63.91,78.24,1
"86",21,40.03,38.83,89.23,175.26,7,26.38,16.44,136.56,172.17999,1
"87",2,4.55,3.69,10.51,22.77,NA,NA,NA,NA,NA,0
"88",17,43.06,28.04,116.51,243.45,NA,NA,NA,NA,NA,0
