"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"150233",1,1,1,3.152,1798,117,56,0.01777,588,59,5436,"E02003258 E02003259"
"150234",1,1,1,2.565,1246,80,41,0.01598,478,45,4276,"E02003258 E02003260"
"150235",1,1,1,1.87,746,67,17,0.00909,349,24,2486,"E02003258 E02003261"
"150236",1,1,1,4.359,1782,150,31,0.00711,813,62,6724,"E02003258 E02003262"
"150237",1,1,1,2.552,1066,65,28,0.01097,476,36,3971,"E02003258 E02003263"
"150238",1,1,1,3.105,1294,96,31,0.00998,579,41,3985,"E02003258 E02003264"
"150239",1,1,1,5.716,2962,162,95,0.01662,1066,119,9812,"E02003258 E02003265"
"150240",1,1,1,6.677,2780,242,48,0.00719,1245,103,9838,"E02003258 E02003266"
"150241",1,1,1,4.054,1826,109,55,0.01357,756,68,6220,"E02003258 E02003267"
"150242",1,1,1,4.022,1734,91,39,0.0097,750,60,6112,"E02003258 E02003268"
"150243",1,1,1,6.061,3328,150,102,0.01683,1130,126,10148,"E02003258 E02003269"
"150244",1,1,1,6.193,2716,139,67,0.01082,1154,98,10176,"E02003258 E02003270"
"150245",1,1,1,7.297,4038,245,121,0.01658,1360,136,12327,"E02003258 E02003271"
"150246",1,1,1,4.587,2036,89,51,0.01112,855,72,7627,"E02003258 E02003272"
"150247",1,1,1,7.058,3458,191,118,0.01672,1316,139,10916,"E02003258 E02003273"
"150248",1,1,1,5.12,2160,145,74,0.01445,954,72,8778,"E02003258 E02003274"
"150249",1,1,1,5.462,2428,161,68,0.01245,1018,81,7087,"E02003258 E02003275"
"150250",1,1,1,6.784,3336,181,108,0.01592,1265,110,9613,"E02003258 E02003276"
"150251",1,1,1,7.024,3844,213,134,0.01908,1309,146,11329,"E02003258 E02003277"
"150252",1,1,1,6.662,3454,208,79,0.01186,1242,101,9274,"E02003258 E02003278"
"150257",1,1,1,17.02,8994,485,313,0.01839,3173,247,26708,"E02003258 E02003609"
"150258",1,1,1,18.081,12438,283,369,0.02041,3370,292,31652,"E02003258 E02003610"
"150259",1,1,1,11.803,6968,334,271,0.02296,2200,211,20791,"E02003258 E02003615"
"150264",1,1,1,6.701,5572,137,189,0.0282,1249,109,11311,"E02003258 E02003636"
"150265",1,1,1,9.726,6634,247,241,0.02478,1813,209,20524,"E02003258 E02003637"
