"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"75","E02003264","Luton 007",4080,74,301,2857,261,350,13,158,29,18,19,208.72501,134.72501,286.57501,2758.3521,-98.648,130.713,56.713,293.16501,2817.262,-39.738,845.41699,771.41699,210.013,2301.897,-555.10199,1120.813,1046.813,187.92,2092.155,-764.84497,-0.05701,105685,-0.03698,68546,-0.02824,52376,-0.00822,15237,-0.21504,398896,-0.19502,361757,-0.22753,422071,-0.20751,384932,-35120,-23419,-19174,-7473,-126269,-114568,-199858,-188157,1.70794
"330","E02003259","Luton 002",2848,48,257,1976,182,164,10,145,18,33,15,145.48801,97.488,243.983,1909.448,-66.552,94.855,46.855,246.582,1946.858,-29.142,591.224,543.224,176.8,1612.001,-363.99899,788.47699,740.47699,161.267,1469.37,-506.63,-0.04446,82431,-0.03198,59274,-0.01892,35087,-0.00643,11930,-0.17785,329888,-0.16536,306731,-0.18385,341030,-0.17136,317873,-25425,-18573,-12576,-5724,-97041,-90189,-155565,-148713,1.24558
"510","E02003261","Luton 004",2448,38,195,1714,198,129,5,117,26,15,11,124.933,86.933,184.595,1653.947,-60.053,84.122,46.122,184.5,1686.468,-27.532,525.92603,487.92599,129.95599,1382.361,-331.63901,695.54901,657.54901,118.378,1255.781,-458.21899,-0.03829,70978,-0.02638,48879,-0.01846,34236,-0.00654,12137,-0.15102,280139,-0.13911,258040,-0.1563,289931,-0.14439,267832,-22520,-15748,-12441,-5669,-84204,-77432,-132621,-125849,1.32926
"520","E02003645","Central Bedfordshire 027",3122,52,303,2296,191,103,13,112,11,31,10,149.556,97.556,287.83099,2227.4651,-68.535,106.116,54.116,293.57999,2258.405,-37.595,614.23602,562.23602,205.64301,1910.942,-385.05801,824.25201,772.25201,188.627,1746.8409,-549.159,-0.03056,56628,-0.02035,37692,-0.01849,34282,-0.00828,15346,-0.09851,182684,-0.0883,163748,-0.11443,212221,-0.10422,193285,-25283,-17301,-14485,-6503,-88622,-80640,-157147,-149165,1.52806
"541","E02003262","Luton 005",3821,68,346,2415,259,361,16,250,69,17,20,200.037,132.037,327.43701,2331.8181,-83.182,120.558,52.558,335.90302,2382.7319,-32.268,803.97101,735.97101,232.29401,1958.866,-456.134,1054.965,986.96503,210.511,1791.832,-623.16803,-0.05828,108055,-0.03724,69015,-0.02928,54311,-0.00824,15271,-0.21297,395057,-0.19192,356017,-0.21922,406647,-0.19817,367607,-32657,-20790,-19316,-7449,-111248,-99381,-176206,-164339,1.3891
"635","E02003603","Central Bedfordshire 005",4878,138,584,3230,298,501,14,59,5,26,23,292.83701,154.83701,543.27002,3136.304,-93.696,205.30499,67.305,561.66498,3193.2061,-36.794,869.26703,731.26703,368.46301,2807.2471,-422.75299,1077.827,939.82703,352.31,2647.801,-582.19897,-0.0549,101805,-0.03279,60785,-0.03175,58889,-0.00963,17869,-0.12584,233418,-0.10372,192398,-0.15684,290932,-0.13472,249912,-49406,-29132,-29086,-8812,-121872,-101598,-220612,-200338,0.71808
"672","E02003612","Central Bedfordshire 014",4731,68,186,3666,233,467,10,45,5,38,13,167.85899,99.859,176.646,3586.0281,-79.972,89.991,21.991,185.403,3647.24,-18.76,557.38202,489.38199,133.463,3280.2549,-385.745,832.60901,764.60901,123.511,3045.468,-620.53302,-0.05636,104502,-0.03588,66525,-0.03128,58013,-0.0108,20036,-0.15664,290553,-0.13616,252576,-0.19859,368394,-0.17812,330417,-48475,-30928,-26357,-8810,-143288,-125741,-270452,-252905,1.55783
"758","E02003635","Bedford 020",2376,42,86,1930,135,77,1,72,2,23,8,125.655,83.655,80.638,1861.923,-68.077,74.707,32.707,85.057,1902.774,-27.226,441.901,399.901,56.345,1608.121,-321.879,606.18103,564.18103,52.578,1467.774,-462.22601,-0.05918,109736,-0.03984,73871,-0.03315,61495,-0.01382,25630,-0.17509,324789,-0.15576,288924,-0.18136,336418,-0.16202,300553,-38156,-26092,-22723,-10659,-126314,-114250,-197180,-185116,NA
"894","E02003640","Central Bedfordshire 022",2831,54,315,1751,118,492,17,58,3,13,10,107.518,53.518,302.55701,1716.686,-34.314,101.177,47.177,301.93301,1721.837,-29.163,341.82001,287.82001,233.70399,1578.88,-172.12,506.49301,452.49301,208.368,1463.325,-287.67499,-0.02437,45156,-0.01362,25215,-0.02134,39589,-0.01059,19648,-0.05351,99208,-0.04275,79267,-0.08307,154065,-0.07232,134124,-20161,-11811,-17082,-8732,-50608,-42258,-112531,-104181,1.49912
"972","E02003619","Bedford 004",4304,67,131,3536,184,215,6,112,12,22,19,182.146,115.146,124.251,3441.323,-94.677,111.614,44.614,129.94901,3497.7439,-38.256,613.28802,546.28802,93.08,3093.959,-442.04099,884.89899,817.89899,84.63,2860.501,-675.49902,-0.0928,172138,-0.05958,110502,-0.05696,105661,-0.02373,44025,-0.25522,473465,-0.22199,411829,-0.28142,522090,-0.2482,460454,-62002,-40065,-41891,-19954,-187501,-165564,-311653,-289716,0.81804
