"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"63","E02003451","Wokingham 013",3464,8,389,57,6,24,2223,145,75,519,18,174.059997558594,99.0599975585938,496.324005126953,-22.6760005950928,2161.52099609375,-61.4790000915527,129.393005371094,54.3930015563965,506.2080078125,-12.7919998168945,2188.82104492188,-34.1790008544922,617.828002929688,542.828002929688,364.908996582031,-154.091003417969,1909.93603515625,-313.063995361328,865.713989257812,790.713989257812,327.938995361328,-191.061004638672,1741.86401367188,-481.135986328125,-0.024660000577569,45738,-0.0568300001323223,105352,-0.0321700014173985,59614,-0.0434999987483025,80681,-0.0188400000333786,34943,-0.156619995832443,290495,-0.1319600045681,244757,-0.174940004944801,324470,-0.150279998779297,278732,-0.0155499996617436,28832,-0.0353600010275841,65507,-0.0198100004345179,36675,-0.0275299996137619,51056,-0.0119799999520183,22224,-0.10097000002861,187248,-0.0854199975728989,158416,-0.116800002753735,216624,-0.101259998977184,187792,-16475,-37679,-21204,-27796,-11321,-105321,-88846,-183305,-166830,0.0155762249213504
"178","E02003360","Bracknell Forest 009",4696,9,181,176,22,44,3475,280,158,336,15,303.450012207031,145.449996948242,318.802001953125,-17.1979999542236,3369.65087890625,-105.348999023438,276.144989013672,118.144996643066,318.121002197266,-17.878999710083,3394.02490234375,-80.9749984741211,881.255004882812,723.255004882812,244.07600402832,-91.9240036010742,2961.8701171875,-513.130004882812,1219.48901367188,1061.48901367188,217.673004150391,-118.327003479004,2702.68188476562,-772.317993164062,-0.0342199988663197,63482,-0.0790499970316887,146556,-0.044819999486208,83074,-0.0593000017106533,109998,-0.0250799991190434,46516,-0.232429996132851,431134,-0.198210000991821,367652,-0.2674899995327,496183,-0.23327000439167,432701,-0.0210100002586842,38966,-0.047749999910593,88492,-0.0267500001937151,49526,-0.0367700010538101,68189,-0.015760000795126,29223,-0.147049993276596,272727,-0.126039996743202,233761,-0.173849999904633,322447,-0.152840003371239,283481,-25651,-58250,-32599,-43117,-17466,-158673,-133022,-275753,-250102,0.0149788817808494
"226","E02003395","Reading 007",4952,15,682,709,19,27,1899,208,205,1160,28,392.348999023438,187.348999023438,1090.56396484375,-69.4359970092773,1836.9150390625,-62.0849990844727,319.951995849609,114.952003479004,1118.2900390625,-41.7099990844727,1860.18103027344,-38.8190002441406,1172.41003417969,967.409973144531,764.377014160156,-395.622985839844,1599.59594726562,-299.403991699219,1459.20202636719,1254.20202636719,708.512023925781,-451.488006591797,1470.17700195312,-428.822998046875,-0.0468299984931946,86864,-0.0860299989581108,159544,-0.0392099991440773,72680,-0.0667499974370003,123813,-0.0199200008064508,36949,-0.226030007004738,419286,-0.179199993610382,332422,-0.229980006814003,426610,-0.183149993419647,339746,-0.0298599991947412,55390,-0.0539299994707108,99986,-0.0240700002759695,44596,-0.0427200011909008,79241,-0.0128600001335144,23851,-0.150600001215935,279358,-0.120739996433258,223968,-0.162169992923737,300803,-0.13230000436306,245413,-19475,-36700,-17225,-29793,-10318,-85715,-66240,-141971,-122496,0.0123813122396649
"257","E02003450","Wokingham 012",5279,13,257,414,12,43,3832,218,121,353,16,272.683013916016,151.682998657227,337.493988037109,-15.5059995651245,3725.48706054688,-106.513000488281,224.886001586914,103.886001586914,338.528015136719,-14.4720001220703,3764.24194335938,-67.7580032348633,920.971008300781,799.971008300781,258.630004882812,-94.370002746582,3283.09106445312,-548.908996582031,1329.19702148438,1208.19702148438,227.029006958008,-125.971000671387,2983.9560546875,-848.044006347656,-0.030579999089241,56714,-0.0836199969053268,155055,-0.0530400015413761,98341,-0.0598700009286404,111062,-0.0293000005185604,54348,-0.271439999341965,503520,-0.240860000252724,446806,-0.299160003662109,554954,-0.268590003252029,498240,-0.0197299998253584,36592,-0.0520800016820431,96534,-0.0323499999940395,59942,-0.0388800017535686,72117,-0.0191500000655651,35525,-0.173930004239082,322607,-0.154200002551079,286015,-0.196820005774498,365078,-0.177090004086494,328486,-19406,-54050,-34644,-35722,-16316,-172614,-153208,-298765,-279359,0.016272668041151
"306","E02003369","West Berkshire 003",2372,9,370,23,4,6,1643,103,51,144,19,84.1650009155273,33.1650009155273,139.447998046875,-4.55200004577637,1619.18505859375,-23.8150005340576,74.2050018310547,23.2049999237061,141.38200378418,-2.61800003051758,1625.29504394531,-17.7049999237061,202.906997680664,151.906997680664,115.787002563477,-28.2129993438721,1539.69299316406,-103.306999206543,357.274993896484,306.274993896484,99.8079986572266,-44.1920013427734,1425.4169921875,-217.582992553711,-0.0377900004386902,70100,-0.0625300034880638,115962,-0.0247399993240833,45862,-0.0514799989759922,95495,-0.0136900003999472,25395,-0.112829998135567,209293,-0.0750499963760376,139193,-0.156910002231598,291067,-0.119120001792908,220967,-0.0220800004899502,40955,-0.0368300005793571,68281,-0.014750000089407,27326,-0.0304400008171797,56470,-0.00836999993771315,15515,-0.0701700001955032,130151,-0.0480999983847141,89196,-0.102150000631809,189474,-0.0800699964165688,148519,-17207,-28700,-11493,-25638,-8431,-57290,-40083,-120241,-103034,0.0226038438480661
"311","E02003424","Windsor and Maidenhead 004",3492,30,449,46,9,21,2450,109,64,295,19,189.216995239258,125.217002868652,274.626007080078,-20.3740005493164,2358.33911132812,-91.661003112793,111.216003417969,47.2159996032715,286.942993164062,-8.05700016021729,2415.7041015625,-34.2960014343262,696.255004882812,632.255004882812,180.645004272461,-114.355003356934,1996.97204589844,-453.028015136719,877.947021484375,813.947021484375,170.309997558594,-124.690002441406,1848.10302734375,-601.89697265625,-0.0290500000119209,53884,-0.0813599973917007,150850,-0.0523100011050701,96966,-0.043699998408556,81057,-0.0146500002592802,27173,-0.221570000052452,410988,-0.192519992589951,357104,-0.2326799929142,431601,-0.203630000352859,377717,-0.0176299996674061,32699,-0.0493099987506866,91394,-0.0316799990832806,58695,-0.0267900004982948,49685,-0.00915999989956617,16986,-0.140670001506805,260896,-0.123039998114109,228197,-0.152199998497963,282273,-0.134560003876686,249574,-15268,-43836,-28568,-24754,-9486,-133167,-117899,-212478,-197210,0.00610041806118658
"618","E02003431","Windsor and Maidenhead 011",3089,28,384,65,16,27,2233,130,79,111,16,201.376007080078,122.375999450684,103.186996459961,-7.81300020217896,2139.169921875,-93.8300018310547,131.078002929688,52.0779991149902,108.982002258301,-2.01799988746643,2189.7880859375,-43.2120018005371,638.578002929688,559.578002929688,71.4889984130859,-39.5110015869141,1806.81298828125,-426.18701171875,817.432006835938,738.432006835938,67.8140029907227,-43.1860008239746,1659.85595703125,-573.143981933594,-0.0437199994921684,81091,-0.110179997980595,204274,-0.0664599984884262,123183,-0.0727500021457672,134939,-0.0290300007909536,53848,-0.295060008764267,547304,-0.251349985599518,466213,-0.295969992876053,548988,-0.252259999513626,467897,-0.0266600009053946,49443,-0.0678099989891052,125671,-0.0411599986255169,76228,-0.0439999997615814,81601,-0.017340000718832,32158,-0.187539994716644,347798,-0.160879999399185,298355,-0.192460000514984,356929,-0.165800005197525,307486,-20969,-53992,-33023,-38843,-17874,-157904,-136935,-237569,-216600,0.00510912360623733
"651","E02003373","West Berkshire 007",3565,4,156,48,6,13,2774,166,93,286,19,166.654006958008,73.6529998779297,273.680999755859,-12.3190002441406,2719.55493164062,-54.4449996948242,148.378997802734,55.3790016174316,273.691986083984,-12.3079996109009,2735.623046875,-38.3769989013672,444.326995849609,351.326995849609,222.300003051758,-63.7000007629395,2518.32690429688,-255.673004150391,712.018981933594,619.018981933594,194.679000854492,-91.3209991455078,2304.2939453125,-469.705993652344,-0.0368000008165836,68273,-0.0794100016355515,147288,-0.0426100008189678,79015,-0.0541299991309643,100418,-0.0173300001770258,32145,-0.192450001835823,357018,-0.15565000474453,288745,-0.238810002803802,443018,-0.202000007033348,374745,-0.0214000009000301,39695,-0.0469399988651276,87049,-0.0255399998277426,47354,-0.032379999756813,60063,-0.0109799997881055,20368,-0.121639996767044,225646,-0.100239999592304,185951,-0.156450003385544,290231,-0.135049998760223,250536,-19230,-40901,-21671,-31247,-12017,-108524,-89294,-209799,-190569,0.0190667087555841
"669","E02003396","Reading 008",4779,13,417,666,16,24,2418,298,205,699,23,382.699005126953,177.699005126953,657.304992675781,-41.6949996948242,2337.99291992188,-80.0070037841797,326.082000732422,121.082000732422,669.698974609375,-29.3010005950928,2366.10400390625,-51.8959999084473,1091.23400878906,886.234008789062,471.751007080078,-227.248992919922,2033.12097167969,-384.878997802734,1418.31994628906,1213.31994628906,421.089996337891,-277.910003662109,1854.75500488281,-563.244995117188,-0.067160002887249,124591,-0.117169998586178,217322,-0.0500099994242191,92731,-0.0938500016927719,174096,-0.0266900006681681,49505,-0.317380011081696,588771,-0.250220000743866,464180,-0.321680009365082,596743,-0.25450998544693,472152,-0.0408999994397163,75862,-0.0715200006961823,132611,-0.0306199993938208,56749,-0.0576200000941753,106864,-0.016720000654459,31002,-0.20508000254631,380401,-0.164179995656013,304539,-0.215619996190071,399974,-0.174720004200935,324112,-31077,-54364,-23287,-45753,-14676,-121286,-90209,-195280,-164203,0.0134461466277567
"699","E02003375","West Berkshire 009",2774,6,176,83,2,26,2041,150,67,213,10,137.945999145508,70.9459991455078,203.356002807617,-9.64400005340576,1990.58898925781,-50.4109992980957,135.401000976562,68.4010009765625,205.47200012207,-7.52799987792969,1991.60302734375,-49.3969993591309,395.967010498047,328.967010498047,153.615997314453,-59.3839988708496,1818.73596191406,-222.264007568359,599.338012695312,532.338012695312,136.979995727539,-76.0199966430664,1664.31799316406,-376.682006835938,-0.0496900007128716,92176,-0.0988499969244003,183350,-0.0491699986159801,91174,-0.0927700027823448,172087,-0.043079998344183,79911,-0.204870000481606,380051,-0.155190005898476,287875,-0.244420006871223,453414,-0.194729998707771,361238,-0.031580001115799,58572,-0.061549998819828,114129,-0.0299699995666742,55557,-0.0588699989020824,109193,-0.0272899996489286,50621,-0.130539998412132,242131,-0.0989599972963333,183559,-0.161909997463226,300337,-0.130329996347427,241765,-22913,-45630,-22717,-48625,-25712,-104190,-81277,-188681,-165768,0.010345722725442
