"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02003352 E02003353","E02003352","E02003353","Bracknell Forest 001","Bracknell Forest 002",91,0,5,80,4,1,0,1,0,0,0,0,3.39,3.39,4.81,77.02,-2.98,0,0,5,80,0,20.52,20.52,3.87,61.96,-18.04,31.91,31.91,3.25,51.94,-28.06,-0.00081,1506,-0.00081,1506,0,0,0,0,-0.00535,9923,-0.00535,9923,-0.00502,9318,-0.00502,9318,-983,-983,0,0,-5962,-5962,-9272,-9272,4.82242,6.523,6.434,1.35264,0.98636,2.16158,1.91172,2912,3214
"2","E02003352 E02003354","E02003352","E02003354","Bracknell Forest 001","Bracknell Forest 003",82,3,7,70,2,0,0,0,0,0,0,3.65854,8.54,5.54,6.51,65.09,-4.91,7.4,4.4,6.66,66.11,-3.89,33.95,30.95,4.26,42.58,-27.42,39.46,36.46,3.77,37.69,-32.31,-0.00085,1582,-0.00055,1027,-0.00078,1448,-0.00048,893,-0.00374,6930,-0.00344,6375,-0.00296,5484,-0.00266,4929,-1149,-746,-996,-593,-4576,-4173,-5319,-4916,1.9193,2.951,2.967,1.53754,1.00542,1.55879,1.28075,1360,1386
"3","E02003352 E02003355","E02003352","E02003355","Bracknell Forest 001","Bracknell Forest 004",77,5,4,58,6,0,0,0,4,0,0,6.49351,9.96,4.96,3.73,54,-4,6.79,1.79,3.89,56.59,-1.41,28.64,23.64,2.67,39.05,-18.95,35.05,30.05,2.31,33.87,-24.13,-0.00169,3137,-0.00084,1555,-0.00117,2175,-0.00032,593,-0.00529,9818,-0.00444,8236,-0.0047,8714,-0.00384,7132,-1948,-956,-1328,-336,-5522,-4530,-6761,-5769,3.53203,4.717,4.779,1.33549,1.01314,1.44159,1.25549,1968,2002
"4","E02003352 E02003356","E02003352","E02003356","Bracknell Forest 001","Bracknell Forest 005",89,10,4,65,7,0,1,0,0,1,1,11.23596,15.63,5.63,3.71,60.36,-4.64,14.43,4.43,3.78,61.35,-3.65,34.18,24.18,2.78,45.11,-19.89,41.42,31.42,2.41,39.16,-25.84,-0.00213,3955,-0.00077,1425,-0.00201,3721,-0.00064,1191,-0.00503,9339,-0.00367,6809,-0.00463,8588,-0.00327,6058,-2456,-884,-2268,-696,-5367,-3795,-6504,-4932,1.69767,2.753,2.777,1.62163,1.00872,1.70723,1.69247,1442,1450
"5","E02003352 E02003357","E02003352","E02003357","Bracknell Forest 001","Bracknell Forest 006",82,7,6,56,7,2,0,3,0,1,0,8.53659,10.5,3.5,5.72,53.38,-2.62,9.38,2.38,5.76,54.02,-1.98,24.04,17.04,4.66,43.4,-12.6,33.83,26.83,3.88,36.07,-19.93,-0.00128,2378,-0.00043,798,-0.00115,2132,-3e-04,552,-0.00319,5925,-0.00234,4345,-0.0033,6113,-0.00244,4533,-1472,-480,-1356,-364,-3309,-2317,-4658,-3666,2.443,3.471,3.622,1.4208,1.0435,2.42005,2.59525,1776,2028
"6","E02003352 E02003358","E02003352","E02003358","Bracknell Forest 001","Bracknell Forest 007",141,8,8,99,14,1,1,5,3,2,0,5.67376,14.8,6.8,7.59,93.94,-5.06,8.03,0.03,8,98.98,-0.02,39.1,31.1,6.11,75.85,-23.15,54.43,46.43,5.2,64.43,-34.57,-0.00348,6460,-0.0016,2964,-0.00189,3510,-1e-05,14,-0.00982,18216,-0.00793,14720,-0.00899,16678,-0.00711,13182,-3600,-1655,-1952,-7,-9517,-7572,-13250,-11305,3.92792,5.295,5.625,1.34804,1.06232,2.28517,1.79556,2724,3024
"7","E02003352 E02003359","E02003352","E02003359","Bracknell Forest 001","Bracknell Forest 008",26,1,1,19,4,1,0,0,0,0,0,3.84615,2.18,1.18,0.95,18.11,-0.89,3.29,2.29,0.9,17.34,-1.66,7.56,6.56,0.74,14.01,-4.99,10.57,9.57,0.62,11.72,-7.28,-0.00038,705,-0.00021,384,-6e-04,1103,-0.00042,782,-0.00146,2699,-0.00128,2378,-0.00147,2723,-0.0013,2402,-388,-214,-573,-399,-1372,-1198,-1923,-1749,3.74995,4.716,4.766,1.25762,1.0106,2.22646,2.37096,2336,2406
"8","E02003352 E02003360","E02003352","E02003360","Bracknell Forest 001","Bracknell Forest 009",64,2,3,54,5,0,0,0,0,0,0,3.125,4.35,2.35,2.89,51.95,-2.05,3.65,1.65,2.92,52.6,-1.4,13.19,11.19,2.46,44.24,-9.76,20.79,18.79,2.09,37.63,-16.37,-0.0013,2411,-7e-04,1304,-0.00112,2079,-0.00052,972,-0.00423,7853,-0.00364,6746,-0.00435,8060,-0.00375,6953,-1512,-823,-1248,-559,-4609,-3920,-7269,-6580,5.46778,7.231,8.101,1.32247,1.12032,1.92228,1.7899,3646,4184
"9","E02003352 E02003361","E02003352","E02003361","Bracknell Forest 001","Bracknell Forest 010",29,0,2,22,3,0,0,1,0,1,0,0,1.05,1.05,1.93,21.2,-0.8,0,0,2,22,0,6.45,6.45,1.57,17.08,-4.92,10.13,10.13,1.32,14.29,-7.71,-0.00024,449,-0.00024,449,0,0,0,0,-0.00161,2994,-0.00161,2994,-0.0015,2788,-0.0015,2788,-259,-259,0,0,-1594,-1594,-2498,-2498,4.46917,6.365,6.4,1.4242,1.0055,2.49804,2.51562,3248,3340
"10","E02003352 E02003362","E02003352","E02003362","Bracknell Forest 001","Bracknell Forest 011",18,1,2,15,0,0,0,0,0,0,0,5.55556,1.65,0.65,1.92,14.43,-0.57,1.7,0.7,1.91,14.39,-0.61,3.82,2.82,1.67,12.51,-2.49,6.05,5.05,1.41,10.54,-4.46,-0.00039,729,-0.00016,289,-0.00041,767,-0.00018,327,-0.00097,1800,-0.00073,1360,-0.00098,1813,-0.00074,1373,-523,-207,-537,-221,-1217,-901,-1929,-1613,5.42743,7.085,7.132,1.3054,1.00663,2.38532,2.50981,3634,3728
