"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"90022","E02003352 E02003353","E02003352","E02003353",91,0,1,0,0,80,4,0,5,0,3.39000010490417,3.39000010490417,4.80999994277954,-0.189999997615814,77.0199966430664,-2.98000001907349,0,0,5,0,80,0,20.5200004577637,20.5200004577637,3.86999988555908,-1.12999999523163,61.9599990844727,-18.0400009155273,31.9500007629395,31.9500007629395,3.24000000953674,-1.75999999046326,51.9099998474121,-28.0900001525879,0,0,-0.00121999997645617,2269,-0.00121999997645617,2269,0,0,0,0,-0.00803999975323677,14923,-0.00803999975323677,14923,-0.00738999992609024,13714,-0.00738999992609024,13714,0,0,-0.000809999997727573,1506,-0.000809999997727573,1506,0,0,0,0,-0.00535000022500753,9923,-0.00535000022500753,9923,-0.00503000011667609,9329,-0.00503000011667609,9329,0,-983,-983,0,0,-5962,-5962,-9284,-9284,1,4.83091170706013,"Bracknell Forest 001","Bracknell Forest 002",6.52,6.877,2860,3122,1.34964172300466,1.05475460122699,1.87116564417178,1215,15168,0.0151228733459357,0
"90023","E02003352 E02003354","E02003352","E02003354",82,0,0,0,0,70,2,3,7,0,8.53999996185303,5.53999996185303,6.51000022888184,-0.490000009536743,65.0899963378906,-4.90999984741211,7.40000009536743,4.40000009536743,6.65999984741211,-0.340000003576279,66.1100006103516,-3.89000010490417,33.9500007629395,30.9500007629395,4.26000022888184,-2.74000000953674,42.5800018310547,-27.4200000762939,39.4799995422363,36.4799995422363,3.76999998092651,-3.23000001907349,37.6800003051758,-32.3199996948242,-0.000460000010207295,854,-0.00130999996326864,2430,-0.000850000011269003,1576,-0.00120000005699694,2228,-0.000739999988581985,1374,-0.005729999858886,10637,-0.00527000008150935,9783,-0.00450999988242984,8368,-0.00405000010505319,7514,-0.000300000014249235,555,-0.000850000011269003,1582,-0.000549999997019768,1027,-0.000780000002123415,1448,-0.00047999998787418,893,-0.00374000007286668,6930,-0.00343999988399446,6375,-0.00295999995432794,5486,-0.00265999999828637,4931,-403,-1149,-746,-996,-593,-4576,-4173,-5322,-4919,0,1.92221899056141,"Bracknell Forest 001","Bracknell Forest 003",2.997,3.118,1356,1482,1.55913556921248,1.04037370704037,1.1011011011011,559,5849,0.0131494547787043,3.65853658536585
"90024","E02003352 E02003355","E02003352","E02003355",77,0,0,4,0,58,6,5,4,0,9.96000003814697,4.96000003814697,3.73000001907349,-0.270000010728836,54,-4,6.78999996185303,1.78999996185303,3.89000010490417,-0.109999999403954,56.5900001525879,-1.4099999666214,28.6399993896484,23.6399993896484,2.67000007629395,-1.33000004291534,39.0499992370605,-18.9500007629395,35.0699996948242,30.0699996948242,2.30999994277954,-1.69000005722046,33.8600006103516,-24.1399993896484,-0.00132000003941357,2445,-0.00261000008322299,4846,-0.00129000004380941,2401,-0.00181000004522502,3361,-0.000490000005811453,916,-0.00817000027745962,15154,-0.00685000000521541,12709,-0.00723000010475516,13415,-0.00590999983251095,10970,-0.000850000011269003,1582,-0.00168999994639307,3137,-0.00083999999333173,1555,-0.00116999994497746,2175,-0.00031999999191612,593,-0.00528999976813793,9818,-0.00443999981507659,8236,-0.00469999993219972,8717,-0.00384999997913837,7135,-992,-1948,-956,-1328,-336,-5522,-4530,-6762,-5770,0,3.53780817598461,"Bracknell Forest 001","Bracknell Forest 004",4.72,4.842,1840,2066,1.33415939056288,1.02584745762712,0.974576271186441,880,8597,0.0136307311028501,6.49350649350649
"90025","E02003352 E02003356","E02003352","E02003356",89,1,0,0,1,65,7,10,4,1,15.6300001144409,5.63000011444092,3.71000003814697,-0.28999999165535,60.3600006103516,-4.6399998664856,14.4300003051758,4.42999982833862,3.77999997138977,-0.219999998807907,61.3499984741211,-3.65000009536743,34.1800003051758,24.1800003051758,2.77999997138977,-1.22000002861023,45.1100006103516,-19.8899993896484,41.439998626709,31.4400005340576,2.41000008583069,-1.5900000333786,39.1399993896484,-25.8600006103516,-0.0021100000012666,3909,-0.00328999990597367,6111,-0.00118999998085201,2202,-0.00310000008903444,5750,-0.000989999971352518,1841,-0.00778000010177493,14427,-0.00566999986767769,10518,-0.00713999988511205,13243,-0.00503000011667609,9334,-0.00135999999474734,2530,-0.00212999992072582,3955,-0.000769999984186143,1425,-0.00200999993830919,3721,-0.00063999998383224,1191,-0.00503000011667609,9339,-0.00367000000551343,6809,-0.00462999986484647,8592,-0.00326999998651445,6062,-1572,-2456,-884,-2268,-696,-5367,-3795,-6508,-4936,1,1.69745929260803,"Bracknell Forest 001","Bracknell Forest 005",3.752,2.785,1680,2016,2.21036228458551,0.74227078891258,1.19936034115139,699,7368,0.014721723518851,11.2359550561798
"90026","E02003352 E02003357","E02003352","E02003357",82,0,3,0,1,56,7,7,6,0,10.5,3.5,5.71999979019165,-0.280000001192093,53.3800010681152,-2.61999988555908,9.38000011444092,2.38000011444092,5.76000022888184,-0.239999994635582,54.0200004577637,-1.98000001907349,24.0400009155273,17.0400009155273,4.65999984741211,-1.3400000333786,43.4000015258789,-12.6000003814697,33.8800010681152,26.8799991607666,3.86999988555908,-2.13000011444092,36.0299987792969,-19.9699993133545,-0.00130999996326864,2428,-0.00197000009939075,3654,-0.000660000019706786,1226,-0.00176999997347593,3274,-0.000460000010207295,846,-0.00491000013425946,9110,-0.00359999993816018,6682,-0.00504999980330467,9367,-0.00374000007286668,6939,-0.000850000011269003,1580,-0.00127999996766448,2378,-0.000429999985499308,798,-0.00115000002551824,2132,-0.000300000014249235,552,-0.00319000007584691,5925,-0.00233999988995492,4345,-0.00329999998211861,6121,-0.00245000002905726,4541,-992,-1472,-480,-1356,-364,-3309,-2317,-4665,-3673,2,2.44311519831478,"Bracknell Forest 001","Bracknell Forest 006",3.62,3.653,1694,1714,1.48171482151026,1.00911602209945,2.23756906077348,675,7417,0.0227210511908021,8.53658536585366
"90027","E02003352 E02003358","E02003352","E02003358",141,1,5,3,2,99,14,8,8,0,14.8000001907349,6.80000019073486,7.59000015258789,-0.409999996423721,93.9400024414062,-5.05999994277954,8.02999973297119,0.0299999993294477,8,0,98.9800033569336,-0.0199999995529652,39.0999984741211,31.1000003814697,6.1100001335144,-1.88999998569489,75.8499984741211,-23.1499996185303,54.4700012207031,46.4700012207031,5.19000005722046,-2.80999994277954,64.4100036621094,-34.5900001525879,-0.00283999997191131,5260,-0.00523999985307455,9716,-0.00240000011399388,4456,-0.00285000004805624,5281,-9.99999974737875e-06,21,-0.0147299999371171,27332,-0.0119000002741814,22072,-0.0132299996912479,24551,-0.0104000000283122,19291,-0.00187999999616295,3496,-0.00347999995574355,6460,-0.0015999999595806,2964,-0.00188999995589256,3510,-9.99999974737875e-06,14,-0.00982000026851892,18216,-0.00793000031262636,14720,-0.00899999961256981,16688,-0.00711000012233853,13192,-1945,-3600,-1655,-1952,-7,-9517,-7572,-13258,-11313,2,3.9304113516114,"Bracknell Forest 001","Bracknell Forest 007",6.421,6.783,2814,3084,1.6336712434355,1.05637751129108,1.2770596480299,1197,12416,0.0162170131210379,5.67375886524823
"90028","E02003352 E02003360","E02003352","E02003360",64,0,0,0,0,54,5,2,3,0,4.34999990463257,2.34999990463257,2.89000010490417,-0.109999999403954,51.9500007629395,-2.04999995231628,3.65000009536743,1.64999997615814,2.92000007629395,-0.0799999982118607,52.5999984741211,-1.39999997615814,13.1899995803833,11.1899995803833,2.46000003814697,-0.540000021457672,44.2400016784668,-9.76000022888184,20.8099994659424,18.8099994659424,2.08999991416931,-0.910000026226044,37.6100006103516,-16.3899993896484,-0.000890000024810433,1654,-0.00193999998737127,3600,-0.00104999996256083,1946,-0.00167999998666346,3109,-0.000780000002123415,1455,-0.00630000000819564,11694,-0.00541000021621585,10040,-0.00632000016048551,11720,-0.00542999990284443,10066,-0.000600000028498471,1107,-0.00130000000353903,2411,-0.000699999975040555,1304,-0.00112000002991408,2079,-0.00052000000141561,972,-0.00423000007867813,7853,-0.00364000000990927,6746,-0.00435000006109476,8067,-0.00374999991618097,6960,-689,-1512,-823,-1248,-559,-4609,-3920,-7275,-6586,0,5.47197841026995,"Bracknell Forest 001","Bracknell Forest 009",7.959,7.943,3572,3592,1.45450135275796,0.997989697198141,1.45746953134816,1484,15180,0.0148558479164044,3.125
"90029","E02003352 E02003363","E02003352","E02003363",22,0,0,0,0,20,1,1,0,0,1.49000000953674,0.490000009536743,0,0,19.5400009155273,-0.46000000834465,3.40000009536743,2.40000009536743,0,0,17.75,-2.25,2.33999991416931,1.3400000333786,0,0,18.7199993133545,-1.27999997138977,4.73000001907349,3.73000001907349,0,0,16.4400005340576,-3.55999994277954,-0.000709999992977828,1325,-0.00106000003870577,1966,-0.000349999987520278,641,-0.00254000001586974,4708,-0.00182000000495464,3383,-0.00171999994199723,3194,-0.00101000000722706,1869,-0.00255999993532896,4745,-0.00184000004082918,3420,-0.000460000010207295,852,-0.00067999999737367,1264,-0.00022000000171829,412,-0.00162999995518476,3026,-0.00116999994497746,2174,-0.00110999995376915,2053,-0.000650000001769513,1201,-0.00164000003132969,3050,-0.00118999998085201,2198,-544,-809,-265,-1850,-1306,-1282,-738,-2596,-2052,0,9.36994369306388,"Bracknell Forest 001","Bracknell Forest 012",11.41,11.24,5422,6608,1.21772343290027,0.98510078878177,1.47239263803681,2127,27145,0.0172597864768683,4.54545454545455
"90030","E02003352 E02003399","E02003352","E02003399",27,0,1,0,0,20,0,1,2,0,1.25999999046326,0.259999990463257,1.98000001907349,-0.0199999995529652,19.7999992370605,-0.200000002980232,1.37000000476837,0.370000004768372,1.97000002861023,-0.0299999993294477,19.7099990844727,-0.28999999165535,1.01999998092651,0.0199999995529652,2,0,20,0,2.25,1.25,1.9099999666214,-0.0900000035762787,19.0599994659424,-0.939999997615814,-0.00115000002551824,2124,-0.00144999998155981,2694,-0.000310000003082678,570,-0.00158999999985099,2956,-0.000449999992270023,832,-0.00120000005699694,2216,-4.99999987368938e-05,92,-0.00202000001445413,3742,-0.000869999988935888,1618,-0.000560000014957041,1036,-0.000709999992977828,1312,-0.000150000007124618,276,-0.000780000002123415,1442,-0.00022000000171829,406,-0.000579999992623925,1080,-1.99999994947575e-05,44,-0.00127000000793487,2352,-0.000709999992977828,1316,-889,-1115,-226,-1216,-327,-889,0,-1929,-1040,3,18.5258356707527,"Bracknell Forest 001","Reading 011",21.843,25.871,9408,12250,1.17905612400979,1.18440690381358,1.29103145172366,4072,44770,0.00912218313942252,3.7037037037037
"90031","E02003352 E02003408","E02003352","E02003408",43,0,0,1,0,38,2,0,1,0,0.740000009536743,0.740000009536743,0.990000009536743,-0.00999999977648258,37.3499984741211,-0.649999976158142,0,0,1,0,38,0,2.72000002861023,2.72000002861023,0.949999988079071,-0.0500000007450581,35.5999984741211,-2.40000009536743,6.34000015258789,6.34000015258789,0.860000014305115,-0.140000000596046,32.4000015258789,-5.59999990463257,0,0,-0.000760000024456531,1410,-0.000760000024456531,1410,0,0,0,0,-0.00289999996311963,5377,-0.00289999996311963,5377,-0.00429000006988645,7963,-0.00429000006988645,7963,0,0,-0.00047999998787418,887,-0.00047999998787418,887,0,0,0,0,-0.00193999998737127,3605,-0.00193999998737127,3605,-0.00295999995432794,5496,-0.00295999995432794,5496,0,-518,-518,0,0,-1902,-1902,-4446,-4446,1,12.802722233771,"Bracknell Forest 001","Slough 002",15.612,18.031,6218,8088,1.21942815870977,1.15494491416859,0.864719446579554,2910,65430,0.00759802562253896,0
