"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"154102",1,1,1,6.52,2860,116,122,0.01871,1215,102,15168,"E02003352 E02003353",116
"154103",1,1,1,2.997,1356,90,33,0.01101,559,46,5849,"E02003352 E02003354",90
"154104",1,1,1,4.72,1840,117,46,0.00975,880,60,8597,"E02003352 E02003355",117
"154105",1,1,1,3.752,1680,70,45,0.01199,699,66,7368,"E02003352 E02003356",70
"154106",1,1,1,3.62,1694,79,81,0.02238,675,65,7417,"E02003352 E02003357",79
"154107",1,1,1,6.421,2814,226,82,0.01277,1197,105,12416,"E02003352 E02003358",226
"154108",1,1,1,7.959,3572,235,116,0.01457,1484,129,15180,"E02003352 E02003360",235
"154109",1,1,1,11.41,5422,287,168,0.01472,2127,195,27145,"E02003352 E02003363",287
"154111",1,1,1,21.843,9408,488,282,0.01291,4072,310,44770,"E02003352 E02003399",488
"154112",1,1,1,15.612,6218,281,135,0.00865,2910,196,65430,"E02003352 E02003408",281
"154113",1,1,1,14.925,5782,273,135,0.00905,2782,179,57655,"E02003352 E02003414",273
"154114",1,1,1,14.205,5540,267,131,0.00922,2648,170,56726,"E02003352 E02003415",267
"154115",1,1,1,15.181,5892,273,134,0.00883,2830,180,51732,"E02003352 E02003417",273
"154116",1,1,1,18.391,7146,371,137,0.00745,3428,220,35614,"E02003352 E02003420",371
"154117",1,1,1,17.589,7390,384,199,0.01131,3279,253,60912,"E02003352 E02003422",384
"154118",1,1,1,13.639,5452,308,148,0.01085,2542,173,52663,"E02003352 E02003425",308
"154119",1,1,1,14.356,5600,318,143,0.00996,2676,183,30712,"E02003352 E02003427",318
"154120",1,1,1,10.683,4038,201,117,0.01095,1991,124,31730,"E02003352 E02003429",201
"154121",1,1,1,11.751,4682,237,118,0.01004,2191,133,24933,"E02003352 E02003430",237
"154122",1,1,1,10.333,3906,196,110,0.01065,1926,117,21665,"E02003352 E02003432",196
"154123",1,1,1,10.627,4208,205,128,0.01204,1981,131,22578,"E02003352 E02003433",205
"154124",1,1,1,10.192,3948,167,123,0.01207,1900,121,21752,"E02003352 E02003434",167
"154125",1,1,1,9.49,3684,169,110,0.01159,1769,111,21072,"E02003352 E02003435",169
"154126",1,1,1,13.486,5174,202,126,0.00934,2514,152,44326,"E02003352 E02003436",202
"154127",1,1,1,4.088,2098,78,64,0.01566,762,73,11369,"E02003352 E02003437",78
"154128",1,1,1,7.771,3358,160,104,0.01338,1449,122,19846,"E02003352 E02003438",160
"154129",1,1,1,18.22,7826,363,251,0.01378,3396,271,40953,"E02003352 E02003444",363
"154130",1,1,1,15.09,6376,271,225,0.01491,2813,214,33735,"E02003352 E02003447",271
"154131",1,1,1,13.053,5660,182,226,0.01731,2433,193,32893,"E02003352 E02003448",182
"154132",1,1,1,11.224,5094,180,201,0.01791,2092,177,26011,"E02003352 E02003451",180
"154133",1,1,1,12.307,5720,257,229,0.01861,2294,198,34971,"E02003352 E02003454",257
"154141",1,1,1,4.107,1950,108,63,0.01534,766,74,8188,"E02003353 E02003354",108
"154142",1,1,1,2.097,854,50,24,0.01144,391,29,4007,"E02003353 E02003355",50
"154143",1,1,1,7.211,3534,230,111,0.01539,1344,128,37685,"E02003353 E02003356",230
"154144",1,1,1,4.829,2186,193,65,0.01346,900,80,20879,"E02003353 E02003357",193
"154145",1,1,1,4.283,2012,137,64,0.01494,798,80,8016,"E02003353 E02003358",137
"154146",1,1,1,4.802,2216,172,58,0.01208,895,83,9609,"E02003353 E02003360",172
"154147",1,1,1,5.841,2752,185,89,0.01524,1089,109,27132,"E02003353 E02003361",185
"154148",1,1,1,9.971,4608,213,118,0.01183,1859,162,30968,"E02003353 E02003363",213
"154149",1,1,1,10.615,5112,267,215,0.02025,1979,197,60458,"E02003353 E02003364",267
"154150",1,1,1,11.139,5278,271,226,0.02029,2076,196,59325,"E02003353 E02003366",271
"154153",1,1,1,17.687,7434,423,180,0.01018,3297,234,33193,"E02003353 E02003399",423
"154154",1,1,1,17.335,7270,370,186,0.01073,3231,243,35422,"E02003353 E02003402",370
"154155",1,1,1,18.183,7532,389,192,0.01056,3390,251,36848,"E02003353 E02003405",389
"154156",1,1,1,18.058,7538,327,188,0.01041,3366,247,40278,"E02003353 E02003406",327
"154157",1,1,1,21.307,8828,333,247,0.01159,3972,298,77852,"E02003353 E02003408",333
"154158",1,1,1,20.588,8258,358,110,0.00534,3838,247,35436,"E02003353 E02003409",358
"154159",1,1,1,21.159,8788,325,252,0.01191,3944,290,64588,"E02003353 E02003413",325
"154160",1,1,1,19.9,8150,319,243,0.01221,3710,272,69148,"E02003353 E02003415",319
"154161",1,1,1,20.876,8502,325,246,0.01178,3892,282,64154,"E02003353 E02003417",325
"154162",1,1,1,16.826,7404,334,161,0.00957,3137,242,28150,"E02003353 E02003422",334
"154163",1,1,1,14.887,6176,287,98,0.00658,2775,176,42517,"E02003353 E02003425",287
"154164",1,1,1,13.099,5368,247,81,0.00618,2442,155,20189,"E02003353 E02003427",247
"154165",1,1,1,11.931,4762,180,67,0.00562,2224,127,21584,"E02003353 E02003429",180
"154166",1,1,1,17.446,7292,289,230,0.01318,3252,236,37355,"E02003353 E02003430",289
"154167",1,1,1,20.587,8406,343,242,0.01175,3838,276,42284,"E02003353 E02003431",343
"154168",1,1,1,16.028,6516,248,222,0.01385,2988,220,34087,"E02003353 E02003432",248
"154169",1,1,1,15.887,6558,219,235,0.01479,2962,224,34174,"E02003353 E02003434",219
"154170",1,1,1,15.185,6294,221,222,0.01462,2831,213,33494,"E02003353 E02003435",221
"154171",1,1,1,7.941,3940,255,118,0.01486,1480,141,41906,"E02003353 E02003437",255
"154172",1,1,1,11.285,5486,370,202,0.0179,2104,193,51569,"E02003353 E02003438",370
"154173",1,1,1,13.363,5756,253,129,0.00965,2491,180,27271,"E02003353 E02003439",253
"154174",1,1,1,12.323,5004,272,123,0.00998,2297,163,24676,"E02003353 E02003441",272
"154175",1,1,1,14.064,5852,298,149,0.01059,2622,196,29376,"E02003353 E02003444",298
"154176",1,1,1,10.934,4402,206,123,0.01125,2038,139,22158,"E02003353 E02003447",206
"154177",1,1,1,8.897,3686,117,124,0.01394,1658,118,21316,"E02003353 E02003448",117
"154178",1,1,1,5.214,2688,130,85,0.0163,972,85,18816,"E02003353 E02003451",130
"154179",1,1,1,3.823,1834,108,68,0.01779,713,63,9994,"E02003353 E02003452",108
"154180",1,1,1,6.464,3306,178,119,0.01841,1205,106,26405,"E02003353 E02003454",178
"154181",1,1,1,16.274,7602,410,264,0.01622,3034,263,55507,"E02003353 E02003455",410
"154182",1,1,1,11.047,5314,266,207,0.01874,2059,186,37363,"E02003353 E02003456",266
"154183",1,1,1,8.373,3770,190,101,0.01206,1561,130,27763,"E02003353 E02003458",190
"154204",1,1,1,2.01,864,60,39,0.0194,375,27,3389,"E02003354 E02003355",60
"154205",1,1,1,4.532,2384,98,88,0.01942,845,81,9018,"E02003354 E02003356",98
