"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",12,21.09,17.42,29.56,89.01,19,38.19,35.53,132.71001,207.81,1
"2",18,44,26.01,122.27,241.54,21,57.8,49.23,243.24,319.87,1
"3",10,23.01,14.84,48.54,122.57,21,57.8,49.23,243.24,319.87,1
"4",8,20.99,11.17,73.73,118.97,NA,NA,NA,NA,NA,0
"5",2,4.19,2,9.51,25.88,NA,NA,NA,NA,NA,0
"6",8,18.82,12.84,39.03,96.69,NA,NA,NA,NA,NA,0
"7",3,6.32,3.91,13.19,37.58,19,38.19,35.53,132.71001,207.81,1
"8",1,2.13,1.91,3.68,11.7,NA,NA,NA,NA,NA,0
"9",9,14.77,13.51,16.37,51.43,19,38.19,35.53,132.71001,207.81,1
"10",9,20.95,14.75,42.71,108.39,8,20.77,13.7,84.35,102.42,1
"11",0,0.61,0,1.39,5.86,NA,NA,NA,NA,NA,0
"12",9,14.16,13.51,14.98,45.57,NA,NA,NA,NA,NA,0
"13",1,2.13,1.91,3.68,11.7,8,20.77,13.7,84.35,102.42,1
"14",9,23.12,13.08,77.41,130.67,8,20.77,13.7,84.35,102.42,1
"15",8,18.82,12.84,39.03,96.69,8,20.77,13.7,84.35,102.42,1
"16",3,5.27,4.27,8.49,21.32,8,20.77,13.7,84.35,102.42,1
"17",6,17.85,8.81,68.92,109.35,8,20.77,13.7,84.35,102.42,1
"18",15,23.1,25.42,40.15,87.07,8,20.77,13.7,84.35,102.42,1
"19",20,45.94,36.79,125.59,233.72,8,20.77,13.7,84.35,102.42,1
"20",23,51.21,41.06,134.08,255.04,8,20.77,13.7,84.35,102.42,1
"21",23,41.92,38.26,79.18,183.76,NA,NA,NA,NA,NA,0
"22",18,39.3,33.53,101.77,194.61,NA,NA,NA,NA,NA,0
"23",5,11.91,7.53,32.31,60.43,NA,NA,NA,NA,NA,0
"24",17,26.11,30.09,43.17,96.18,47,70.26,65.53,175.69,195.21001,1
"25",6,15.81,8.17,36.01,87.58,47,70.26,65.53,175.69,195.21001,1
"26",1,2.09,2.64,2.96,11.17,NA,NA,NA,NA,NA,0
"27",7,17.9,10.81,38.97,98.75,47,70.26,65.53,175.69,195.21001,1
"28",22,39.83,35.62,76.22,172.59,47,70.26,65.53,175.69,195.21001,1
"29",1,2.09,2.64,2.96,11.17,NA,NA,NA,NA,NA,0
"30",9,14.16,13.51,14.98,45.57,47,70.26,65.53,175.69,195.21001,1
"31",11,17.62,19.38,31.86,68.51,47,70.26,65.53,175.69,195.21001,1
"32",11,23.57,16.24,47.68,116.04,47,70.26,65.53,175.69,195.21001,1
"33",20,30.42,32.89,43.52,102.12,47,70.26,65.53,175.69,195.21001,1
"34",8,13.86,10.19,24.37,53.04,NA,NA,NA,NA,NA,0
"35",9,19.25,10.82,49.14,91.73,3,12.72,3,78.06,96.21,1
"36",157,279.04001,277.64001,796.62999,1081.53001,3,12.72,3,78.06,96.21,1
"37",148,259.79001,266.82001,747.48999,989.80001,3,12.72,3,78.06,96.21,1
"38",5,11.97,6.17,24.03,61.87,47,70.26,65.53,175.69,195.21001,1
"39",6,11.6,10.07,23.65,54.17,47,70.26,65.53,175.69,195.21001,1
"40",45,85.44,83.5,221.29,352.74,8,15.04,8.23,56.99,64.77,1
"41",27,46.14,49.97,119.52,158.13,NA,NA,NA,NA,NA,0
"42",0,0.68,0,1.66,5.98,47,70.26,65.53,175.69,195.21001,1
"43",5,11.29,6.17,22.37,55.89,47,70.26,65.53,175.69,195.21001,1
"44",19,31.27,34.08,63.53,120.32,47,70.26,65.53,175.69,195.21001,1
"45",29,47.71,51.63,92.27,184.5,47,70.26,65.53,175.69,195.21001,1
"46",27,46.51,49.97,120.46,161.4,NA,NA,NA,NA,NA,0
"47",27,45.83,49.97,118.8,155.42,NA,NA,NA,NA,NA,0
"48",121,213.65001,216.85,627.96999,831.67001,NA,NA,NA,NA,NA,0
"49",25,41.14,47.21,85.8,162.07,47,70.26,65.53,175.69,195.21001,1
"50",4,6.57,4.42,6.47,22.43,47,70.26,65.53,175.69,195.21001,1
"51",27,46.14,49.97,119.52,158.13,8,15.04,8.23,56.99,64.77,1
"52",0,0.37,0,0.94,3.27,NA,NA,NA,NA,NA,0
"53",5,9.22,13.19,20.2,41.63,NA,NA,NA,NA,NA,0
"54",14,22.05,20.89,43.33,78.69,47,70.26,65.53,175.69,195.21001,1
"55",4,6.63,8.06,10.52,23.49,8,15.04,8.23,56.99,64.77,1
"56",31,52.77,58.03,130.04,181.62,8,15.04,8.23,56.99,64.77,1
"57",14,32.67,25.47,91.25,171.12,8,15.04,8.23,56.99,64.77,1
"58",262,486.42,442.04999,1352.92001,1627.92998,47,70.26,65.53,175.69,195.21001,1
"59",11,23.62,18.67,57.17,108.18,47,70.26,65.53,175.69,195.21001,1
"60",255,469.37,427.8,1302.22001,1542.17998,47,70.26,65.53,175.69,195.21001,1
"61",11,24.64,18.67,60.8,117.42,47,70.26,65.53,175.69,195.21001,1
