"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"63","E02003451","Wokingham 013",3464,8,389,57,6,24,2223,145,75,519,18,174.06,99.06,496.32401,2161.521,-61.479,129.39301,54.393,506.20801,2188.82104,-34.179,617.828,542.828,364.909,1909.93604,-313.064,865.71399,790.71399,327.939,1741.86401,-481.13599,-0.03536,65507,-0.01981,36675,-0.02753,51056,-0.01198,22224,-0.10097,187248,-0.08542,158416,-0.1168,216624,-0.10126,187792,-37679,-21204,-27796,-11321,-105321,-88846,-183305,-166830,0.01558
"178","E02003360","Bracknell Forest 009",4696,9,181,176,22,44,3475,280,158,336,15,303.45001,145.45,318.802,3369.65088,-105.349,276.14499,118.145,318.121,3394.0249,-80.975,881.255,723.255,244.076,2961.87012,-513.13,1219.48901,1061.48901,217.673,2702.68188,-772.31799,-0.04775,88492,-0.02675,49526,-0.03677,68189,-0.01576,29223,-0.14705,272727,-0.12604,233761,-0.17385,322447,-0.15284,283481,-58250,-32599,-43117,-17466,-158673,-133022,-275753,-250102,0.01498
"226","E02003395","Reading 007",4952,15,682,709,19,27,1899,208,205,1160,28,392.349,187.349,1090.56396,1836.91504,-62.085,319.952,114.952,1118.29004,1860.18103,-38.819,1172.41003,967.40997,764.37701,1599.59595,-299.40399,1459.20203,1254.20203,708.51202,1470.177,-428.823,-0.05393,99986,-0.02407,44596,-0.04272,79241,-0.01286,23851,-0.1506,279358,-0.12074,223968,-0.16217,300803,-0.1323,245413,-36700,-17225,-29793,-10318,-85715,-66240,-141971,-122496,0.01238
"257","E02003450","Wokingham 012",5279,13,257,414,12,43,3832,218,121,353,16,272.68301,151.683,337.49399,3725.48706,-106.513,224.886,103.886,338.52802,3764.24194,-67.758,920.97101,799.97101,258.63,3283.09106,-548.909,1329.19702,1208.19702,227.02901,2983.95605,-848.04401,-0.05208,96534,-0.03235,59942,-0.03888,72117,-0.01915,35525,-0.17393,322607,-0.1542,286015,-0.19682,365078,-0.17709,328486,-54050,-34644,-35722,-16316,-172614,-153208,-298765,-279359,0.01627
"306","E02003369","West Berkshire 003",2372,9,370,23,4,6,1643,103,51,144,19,84.165,33.165,139.448,1619.18506,-23.815,74.205,23.205,141.382,1625.29504,-17.705,202.907,151.907,115.787,1539.69299,-103.307,357.27499,306.27499,99.808,1425.41699,-217.58299,-0.03683,68281,-0.01475,27326,-0.03044,56470,-0.00837,15515,-0.07017,130151,-0.0481,89196,-0.10215,189474,-0.08007,148519,-28700,-11493,-25638,-8431,-57290,-40083,-120241,-103034,0.0226
"311","E02003424","Windsor and Maidenhead 004",3492,30,449,46,9,21,2450,109,64,295,19,189.217,125.217,274.62601,2358.33911,-91.661,111.216,47.216,286.94299,2415.7041,-34.296,696.255,632.255,180.645,1996.97205,-453.02802,877.94702,813.94702,170.31,1848.10303,-601.89697,-0.04931,91394,-0.03168,58695,-0.02679,49685,-0.00916,16986,-0.14067,260896,-0.12304,228197,-0.1522,282273,-0.13456,249574,-43836,-28568,-24754,-9486,-133167,-117899,-212478,-197210,0.0061
"618","E02003431","Windsor and Maidenhead 011",3089,28,384,65,16,27,2233,130,79,111,16,201.37601,122.376,103.187,2139.16992,-93.83,131.078,52.078,108.982,2189.78809,-43.212,638.578,559.578,71.489,1806.81299,-426.18701,817.43201,738.43201,67.814,1659.85596,-573.14398,-0.06781,125671,-0.04116,76228,-0.044,81601,-0.01734,32158,-0.18754,347798,-0.16088,298355,-0.19246,356929,-0.1658,307486,-53992,-33023,-38843,-17874,-157904,-136935,-237569,-216600,0.00511
"651","E02003373","West Berkshire 007",3565,4,156,48,6,13,2774,166,93,286,19,166.65401,73.653,273.681,2719.55493,-54.445,148.379,55.379,273.69199,2735.62305,-38.377,444.327,351.327,222.3,2518.3269,-255.673,712.01898,619.01898,194.679,2304.29395,-469.70599,-0.04694,87049,-0.02554,47354,-0.03238,60063,-0.01098,20368,-0.12164,225646,-0.10024,185951,-0.15645,290231,-0.13505,250536,-40901,-21671,-31247,-12017,-108524,-89294,-209799,-190569,0.01907
"669","E02003396","Reading 008",4779,13,417,666,16,24,2418,298,205,699,23,382.69901,177.69901,657.30499,2337.99292,-80.007,326.082,121.082,669.69897,2366.104,-51.896,1091.23401,886.23401,471.75101,2033.12097,-384.879,1418.31995,1213.31995,421.09,1854.755,-563.245,-0.07152,132611,-0.03062,56749,-0.05762,106864,-0.01672,31002,-0.20508,380401,-0.16418,304539,-0.21562,399974,-0.17472,324112,-54364,-23287,-45753,-14676,-121286,-90209,-195280,-164203,0.01345
"699","E02003375","West Berkshire 009",2774,6,176,83,2,26,2041,150,67,213,10,137.946,70.946,203.356,1990.58899,-50.411,135.401,68.401,205.472,1991.60303,-49.397,395.96701,328.96701,153.616,1818.73596,-222.26401,599.33801,532.33801,136.98,1664.31799,-376.68201,-0.06155,114129,-0.02997,55557,-0.05887,109193,-0.02729,50621,-0.13054,242131,-0.09896,183559,-0.16191,300337,-0.13033,241765,-45630,-22717,-48625,-25712,-104190,-81277,-188681,-165768,0.01035
