"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"62","E02003464","Milton Keynes 006",2931,6,80,290,60,27,1876,269,115,194,14,217.89599609375,102.896003723145,185.369995117188,-8.63000011444092,1810.61999511719,-65.379997253418,190.901992797852,75.9020004272461,184.50700378418,-9.49300003051758,1829.84899902344,-46.1510009765625,640.987976074219,525.987976074219,144.554992675781,-49.4449996948242,1548.95300292969,-327.046997070312,890.408020019531,775.408020019531,126.488998413086,-67.5110015869141,1383.35205078125,-492.648010253906,-0.048930000513792,90758,-0.090999998152256,168780,-0.0420800000429153,78022,-0.0726300030946732,134727,-0.023709999397397,43969,-0.272379994392395,505302,-0.223450005054474,414544,-0.279119998216629,517794,-0.230189993977547,427036,-0.0295199993997812,54753,-0.0561800003051758,104170,-0.0266600009053946,49417,-0.044319998472929,82201,-0.0148000000044703,27448,-0.174559995532036,323797,-0.14504000544548,269044,-0.181749999523163,337142,-0.152229994535446,282389,-22649,-41096,-18447,-34947,-12298,-107377,-84728,-164238,-141589,0.0154831484988545
"177","E02003671","Aylesbury Vale 020",2995,9,72,240,52,16,2074,213,74,230,15,203.929992675781,129.929992675781,214.417999267578,-15.5819997787476,1992.0009765625,-81.9990005493164,128.208999633789,54.2089996337891,223.414001464844,-6.58599996566772,2039.34594726562,-34.6539993286133,721.508972167969,647.508972167969,145.485000610352,-84.5149993896484,1674.79602050781,-399.204010009766,877.718994140625,803.718994140625,136.136001586914,-93.8639984130859,1559.81896972656,-514.181030273438,-0.0299100000411272,55487,-0.0742399990558624,137687,-0.044319998472929,82200,-0.0447899997234344,83087,-0.0148799996823072,27600,-0.195270001888275,362234,-0.165350005030632,306747,-0.191780000925064,355761,-0.161860004067421,300274,-0.0184700004756451,34250,-0.045719999819994,84782,-0.0272599998861551,50532,-0.0281499996781349,52210,-0.00968000013381243,17960,-0.124810002744198,231516,-0.106349997222424,197266,-0.126029998064041,233777,-0.107560001313686,199527,-15189,-37606,-22417,-23954,-8765,-109485,-94296,-167784,-152595,0.0093388528112397
"286","E02003686","Chiltern 011",2833,118,225,18,10,16,2118,94,22,198,14,73.927001953125,51.9269981384277,191.13200378418,-6.86800003051758,2077.416015625,-40.5849990844727,39.3940010070801,17.3939990997314,197.102005004883,-0.898000001907349,2103.0048828125,-14.9949998855591,309.510986328125,287.510986328125,148.279006958008,-49.7210006713867,1905.19604492188,-212.804000854492,509.339996337891,487.339996337891,129.524993896484,-68.4749984741211,1741.14697265625,-376.852996826172,-0.0114500001072884,21229,-0.0438500009477139,81247,-0.0324000008404255,60018,-0.0200800001621246,37244,-0.00863000005483627,16015,-0.117389999330044,217689,-0.105949997901917,196460,-0.156440004706383,290143,-0.144999995827675,268914,-0.00693000014871359,12853,-0.0260700006037951,48244,-0.0191399995237589,35391,-0.0124300001189113,23054,-0.00549999997019768,10201,-0.0738599970936775,136924,-0.066930003464222,124071,-0.102710001170635,190456,-0.0957800000905991,177603,-6038,-23562,-17524,-12826,-6788,-79419,-73381,-165587,-159549,0.0188760383718592
"394","E02003703","Wycombe 008",3609,24,315,219,12,22,2263,173,43,521,17,90.0210037231445,47.0209999084473,512.549011230469,-8.45100021362305,2232.2919921875,-30.7080001831055,75.3369979858398,32.3370018005371,515.281005859375,-5.7189998626709,2241.71899414062,-21.2810001373291,330.85400390625,287.85400390625,456.658996582031,-64.3410034179688,2086.62890625,-176.371002197266,680.242980957031,637.242980957031,378.575988769531,-142.42399597168,1873.84899902344,-389.151000976562,-0.0122800003737211,22771,-0.0276500005275011,51231,-0.01537000015378,28460,-0.0210999995470047,39129,-0.00882000010460615,16358,-0.0783400014042854,145273,-0.0660599991679192,122502,-0.106040000915527,196672,-0.0937599986791611,173901,-0.00798000022768974,14802,-0.0170399993658066,31532,-0.00905000045895576,16730,-0.0136500000953674,25306,-0.00566999986767769,10504,-0.0504500009119511,93526,-0.0424700006842613,78724,-0.0721099972724915,133710,-0.0641200020909309,118908,-8668,-19732,-11064,-15880,-7212,-57588,-48920,-133191,-124523,0.0345396836526382
"398","E02003690","South Bucks 003",2735,133,190,110,10,35,1933,100,47,167,10,121.561996459961,74.5619964599609,157.645004272461,-9.35499954223633,1880.02294921875,-52.9770011901855,71.5749969482422,24.5750007629395,164.968002319336,-2.03200006484985,1914.55395507812,-18.4459991455078,420.397003173828,373.397003173828,114.000999450684,-52.9990005493164,1670.7900390625,-262.209991455078,616.929992675781,569.929992675781,101.619003295898,-65.3809967041016,1521.05505371094,-411.945007324219,-0.0308899991214275,57292,-0.0797099992632866,147737,-0.0488200001418591,90445,-0.0530200004577637,98354,-0.0221400000154972,41062,-0.181690007448196,336957,-0.15081000328064,279665,-0.210830003023148,391012,-0.17994000017643,333720,-0.0181000009179115,33571,-0.0473800003528595,87765,-0.029279999434948,54194,-0.0314900018274784,58406,-0.0133899999782443,24835,-0.114260002970695,211855,-0.096160002052784,178284,-0.136639997363091,253357,-0.118539996445179,219786,-14111,-34457,-20346,-24604,-10493,-102481,-88370,-178455,-164344,0.0125895028473057
"413","E02003664","Aylesbury Vale 013",2805,5,86,116,64,19,1750,170,62,518,15,176.339996337891,114.339996337891,485.324005126953,-32.6759986877441,1686.67004394531,-63.3300018310547,108.394996643066,46.3950004577637,505.851989746094,-12.1479997634888,1724.38305664062,-25.617000579834,688.718994140625,626.718994140625,325.424987792969,-192.574996948242,1414.22094726562,-335.778991699219,818.640014648438,756.640014648438,307.201995849609,-210.798004150391,1325.2919921875,-424.7080078125,-0.0152000002563,28189,-0.0394299998879433,73103,-0.0242299996316433,44914,-0.0247099995613098,45826,-0.00951000023633242,17637,-0.0987100005149841,183093,-0.0835099965333939,154904,-0.0961500033736229,178341,-0.0809499993920326,150152,-0.00886000040918589,16431,-0.0235500000417233,43653,-0.0146899996325374,27222,-0.0144999995827675,26896,-0.00564000010490417,10465,-0.0644199997186661,119477,-0.0555600002408028,103046,-0.06666000187397,123634,-0.0577999986708164,107203,-8731,-23206,-14475,-14943,-6212,-69672,-60941,-112338,-103607,0.0077435961964024
"531","E02003705","Wycombe 010",3096,19,235,230,23,26,1907,203,21,411,21,77.9020004272461,56.9020004272461,400.230987548828,-10.7690000534058,1873.09497070312,-33.9049987792969,36.3689994812012,15.3690004348755,407.272003173828,-3.7279999256134,1898.51196289062,-8.48799991607666,382.536010742188,361.536010742188,334.845001220703,-76.1549987792969,1699.38793945312,-207.611999511719,668.875,647.875,281.622985839844,-129.376998901367,1527.4990234375,-379.501007080078,-0.00461000017821789,8550,-0.0207100007683039,38362,-0.016100000590086,29812,-0.00722000002861023,13385,-0.00261000008322299,4835,-0.0840800032019615,155932,-0.0794700011610985,147382,-0.100550003349781,186482,-0.095940001308918,177932,-0.00298000010661781,5519,-0.012699999846518,23492,-0.00972000043839216,17973,-0.0046700001694262,8661,-0.00170000002253801,3142,-0.0550399981439114,102047,-0.0520699992775917,96528,-0.0689200013875961,127797,-0.0659400001168251,122278,-3378,-14549,-11171,-5617,-2239,-58387,-55009,-121076,-117698,0.0299954363169455
"550","E02003674","Aylesbury Vale 023",2181,8,159,32,3,14,1744,100,34,73,14,73.7190017700195,39.7190017700195,70.0979995727539,-2.90199995040894,1711.24096679688,-32.7589988708496,59.3160018920898,25.3159999847412,71.2269973754883,-1.77300000190735,1722.98596191406,-21.0139999389648,233.464996337891,199.464996337891,55.8160018920898,-17.1840000152588,1582.32702636719,-161.673004150391,352.656005859375,318.656005859375,50.806999206543,-22.193000793457,1480.04296875,-263.957000732422,-0.0289900004863739,53784,-0.0520199984312057,96473,-0.023029999807477,42689,-0.0473299995064735,87796,-0.0183400008827448,34012,-0.102439999580383,190022,-0.0734499990940094,136238,-0.131180003285408,243341,-0.102190002799034,189557,-0.015599999576807,28935,-0.0288699995726347,53517,-0.0132699999958277,24582,-0.0255399998277426,47374,-0.00994000025093555,18439,-0.0616099983453751,114267,-0.046009998768568,85332,-0.0830599963665009,154057,-0.0674600005149841,125122,-16099,-29128,-13029,-27996,-11897,-63959,-47860,-120252,-104153,0.0147846198617236
"692","E02003694","South Bucks 007",3694,13,259,80,23,36,2763,199,81,234,6,210.335998535156,129.335998535156,222.708999633789,-11.2910003662109,2663.7880859375,-99.2119979858398,169.154998779297,88.1549987792969,226.889007568359,-7.11100006103516,2695.01391601562,-67.9860000610352,730.997985839844,649.997985839844,164.014999389648,-69.9850006103516,2275.05395507812,-487.946014404297,975.044982910156,894.044982910156,152.289001464844,-81.7109985351562,2077.3330078125,-685.6669921875,-0.048470001667738,89913,-0.126530006527901,234639,-0.0780600011348724,144726,-0.0972800031304359,180450,-0.048810001462698,90537,-0.295670002698898,548459,-0.24719999730587,458546,-0.308389991521835,572043,-0.259920001029968,482130,-0.0296400003135204,54966,-0.0775099992752075,143689,-0.0478699989616871,88723,-0.060819998383522,112818,-0.031190000474453,57852,-0.187649995088577,348024,-0.158010005950928,293058,-0.200540006160736,371938,-0.170900002121925,316972,-20952,-54576,-33624,-43098,-22146,-163573,-142621,-258974,-238022,0.0169041672304888
"717","E02003477","Milton Keynes 019",5387,18,349,234,55,27,3891,375,130,290,18,291.511993408203,161.511001586914,277.470001220703,-12.5299997329712,3769.39404296875,-121.606002807617,225.966995239258,95.9670028686523,283.06201171875,-6.93800020217896,3818.18188476562,-72.818000793457,993.442016601562,863.442016601562,213.985992431641,-76.0139999389648,3250.32104492188,-640.679016113281,1430.55505371094,1300.55505371094,192.227005004883,-97.7730026245117,2910.0380859375,-980.961975097656,-0.0593199990689754,110044,-0.136329993605614,252881,-0.0770099982619286,142837,-0.0956400036811829,177407,-0.0363099984824657,67363,-0.482540011405945,895197,-0.423209995031357,785153,-0.501030027866364,929511,-0.441709995269775,819467,-0.0379800014197826,70447,-0.0868100002408028,161010,-0.0488400012254715,90563,-0.0616700015962124,114395,-0.0236900001764297,43948,-0.312590003013611,579905,-0.274610012769699,509458,-0.328920006752014,610191,-0.29093998670578,539744,-29025,-67385,-38360,-49719,-20694,-213792,-184767,-343499,-314474,0.0153997262496735
