"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"156665",1,1,1,4.102,1748,129,19,0.00463,765,55,8631,"E02003411 E02003416",129
"156681",1,1,1,7.999,4016,127,126,0.01575,1491,171,16613,"E02003411 E02003689",127
"156682",1,1,1,9.887,4500,172,94,0.00951,1843,157,68234,"E02003411 E02003690",172
"156683",1,1,1,7.434,3462,141,58,0.0078,1386,138,15062,"E02003411 E02003691",141
"156684",1,1,1,3.667,1742,88,24,0.00654,684,68,7030,"E02003411 E02003692",88
"156685",1,1,1,7.814,3566,175,51,0.00653,1457,127,13263,"E02003411 E02003693",175
"156686",1,1,1,7.865,3472,169,53,0.00674,1466,119,12648,"E02003411 E02003694",169
"156687",1,1,1,6.179,2850,129,54,0.00874,1152,105,42059,"E02003411 E02003695",129
"156688",1,1,1,21.753,11060,450,403,0.01853,4055,454,51088,"E02003411 E02003710",450
"156689",1,1,1,14.677,6636,310,204,0.0139,2736,265,31618,"E02003411 E02003714",310
"156967",1,1,1,17.152,7782,364,179,0.01044,3197,313,64618,"E02003416 E02003688",364
"156968",1,1,1,10.056,4446,205,89,0.00885,1875,158,41590,"E02003416 E02003690",205
"156969",1,1,1,6.717,2916,205,37,0.00551,1252,109,13763,"E02003416 E02003692",205
"156970",1,1,1,9.888,4446,249,64,0.00647,1843,155,30558,"E02003416 E02003693",249
"156971",1,1,1,9.939,4352,243,66,0.00664,1853,147,29943,"E02003416 E02003694",243
"156972",1,1,1,3.503,1568,114,23,0.00657,653,65,6984,"E02003416 E02003695",114
"156973",1,1,1,24.234,12182,493,404,0.01667,4517,480,71133,"E02003416 E02003710",493
"159012",1,1,1,10.621,5500,224,195,0.01836,1980,195,21893,"E02003459 E02003460",224
"159013",1,1,1,10.669,4514,269,121,0.01134,1989,161,26693,"E02003459 E02003461",269
"159014",1,1,1,9.445,3934,226,113,0.01196,1761,139,24579,"E02003459 E02003462",226
"159015",1,1,1,12.53,5422,340,140,0.01117,2336,200,28727,"E02003459 E02003463",340
"159016",1,1,1,12.729,5370,304,130,0.01021,2373,194,29267,"E02003459 E02003465",304
"159017",1,1,1,16.151,7416,403,301,0.01864,3011,291,34536,"E02003459 E02003466",403
"159018",1,1,1,13.687,6096,321,155,0.01132,2551,225,71646,"E02003459 E02003467",321
"159019",1,1,1,17.937,8050,423,313,0.01745,3344,311,37482,"E02003459 E02003468",423
"159020",1,1,1,17.009,7528,407,226,0.01329,3171,286,34627,"E02003459 E02003470",407
"159021",1,1,1,15.636,7152,396,180,0.01151,2915,267,61619,"E02003459 E02003472",396
"159022",1,1,1,17.931,7930,491,251,0.014,3343,300,35795,"E02003459 E02003473",491
"159023",1,1,1,15.52,6430,397,140,0.00902,2893,226,35643,"E02003459 E02003475",397
"159024",1,1,1,16.659,7292,448,196,0.01177,3105,275,36529,"E02003459 E02003476",448
"159025",1,1,1,19.99,8820,514,253,0.01266,3726,334,60820,"E02003459 E02003477",514
"159026",1,1,1,18.644,8076,487,229,0.01228,3475,301,52908,"E02003459 E02003478",487
