"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",12,30.14,19.59,67.87,162.03,6,24.12,6,107.02,127.48,1
"2",10,24.46,16.73,49.04,122.35,6,24.12,6,107.02,127.48,1
"3",2,6.18,2.86,19.89,44.26,6,24.12,6,107.02,127.48,1
"4",10,18.89,24.4,41.68,87.43,12,32.4,21.84,133.17,171.14999,1
"5",10,17.07,23.4,34.01,69.26,NA,NA,NA,NA,NA,0
"6",4,7.5,5.96,13.81,31.85,NA,NA,NA,NA,NA,0
"7",1,2.09,1.86,4.27,12.58,NA,NA,NA,NA,NA,0
"8",1,4.09,1,15.62,31.68,NA,NA,NA,NA,NA,0
"9",5,12.15,7.62,28.05,62.63,6,24.12,6,107.02,127.48,1
"10",7,14.63,11.77,23.37,63.78,6,24.12,6,107.02,127.48,1
"11",12,31.47,22.23,87.92,186.93,12,32.4,21.84,133.17,171.14999,1
"12",10,24.36,17.84,66.19,134.94,8,18.26,13.5,71.75,85.39,1
"13",1,7.11,1,31.82,52.01,NA,NA,NA,NA,NA,0
"14",9,17.25,16.84,34.37,82.93,8,18.26,13.5,71.75,85.39,1
"15",1,4.65,1.66,14.24,30.78,NA,NA,NA,NA,NA,0
"16",8,14.48,20.92,31.51,64.48,NA,NA,NA,NA,NA,0
"17",2,2.59,2.48,2.5,4.78,20,48.63,31.27,202,256.92001,1
"18",8,14.23,20.92,30.94,62.42,14,36.31,14.53,153.98,193.52,1
"19",0,0.25,0,0.57,2.06,14,36.31,14.53,153.98,193.52,1
"20",9,23.33,18.73,72.49,141.62,12,32.4,21.84,133.17,171.14999,1
"21",3,8.14,3.5,15.43,45.31,12,32.4,21.84,133.17,171.14999,1
"22",36,78.43,72.43,311.36001,442.98,14,36.31,14.53,153.98,193.52,1
"23",28,64.2,51.51,280.42001,380.56,NA,NA,NA,NA,NA,0
"24",36,78.68,72.43,311.93001,445.04,14,36.31,14.53,153.98,193.52,1
"25",4,8.38,5.09,20.69,41.5,20,48.63,31.27,202,256.92001,1
"26",28,61,51.38,264.73001,348.62,20,48.63,31.27,202,256.92001,1
"27",2,5.79,2.61,18.19,36.72,20,48.63,31.27,202,256.92001,1
"28",7,22.26,12.85,79.15,150.39,20,48.63,31.27,202,256.92001,1
"29",9,28.05,15.46,97.34,187.11001,NA,NA,NA,NA,NA,0
"30",7,17.31,12.85,54.43,103.05,20,48.63,31.27,202,256.92001,1
"31",0,4.95,0,24.72,47.34,20,48.63,31.27,202,256.92001,1
"32",2,4.93,4.75,12.52,27.07,14,36.31,14.53,153.98,193.52,1
"33",5,17.01,9.59,42.8,110.28,20,48.63,31.27,202,256.92001,1
"34",1,1.16,1.33,1.19,2.03,NA,NA,NA,NA,NA,0
"35",2,3.25,3.19,5.46,14.61,14,42.18,24.34,167.31,178.97,1
