"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"62","E02003464","Milton Keynes 006",2931,6,80,290,60,27,1876,269,115,194,14,217.896,102.896,185.37,-8.63,1810.62,-65.38,190.90199,75.902,184.507,-9.493,1829.849,-46.151,640.98798,525.98798,144.55499,-49.445,1548.953,-327.047,890.40802,775.40802,126.489,-67.511,1383.35205,-492.64801,-0.04893,90758,-0.091,168780,-0.04208,78022,-0.07263,134727,-0.02371,43969,-0.27238,505302,-0.22345,414544,-0.27912,517794,-0.23019,427036,-0.02952,54753,-0.05618,104170,-0.02666,49417,-0.04432,82201,-0.0148,27448,-0.17456,323797,-0.14504,269044,-0.18175,337142,-0.15223,282389,-22649,-41096,-18447,-34947,-12298,-107377,-84728,-164238,-141589,0.01548
"177","E02003671","Aylesbury Vale 020",2995,9,72,240,52,16,2074,213,74,230,15,203.92999,129.92999,214.418,-15.582,1992.00098,-81.999,128.209,54.209,223.414,-6.586,2039.34595,-34.654,721.50897,647.50897,145.485,-84.515,1674.79602,-399.20401,877.71899,803.71899,136.136,-93.864,1559.81897,-514.18103,-0.02991,55487,-0.07424,137687,-0.04432,82200,-0.04479,83087,-0.01488,27600,-0.19527,362234,-0.16535,306747,-0.19178,355761,-0.16186,300274,-0.01847,34250,-0.04572,84782,-0.02726,50532,-0.02815,52210,-0.00968,17960,-0.12481,231516,-0.10635,197266,-0.12603,233777,-0.10756,199527,-15189,-37606,-22417,-23954,-8765,-109485,-94296,-167784,-152595,0.00934
"286","E02003686","Chiltern 011",2833,118,225,18,10,16,2118,94,22,198,14,73.927,51.927,191.132,-6.868,2077.41602,-40.585,39.394,17.394,197.10201,-0.898,2103.00488,-14.995,309.51099,287.51099,148.27901,-49.721,1905.19604,-212.804,509.34,487.34,129.52499,-68.475,1741.14697,-376.853,-0.01145,21229,-0.04385,81247,-0.0324,60018,-0.02008,37244,-0.00863,16015,-0.11739,217689,-0.10595,196460,-0.15644,290143,-0.145,268914,-0.00693,12853,-0.02607,48244,-0.01914,35391,-0.01243,23054,-0.0055,10201,-0.07386,136924,-0.06693,124071,-0.10271,190456,-0.09578,177603,-6038,-23562,-17524,-12826,-6788,-79419,-73381,-165587,-159549,0.01888
"394","E02003703","Wycombe 008",3609,24,315,219,12,22,2263,173,43,521,17,90.021,47.021,512.54901,-8.451,2232.29199,-30.708,75.337,32.337,515.28101,-5.719,2241.71899,-21.281,330.854,287.854,456.659,-64.341,2086.62891,-176.371,680.24298,637.24298,378.57599,-142.424,1873.849,-389.151,-0.01228,22771,-0.02765,51231,-0.01537,28460,-0.0211,39129,-0.00882,16358,-0.07834,145273,-0.06606,122502,-0.10604,196672,-0.09376,173901,-0.00798,14802,-0.01704,31532,-0.00905,16730,-0.01365,25306,-0.00567,10504,-0.05045,93526,-0.04247,78724,-0.07211,133710,-0.06412,118908,-8668,-19732,-11064,-15880,-7212,-57588,-48920,-133191,-124523,0.03454
"398","E02003690","South Bucks 003",2735,133,190,110,10,35,1933,100,47,167,10,121.562,74.562,157.645,-9.355,1880.02295,-52.977,71.575,24.575,164.968,-2.032,1914.55396,-18.446,420.397,373.397,114.001,-52.999,1670.79004,-262.20999,616.92999,569.92999,101.619,-65.381,1521.05505,-411.94501,-0.03089,57292,-0.07971,147737,-0.04882,90445,-0.05302,98354,-0.02214,41062,-0.18169,336957,-0.15081,279665,-0.21083,391012,-0.17994,333720,-0.0181,33571,-0.04738,87765,-0.02928,54194,-0.03149,58406,-0.01339,24835,-0.11426,211855,-0.09616,178284,-0.13664,253357,-0.11854,219786,-14111,-34457,-20346,-24604,-10493,-102481,-88370,-178455,-164344,0.01259
"413","E02003664","Aylesbury Vale 013",2805,5,86,116,64,19,1750,170,62,518,15,176.34,114.34,485.32401,-32.676,1686.67004,-63.33,108.395,46.395,505.85199,-12.148,1724.38306,-25.617,688.71899,626.71899,325.42499,-192.575,1414.22095,-335.77899,818.64001,756.64001,307.202,-210.798,1325.29199,-424.70801,-0.0152,28189,-0.03943,73103,-0.02423,44914,-0.02471,45826,-0.00951,17637,-0.09871,183093,-0.08351,154904,-0.09615,178341,-0.08095,150152,-0.00886,16431,-0.02355,43653,-0.01469,27222,-0.0145,26896,-0.00564,10465,-0.06442,119477,-0.05556,103046,-0.06666,123634,-0.0578,107203,-8731,-23206,-14475,-14943,-6212,-69672,-60941,-112338,-103607,0.00774
"531","E02003705","Wycombe 010",3096,19,235,230,23,26,1907,203,21,411,21,77.902,56.902,400.23099,-10.769,1873.09497,-33.905,36.369,15.369,407.272,-3.728,1898.51196,-8.488,382.53601,361.53601,334.845,-76.155,1699.38794,-207.612,668.875,647.875,281.62299,-129.377,1527.49902,-379.50101,-0.00461,8550,-0.02071,38362,-0.0161,29812,-0.00722,13385,-0.00261,4835,-0.08408,155932,-0.07947,147382,-0.10055,186482,-0.09594,177932,-0.00298,5519,-0.0127,23492,-0.00972,17973,-0.00467,8661,-0.0017,3142,-0.05504,102047,-0.05207,96528,-0.06892,127797,-0.06594,122278,-3378,-14549,-11171,-5617,-2239,-58387,-55009,-121076,-117698,0.03
"550","E02003674","Aylesbury Vale 023",2181,8,159,32,3,14,1744,100,34,73,14,73.719,39.719,70.098,-2.902,1711.24097,-32.759,59.316,25.316,71.227,-1.773,1722.98596,-21.014,233.465,199.465,55.816,-17.184,1582.32703,-161.673,352.65601,318.65601,50.807,-22.193,1480.04297,-263.957,-0.02899,53784,-0.05202,96473,-0.02303,42689,-0.04733,87796,-0.01834,34012,-0.10244,190022,-0.07345,136238,-0.13118,243341,-0.10219,189557,-0.0156,28935,-0.02887,53517,-0.01327,24582,-0.02554,47374,-0.00994,18439,-0.06161,114267,-0.04601,85332,-0.08306,154057,-0.06746,125122,-16099,-29128,-13029,-27996,-11897,-63959,-47860,-120252,-104153,0.01478
"692","E02003694","South Bucks 007",3694,13,259,80,23,36,2763,199,81,234,6,210.336,129.336,222.709,-11.291,2663.78809,-99.212,169.155,88.155,226.88901,-7.111,2695.01392,-67.986,730.99799,649.99799,164.015,-69.985,2275.05396,-487.94601,975.04498,894.04498,152.289,-81.711,2077.33301,-685.66699,-0.04847,89913,-0.12653,234639,-0.07806,144726,-0.09728,180450,-0.04881,90537,-0.29567,548459,-0.2472,458546,-0.30839,572043,-0.25992,482130,-0.02964,54966,-0.07751,143689,-0.04787,88723,-0.06082,112818,-0.03119,57852,-0.18765,348024,-0.15801,293058,-0.20054,371938,-0.1709,316972,-20952,-54576,-33624,-43098,-22146,-163573,-142621,-258974,-238022,0.0169
"717","E02003477","Milton Keynes 019",5387,18,349,234,55,27,3891,375,130,290,18,291.51199,161.511,277.47,-12.53,3769.39404,-121.606,225.967,95.967,283.06201,-6.938,3818.18188,-72.818,993.44202,863.44202,213.98599,-76.014,3250.32104,-640.67902,1430.55505,1300.55505,192.22701,-97.773,2910.03809,-980.96198,-0.05932,110044,-0.13633,252881,-0.07701,142837,-0.09564,177407,-0.03631,67363,-0.48254,895197,-0.42321,785153,-0.50103,929511,-0.44171,819467,-0.03798,70447,-0.08681,161010,-0.04884,90563,-0.06167,114395,-0.02369,43948,-0.31259,579905,-0.27461,509458,-0.32892,610191,-0.29094,539744,-29025,-67385,-38360,-49719,-20694,-213792,-184767,-343499,-314474,0.0154
