"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",0,0,0,0,0,159,211.61,193.28999,348.32999,433.56,1
"2",0,0,0,0,0,159,211.61,193.28999,348.32999,433.56,1
"3",0,0,0,0,0,159,211.61,193.28999,348.32999,433.56,1
"4",0,0,0,0,0,159,211.61,193.28999,348.32999,433.56,1
"5",0,0,0,0,0,159,211.61,193.28999,348.32999,433.56,1
"6",3,4.62,4.08,6.11,13.05,159,211.61,193.28999,348.32999,433.56,1
"7",0,0,0,0,0,159,211.61,193.28999,348.32999,433.56,1
"8",0,0,0,0,0,159,211.61,193.28999,348.32999,433.56,1
"9",0,0,0,0,0,159,211.61,193.28999,348.32999,433.56,1
"10",0,0,0,0,0,159,211.61,193.28999,348.32999,433.56,1
"11",0,0,0,0,0,159,211.61,193.28999,348.32999,433.56,1
"12",0,0,0,0,0,159,211.61,193.28999,348.32999,433.56,1
"13",0,0,0,0,0,159,211.61,193.28999,348.32999,433.56,1
"14",1,1.46,2.08,1.55,3.79,159,211.61,193.28999,348.32999,433.56,1
"15",2,3.16,2,4.56,9.26,159,211.61,193.28999,348.32999,433.56,1
"16",2,3.35,2,5.04,10.81,159,211.61,193.28999,348.32999,433.56,1
"17",19,31.81,31.69,43.92,113.11,159,211.61,193.28999,348.32999,433.56,1
"18",21,35.16,33.69,48.96,123.92,159,211.61,193.28999,348.32999,433.56,1
"19",1,1.46,2.08,1.55,3.79,159,211.61,193.28999,348.32999,433.56,1
"20",22,36.62,35.77,50.51,127.71,159,211.61,193.28999,348.32999,433.56,1
"21",3,4.81,4.08,6.59,14.6,159,211.61,193.28999,348.32999,433.56,1
"22",0,0.19,0,0.48,1.55,159,211.61,193.28999,348.32999,433.56,1
"23",0,0.19,0,0.48,1.55,159,211.61,193.28999,348.32999,433.56,1
"24",22,36.43,35.77,50.03,126.16,159,211.61,193.28999,348.32999,433.56,1
"25",19,32,31.69,44.4,114.66,159,211.61,193.28999,348.32999,433.56,1
"26",0,0,0,0,0,159,211.61,193.28999,348.32999,433.56,1
"27",19,31.81,31.69,43.92,113.11,159,211.61,193.28999,348.32999,433.56,1
"28",1,3.54,2.02,8.28,23.11,159,211.61,193.28999,348.32999,433.56,1
"29",1,3.54,2.02,8.28,23.11,NA,NA,NA,NA,NA,0
"30",0,0.19,0,0.48,1.55,159,211.61,193.28999,348.32999,433.56,1
"31",18,28.27,29.67,35.64,90,159,211.61,193.28999,348.32999,433.56,1
"32",2,3.16,2,4.56,9.26,NA,NA,NA,NA,NA,0
"33",1,1.46,2.08,1.55,3.79,NA,NA,NA,NA,NA,0
"34",18,28.46,29.67,36.12,91.55,NA,NA,NA,NA,NA,0
"35",0,0.19,0,0.48,1.55,61,102.24,92.23,277.76999,292.13,1
"36",18,28.27,29.67,35.64,90,61,102.24,92.23,277.76999,292.13,1
"37",0,0.83,0,2.34,7.09,61,102.24,92.23,277.76999,292.13,1
"38",0,0.64,0,1.86,5.54,61,102.24,92.23,277.76999,292.13,1
"39",0,0.64,0,1.86,5.54,61,102.24,92.23,277.76999,292.13,1
"40",0,0.19,0,0.48,1.55,61,102.24,92.23,277.76999,292.13,1
"41",0,0,0,0,0,61,102.24,92.23,277.76999,292.13,1
