"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"149566",1,1,1,3.453,1622,92,9,0.00261,644,45,5488,"E02003237 E02003238"
"149567",1,1,1,5.548,3222,173,26,0.00469,1034,78,8719,"E02003237 E02003239"
"149568",1,1,1,20.82,9732,372,208,0.00999,3881,341,41021,"E02003237 E02003240"
"149569",1,1,1,12.064,4842,214,19,0.00157,2249,154,16237,"E02003237 E02003241"
"149570",1,1,1,4.492,2146,169,20,0.00445,837,62,6992,"E02003237 E02003242"
"149571",1,1,1,7.201,3054,223,19,0.00264,1342,97,10100,"E02003237 E02003243"
"149572",1,1,1,6.846,3240,268,35,0.00511,1276,103,10120,"E02003237 E02003245"
"149573",1,1,1,6.609,3090,291,26,0.00393,1232,94,9635,"E02003237 E02003246"
"149574",1,1,1,7.281,3436,306,34,0.00467,1357,110,10429,"E02003237 E02003247"
"149575",1,1,1,7.931,3574,314,28,0.00353,1478,109,11364,"E02003237 E02003248"
"149576",1,1,1,10.542,4274,268,25,0.00237,1965,140,13885,"E02003237 E02003249"
"149577",1,1,1,8.895,3980,381,29,0.00326,1658,121,11962,"E02003237 E02003250"
"149578",1,1,1,9.283,4350,374,43,0.00463,1730,134,12586,"E02003237 E02003251"
"149579",1,1,1,10.762,4676,554,40,0.00372,2006,144,13473,"E02003237 E02003252"
"149580",1,1,1,11.567,5500,492,53,0.00458,2156,156,15860,"E02003237 E02003253"
"149581",1,1,1,13.173,6242,531,85,0.00645,2456,190,16954,"E02003237 E02003254"
"149582",1,1,1,13.082,6148,545,59,0.00451,2439,179,17149,"E02003237 E02003255"
"149583",1,1,1,14.011,6546,558,85,0.00607,2612,205,19100,"E02003237 E02003257"
"149585",1,1,1,18.657,8282,684,50,0.00268,3478,242,22109,"E02003237 E02003747"
"149586",1,1,1,22.784,10658,784,58,0.00255,4247,293,26850,"E02003237 E02003749"
"149587",1,1,1,18.417,9266,787,101,0.00548,3433,264,25569,"E02003237 E02003753"
"149588",1,1,1,21.708,10820,789,175,0.00806,4047,321,27640,"E02003237 E02003754"
"149598",1,1,1,13.149,6162,537,81,0.00616,2451,189,17916,"E02003237 E02006877"
"149599",1,1,1,14.819,7104,621,81,0.00547,2762,211,20352,"E02003237 E02006878"
"149601",1,1,1,2.571,1780,106,17,0.00661,479,39,3827,"E02003238 E02003239"
"149602",1,1,1,24.229,10852,464,217,0.00896,4517,385,46295,"E02003238 E02003240"
"149603",1,1,1,10.599,4032,176,12,0.00113,1976,134,14646,"E02003238 E02003241"
"149604",1,1,1,2.211,940,88,7,0.00317,412,31,2979,"E02003238 E02003242"
"149605",1,1,1,4.191,1734,139,6,0.00143,781,57,5490,"E02003238 E02003243"
"149606",1,1,1,5.237,2118,134,7,0.00134,976,71,6597,"E02003238 E02003244"
"149607",1,1,1,5.125,2270,190,28,0.00546,955,79,6960,"E02003238 E02003245"
"149608",1,1,1,4.492,1902,130,11,0.00245,837,63,6296,"E02003238 E02003246"
"149609",1,1,1,5.56,2466,228,27,0.00486,1036,87,7269,"E02003238 E02003247"
"149610",1,1,1,5.528,2452,155,11,0.00199,1030,75,7690,"E02003238 E02003248"
"149611",1,1,1,7.532,2954,184,12,0.00159,1404,99,9275,"E02003238 E02003249"
"149612",1,1,1,6.845,2714,171,8,0.00117,1276,90,9233,"E02003238 E02003250"
"149613",1,1,1,7.562,3380,296,36,0.00476,1410,111,9426,"E02003238 E02003251"
"149614",1,1,1,8.645,3488,393,25,0.00289,1612,113,10134,"E02003238 E02003252"
"149615",1,1,1,9.45,4312,331,38,0.00402,1762,125,12521,"E02003238 E02003253"
"149616",1,1,1,11.452,5272,453,78,0.00681,2135,166,13794,"E02003238 E02003254"
"149617",1,1,1,10.965,4960,384,44,0.00401,2044,147,13810,"E02003238 E02003255"
"149618",1,1,1,12.29,5576,480,78,0.00635,2291,181,15940,"E02003238 E02003257"
"149619",1,1,1,16.516,6558,392,27,0.00163,3079,209,19349,"E02003238 E02003747"
"149620",1,1,1,20.643,8934,492,35,0.0017,3848,260,24090,"E02003238 E02003749"
"149621",1,1,1,17.343,8196,814,72,0.00415,3233,245,21459,"E02003238 E02003753"
"149622",1,1,1,19.987,9850,711,168,0.00841,3726,298,24480,"E02003238 E02003754"
"149628",1,1,1,11.328,4776,520,44,0.00388,2112,158,13345,"E02003238 E02006877"
"149629",1,1,1,13.745,6034,648,52,0.00378,2562,191,16242,"E02003238 E02006878"
"149632",1,1,1,25.806,11284,620,304,0.01178,4811,421,48714,"E02003239 E02003240"
"149633",1,1,1,9.699,3686,273,33,0.0034,1808,126,12336,"E02003239 E02003241"
"149634",1,1,1,1.895,916,77,24,0.01266,353,28,2947,"E02003239 E02003242"
"149635",1,1,1,1.878,742,76,9,0.00479,350,26,2448,"E02003239 E02003243"
"149636",1,1,1,3.431,1340,111,12,0.0035,640,48,4611,"E02003239 E02003244"
"149637",1,1,1,4.762,2218,182,41,0.00861,888,75,6820,"E02003239 E02003245"
"149638",1,1,1,3.728,1500,132,18,0.00483,695,53,5788,"E02003239 E02003246"
"149639",1,1,1,5.197,2414,220,40,0.0077,969,83,7129,"E02003239 E02003247"
"149640",1,1,1,4.278,1660,123,14,0.00327,797,58,5867,"E02003239 E02003248"
"149641",1,1,1,5.726,2176,161,17,0.00297,1067,75,7289,"E02003239 E02003249"
"149642",1,1,1,5.039,1936,148,13,0.00258,939,67,7247,"E02003239 E02003250"
"149643",1,1,1,7.199,3328,288,49,0.00681,1342,107,9286,"E02003239 E02003251"
"149644",1,1,1,7.447,3288,233,24,0.00322,1388,92,9855,"E02003239 E02003252"
"149645",1,1,1,7.969,3548,243,37,0.00464,1486,105,11662,"E02003239 E02003253"
"149646",1,1,1,11.089,5220,445,91,0.00821,2067,162,13654,"E02003239 E02003254"
"149647",1,1,1,9.785,3880,269,41,0.00419,1824,131,12972,"E02003239 E02003255"
"149648",1,1,1,11.928,5358,427,61,0.00511,2224,170,15349,"E02003239 E02003257"
"149651",1,1,1,14.71,5780,369,32,0.00218,2742,186,17363,"E02003239 E02003747"
"149652",1,1,1,18.837,8156,469,40,0.00212,3511,237,22104,"E02003239 E02003749"
"149653",1,1,1,16.145,7996,654,71,0.0044,3010,225,21180,"E02003239 E02003753"
"149654",1,1,1,19.624,9798,703,181,0.00922,3658,294,24340,"E02003239 E02003754"
"149662",1,1,1,10.13,4576,360,43,0.00424,1888,138,13066,"E02003239 E02006877"
"149663",1,1,1,12.547,5834,488,51,0.00406,2339,171,15963,"E02003239 E02006878"
"149668",1,1,1,36.425,20752,800,431,0.01183,6790,511,50046,"E02003240 E02003241"
"149669",1,1,1,23.898,9586,544,280,0.01172,4455,319,40321,"E02003240 E02003242"
"149670",1,1,1,26.393,10900,663,289,0.01095,4920,355,43524,"E02003240 E02003243"
"149671",1,1,1,24.114,9764,555,283,0.01174,4495,330,40724,"E02003240 E02003245"
"149672",1,1,1,25.272,10300,585,288,0.0114,4711,343,41817,"E02003240 E02003246"
"149673",1,1,1,23.762,9604,474,270,0.01136,4429,326,39741,"E02003240 E02003247"
"149674",1,1,1,26.642,10792,632,288,0.01081,4966,357,43252,"E02003240 E02003248"
"149675",1,1,1,23.469,13704,596,277,0.0118,4375,318,45771,"E02003240 E02003249"
"149676",1,1,1,30.257,18516,625,421,0.01391,5640,435,42990,"E02003240 E02003250"
"149677",1,1,1,18.32,11786,432,259,0.01414,3415,254,38846,"E02003240 E02003251"
"149678",1,1,1,27.928,16750,436,410,0.01468,5206,387,40107,"E02003240 E02003252"
"149679",1,1,1,28.916,17396,509,405,0.01401,5390,408,42139,"E02003240 E02003253"
"149680",1,1,1,24.344,15466,367,385,0.01581,4538,347,36217,"E02003240 E02003254"
"149681",1,1,1,23.618,15144,321,373,0.01579,4403,341,35746,"E02003240 E02003257"
"149682",1,1,1,25.263,15036,353,419,0.01659,4709,372,38641,"E02003240 E02003754"
"149689",1,1,1,25.511,16076,433,393,0.01541,4756,368,37543,"E02003240 E02006877"
"149693",1,1,1,10.062,4150,243,35,0.00348,1876,135,12568,"E02003241 E02003242"
"149694",1,1,1,9.142,3550,228,32,0.0035,1704,124,11605,"E02003241 E02003243"
"149695",1,1,1,6.1,2392,174,19,0.00311,1137,85,8286,"E02003241 E02003244"
"149696",1,1,1,9.774,4032,315,30,0.00307,1822,139,12716,"E02003241 E02003245"
"149697",1,1,1,7.537,2948,186,21,0.00279,1405,105,11171,"E02003241 E02003246"
"149698",1,1,1,10.508,4350,350,31,0.00295,1959,150,13453,"E02003241 E02003247"
"149699",1,1,1,6.425,3058,176,19,0.00296,1198,89,9039,"E02003241 E02003248"
"149700",1,1,1,4.646,1822,127,18,0.00387,866,65,6151,"E02003241 E02003249"
"149701",1,1,1,6.791,2642,184,22,0.00324,1266,93,8444,"E02003241 E02003250"
"149702",1,1,1,10.045,4068,260,42,0.00418,1872,140,12977,"E02003241 E02003251"
"149703",1,1,1,8.698,3720,261,21,0.00241,1621,110,10273,"E02003241 E02003252"
"149704",1,1,1,8.503,3286,231,32,0.00376,1585,114,10664,"E02003241 E02003253"
"149705",1,1,1,13.623,6182,422,54,0.00396,2539,186,16008,"E02003241 E02003254"
"149706",1,1,1,13.179,5790,455,58,0.0044,2457,187,15767,"E02003241 E02003257"
"149708",1,1,1,31.576,14190,878,36,0.00114,5886,404,36476,"E02003241 E02003746"
"149709",1,1,1,13.047,5414,510,13,0.001,2432,167,14649,"E02003241 E02003747"
"149710",1,1,1,17.174,7790,610,21,0.00122,3201,218,19390,"E02003241 E02003749"
"149711",1,1,1,14.644,5936,417,76,0.00519,2730,206,20861,"E02003241 E02003753"
"149712",1,1,1,21.036,10056,700,138,0.00656,3921,302,25422,"E02003241 E02003754"
