"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"23","E02003861","Cheshire East 009",2619,20,76,66,8,18,1811,140,65,404,11,128.792007446289,63.7919998168945,387.834991455078,-16.1650009155273,1772.42297363281,-38.5769996643066,99.2630004882812,34.2630004882812,394.446990966797,-9.55300045013428,1791.251953125,-19.7479991912842,413.195007324219,348.195007324219,301.470001220703,-102.529998779297,1614.86401367188,-196.136001586914,599.820983886719,534.820983886719,265.235992431641,-138.764007568359,1489.94897460938,-321.050994873047,-0.0298699997365475,55415,-0.061209999024868,113462,-0.0313300006091595,58047,-0.0453599989414215,84150,-0.0154900001361966,28735,-0.114239998161793,211874,-0.0843700021505356,156459,-0.148880004882812,276141,-0.119010001420975,220726,-0.0152300000190735,28252,-0.0326899997889996,60557,-0.0174599997699261,32305,-0.023590000346303,43752,-0.0083600003272295,15500,-0.0687000006437302,127378,-0.0534700006246567,99126,-0.0999400019645691,185327,-0.0847100019454956,157075,-12654,-26418,-13764,-19531,-6877,-60148,-47494,-124976,-112322,0.0169041879288564
"96","E02003805","Cheshire West and Chester 039",2490,4,47,93,12,18,1966,116,75,144,15,152.197998046875,77.197998046875,136.113998413086,-7.88600015640259,1908.37097167969,-57.6290016174316,139.669006347656,64.6689987182617,136.264999389648,-7.7350001335144,1919.74694824219,-46.2529983520508,454.144012451172,379.144012451172,98.5859985351562,-45.4140014648438,1689.23498535156,-276.765014648438,588.942993164062,513.942993164062,91.0759963989258,-52.923999786377,1581.79296875,-384.207000732422,-0.044829998165369,83164,-0.088409997522831,163987,-0.0435799993574619,80823,-0.0714699998497963,132595,-0.0266500003635883,49431,-0.205070003867149,380427,-0.160239994525909,297263,-0.204769998788834,379884,-0.159950003027916,296720,-0.0276200007647276,51243,-0.0546800009906292,101403,-0.0270600002259016,50160,-0.0442100018262863,82004,-0.0165800005197525,30761,-0.130989998579025,242979,-0.103359997272491,191736,-0.133599996566772,247837,-0.10598000138998,196594,-18003,-35846,-17843,-30105,-12102,-92668,-74665,-140992,-122989,0.0111114900272971
"127","E02003828","Cheshire East 037",2589,2,46,93,16,37,1607,257,148,375,8,253.712997436523,105.712997436523,354.942993164062,-20.056999206543,1540.873046875,-66.1269989013672,232.664001464844,84.6640014648438,359.93701171875,-15.0629997253418,1554.71704101562,-52.2830009460449,660.343017578125,512.343017578125,273.457000732422,-101.542999267578,1291.05395507812,-315.946014404297,834.442993164062,686.442993164062,248.921997070312,-126.078002929688,1174.10900878906,-432.890991210938,-0.0380799993872643,70631,-0.0780899971723557,144834,-0.0400100015103817,74203,-0.0640600025653839,118831,-0.0259799994528294,48200,-0.187800005078316,348382,-0.149719998240471,277751,-0.181050002574921,335864,-0.142979994416237,265233,-0.0242999996989965,45083,-0.049710001796484,92183,-0.0254100002348423,47100,-0.0415299981832504,77047,-0.017230000346899,31964,-0.122440002858639,227126,-0.0981400012969971,182043,-0.121119998395443,224674,-0.0968099981546402,179591,-16607,-33051,-16444,-27755,-11148,-88434,-71827,-131199,-114592,0.0125808036247293
"166","E02003845","Cheshire West and Chester 007",3588,7,96,208,46,29,2152,330,124,567,29,259.278015136719,135.27799987793,533.205993652344,-33.7939987182617,2079.22290039062,-72.7770004272461,194.582000732422,70.5820007324219,547.257995605469,-19.742000579834,2115.96801757812,-36.0330009460449,825.794982910156,701.794982910156,380.014007568359,-186.985992431641,1783.7060546875,-368.294006347656,1009.50500488281,885.505004882812,353.638000488281,-213.361999511719,1669.08996582031,-482.910003662109,-0.0477299988269806,88541,-0.0929400026798248,172369,-0.0452100001275539,83828,-0.0633099973201752,117440,-0.0155800003558397,28899,-0.202989995479584,376540,-0.155259996652603,287999,-0.200770005583763,372437,-0.153040006756783,283896,-0.0296800006181002,55048,-0.0590999983251095,109577,-0.0294199995696545,54529,-0.0394500009715557,73170,-0.00977000035345554,18122,-0.135690003633499,251688,-0.106020003557205,196640,-0.141969993710518,263333,-0.112300001084805,208285,-19205,-37344,-18139,-26656,-7451,-94248,-75043,-148259,-129054,0.00967781425446776
"208","E02002602","Warrington 013",3088,2,48,313,17,30,1760,281,155,471,11,320.832000732422,165.832000732422,438.822998046875,-32.1769981384277,1669.09899902344,-90.9010009765625,239.496994018555,84.4970016479492,454.207000732422,-16.7929992675781,1714.97094726562,-45.0289993286133,964.005981445312,809.005981445312,296.846984863281,-174.15299987793,1329.92504882812,-430.075012207031,1115.23303222656,960.232971191406,282.940002441406,-188.059997558594,1230.501953125,-529.497985839844,-0.06598000228405,122390,-0.12907999753952,239394,-0.0631100013852119,117004,-0.0933300033211708,173133,-0.0273599997162819,50743,-0.307339996099472,570127,-0.241359993815422,447737,-0.277779996395111,515281,-0.211799994111061,392891,-0.0396800003945827,73599,-0.0795700028538704,147545,-0.0399000011384487,73946,-0.0568099990487099,105377,-0.0171300005167723,31778,-0.19820000231266,367645,-0.158529996871948,294046,-0.183980002999306,341262,-0.144309997558594,267663,-22996,-44444,-21448,-33896,-10900,-112179,-89183,-156700,-133704,0.00683716759180754
"329","E02003878","Cheshire West and Chester 017",3496,13,53,36,8,25,2860,212,87,183,19,189.805999755859,102.805999755859,173.274002075195,-9.72599983215332,2779.84790039062,-80.1520004272461,166.039993286133,79.0400009155273,175.134002685547,-7.86600017547607,2798.43408203125,-61.5660018920898,586.989990234375,499.989990234375,129.248992919922,-53.7509994506836,2478.623046875,-381.377990722656,819.517028808594,732.517028808594,119.612998962402,-63.3870010375977,2282.05493164062,-577.945007324219,-0.0420700013637543,78041,-0.108879998326302,201930,-0.0668099969625473,123889,-0.0821899995207787,152477,-0.0401199981570244,74436,-0.270370006561279,501537,-0.228300005197525,423496,-0.33186000585556,615613,-0.289790004491806,537572,-0.0269799996167421,50053,-0.066200003027916,122744,-0.0392200015485287,72691,-0.0526899993419647,97735,-0.0256999991834164,47682,-0.170469999313354,316197,-0.143490001559258,266144,-0.216350004076958,401311,-0.189370006322861,351258,-18031,-46176,-28145,-37528,-19497,-127277,-109246,-237646,-219615,0.0131474818662088
"335","E02003858","Cheshire East 006",2674,7,200,29,7,7,1996,91,33,280,24,100.930000305176,67.9300003051758,266.011993408203,-13.9879999160767,1949.48803710938,-46.5120010375977,52.4869995117188,19.4869995117188,277.433013916016,-2.56699991226196,1980.90197753906,-15.0979995727539,397.587005615234,364.587005615234,185.805999755859,-94.1940002441406,1760.81005859375,-235.190002441406,562.997985839844,529.997985839844,175.240005493164,-104.76000213623,1626.958984375,-369.040985107422,-0.0269300006330013,49958,-0.0700599998235703,129877,-0.0431200005114079,79919,-0.0421199984848499,78132,-0.0151899997144938,28174,-0.163880005478859,303943,-0.136950001120567,253985,-0.21560999751091,399925,-0.188669994473457,349967,-0.0165400002151728,30670,-0.0417499989271164,77366,-0.0252199992537498,46696,-0.0258399993181229,47929,-0.00930999964475632,17259,-0.102870002388954,190745,-0.0863299965858459,160075,-0.141330003738403,262108,-0.124789997935295,231438,-10131,-28203,-18072,-16953,-6822,-81826,-71695,-161907,-151776,0.0138011982083836
"430","E02003838","Cheshire East 048",2721,2,62,58,2,14,2201,141,124,108,9,230.300003051758,106.300003051758,102.013000488281,-5.98699998855591,2112.05810546875,-88.9420013427734,214.84700012207,90.8470001220703,101.625,-6.375,2126.708984375,-74.2910003662109,610.210021972656,486.209991455078,77.4079971313477,-30.5919990539551,1797.72302246094,-403.277008056641,803.5830078125,679.5830078125,70.9550018310547,-37.0449981689453,1630.48498535156,-570.515014648438,-0.0660199970006943,122477,-0.12712000310421,235803,-0.0611100010573864,113326,-0.107500001788139,199437,-0.0414899997413158,76960,-0.289460003376007,536998,-0.223450005054474,414521,-0.293280005455017,544088,-0.227270007133484,421611,-0.0413799993693829,76771,-0.0793600007891655,147191,-0.0379800014197826,70420,-0.0681499987840652,126428,-0.0267699994146824,49657,-0.184229999780655,341749,-0.142839998006821,264978,-0.189229995012283,351040,-0.147850006818771,274269,-28585,-54974,-26389,-47159,-18574,-139952,-111367,-207712,-179127,0.00778834411716848
"478","E02003823","Cheshire East 040",2537,0,67,57,4,18,1982,151,45,201,12,99.6159973144531,54.6160011291504,191.904998779297,-9.09500026702881,1942.7099609375,-39.2900009155273,82.6679992675781,37.6679992675781,193.138000488281,-7.86199998855591,1955.61901855469,-26.3810005187988,320.005004882812,275.005004882812,143.164993286133,-57.8349990844727,1794.63793945312,-187.361999511719,507.56201171875,462.56201171875,130.453994750977,-70.5459976196289,1642.4990234375,-339.501007080078,-0.0336900018155575,62487,-0.0725800022482872,134589,-0.0388900004327297,72102,-0.0561500005424023,104160,-0.022469999268651,41673,-0.157120004296303,291446,-0.123429998755455,228959,-0.216999992728233,402531,-0.183310002088547,340044,-0.0213900003582239,39672,-0.0453700013458729,84111,-0.0239799991250038,44439,-0.0359399989247322,66669,-0.0145500004291534,26997,-0.101130001246929,187573,-0.0797500014305115,147901,-0.143360003829002,265917,-0.121969997882843,226245,-13616,-30114,-16498,-23932,-10316,-76290,-62674,-161938,-148322,0.0225453780339362
"596","E02003840","Cheshire East 051",3772,3,79,38,6,19,3194,153,79,180,21,166.522994995117,87.5230026245117,169.764999389648,-10.2349996566772,3124.96801757812,-69.0319976806641,107.555999755859,28.5559997558594,177.009994506836,-2.99000000953674,3170.68701171875,-23.3129997253418,469.761993408203,390.761993408203,127.61799621582,-52.3819999694824,2894.626953125,-299.372985839844,666.898010253906,587.898010253906,117.588996887207,-62.4109992980957,2723.85107421875,-470.148986816406,-0.0613100007176399,113744,-0.122259996831417,226787,-0.0609400011599064,113043,-0.0869000032544136,161210,-0.0255900006741285,47466,-0.241170004010201,447412,-0.17985999584198,333668,-0.288839995861053,535861,-0.227530002593994,422117,-0.0359300002455711,66660,-0.0724800005555153,134440,-0.0365500003099442,67780,-0.0511099994182587,94809,-0.0151699995622039,28149,-0.151250004768372,280591,-0.11531999707222,213931,-0.188109993934631,348959,-0.15217000246048,282299,-28139,-55887,-27748,-40450,-12311,-124675,-96536,-225929,-197790,0.016097099078936
