"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"72868","E02002590 E02002591","E02002590","E02002591",307,0,18,0,1,186,25,4,72,0,27.3500003814697,23.3500003814697,66.4499969482422,-5.55000019073486,171.669998168945,-14.3299999237061,10.8599996566772,6.8600001335144,70.3899993896484,-1.61000001430511,181.800003051758,-4.19999980926514,146.929992675781,142.929992675781,38.0299987792969,-33.9700012207031,98.2600021362305,-87.7399978637695,148.649993896484,144.649993896484,37.6199989318848,-34.3800010681152,97.1999969482422,-88.8000030517578,-0.000289999996311963,545,-0.00199000001884997,3694,-0.00170000002253801,3149,-0.000739999988581985,1364,-0.00044000000343658,819,-0.00992000009864569,18404,-0.00963000021874905,17859,-0.00455000018700957,8440,-0.00425999984145164,7895,-0.000199999994947575,369,-0.00135000003501773,2506,-0.00115000002551824,2137,-0.000500000023748726,924,-0.000300000014249235,555,-0.00675000017508864,12529,-0.00655000004917383,12160,-0.00331000005826354,6131,-0.00310999993234873,5762,-146,-1011,-865,-399,-253,-5444,-5298,-5508,-5362,1,0.995900549240941,"Warrington 001","Warrington 002",1.187,1.188,430,430,1.19188607828835,1.00084245998315,0.33698399326032,221,1864,0.00336700336700337,1.30293159609121
"72869","E02002590 E02002592","E02002590","E02002592",69,0,3,1,0,57,6,1,0,0,3.52999997138977,2.52999997138977,0,0,54.8800010681152,-2.11999988555908,2.13000011444092,1.12999999523163,0,0,56.0099983215332,-0.990000009536743,12.9200000762939,11.9200000762939,0,0,47.0299987792969,-9.97000026702881,20.5200004577637,19.5200004577637,0,0,40.6599998474121,-16.3400001525879,-0.00112000002991408,2075,-0.00394999980926514,7319,-0.00282999989576638,5244,-0.00222999998368323,4135,-0.00110999995376915,2060,-0.0135099999606609,25063,-0.0123899998143315,22988,-0.0140599999576807,26090,-0.0129399998113513,24015,-0.000720000010915101,1334,-0.00254000001586974,4705,-0.00182000000495464,3371,-0.00142999994568527,2658,-0.000709999992977828,1324,-0.00867999996989965,16112,-0.00796999968588352,14778,-0.00903999991714954,16772,-0.00832000002264977,15438,-418,-1436,-1018,-892,-474,-5206,-4788,-8268,-7850,1,8.34294885801399,"Warrington 001","Warrington 003",9.442,9.442,3830,3830,1.13173413390043,1,0.974369836898962,1760,18836,0.00974369836898962,1.44927536231884
"72870","E02002590 E02002593","E02002590","E02002593",233,0,3,0,1,187,10,12,17,1,27.8199996948242,15.8199996948242,15.7799997329712,-1.22000002861023,173.610000610352,-13.3900003433228,14.8900003433228,2.89000010490417,16.7700004577637,-0.230000004172325,184.529998779297,-2.47000002861023,91.7799987792969,79.7799987792969,10.8800001144409,-6.11999988555908,119.529998779297,-67.4700012207031,109.48999786377,97.4899978637695,9.51000022888184,-7.48999977111816,104.540000915527,-82.4599990844727,-0.00503000011667609,9333,-0.011680000461638,21671,-0.00664999987930059,12338,-0.00608999980613589,11287,-0.00104999996256083,1954,-0.0367400012910366,68165,-0.0317099988460541,58832,-0.0306700002402067,56895,-0.0256399996578693,47562,-0.00326999998651445,6068,-0.00759000005200505,14087,-0.00431999983265996,8019,-0.00395999988541007,7339,-0.000690000015310943,1271,-0.0238899998366833,44322,-0.0206199996173382,38254,-0.0200399998575449,37174,-0.0167699996381998,31106,-2180,-5045,-2865,-2709,-529,-16621,-14441,-19831,-17651,2,3.18201553555212,"Warrington 001","Warrington 004",4.214,5.413,1824,2108,1.32431785857665,1.28452776459421,0.94921689606075,786,11875,0.00628117494919638,5.15021459227468
"72871","E02002590 E02002594","E02002590","E02002594",89,0,3,0,0,74,8,2,2,0,7.82999992370605,5.82999992370605,1.86000001430511,-0.140000000596046,69.0500030517578,-4.94999980926514,4.5,2.5,1.87999999523163,-0.119999997317791,71.9700012207031,-2.02999997138977,32.8499984741211,30.8500003814697,1.32000005245209,-0.680000007152557,47.7099990844727,-26.2900009155273,40.1800003051758,38.1800003051758,1.14999997615814,-0.850000023841858,41.4799995422363,-32.5200004577637,-0.00109999999403954,2038,-0.00444999989122152,8252,-0.00334999989718199,6214,-0.00230000005103648,4270,-0.00120000005699694,2232,-0.0175899993628263,32638,-0.0164899993687868,30600,-0.0137499999254942,25504,-0.0126499999314547,23466,-0.000709999992977828,1318,-0.00286999996751547,5325,-0.00215999991632998,4007,-0.0014900000533089,2762,-0.000780000002123415,1444,-0.0113500002771616,21049,-0.0106399999931455,19731,-0.00887999963015318,16477,-0.00817000027745962,15159,-424,-1707,-1283,-954,-530,-7241,-6817,-8857,-8433,0,3.59402129474488,"Warrington 001","Warrington 005",5.076,6.103,2032,2600,1.41234555494205,1.20232466509062,0.847123719464145,946,12742,0.0090119613304932,2.24719101123596
"72872","E02002590 E02002595","E02002590","E02002595",41,0,2,0,0,35,1,1,2,0,3.00999999046326,2.00999999046326,1.89999997615814,-0.100000001490116,33.2400016784668,-1.75999999046326,2,1,1.96000003814697,-0.0399999991059303,34.1500015258789,-0.850000023841858,10.25,9.25,1.51999998092651,-0.479999989271164,26.8799991607666,-8.11999988555908,14.289999961853,13.289999961853,1.32000005245209,-0.680000007152557,23.3500003814697,-11.6499996185303,-0.000950000016018748,1755,-0.00279000005684793,5175,-0.00184000004082918,3420,-0.00176999997347593,3292,-0.000829999975394458,1537,-0.00874000042676926,16208,-0.00779000017791986,14453,-0.00761000020429492,14120,-0.00667000003159046,12365,-0.000630000024102628,1168,-0.00187000003643334,3476,-0.00124000001233071,2308,-0.0011800000211224,2192,-0.000549999997019768,1024,-0.00590999983251095,10961,-0.00528000015765429,9793,-0.00529999984428287,9830,-0.0046700001694262,8662,-374,-1145,-771,-748,-374,-3923,-3549,-5470,-5096,0,5.68671985309328,"Warrington 001","Warrington 006",8.533,8.429,3168,3280,1.50051351577632,0.987812023907184,0.445329895699051,1591,13797,0.00450824534345711,2.4390243902439
"72873","E02002590 E02002596","E02002590","E02002596",72,2,1,0,0,60,6,2,1,0,6.78999996185303,4.78999996185303,0.930000007152557,-0.0700000002980232,55.8899993896484,-4.1100001335144,4.71999979019165,2.72000002861023,0.949999988079071,-0.0500000007450581,57.6100006103516,-2.39000010490417,25.8799991607666,23.8799991607666,0.660000026226044,-0.340000003576279,39.560001373291,-20.4400005340576,31.7000007629395,29.7000007629395,0.579999983310699,-0.419999986886978,34.5699996948242,-25.4300003051758,-0.00135000003501773,2499,-0.00460000010207295,8524,-0.00325000006705523,6025,-0.00295000011101365,5477,-0.00161000003572553,2978,-0.016380000859499,30389,-0.01503000035882,27890,-0.0130599997937679,24238,-0.0117199998348951,21739,-0.000869999988935888,1617,-0.00297000003047287,5512,-0.00209999992512167,3895,-0.00190999999176711,3544,-0.00104000000283122,1927,-0.0105900000780821,19648,-0.00972000043839216,18031,-0.00846999976783991,15720,-0.00760000012814999,14103,-526,-1758,-1232,-1242,-716,-6660,-6134,-8157,-7631,2,4.38213007934924,"Warrington 001","Warrington 007",5.895,5.803,2214,2452,1.34523619638316,0.984393553859203,0.593723494486853,1099,9793,0.0060313630880579,2.77777777777778
"72874","E02002590 E02002598","E02002590","E02002598",68,0,2,1,0,63,1,0,1,0,1.77999997138977,1.77999997138977,0.980000019073486,-0.0199999995529652,61.3400001525879,-1.6599999666214,0,0,1,0,63,0,7.84999990463257,7.84999990463257,0.899999976158142,-0.100000001490116,55.6599998474121,-7.34000015258789,14.6400003433228,14.6400003433228,0.800000011920929,-0.200000002980232,49.3600006103516,-13.6400003433228,0,0,-0.00254000001586974,4719,-0.00254000001586974,4719,0,0,0,0,-0.0101199997588992,18770,-0.0101199997588992,18770,-0.0121700000017881,22583,-0.0121700000017881,22583,0,0,-0.00167000002693385,3089,-0.00167000002693385,3089,0,0,0,0,-0.00663000019267201,12301,-0.00663000019267201,12301,-0.00807000044733286,14976,-0.00807000044733286,14976,0,-1046,-1046,0,0,-4615,-4615,-8599,-8599,0,9.38610557713369,"Warrington 001","Warrington 009",13.006,13.449,5316,5804,1.38566521472815,1.03406120252191,0.891896047977856,2424,25895,0.00565097776786378,0
"72875","E02002590 E02002599","E02002590","E02002599",30,0,3,0,0,25,1,0,1,0,0.990000009536743,0.990000009536743,0.970000028610229,-0.0299999993294477,24.1700000762939,-0.829999983310699,0,0,1,0,25,0,4.67000007629395,4.67000007629395,0.850000023841858,-0.150000005960464,21.1000003814697,-3.90000009536743,7.80000019073486,7.80000019073486,0.740000009536743,-0.259999990463257,18.4899997711182,-6.51000022888184,0,0,-0.00120000005699694,2233,-0.00120000005699694,2233,0,0,0,0,-0.00510999979451299,9473,-0.00510999979451299,9473,-0.00535999983549118,9936,-0.00535999983549118,9936,0,0,-0.000809999997727573,1494,-0.000809999997727573,1494,0,0,0,0,-0.00343000004068017,6360,-0.00343000004068017,6360,-0.00368999992497265,6841,-0.00368999992497265,6841,0,-461,-461,0,0,-2181,-2181,-3638,-3638,0,8.70001912794311,"Warrington 001","Warrington 010",11.128,12.715,4820,5680,1.2790776475719,1.1426132278936,0.709920920201294,2074,39103,0.00542666142351553,0
"72876","E02002590 E02002600","E02002590","E02002600",54,0,1,0,0,49,3,0,1,0,2.80999994277954,2.80999994277954,0.949999988079071,-0.0500000007450581,46.4500007629395,-2.54999995231628,0,0,1,0,49,0,14.4099998474121,14.4099998474121,0.730000019073486,-0.270000010728836,35.9300003051758,-13.0699996948242,19.6100006103516,19.6100006103516,0.629999995231628,-0.370000004768372,31.2099990844727,-17.7900009155273,0,0,-0.00264000007882714,4889,-0.00264000007882714,4889,0,0,0,0,-0.012529999949038,23252,-0.012529999949038,23252,-0.0106300003826618,19719,-0.0106300003826618,19719,0,0,-0.00171999994199723,3193,-0.00171999994199723,3193,0,0,0,0,-0.00819000042974949,15201,-0.00819000042974949,15201,-0.00701999990269542,13022,-0.00701999990269542,13022,0,-1067,-1067,0,0,-5473,-5473,-7447,-7447,0,6.59780058832111,"Warrington 001","Warrington 011",8.272,8.275,3094,3094,1.25375113862071,1.00036266924565,0.507736943907157,1542,14768,0.00507552870090634,0
"72877","E02002590 E02002601","E02002590","E02002601",42,0,3,0,0,33,3,1,2,0,3.34999990463257,2.34999990463257,1.87999999523163,-0.119999997317791,31.1200008392334,-1.87999999523163,1.71000003814697,0.709999978542328,1.87000000476837,-0.129999995231628,32.5499992370605,-0.449999988079071,12.1700000762939,11.1700000762939,1.54999995231628,-0.449999988079071,23.8899993896484,-9.10999965667725,16.0699996948242,15.0699996948242,1.35000002384186,-0.649999976158142,20.7600002288818,-12.2399997711182,-0.000569999974686652,1065,-0.00249000010080636,4611,-0.00190999999176711,3546,-0.000929999980144203,1731,-0.00036000000545755,666,-0.00922000035643578,17103,-0.00865000020712614,16038,-0.00754000013694167,13984,-0.0069599999114871,12919,-0.000449999992270023,834,-0.00173000001814216,3214,-0.00127999996766448,2380,-0.000730000028852373,1356,-0.00028000000747852,522,-0.00620000017806888,11507,-0.00575000001117587,10673,-0.00521000009030104,9664,-0.00475999992340803,8830,-248,-982,-734,-425,-177,-3814,-3566,-5036,-4788,0,5.99999286544833,"Warrington 001","Warrington 012",7.689,7.725,2854,2864,1.28150152382314,1.0046820132657,0.494212511379893,1433,12551,0.00491909385113269,2.38095238095238
