"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"126009",1,1,1,1.187,430,50,4,0.00337,221,14,1864,"E02002590 E02002591",50
"126010",1,1,1,9.442,3830,217,92,0.00974,1760,139,18836,"E02002590 E02002592",217
"126011",1,1,1,4.214,1824,149,40,0.00949,786,50,11875,"E02002590 E02002593",149
"126012",1,1,1,5.076,2032,189,43,0.00847,946,60,12742,"E02002590 E02002594",189
"126013",1,1,1,8.533,3168,248,38,0.00445,1591,101,13797,"E02002590 E02002595",248
"126014",1,1,1,5.895,2214,184,35,0.00594,1099,69,9793,"E02002590 E02002596",184
"126015",1,1,1,13.006,5316,329,116,0.00892,2424,179,25895,"E02002590 E02002598",329
"126016",1,1,1,11.128,4820,310,79,0.0071,2074,143,39103,"E02002590 E02002599",310
"126017",1,1,1,8.272,3094,233,42,0.00508,1542,98,14768,"E02002590 E02002600",233
"126018",1,1,1,7.689,2854,216,38,0.00494,1433,90,12551,"E02002590 E02002601",216
"126019",1,1,1,9.823,4142,227,88,0.00896,1831,125,30274,"E02002590 E02002602",227
"126020",1,1,1,8.267,3428,252,42,0.00508,1541,98,15109,"E02002590 E02002603",252
"126021",1,1,1,9.623,3650,265,51,0.0053,1794,116,18853,"E02002590 E02002606",265
"126022",1,1,1,10.903,4332,305,55,0.00504,2032,133,22585,"E02002590 E02002607",305
"126023",1,1,1,12.367,4992,317,83,0.00671,2305,165,29903,"E02002590 E02002612",317
"126024",1,1,1,13.831,6068,379,120,0.00868,2578,217,33185,"E02002590 E02002613",379
"126044",1,1,1,10.629,4322,265,96,0.00903,1981,158,20978,"E02002591 E02002592",265
"126045",1,1,1,4.39,1934,151,42,0.00957,818,55,14970,"E02002591 E02002593",151
"126046",1,1,1,5.252,2142,191,45,0.00857,979,66,15837,"E02002591 E02002594",191
"126047",1,1,1,9.72,3660,296,42,0.00432,1812,120,15939,"E02002591 E02002595",296
"126048",1,1,1,7.082,2706,232,39,0.00551,1320,88,11935,"E02002591 E02002596",232
"126049",1,1,1,14.193,5808,377,120,0.00845,2646,198,28037,"E02002591 E02002598",377
"126050",1,1,1,9.459,3586,281,46,0.00486,1763,116,16910,"E02002591 E02002600",281
"126051",1,1,1,8.876,3346,264,42,0.00473,1655,108,14693,"E02002591 E02002601",264
"126052",1,1,1,11.01,4634,275,92,0.00836,2052,144,32416,"E02002591 E02002602",275
"126053",1,1,1,8.59,3830,259,50,0.00582,1601,105,26517,"E02002591 E02002603",259
"126054",1,1,1,10.81,4142,313,55,0.00509,2015,134,20995,"E02002591 E02002606",313
"126055",1,1,1,12.09,4824,353,59,0.00488,2254,151,24727,"E02002591 E02002607",353
"126056",1,1,1,13.385,5448,299,92,0.00687,2495,184,40549,"E02002591 E02002610",299
"126057",1,1,1,13.554,5484,365,87,0.00642,2527,184,32045,"E02002591 E02002612",365
"126058",1,1,1,15.018,6560,427,124,0.00826,2800,235,35327,"E02002591 E02002613",427
"126059",1,1,1,25.333,10540,581,234,0.00924,4722,379,58441,"E02002591 E02003859",581
"126084",1,1,1,9.522,3718,233,76,0.00798,1775,123,18240,"E02002592 E02002593",233
"126085",1,1,1,11.566,4666,335,91,0.00787,2156,153,24265,"E02002592 E02002594",335
