"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",21,46.39,37.32,169.15,216.64,29,51.94,32.46,165.22,188.31,1
"2",17,37.93,31.44,149.19,179,NA,NA,NA,NA,NA,0
"3",13,24.37,30.35,62.32,92.35,NA,NA,NA,NA,NA,0
"4",13,25.39,20.19,69.65,94.31,29,51.94,32.46,165.22,188.31,1
"5",4,5.48,8.2,6.99,11.89,29,51.94,32.46,165.22,188.31,1
"6",9,19.91,11.99,62.66,82.42,29,51.94,32.46,165.22,188.31,1
"7",9,15.91,24.47,42.36,54.71,7,14.32,19.31,52.85,61.29,1
"8",26,53.84,55.91,191.55,233.71,7,14.32,19.31,52.85,61.29,1
"9",2,5.09,2.91,13.96,27.07,NA,NA,NA,NA,NA,0
"10",2,4.59,4.09,9.88,20.64,NA,NA,NA,NA,NA,0
"11",13,24.37,30.35,62.32,92.35,NA,NA,NA,NA,NA,0
"12",9,19.23,11.99,60.01,77.07,NA,NA,NA,NA,NA,0
"13",4,6.16,8.2,9.64,17.24,29,51.94,32.46,165.22,188.31,1
"14",15,29.46,33.26,76.28,119.42,NA,NA,NA,NA,NA,0
"15",4,5.48,8.2,6.99,11.89,NA,NA,NA,NA,NA,0
"16",0,0.68,0,2.65,5.35,NA,NA,NA,NA,NA,0
"17",0,0,0,0,0,NA,NA,NA,NA,NA,0
"18",4,5.48,8.2,6.99,11.89,NA,NA,NA,NA,NA,0
"19",15,29.46,33.26,76.28,119.42,6,15.12,13.33,61.06,67.41,1
"20",0,0.68,0,2.65,5.35,6,15.12,13.33,61.06,67.41,1
"21",2,4.59,4.09,9.88,20.64,NA,NA,NA,NA,NA,0
"22",4,5.48,8.2,6.99,11.89,6,15.12,13.33,61.06,67.41,1
"23",2,5.27,4.09,12.53,25.99,6,15.12,13.33,61.06,67.41,1
"24",5,9.51,8.03,20.6,33.15,6,15.12,13.33,61.06,67.41,1
"25",9,14.99,16.23,27.59,45.04,NA,NA,NA,NA,NA,0
"26",5,9.51,8.03,20.6,33.15,6,15.12,13.33,61.06,67.41,1
"27",2,5.27,4.09,12.53,25.99,NA,NA,NA,NA,NA,0
"28",6,13.55,8.79,33.92,64.71,NA,NA,NA,NA,NA,0
"29",14,25.42,32.5,62.96,87.86,6,15.12,13.33,61.06,67.41,1
"30",23,44.65,44.49,122.97,164.93,6,15.12,13.33,61.06,67.41,1
"31",17,34.46,23.82,91.38,129.69,NA,NA,NA,NA,NA,0
"32",11,20.26,20.32,40.12,71.03,13,33.32,14.29,126.78,132.61,1
"33",2,5.27,4.09,12.53,25.99,NA,NA,NA,NA,NA,0
"34",9,14.99,16.23,27.59,45.04,13,33.32,14.29,126.78,132.61,1
"35",32,66.58,64.65,175.79,247.55,13,33.32,14.29,126.78,132.61,1
"36",2,4.28,3.09,9.6,17.33,13,33.32,14.29,126.78,132.61,1
"37",30,62.3,61.56,166.19,230.22001,13,33.32,14.29,126.78,132.61,1
"38",45,100.88,91.6,302.24,399.6,13,33.32,14.29,126.78,132.61,1
"39",47,105.16,94.69,311.84,416.93,NA,NA,NA,NA,NA,0
"40",9,26.56,15.11,86.76,125.45,13,33.32,14.29,126.78,132.61,1
"41",18,41.55,31.34,114.35,170.49,13,33.32,14.29,126.78,132.61,1
"42",17,39.21,31.43,108.05,159.75,13,33.32,14.29,126.78,132.61,1
"43",15,27.37,33.22,67.74,87.8,13,33.32,14.29,126.78,132.61,1
"44",12,31.31,23.4,93.84,139.22,NA,NA,NA,NA,NA,0
"45",3,4.75,8.29,7.08,13.77,13,33.32,14.29,126.78,132.61,1
"46",21,46.3,39.63,121.43,184.26,13,33.32,14.29,126.78,132.61,1
"47",21,49.27,40.66,161.27,216.25,NA,NA,NA,NA,NA,0
"48",16,35.36,31.13,112.79,156.45,3,7.57,3.48,34.66,39.04,1
"49",12,28.64,19.07,90.79,125.16,NA,NA,NA,NA,NA,0
"50",9,20.63,21.59,70.48,91.09,NA,NA,NA,NA,NA,0
"51",4,7.09,8.2,13.38,24.51,13,33.32,14.29,126.78,132.61,1
"52",8,25.35,11.18,113.9,134.79,6,12.57,11.67,51.37,56.39,1
"53",23,51.31,34.29,166.10001,204.83,6,12.57,11.67,51.37,56.39,1
"54",32,88.77,68.1,330.38999,390.28001,6,12.57,11.67,51.37,56.39,1
"55",55,140.08,102.39,496.49,595.11002,NA,NA,NA,NA,NA,0
"56",14,29.87,17.89,96.59,128.75,6,12.57,11.67,51.37,56.39,1
"57",5,13.29,5,59.85,69.19,NA,NA,NA,NA,NA,0
"58",9,16.58,12.89,36.74,59.56,NA,NA,NA,NA,NA,0
"59",15,36.94,37.23,112.83,160.79,NA,NA,NA,NA,NA,0
"60",6,20.36,24.34,76.09,101.23,6,12.12,15,48.13,52.67,1
"61",10,28.89,36.58,106.48,136.62,6,12.12,15,48.13,52.67,1
"62",4,8.53,12.24,30.39,35.39,NA,NA,NA,NA,NA,0
"63",54,130.87,89.01,442.82,552.47001,NA,NA,NA,NA,NA,0
"64",16,46.15,50.61,166.5,203.43,NA,NA,NA,NA,NA,0
"65",19,34.46,41.42,81.12,112.31,13,33.32,14.29,126.78,132.61,1
"66",54,130.87,89.01,442.82,552.47001,NA,NA,NA,NA,NA,0
"67",4,8.53,12.24,30.39,35.39,2,4.81,2,21.45,22.05,1
"68",10,29.89,37.68,105.41,135.14,NA,NA,NA,NA,NA,0
"69",6,16.26,12.93,61.09,68.29,NA,NA,NA,NA,NA,0
"70",4,10.93,10.39,37.39,40.85,8,14.43,21.57,47.88,51.96,1
"71",43,94.23,84.3,274.45,376.08,8,14.43,21.57,47.88,51.96,1
"72",4,12.09,8.75,40.88,62.33,6,12.12,15,48.13,52.67,1
"73",6,16.8,27.83,65.6,74.29,6,12.12,15,48.13,52.67,1
"74",14,33.92,26.59,130.33,160.28,6,12.12,15,48.13,52.67,1
"75",64,146.28,123.06,470.12,553.93999,6,12.12,15,48.13,52.67,1
"76",60,134.19,114.31,429.24,491.60999,6,12.12,15,48.13,52.67,1
"77",46,117.49,83.72,434.28999,513.88,3,7.57,3.48,34.66,39.04,1
"78",48,116.23,75.67,398.31999,492.03,3,7.57,3.48,34.66,39.04,1
"79",90,194.83,185.15001,636.42,788.13999,12,22.1,23.91,72.75,78.78,1
"80",12,35.16,41.77,117.94,161.13,NA,NA,NA,NA,NA,0
