"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"126009",1,1,1,1.188,430,55,4,0.00337,221,14,1682,"E02002590 E02002591"
"126010",1,1,1,9.442,3830,217,92,0.00974,1760,139,18836,"E02002590 E02002592"
"126011",1,1,1,5.413,2108,176,34,0.00628,1009,65,9126,"E02002590 E02002593"
"126012",1,1,1,6.103,2600,242,55,0.00901,1138,78,11092,"E02002590 E02002594"
"126013",1,1,1,8.429,3280,261,38,0.00451,1571,99,13533,"E02002590 E02002595"
"126014",1,1,1,5.803,2452,179,35,0.00603,1082,68,9782,"E02002590 E02002596"
"126015",1,1,1,13.449,5804,469,76,0.00565,2507,176,21547,"E02002590 E02002598"
"126016",1,1,1,12.715,5680,454,69,0.00543,2370,163,20000,"E02002590 E02002599"
"126017",1,1,1,8.275,3094,232,42,0.00508,1543,98,14602,"E02002590 E02002600"
"126018",1,1,1,7.725,2864,217,38,0.00492,1440,90,12520,"E02002590 E02002601"
"126019",1,1,1,10.785,4192,299,60,0.00556,2010,134,17181,"E02002590 E02002602"
"126020",1,1,1,8.268,3808,259,42,0.00508,1541,99,13512,"E02002590 E02002603"
"126021",1,1,1,9.595,4164,257,51,0.00532,1789,115,16539,"E02002590 E02002606"
"126022",1,1,1,10.849,4744,300,53,0.00489,2022,130,18740,"E02002590 E02002607"
"126023",1,1,1,12.308,5400,345,89,0.00723,2294,168,23624,"E02002590 E02002612"
"126024",1,1,1,14.007,6246,390,126,0.009,2611,220,28011,"E02002590 E02002613"
"126044",1,1,1,10.63,4322,270,96,0.00903,1982,158,20739,"E02002591 E02002592"
"126045",1,1,1,6.601,2600,229,38,0.00576,1230,84,11029,"E02002591 E02002593"
"126046",1,1,1,7.291,3092,295,59,0.00809,1359,97,12995,"E02002591 E02002594"
"126047",1,1,1,9.617,3772,314,42,0.00437,1793,118,15436,"E02002591 E02002595"
"126048",1,1,1,6.991,2944,232,39,0.00558,1303,87,11685,"E02002591 E02002596"
"126049",1,1,1,14.637,6296,522,80,0.00547,2728,195,23450,"E02002591 E02002598"
"126050",1,1,1,9.463,3586,285,46,0.00486,1764,116,16505,"E02002591 E02002600"
"126051",1,1,1,8.913,3356,270,42,0.00471,1661,109,14423,"E02002591 E02002601"
"126052",1,1,1,11.973,4684,352,64,0.00535,2232,153,19084,"E02002591 E02002602"
"126053",1,1,1,9.456,4300,312,46,0.00486,1763,117,15415,"E02002591 E02002603"
"126054",1,1,1,10.783,4656,310,55,0.0051,2010,134,18442,"E02002591 E02002606"
"126055",1,1,1,12.037,5236,353,57,0.00474,2244,149,20643,"E02002591 E02002607"
"126056",1,1,1,15.293,7670,357,82,0.00536,2851,208,29935,"E02002591 E02002610"
"126057",1,1,1,13.496,5892,398,93,0.00689,2516,186,25527,"E02002591 E02002612"
"126058",1,1,1,15.195,6738,443,130,0.00856,2833,239,29914,"E02002591 E02002613"
"126059",1,1,1,27.898,14128,655,226,0.0081,5200,409,49549,"E02002591 E02003859"
"126084",1,1,1,9.725,4022,257,80,0.00823,1813,128,17679,"E02002592 E02002593"
"126085",1,1,1,11.357,5538,336,93,0.00819,2117,152,20076,"E02002592 E02002594"
"126086",1,1,1,6.285,2448,138,40,0.00636,1172,73,11157,"E02002592 E02002595"
"126087",1,1,1,7.173,2792,159,41,0.00572,1337,85,12550,"E02002592 E02002597"
"126088",1,1,1,3.834,1690,119,30,0.00782,715,44,7219,"E02002592 E02002598"
"126089",1,1,1,4.768,2094,148,33,0.00692,889,55,8660,"E02002592 E02002599"
"126090",1,1,1,8.16,4056,169,54,0.00662,1521,98,13689,"E02002592 E02002600"
"126091",1,1,1,9.976,3960,247,44,0.00441,1860,120,16237,"E02002592 E02002601"
"126092",1,1,1,6.754,3420,143,52,0.0077,1259,82,10879,"E02002592 E02002602"
"126093",1,1,1,11.436,4506,289,46,0.00402,2132,138,18735,"E02002592 E02002603"
"126094",1,1,1,6.17,2512,198,35,0.00567,1150,71,10336,"E02002592 E02002605"
"126095",1,1,1,9.165,4950,191,69,0.00753,1708,111,14574,"E02002592 E02002606"
"126096",1,1,1,8.866,4546,182,61,0.00688,1653,106,13925,"E02002592 E02002607"
"126097",1,1,1,6.842,2922,197,40,0.00585,1275,82,11911,"E02002592 E02002608"
"126098",1,1,1,13.638,7210,415,210,0.0154,2542,244,26078,"E02002592 E02002613"
"126115",1,1,1,1.91,1526,107,15,0.00785,356,27,2852,"E02002593 E02002594"
"126116",1,1,1,5.212,2094,155,10,0.00192,972,63,7552,"E02002593 E02002595"
"126117",1,1,1,2.578,1278,99,9,0.00349,481,33,3816,"E02002593 E02002596"
"126118",1,1,1,3.829,1696,128,7,0.00183,714,46,5629,"E02002593 E02002597"
"126119",1,1,1,10.232,4618,363,48,0.00469,1907,140,15566,"E02002593 E02002598"
"126120",1,1,1,9.498,4494,348,41,0.00432,1771,127,14019,"E02002593 E02002599"
"126121",1,1,1,4.634,1750,144,12,0.00259,864,56,7877,"E02002593 E02002600"
"126122",1,1,1,4.084,1520,129,8,0.00196,761,49,5795,"E02002593 E02002601"
"126123",1,1,1,7.568,3006,193,32,0.00423,1411,98,11200,"E02002593 E02002602"
"126124",1,1,1,3.989,2220,138,8,0.00201,744,48,5689,"E02002593 E02002603"
"126125",1,1,1,5.954,2820,169,21,0.00353,1110,74,9814,"E02002593 E02002606"
"126126",1,1,1,7.208,3400,212,23,0.00319,1344,89,12015,"E02002593 E02002607"
"126127",1,1,1,11.723,5340,281,52,0.00444,2185,156,18621,"E02002593 E02002608"
"126128",1,1,1,12.959,8144,358,102,0.00787,2416,192,21350,"E02002593 E02002610"
"126129",1,1,1,8.667,4056,257,59,0.00681,1616,126,16899,"E02002593 E02002612"
"126130",1,1,1,10.366,4902,302,96,0.00926,1932,179,21286,"E02002593 E02002613"
"126145",1,1,1,6.29,3412,218,21,0.00334,1173,80,9337,"E02002594 E02002595"
"126146",1,1,1,3.656,2596,162,20,0.00547,682,50,5601,"E02002594 E02002596"
"126147",1,1,1,4.907,3014,191,18,0.00367,915,64,7414,"E02002594 E02002597"
"126148",1,1,1,11.31,5936,426,59,0.00522,2108,157,17351,"E02002594 E02002598"
"126149",1,1,1,10.576,5812,411,52,0.00492,1971,144,15804,"E02002594 E02002599"
