"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"23","E02003861","Cheshire East 009",2619,20,76,66,8,18,1811,140,65,404,11,128.79201,63.792,387.83499,-16.165,1772.42297,-38.577,99.263,34.263,394.44699,-9.553,1791.25195,-19.748,413.19501,348.19501,301.47,-102.53,1614.86401,-196.136,599.82098,534.82098,265.23599,-138.76401,1489.94897,-321.05099,-0.02987,55415,-0.06121,113462,-0.03133,58047,-0.04536,84150,-0.01549,28735,-0.11424,211874,-0.08437,156459,-0.14888,276141,-0.11901,220726,-0.01523,28252,-0.03269,60557,-0.01746,32305,-0.02359,43752,-0.00836,15500,-0.0687,127378,-0.05347,99126,-0.09994,185327,-0.08471,157075,-12654,-26418,-13764,-19531,-6877,-60148,-47494,-124976,-112322,0.0169
"96","E02003805","Cheshire West and Chester 039",2490,4,47,93,12,18,1966,116,75,144,15,152.198,77.198,136.114,-7.886,1908.37097,-57.629,139.66901,64.669,136.265,-7.735,1919.74695,-46.253,454.14401,379.14401,98.586,-45.414,1689.23499,-276.76501,588.94299,513.94299,91.076,-52.924,1581.79297,-384.207,-0.04483,83164,-0.08841,163987,-0.04358,80823,-0.07147,132595,-0.02665,49431,-0.20507,380427,-0.16024,297263,-0.20477,379884,-0.15995,296720,-0.02762,51243,-0.05468,101403,-0.02706,50160,-0.04421,82004,-0.01658,30761,-0.13099,242979,-0.10336,191736,-0.1336,247837,-0.10598,196594,-18003,-35846,-17843,-30105,-12102,-92668,-74665,-140992,-122989,0.01111
"127","E02003828","Cheshire East 037",2589,2,46,93,16,37,1607,257,148,375,8,253.713,105.713,354.94299,-20.057,1540.87305,-66.127,232.664,84.664,359.93701,-15.063,1554.71704,-52.283,660.34302,512.34302,273.457,-101.543,1291.05396,-315.94601,834.44299,686.44299,248.922,-126.078,1174.10901,-432.89099,-0.03808,70631,-0.07809,144834,-0.04001,74203,-0.06406,118831,-0.02598,48200,-0.1878,348382,-0.14972,277751,-0.18105,335864,-0.14298,265233,-0.0243,45083,-0.04971,92183,-0.02541,47100,-0.04153,77047,-0.01723,31964,-0.12244,227126,-0.09814,182043,-0.12112,224674,-0.09681,179591,-16607,-33051,-16444,-27755,-11148,-88434,-71827,-131199,-114592,0.01258
"166","E02003845","Cheshire West and Chester 007",3588,7,96,208,46,29,2152,330,124,567,29,259.27802,135.278,533.20599,-33.794,2079.2229,-72.777,194.582,70.582,547.258,-19.742,2115.96802,-36.033,825.79498,701.79498,380.01401,-186.98599,1783.70605,-368.29401,1009.505,885.505,353.638,-213.362,1669.08997,-482.91,-0.04773,88541,-0.09294,172369,-0.04521,83828,-0.06331,117440,-0.01558,28899,-0.20299,376540,-0.15526,287999,-0.20077,372437,-0.15304,283896,-0.02968,55048,-0.0591,109577,-0.02942,54529,-0.03945,73170,-0.00977,18122,-0.13569,251688,-0.10602,196640,-0.14197,263333,-0.1123,208285,-19205,-37344,-18139,-26656,-7451,-94248,-75043,-148259,-129054,0.00968
"208","E02002602","Warrington 013",3088,2,48,313,17,30,1760,281,155,471,11,320.832,165.832,438.823,-32.177,1669.099,-90.901,239.49699,84.497,454.207,-16.793,1714.97095,-45.029,964.00598,809.00598,296.84698,-174.153,1329.92505,-430.07501,1115.23303,960.23297,282.94,-188.06,1230.50195,-529.49799,-0.06598,122390,-0.12908,239394,-0.06311,117004,-0.09333,173133,-0.02736,50743,-0.30734,570127,-0.24136,447737,-0.27778,515281,-0.2118,392891,-0.03968,73599,-0.07957,147545,-0.0399,73946,-0.05681,105377,-0.01713,31778,-0.1982,367645,-0.15853,294046,-0.18398,341262,-0.14431,267663,-22996,-44444,-21448,-33896,-10900,-112179,-89183,-156700,-133704,0.00684
"329","E02003878","Cheshire West and Chester 017",3496,13,53,36,8,25,2860,212,87,183,19,189.806,102.806,173.274,-9.726,2779.8479,-80.152,166.03999,79.04,175.134,-7.866,2798.43408,-61.566,586.98999,499.98999,129.24899,-53.751,2478.62305,-381.37799,819.51703,732.51703,119.613,-63.387,2282.05493,-577.94501,-0.04207,78041,-0.10888,201930,-0.06681,123889,-0.08219,152477,-0.04012,74436,-0.27037,501537,-0.2283,423496,-0.33186,615613,-0.28979,537572,-0.02698,50053,-0.0662,122744,-0.03922,72691,-0.05269,97735,-0.0257,47682,-0.17047,316197,-0.14349,266144,-0.21635,401311,-0.18937,351258,-18031,-46176,-28145,-37528,-19497,-127277,-109246,-237646,-219615,0.01315
"335","E02003858","Cheshire East 006",2674,7,200,29,7,7,1996,91,33,280,24,100.93,67.93,266.01199,-13.988,1949.48804,-46.512,52.487,19.487,277.43301,-2.567,1980.90198,-15.098,397.58701,364.58701,185.806,-94.194,1760.81006,-235.19,562.99799,529.99799,175.24001,-104.76,1626.95898,-369.04099,-0.02693,49958,-0.07006,129877,-0.04312,79919,-0.04212,78132,-0.01519,28174,-0.16388,303943,-0.13695,253985,-0.21561,399925,-0.18867,349967,-0.01654,30670,-0.04175,77366,-0.02522,46696,-0.02584,47929,-0.00931,17259,-0.10287,190745,-0.08633,160075,-0.14133,262108,-0.12479,231438,-10131,-28203,-18072,-16953,-6822,-81826,-71695,-161907,-151776,0.0138
"430","E02003838","Cheshire East 048",2721,2,62,58,2,14,2201,141,124,108,9,230.3,106.3,102.013,-5.987,2112.05811,-88.942,214.847,90.847,101.625,-6.375,2126.70898,-74.291,610.21002,486.20999,77.408,-30.592,1797.72302,-403.27701,803.58301,679.58301,70.955,-37.045,1630.48499,-570.51501,-0.06602,122477,-0.12712,235803,-0.06111,113326,-0.1075,199437,-0.04149,76960,-0.28946,536998,-0.22345,414521,-0.29328,544088,-0.22727,421611,-0.04138,76771,-0.07936,147191,-0.03798,70420,-0.06815,126428,-0.02677,49657,-0.18423,341749,-0.14284,264978,-0.18923,351040,-0.14785,274269,-28585,-54974,-26389,-47159,-18574,-139952,-111367,-207712,-179127,0.00779
"478","E02003823","Cheshire East 040",2537,0,67,57,4,18,1982,151,45,201,12,99.616,54.616,191.905,-9.095,1942.70996,-39.29,82.668,37.668,193.138,-7.862,1955.61902,-26.381,320.005,275.005,143.16499,-57.835,1794.63794,-187.362,507.56201,462.56201,130.45399,-70.546,1642.49902,-339.50101,-0.03369,62487,-0.07258,134589,-0.03889,72102,-0.05615,104160,-0.02247,41673,-0.15712,291446,-0.12343,228959,-0.217,402531,-0.18331,340044,-0.02139,39672,-0.04537,84111,-0.02398,44439,-0.03594,66669,-0.01455,26997,-0.10113,187573,-0.07975,147901,-0.14336,265917,-0.12197,226245,-13616,-30114,-16498,-23932,-10316,-76290,-62674,-161938,-148322,0.02255
"596","E02003840","Cheshire East 051",3772,3,79,38,6,19,3194,153,79,180,21,166.52299,87.523,169.765,-10.235,3124.96802,-69.032,107.556,28.556,177.00999,-2.99,3170.68701,-23.313,469.76199,390.76199,127.618,-52.382,2894.62695,-299.37299,666.89801,587.89801,117.589,-62.411,2723.85107,-470.14899,-0.06131,113744,-0.12226,226787,-0.06094,113043,-0.0869,161210,-0.02559,47466,-0.24117,447412,-0.17986,333668,-0.28884,535861,-0.22753,422117,-0.03593,66660,-0.07248,134440,-0.03655,67780,-0.05111,94809,-0.01517,28149,-0.15125,280591,-0.11532,213931,-0.18811,348959,-0.15217,282299,-28139,-55887,-27748,-40450,-12311,-124675,-96536,-225929,-197790,0.0161
"762","E02002594","Warrington 005",2636,4,113,134,7,19,1767,154,87,346,5,201.647,114.647,322.892,-23.108,1695.61206,-71.388,127.217,40.217,338.41299,-7.587,1741.93201,-25.068,636.59003,549.59003,222.39301,-123.607,1436.83301,-330.16699,779.85699,692.85699,208.386,-137.614,1333.12402,-433.87601,-0.03962,73509,-0.09586,177755,-0.05623,104246,-0.05885,109175,-0.01923,35666,-0.23244,431161,-0.19281,357652,-0.22766,422299,-0.18804,348790,-0.02473,45872,-0.05903,109432,-0.0343,63560,-0.03623,67212,-0.0115,21340,-0.15134,280701,-0.12661,234829,-0.15535,288141,-0.13063,242269,-15259,-36810,-21551,-23430,-8171,-98702,-83443,-155401,-140142,0.00473
"853","E02003890","Cheshire West and Chester 042",2693,1,22,52,12,27,1972,241,78,277,11,148.283,70.283,265.677,-11.323,1923.64404,-48.356,148.088,70.088,265.31299,-11.687,1924.31006,-47.69,450.10001,372.10001,206.64999,-70.35,1727.23303,-244.767,649.62799,571.62799,184.92,-92.08,1579.46704,-392.53299,-0.04363,80942,-0.07931,147110,-0.03568,66168,-0.07401,137297,-0.03038,56355,-0.15626,289874,-0.11263,208932,-0.19912,369386,-0.15549,288444,-0.02657,49291,-0.04836,89682,-0.02179,40391,-0.04572,84815,-0.01915,35524,-0.09913,183872,-0.07256,134581,-0.13355,247738,-0.10698,198447,-18798,-34023,-15225,-34055,-15257,-74538,-55740,-144807,-126009,0.01642
"860","E02003884","Cheshire West and Chester 024",3023,10,72,28,7,15,2585,130,38,123,15,94.848,56.848,117.984,-5.016,2538.23193,-46.768,74.412,36.412,121.278,-1.722,2553.33301,-31.667,316.39899,278.39899,91.679,-31.321,2363.64697,-221.353,510.78299,472.78299,82.648,-40.352,2195.46704,-389.53299,-0.04004,74282,-0.08925,165525,-0.04921,91243,-0.07209,133741,-0.03205,59459,-0.19622,363983,-0.15618,289701,-0.2614,484926,-0.22136,410644,-0.02323,43097,-0.05127,95060,-0.02804,51963,-0.04252,78871,-0.01929,35774,-0.12097,224378,-0.09774,181281,-0.16944,314297,-0.1462,271200,-17397,-38773,-21376,-33522,-16125,-95738,-78341,-196772,-179375,0.01365
"985","E02003876","Cheshire West and Chester 012",2539,3,26,74,8,28,2043,126,55,163,13,111.474,56.474,156.69299,-6.307,1999.68799,-43.312,103.03,48.03,157.22301,-5.777,2007.62,-35.38,342.10901,287.10901,124.005,-38.995,1831.46704,-211.533,537.97198,482.97198,110.953,-52.047,1673.12097,-369.879,-0.03937,73029,-0.08053,149348,-0.04116,76319,-0.06353,117851,-0.02416,44822,-0.17768,329594,-0.13831,256565,-0.22908,424950,-0.18971,351921,-0.02227,41301,-0.04589,85088,-0.02363,43787,-0.03653,67755,-0.01426,26454,-0.1089,201987,-0.08664,160686,-0.14556,270003,-0.1233,228702,-16704,-34222,-17518,-28498,-11794,-83701,-66997,-162982,-146278,0.01917
"1032","E02003819","Cheshire East 030",2347,1,67,48,3,10,1844,90,54,223,7,120.712,66.712,210.528,-12.472,1795.92102,-48.079,87.824,33.824,217.269,-5.731,1819.42798,-24.572,380.77399,326.77399,152.18201,-70.818,1618.05298,-225.94701,519.76703,465.767,140.293,-82.707,1504.72498,-339.27499,-0.02012,37324,-0.0588,109035,-0.03868,71711,-0.03744,69445,-0.01732,32121,-0.14985,277958,-0.12972,240634,-0.17419,323118,-0.15406,285794,-0.01352,25081,-0.03714,68864,-0.02362,43783,-0.02493,46233,-0.0114,21152,-0.09659,179158,-0.08307,154077,-0.11679,216625,-0.10327,191544,-9386,-26754,-17368,-17352,-7966,-78947,-69561,-142639,-133253,0.00985
