"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"131","E02002484","Hartlepool 002",3345,1,41,392,92,25,1881,315,100,464,34,265.561004638672,165.561004638672,434.304992675781,-29.6949996948242,1794.95202636719,-86.0479965209961,200.207992553711,100.208000183105,438.976989746094,-25.0230007171631,1831.88403320312,-49.1160011291504,952.963012695312,852.963012695312,296.171997070312,-167.828002929688,1449.00903320312,-431.990997314453,1125.17102050781,1025.17102050781,278.007995605469,-185.992004394531,1344.99304199219,-536.007019042969,-0.0846899971365929,157110,-0.183129996061325,339717,-0.0984399989247322,182607,-0.129820004105568,240838,-0.0451299995183945,83728,-0.407530009746552,756045,-0.322840005159378,598935,-0.369780004024506,686014,-0.285089999437332,528904,-0.0471099987626076,87384,-0.10843999683857,201146,-0.0613400004804134,113762,-0.0712699964642525,132211,-0.02415999956429,44827,-0.259229987859726,480914,-0.21212999522686,393530,-0.244320005178452,453249,-0.197219997644424,365865,-19422,-40744,-21322,-33870,-14448,-108931,-89509,-156622,-137200,0.00786929200811096
"340","E02002527","Redcar and Cleveland 013",1769,1,14,178,2,12,1094,152,8,299,9,22.1620006561279,14.1619997024536,295.389007568359,-3.61100006103516,1086.28002929688,-7.71999979019165,17.2530002593994,9.25300025939941,297.078002929688,-1.92299997806549,1088.94995117188,-5.05000019073486,96.2929992675781,88.2929992675781,269.031005859375,-29.9689998626709,1051.94702148438,-42.0530014038086,254.009994506836,246.009994506836,227.440994262695,-71.5589981079102,967.885009765625,-126.11499786377,-0.0106399999931455,19740,-0.0232299994677305,43083,-0.0125900004059076,23343,-0.016610000282526,30806,-0.00596999982371926,11066,-0.0513099990785122,95173,-0.0406700000166893,75433,-0.0952999964356422,176801,-0.0846600010991096,157061,-0.00540000014007092,10023,-0.0124000003561378,22992,-0.00700000021606684,12969,-0.00863000005483627,16006,-0.00322999991476536,5983,-0.0327299982309341,60702,-0.0273299999535084,50679,-0.0703300014138222,130460,-0.0649299994111061,120437,-3545,-7816,-4271,-5926,-2381,-18655,-15110,-60586,-57041,0.0324930640122524
"388","E02002488","Hartlepool 006",2650,5,48,67,28,9,1908,188,48,308,41,164.680999755859,116.680999755859,288.803009033203,-19.19700050354,1826.10498046875,-81.8949966430664,98.8339996337891,50.8339996337891,298.727996826172,-9.27200031280518,1872.55700683594,-35.443000793457,704.432006835938,656.432006835938,191.686996459961,-116.313003540039,1456.11999511719,-451.880004882812,835.953979492188,787.953979492188,179.149002075195,-128.850997924805,1355.28002929688,-552.719970703125,-0.0229299999773502,42534,-0.0828400030732155,153658,-0.059909999370575,111124,-0.0399399995803833,74085,-0.0170099996030331,31551,-0.234400004148483,434852,-0.211480006575584,392318,-0.232060000300407,430498,-0.209130004048347,387964,-0.0143600003793836,26630,-0.0508100017905235,94230,-0.0364600010216236,67600,-0.0245399996638298,45516,-0.0101800002157688,18886,-0.149700000882149,277698,-0.135340005159378,251068,-0.153339996933937,284439,-0.138980001211166,257809,-6459,-22990,-16531,-13158,-6699,-83316,-76857,-127744,-121285,0.00766774544509419
"524","E02002525","Redcar and Cleveland 011",3424,2,50,273,34,14,2354,311,66,278,42,195.792007446289,129.792007446289,265.584991455078,-12.414999961853,2265.78588867188,-88.213996887207,124.24299621582,58.2430000305176,273.72900390625,-4.27099990844727,2313.86499023438,-40.1349983215332,750.416015625,684.416015625,195.468994140625,-82.5309982299805,1905.88696289062,-448.113006591797,1013.02801513672,947.028015136719,178.326995849609,-99.6729965209961,1715.54602050781,-638.453979492188,-0.0505300015211105,93747,-0.144240006804466,267559,-0.093699999153614,173812,-0.0838700011372566,155587,-0.0333399996161461,61840,-0.497610002756119,923171,-0.447070002555847,829424,-0.481900006532669,894041,-0.431369990110397,800294,-0.0321899987757206,59707,-0.092849999666214,172221,-0.0606600008904934,112514,-0.0542099997401237,100561,-0.022019999101758,40854,-0.325360000133514,603604,-0.293170005083084,543897,-0.321339994668961,596142,-0.28914999961853,536435,-17243,-47626,-30383,-30398,-13155,-157008,-139765,-239044,-221801,0.0173414654211744
"720","E02002548","Stockton-on-Tees 014",3729,1,70,375,68,21,2008,348,116,679,43,285.506011962891,169.505996704102,641.656005859375,-37.3440017700195,1919.80700683594,-88.1940002441406,177.873001098633,61.8730010986328,662.017028808594,-16.9829998016357,1978.43798828125,-29.5620002746582,1077.67700195312,961.677001953125,445.56298828125,-233.436996459961,1523.47998046875,-484.519989013672,1292.77502441406,1176.77502441406,418.411987304688,-260.588012695312,1394.06701660156,-613.932983398438,-0.0387100018560886,71814,-0.110239997506142,204479,-0.0715299993753433,132665,-0.0507300011813641,94091,-0.0120099997147918,22277,-0.350360006093979,649971,-0.311650007963181,578157,-0.308710008859634,572699,-0.269989997148514,500885,-0.025560000911355,47409,-0.0715800002217293,132742,-0.0460200011730194,85333,-0.0335399992763996,62210,-0.00798000022768974,14801,-0.230800002813339,428150,-0.205239996314049,380741,-0.210569992661476,390620,-0.185010001063347,343211,-10823,-30913,-20090,-15379,-4556,-107259,-96436,-155069,-144246,0.00915015089646986
"793","E02002541","Stockton-on-Tees 007",2793,2,24,267,27,11,1928,234,75,201,24,209.805999755859,134.805999755859,189.145004272461,-11.8549995422363,1835.36804199219,-92.6320037841797,141.34700012207,66.3470001220703,194.042999267578,-6.95699977874756,1883.01599121094,-44.984001159668,784.142028808594,709.142028808594,128.511001586914,-72.4889984130859,1449.73596191406,-478.264007568359,965.906982421875,890.906982421875,121.450996398926,-79.5490036010742,1314.55200195312,-613.447998046875,-0.0511900000274181,94967,-0.135639995336533,251583,-0.0844400003552437,156616,-0.0771899968385696,143196,-0.0260000005364418,48229,-0.419290006160736,777850,-0.368090003728867,682883,-0.390920013189316,725221,-0.339729994535446,630254,-0.032480001449585,60240,-0.0860000029206276,159489,-0.0535200014710426,99249,-0.0491899996995926,91236,-0.0167100001126528,30996,-0.270099997520447,501073,-0.237629994750023,440833,-0.254720002412796,472525,-0.222240000963211,412285,-14802,-39331,-24529,-25039,-10237,-130318,-115516,-182375,-167573,0.0088974566082395
"1051","E02002521","Redcar and Cleveland 007",2164,3,152,71,10,9,1488,114,23,266,28,65.5579986572266,42.5579986572266,259.372985839844,-6.6269998550415,1459.02905273438,-28.9710006713867,39.9539985656738,16.9540004730225,265.636993408203,-0.363000005483627,1475.11901855469,-12.8809995651245,246.34700012207,223.34700012207,214.138000488281,-51.8619995117188,1349.38793945312,-138.611999511719,428.183013916016,405.183013916016,184.449996948242,-81.5500030517578,1226.31396484375,-261.686004638672,-0.0259099993854761,48064,-0.068060003221035,126245,-0.0421499982476234,78181,-0.0473200008273125,87785,-0.0214099995791912,39721,-0.174730002880096,324152,-0.148819997906685,276088,-0.232620000839233,431547,-0.206709995865822,383483,-0.0154600003734231,28683,-0.0395499989390373,73350,-0.0240899994969368,44667,-0.0271499995142221,50368,-0.0116900000721216,21685,-0.109229996800423,202631,-0.0937699973583221,173948,-0.155579999089241,288615,-0.140119999647141,259932,-8764,-23028,-14264,-17009,-8245,-60584,-51820,-126546,-117782,0.0377158039689675
"1127","E02002523","Redcar and Cleveland 009",1899,1,16,259,59,8,1018,225,74,221,18,170.889999389648,96.8899993896484,208.494003295898,-12.5059995651245,966.8759765625,-51.1240005493164,147.843002319336,73.8430023193359,208.266006469727,-12.7340002059937,981.596008300781,-36.4039993286133,548.434020996094,474.433990478516,150.22900390625,-70.7710037231445,776.741027832031,-241.259002685547,664.890991210938,590.890991210938,138.511001586914,-82.4889984130859,709.281982421875,-308.717987060547,-0.0400899983942509,74378,-0.0934400036931038,173323,-0.0533500015735626,98945,-0.0696699991822243,129253,-0.0295800007879734,54875,-0.280290007591248,519998,-0.240199998021126,445620,-0.241640001535416,448295,-0.201550006866455,373917,-0.0273199994117022,50672,-0.0626899972558022,116280,-0.0353799983859062,65608,-0.0482200011610985,89445,-0.0208999998867512,38773,-0.18741999566555,347691,-0.160109996795654,297019,-0.167779996991158,311246,-0.140459999442101,260574,-11579,-26437,-14858,-22112,-10533,-76108,-64529,-104822,-93243,0.0140140198069432
"1178","E02006811","Middlesbrough 020",4198,11,96,163,30,14,3300,226,72,207,79,207.977005004883,135.977005004883,198.294998168945,-8.70499992370605,3192.83203125,-107.167999267578,142.063995361328,70.0640029907227,201.891998291016,-5.10799980163574,3245.43408203125,-54.5660018920898,787.807006835938,715.807006835938,151.671997070312,-55.3279991149902,2746.10791015625,-553.892028808594,1140.01196289062,1068.01196289062,134.960006713867,-72.0400009155273,2458.0849609375,-841.914978027344,-0.0774400010704994,143662,-0.238000005483627,441516,-0.160559996962547,297854,-0.121449999511242,225314,-0.0440099984407425,81652,-0.792519986629486,1470329,-0.715089976787567,1326667,-0.82014000415802,1521561,-0.742699980735779,1377899,-0.0491999983787537,91275,-0.151199996471405,280478,-0.101999998092651,189203,-0.0773800015449524,143555,-0.0281799994409084,52280,-0.51257997751236,950954,-0.463380008935928,859679,-0.535979986190796,994367,-0.486779987812042,903092,-18664,-57407,-38743,-34414,-15750,-202258,-183594,-324663,-305999,0.0253371471636336
"1187","E02006909","Hartlepool 014",5157,5,67,211,43,22,4132,334,60,219,64,279.401000976562,219.399993896484,206.438995361328,-12.5609998703003,3960.01196289062,-171.988006591797,120.406997680664,60.4070014953613,216.354995727539,-2.64499998092651,4083.45092773438,-48.548999786377,1238.4599609375,1178.4599609375,146.138000488281,-72.8619995117188,3217.10107421875,-914.898986816406,1510.28295898438,1450.28295898438,136.199996948242,-82.8000030517578,2991.3701171875,-1140.63000488281,-0.0593799985945225,110169,-0.218009993433952,404428,-0.15862999856472,294259,-0.091059997677803,168924,-0.0316700004041195,58755,-0.633780002593994,1175807,-0.57438999414444,1065638,-0.632099986076355,1172695,-0.572719991207123,1062526,-0.0342699997127056,63582,-0.13154000043869,244002,-0.0972699970006943,180420,-0.0537599995732307,99725,-0.0194799993187189,36143,-0.40149998664856,744859,-0.367229998111725,681277,-0.409159988164902,759070,-0.374889999628067,695488,-15548,-56786,-41238,-26275,-10727,-205418,-189870,-313000,-297452,NA
