"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02002483 E02002484","E02002483","E02002484","Hartlepool 001","Hartlepool 002",489,14,62,316,41,0,1,40,11,3,1,2.86299,50.5,36.5,57.25,291.70001,-24.3,38.38,24.38,59.27,299.28,-16.72,210.74001,196.74001,36.18,185.27,-130.73,240.22,226.22,32.34,165.64,-150.36,-0.01522,28243,-0.01087,20164,-0.01019,18903,-0.00583,10824,-0.05054,93762,-0.04618,85683,-0.03715,68932,-0.0328,60853,-6054,-4342,-4694,-2982,-25072,-23360,-28579,-26867,2.44077,3.509,3.505,1.43766,0.99886,2.45084,2.68188,1528,1890
"2","E02002483 E02002485","E02002483","E02002485","Hartlepool 001","Hartlepool 003",112,1,12,71,15,0,0,9,4,0,0,0.89286,8.78,7.78,11.11,66.09,-4.91,4,3,11.11,69.89,-1.11,48.12,47.12,6.87,40.91,-30.09,54.54,53.54,6.24,36.72,-34.28,-0.00187,3461,-0.00175,3241,-0.00039,729,-0.00027,509,-0.00862,15991,-0.0085,15771,-0.00634,11767,-0.00622,11547,-679,-634,-182,-137,-3942,-3897,-4487,-4442,2.12761,2.568,3.796,1.20699,1.47819,1.24611,1.15911,1030,1948
"3","E02002483 E02002487","E02002483","E02002487","Hartlepool 001","Hartlepool 005",393,8,18,263,45,0,0,48,9,2,0,2.03562,35.52,27.52,16.71,244.23,-18.77,19.4,11.4,17.5,255.11,-7.89,161.97,153.97,10.79,157.84,-105.16,189.03999,181.03999,9.54,139.32001,-123.68,-0.0132,24493,-0.01025,19016,-0.00625,11586,-0.00329,6109,-0.04861,90186,-0.04566,84709,-0.03986,73953,-0.03691,68476,-4452,-3464,-2446,-1458,-20398,-19410,-23818,-22830,2.99894,3.638,4.471,1.21309,1.22897,1.07202,1.23015,1454,2236
"4","E02002483 E02002488","E02002483","E02002488","Hartlepool 001","Hartlepool 006",72,1,5,58,4,0,0,3,0,1,0,1.38889,5.88,4.88,4.64,54.02,-3.98,4,3,4.53,55.63,-2.37,28.8,27.8,3.06,35.29,-22.71,34.13,33.13,2.69,30.93,-27.07,-0.00211,3914,-0.00182,3369,-0.00097,1805,-0.00068,1260,-0.00859,15932,-0.00829,15387,-0.00694,12871,-0.00664,12326,-924,-775,-598,-449,-4579,-4430,-5431,-5282,2.72227,3.879,5.043,1.42491,1.30008,1.16009,1.16994,1672,2704
"5","E02002483 E02002489","E02002483","E02002489","Hartlepool 001","Hartlepool 007",550,7,18,369,49,0,0,89,15,2,1,1.27273,43.76,36.76,16.79,344.03,-24.97,16.11,9.11,17.69,362.79001,-6.21,209.60001,202.60001,11.31,231.37,-137.63,253.23,246.23,9.86,201.7,-167.3,-0.02175,40352,-0.01827,33900,-0.00696,12913,-0.00348,6461,-0.08368,155247,-0.0802,148795,-0.07134,132355,-0.06786,125903,-7119,-5975,-2634,-1490,-34080,-32936,-41185,-40041,3.70241,4.664,5.448,1.25972,1.1681,1.00772,1.11968,1926,2686
"6","E02002483 E02002490","E02002483","E02002490","Hartlepool 001","Hartlepool 008",102,1,2,74,9,0,0,13,1,2,0,0.98039,7.63,6.63,1.86,69.15,-4.85,1.89,0.89,2,73.33,-0.67,36.65,35.65,1.25,47.93,-26.07,45.15,44.15,1.1,41.69,-32.31,-0.00464,8602,-0.00401,7433,-0.00106,1966,-0.00043,797,-0.0174,32288,-0.01677,31119,-0.01361,25240,-0.01297,24071,-1585,-1371,-404,-190,-7591,-7377,-9358,-9144,4.52807,5.586,6.153,1.23364,1.1015,0.89509,0.97513,2406,3028
"7","E02002483 E02002491","E02002483","E02002491","Hartlepool 001","Hartlepool 009",58,0,2,49,3,0,0,3,1,0,0,0,3.52,3.52,1.87,46.04,-2.96,0,0,2,49,0,19.85,19.85,1.29,32.32,-16.68,25.08,25.08,1.12,27.87,-21.13,-0.00209,3872,-0.00209,3872,0,0,0,0,-0.00915,16975,-0.00915,16975,-0.0071,13169,-0.0071,13169,-844,-844,0,0,-4764,-4764,-6035,-6035,4.49189,5.661,7.075,1.26027,1.24978,1.18354,1.08834,2486,3570
"8","E02002483 E02002492","E02002483","E02002492","Hartlepool 001","Hartlepool 010",150,5,4,111,14,0,0,12,2,1,1,3.33333,12.59,7.59,3.79,105.19,-5.81,13.29,8.29,3.64,104.74,-6.26,41.22,36.22,3,83.27,-27.73,56.55,51.55,2.58,71.54,-39.46,-0.00994,18449,-0.006,11136,-0.00883,16371,-0.00488,9058,-0.02626,48712,-0.02231,41399,-0.02375,44056,-0.0198,36743,-3564,-2151,-3706,-2293,-11683,-10270,-16032,-14619,5.68398,7.301,8.715,1.28449,1.19367,1.08204,1.02123,3064,4148
"9","E02002483 E02002493","E02002483","E02002493","Hartlepool 001","Hartlepool 011",178,7,2,134,19,0,0,11,2,1,2,3.93258,15.58,8.58,1.9,127.28,-6.72,17.27,10.27,1.97,125.19,-8.81,44.4,37.4,1.57,104.65,-29.35,62.4,55.4,1.36,90.54,-43.46,-0.0145,26893,-0.00798,14807,-0.01384,25684,-0.00733,13598,-0.03365,62426,-0.02713,50340,-0.03195,59277,-0.02544,47191,-5166,-2855,-6006,-3695,-14785,-12474,-20779,-18468,6.54594,8.257,9.668,1.26139,1.17089,0.8841,1.6446,3618,4840
"10","E02002483 E02002494","E02002483","E02002494","Hartlepool 001","Hartlepool 012",65,1,3,45,2,0,0,11,3,0,0,1.53846,4.16,3.16,2.85,42.8,-2.2,7,6,2.7,42,-3,17.02,16.02,2.25,33.65,-11.35,23.76,22.76,1.93,28.92,-16.08,-0.00335,6218,-0.00256,4744,-0.00446,8280,-0.00367,6806,-0.01087,20175,-0.01008,18701,-0.00958,17780,-0.00879,16306,-1045,-854,-1340,-1149,-4601,-4410,-6441,-6250,5.77225,7.668,9.179,1.32843,1.19705,1.06938,1.02408,3298,4418
