"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"122577",1,1,1,3.506,1326,99,28,0.00799,654,34,10245,"E02002483 E02002484",99
"122578",1,1,1,2.566,1038,57,28,0.01091,478,28,10676,"E02002483 E02002485",57
"122579",1,1,1,3.634,1476,74,35,0.00963,677,43,12261,"E02002483 E02002487",74
"122580",1,1,1,3.87,1644,81,41,0.01059,721,53,12990,"E02002483 E02002488",81
"122581",1,1,1,4.714,1902,108,42,0.00891,879,55,13676,"E02002483 E02002489",108
"122582",1,1,1,5.585,2396,127,43,0.0077,1041,66,15752,"E02002483 E02002490",127
"122583",1,1,1,5.66,2460,122,55,0.00972,1055,79,15884,"E02002483 E02002491",122
"122584",1,1,1,7.3,3032,150,65,0.0089,1361,93,18017,"E02002483 E02002492",150
"122585",1,1,1,8.398,3376,252,53,0.00631,1565,98,27174,"E02002483 E02002493",252
"122586",1,1,1,7.668,3260,158,69,0.009,1429,107,18708,"E02002483 E02002494",158
"122587",1,1,1,24.927,10262,578,100,0.00401,4647,314,78323,"E02002483 E02002496",578
"122588",1,1,1,26.169,11002,628,126,0.00481,4878,339,83725,"E02002483 E02002506",628
"122590",1,1,1,15.77,6782,363,165,0.01046,2940,225,80419,"E02002483 E02002537",363
"122591",1,1,1,16.819,7344,397,181,0.01076,3135,247,97534,"E02002483 E02002538",397
"122592",1,1,1,20.496,9052,408,268,0.01308,3821,336,89127,"E02002483 E02002539",408
"122593",1,1,1,21.664,9752,476,369,0.01703,4038,361,130202,"E02002483 E02002543",476
"122594",1,1,1,18.759,8284,486,201,0.01071,3497,274,105197,"E02002483 E02002544",486
"122595",1,1,1,21.419,9658,587,224,0.01046,3993,313,116941,"E02002483 E02002548",587
"122596",1,1,1,22.603,10440,687,258,0.01141,4213,340,125539,"E02002483 E02002551",687
"122610",1,1,1,4.849,2144,126,58,0.01196,904,72,13768,"E02002483 E02006909",126
"122611",1,1,1,29.793,12610,722,119,0.00399,5554,388,103972,"E02002483 E02006910",722
"122613",1,1,1,3.083,1424,87,18,0.00584,575,48,6410,"E02002484 E02002485",87
"122614",1,1,1,3.208,1448,117,21,0.00655,598,51,5565,"E02002484 E02002487",117
"122615",1,1,1,4.238,1950,132,37,0.00873,790,73,7694,"E02002484 E02002488",132
"122616",1,1,1,4.236,1840,150,24,0.00567,790,62,6870,"E02002484 E02002489",150
"122617",1,1,1,4.845,2188,168,25,0.00516,903,70,8525,"E02002484 E02002490",168
"122618",1,1,1,6.071,2736,170,49,0.00807,1132,99,10239,"E02002484 E02002491",170
"122619",1,1,1,5.901,2856,226,27,0.00458,1100,87,52287,"E02002484 E02002492",226
"122620",1,1,1,6.41,2664,230,33,0.00515,1195,85,22468,"E02002484 E02002493",230
"122621",1,1,1,8.079,3536,206,63,0.0078,1506,126,13063,"E02002484 E02002494",206
"122622",1,1,1,23.872,9662,610,72,0.00302,4450,311,76027,"E02002484 E02002496",610
"122623",1,1,1,25.114,10402,660,98,0.0039,4682,337,81429,"E02002484 E02002506",660
"122625",1,1,1,14.981,6916,470,129,0.00861,2793,227,137365,"E02002484 E02002537",470
"122626",1,1,1,16.03,7478,504,145,0.00905,2988,248,154480,"E02002484 E02002538",504
"122627",1,1,1,19.707,9186,515,232,0.01177,3674,337,146073,"E02002484 E02002539",515
"122628",1,1,1,20.278,9644,669,191,0.00942,3780,321,179138,"E02002484 E02002543",669
"122629",1,1,1,20.63,9792,694,188,0.00911,3846,314,173887,"E02002484 E02002548",694
"122630",1,1,1,25.114,10374,641,96,0.00382,4682,338,80286,"E02002484 E02002551",641
"122635",1,1,1,5.611,2560,158,52,0.00927,1046,95,11597,"E02002484 E02006909",158
"122636",1,1,1,28.738,12010,754,91,0.00317,5357,385,101676,"E02002484 E02006910",754
"122639",1,1,1,1.34,558,22,11,0.00821,250,19,1985,"E02002485 E02002487",22
"122640",1,1,1,1.576,726,29,17,0.01079,294,29,2714,"E02002485 E02002488",29
"122641",1,1,1,2.42,984,56,18,0.00744,451,30,3400,"E02002485 E02002489",56
"122642",1,1,1,3.291,1478,75,19,0.00577,613,42,5476,"E02002485 E02002490",75
"122643",1,1,1,3.366,1542,70,31,0.00921,627,55,5608,"E02002485 E02002491",70
"122644",1,1,1,5.006,2114,98,41,0.00819,933,69,7741,"E02002485 E02002492",98
"122645",1,1,1,6.109,2542,172,45,0.00737,1139,75,15566,"E02002485 E02002493",172
"122646",1,1,1,5.374,2342,106,45,0.00837,1002,82,8432,"E02002485 E02002494",106
