"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",10,32.08,22.48,109.59,177.65,3,18.97,3.69,115.3,125.02,1
"2",4,16.52,5.75,67.26,91.8,NA,NA,NA,NA,NA,0
"3",14,48.6,28.23,176.85,269.45,NA,NA,NA,NA,NA,0
"4",11,33.89,25.08,113.6,184.27,NA,NA,NA,NA,NA,0
"5",11,33.89,25.08,113.6,184.27,NA,NA,NA,NA,NA,0
"6",4,16.52,5.75,67.26,91.8,4,12.19,4,60.14,62.82,1
"7",1,1.81,2.6,4.01,6.62,NA,NA,NA,NA,NA,0
"8",7,23.4,20.15,84,130.34,0,3.55,0,26.93,28.11,1
"9",4,10.49,4.93,29.6,53.93,0,3.55,0,26.93,28.11,1
"10",4,16.18,14.46,61.83,97.49,0,3.55,0,26.93,28.11,1
"11",3,7.22,5.69,22.17,32.85,0,3.55,0,26.93,28.11,1
"12",6,20.34,7.41,73.7,109.86,NA,NA,NA,NA,NA,0
"13",2,9.85,2.48,44.1,55.93,0,3.55,0,26.93,28.11,1
"14",10,40.19,37.22,165.18,220.1,0,3.55,0,26.93,28.11,1
"15",6,24.01,22.76,103.35,122.61,0,3.55,0,26.93,28.11,1
"16",1,6.9,1.48,32.93,42.71,0,3.55,0,26.93,28.11,1
"17",1,2.95,1,11.17,13.22,0,3.55,0,26.93,28.11,1
"18",21,77.87,41.52,333.09001,394.92999,0,3.55,0,26.93,28.11,1
"19",9,33.29,35.74,132.25,177.39,0,3.55,0,26.93,28.11,1
"20",27,101.88,64.28,436.44,517.53999,NA,NA,NA,NA,NA,0
"21",17,40.27,43.64,150.29,173.57,0,3.55,0,26.93,28.11,1
"22",13,38.81,26.14,134.13,193.84,17,46.9,30.75,200.89999,223.23,1
"23",1,9.79,2.09,42.72,75.61,17,46.9,30.75,200.89999,223.23,1
"24",46,164.15,106.29,694.75998,823.13999,4,12.19,4,60.14,62.82,1
"25",3,8.65,10.69,35.88,37.82,NA,NA,NA,NA,NA,0
"26",24,93.23,53.59,400.56,479.71999,NA,NA,NA,NA,NA,0
"27",26,73.56,79.38,282.54,350.96,0,3.55,0,26.93,28.11,1
"28",37,133.8,90.59,574.08999,660.40999,4,12.19,4,60.14,62.82,1
"29",9,30.35,15.7,120.67,162.73,4,12.19,4,60.14,62.82,1
"30",17,37.61,30.01,138.56,190.27,17,46.9,30.75,200.89999,223.23,1
"31",18,47.4,32.1,181.28,265.88,17,46.9,30.75,200.89999,223.23,1
"32",13,47.51,39.76,201.58,236.75,NA,NA,NA,NA,NA,0
"33",24,86.29,50.83,372.50999,423.66,NA,NA,NA,NA,NA,0
"34",5,18.74,9.95,79.29,107.49,NA,NA,NA,NA,NA,0
"35",4,11.61,5.75,41.38,55.24,4,12.19,4,60.14,62.82,1
"36",20,63.27,67.05,255.98,319.58,0,3.55,0,26.93,28.11,1
"37",6,10.29,12.33,26.56,31.38,NA,NA,NA,NA,NA,0
"38",4,16.15,11.28,55.75,115.72,3,18.97,3.69,115.3,125.02,1
"39",0,0.73,0,2.95,7.46,17,46.9,30.75,200.89999,223.23,1
"40",18,46.67,32.1,178.33,258.42,17,46.9,30.75,200.89999,223.23,1
"41",19,74.36,41.83,319.44001,389.90999,NA,NA,NA,NA,NA,0
"42",20,57.51,39.66,192.04,313.63,17,46.9,30.75,200.89999,223.23,1
"43",38,104.18,71.76,370.37,572.05,17,46.9,30.75,200.89999,223.23,1
"44",38,104.91,71.76,373.32,579.51,NA,NA,NA,NA,NA,0
"45",4,12.21,11.97,49.76,65.12,NA,NA,NA,NA,NA,0
"46",25,71.1,64.08,276.64,330.78,NA,NA,NA,NA,NA,0
"47",9,21.14,9,74.38,84.88,0,3.55,0,26.93,28.11,1
"48",0,0.55,0,1.98,4.28,NA,NA,NA,NA,NA,0
"49",9,20.59,9,72.4,80.6,NA,NA,NA,NA,NA,0
"50",0,4.91,0,25.88,36.56,NA,NA,NA,NA,NA,0
"51",73,211.32,132.33,732.23,981.58,17,46.9,30.75,200.89999,223.23,1
"52",60,172.51,106.19,598.1,787.74,17,46.9,30.75,200.89999,223.23,1
"53",4,14.32,14,60.23,73.47,NA,NA,NA,NA,NA,0
"54",15,60.04,27.83,259.21001,316.43999,NA,NA,NA,NA,NA,0
"55",43,162.93,76.89,674.97,909.07,NA,NA,NA,NA,NA,0
"56",6,12.65,7.14,41.15,51.57,9,29.17,16.7,154.61,164.49,1
"57",7,22.97,24.69,96.11,111.29,3,7.77,5.71,36.54,38.5,1
"58",15,30.88,21.33,98.96,111.98,3,7.77,5.71,36.54,38.5,1
"59",9,20.59,9,72.4,80.6,3,7.77,5.71,36.54,38.5,1
"60",6,16.83,8.87,65.82,68.47,3,7.77,5.71,36.54,38.5,1
"61",33,129.5,69.79,565.9,671.62999,3,7.77,5.71,36.54,38.5,1
"62",6,10.29,12.33,26.56,31.38,3,7.77,5.71,36.54,38.5,1
"63",69,267.97,171.62,1140.55998,1415.22999,9,29.17,16.7,154.61,164.49,1
"64",80,230.02,145.85,790.14,1101.37,NA,NA,NA,NA,NA,0
