"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"131","E02002484","Hartlepool 002",3345,1,41,392,92,25,1881,315,100,464,34,265.561,165.561,434.30499,-29.695,1794.95203,-86.048,200.20799,100.208,438.97699,-25.023,1831.88403,-49.116,952.96301,852.96301,296.172,-167.828,1449.00903,-431.991,1125.17102,1025.17102,278.008,-185.992,1344.99304,-536.00702,-0.08469,157110,-0.18313,339717,-0.09844,182607,-0.12982,240838,-0.04513,83728,-0.40753,756045,-0.32284,598935,-0.36978,686014,-0.28509,528904,-0.04711,87384,-0.10844,201146,-0.06134,113762,-0.07127,132211,-0.02416,44827,-0.25923,480914,-0.21213,393530,-0.24432,453249,-0.19722,365865,-19422,-40744,-21322,-33870,-14448,-108931,-89509,-156622,-137200,0.00787
"340","E02002527","Redcar and Cleveland 013",1769,1,14,178,2,12,1094,152,8,299,9,22.162,14.162,295.38901,-3.611,1086.28003,-7.72,17.253,9.253,297.078,-1.923,1088.94995,-5.05,96.293,88.293,269.03101,-29.969,1051.94702,-42.053,254.00999,246.00999,227.44099,-71.559,967.88501,-126.115,-0.01064,19740,-0.02323,43083,-0.01259,23343,-0.01661,30806,-0.00597,11066,-0.05131,95173,-0.04067,75433,-0.0953,176801,-0.08466,157061,-0.0054,10023,-0.0124,22992,-0.007,12969,-0.00863,16006,-0.00323,5983,-0.03273,60702,-0.02733,50679,-0.07033,130460,-0.06493,120437,-3545,-7816,-4271,-5926,-2381,-18655,-15110,-60586,-57041,0.03249
"388","E02002488","Hartlepool 006",2650,5,48,67,28,9,1908,188,48,308,41,164.681,116.681,288.80301,-19.197,1826.10498,-81.895,98.834,50.834,298.728,-9.272,1872.55701,-35.443,704.43201,656.43201,191.687,-116.313,1456.12,-451.88,835.95398,787.95398,179.149,-128.851,1355.28003,-552.71997,-0.02293,42534,-0.08284,153658,-0.05991,111124,-0.03994,74085,-0.01701,31551,-0.2344,434852,-0.21148,392318,-0.23206,430498,-0.20913,387964,-0.01436,26630,-0.05081,94230,-0.03646,67600,-0.02454,45516,-0.01018,18886,-0.1497,277698,-0.13534,251068,-0.15334,284439,-0.13898,257809,-6459,-22990,-16531,-13158,-6699,-83316,-76857,-127744,-121285,0.00767
"524","E02002525","Redcar and Cleveland 011",3424,2,50,273,34,14,2354,311,66,278,42,195.79201,129.79201,265.58499,-12.415,2265.78589,-88.214,124.243,58.243,273.729,-4.271,2313.86499,-40.135,750.41602,684.41602,195.46899,-82.531,1905.88696,-448.11301,1013.02802,947.02802,178.327,-99.673,1715.54602,-638.45398,-0.05053,93747,-0.14424,267559,-0.0937,173812,-0.08387,155587,-0.03334,61840,-0.49761,923171,-0.44707,829424,-0.4819,894041,-0.43137,800294,-0.03219,59707,-0.09285,172221,-0.06066,112514,-0.05421,100561,-0.02202,40854,-0.32536,603604,-0.29317,543897,-0.32134,596142,-0.28915,536435,-17243,-47626,-30383,-30398,-13155,-157008,-139765,-239044,-221801,0.01734
"720","E02002548","Stockton-on-Tees 014",3729,1,70,375,68,21,2008,348,116,679,43,285.50601,169.506,641.65601,-37.344,1919.80701,-88.194,177.873,61.873,662.01703,-16.983,1978.43799,-29.562,1077.677,961.677,445.56299,-233.437,1523.47998,-484.51999,1292.77502,1176.77502,418.41199,-260.58801,1394.06702,-613.93298,-0.03871,71814,-0.11024,204479,-0.07153,132665,-0.05073,94091,-0.01201,22277,-0.35036,649971,-0.31165,578157,-0.30871,572699,-0.26999,500885,-0.02556,47409,-0.07158,132742,-0.04602,85333,-0.03354,62210,-0.00798,14801,-0.2308,428150,-0.20524,380741,-0.21057,390620,-0.18501,343211,-10823,-30913,-20090,-15379,-4556,-107259,-96436,-155069,-144246,0.00915
"793","E02002541","Stockton-on-Tees 007",2793,2,24,267,27,11,1928,234,75,201,24,209.806,134.806,189.145,-11.855,1835.36804,-92.632,141.347,66.347,194.043,-6.957,1883.01599,-44.984,784.14203,709.14203,128.511,-72.489,1449.73596,-478.26401,965.90698,890.90698,121.451,-79.549,1314.552,-613.448,-0.05119,94967,-0.13564,251583,-0.08444,156616,-0.07719,143196,-0.026,48229,-0.41929,777850,-0.36809,682883,-0.39092,725221,-0.33973,630254,-0.03248,60240,-0.086,159489,-0.05352,99249,-0.04919,91236,-0.01671,30996,-0.2701,501073,-0.23763,440833,-0.25472,472525,-0.22224,412285,-14802,-39331,-24529,-25039,-10237,-130318,-115516,-182375,-167573,0.0089
"1051","E02002521","Redcar and Cleveland 007",2164,3,152,71,10,9,1488,114,23,266,28,65.558,42.558,259.37299,-6.627,1459.02905,-28.971,39.954,16.954,265.63699,-0.363,1475.11902,-12.881,246.347,223.347,214.138,-51.862,1349.38794,-138.612,428.18301,405.18301,184.45,-81.55,1226.31396,-261.686,-0.02591,48064,-0.06806,126245,-0.04215,78181,-0.04732,87785,-0.02141,39721,-0.17473,324152,-0.14882,276088,-0.23262,431547,-0.20671,383483,-0.01546,28683,-0.03955,73350,-0.02409,44667,-0.02715,50368,-0.01169,21685,-0.10923,202631,-0.09377,173948,-0.15558,288615,-0.14012,259932,-8764,-23028,-14264,-17009,-8245,-60584,-51820,-126546,-117782,0.03772
"1127","E02002523","Redcar and Cleveland 009",1899,1,16,259,59,8,1018,225,74,221,18,170.89,96.89,208.494,-12.506,966.87598,-51.124,147.843,73.843,208.26601,-12.734,981.59601,-36.404,548.43402,474.43399,150.229,-70.771,776.74103,-241.259,664.89099,590.89099,138.511,-82.489,709.28198,-308.71799,-0.04009,74378,-0.09344,173323,-0.05335,98945,-0.06967,129253,-0.02958,54875,-0.28029,519998,-0.2402,445620,-0.24164,448295,-0.20155,373917,-0.02732,50672,-0.06269,116280,-0.03538,65608,-0.04822,89445,-0.0209,38773,-0.18742,347691,-0.16011,297019,-0.16778,311246,-0.14046,260574,-11579,-26437,-14858,-22112,-10533,-76108,-64529,-104822,-93243,0.01401
"1178","E02006811","Middlesbrough 020",4198,11,96,163,30,14,3300,226,72,207,79,207.97701,135.97701,198.295,-8.705,3192.83203,-107.168,142.064,70.064,201.892,-5.108,3245.43408,-54.566,787.80701,715.80701,151.672,-55.328,2746.10791,-553.89203,1140.01196,1068.01196,134.96001,-72.04,2458.08496,-841.91498,-0.07744,143662,-0.238,441516,-0.16056,297854,-0.12145,225314,-0.04401,81652,-0.79252,1470329,-0.71509,1326667,-0.82014,1521561,-0.7427,1377899,-0.0492,91275,-0.1512,280478,-0.102,189203,-0.07738,143555,-0.02818,52280,-0.51258,950954,-0.46338,859679,-0.53598,994367,-0.48678,903092,-18664,-57407,-38743,-34414,-15750,-202258,-183594,-324663,-305999,0.02534
"1187","E02006909","Hartlepool 014",5157,5,67,211,43,22,4132,334,60,219,64,279.401,219.39999,206.439,-12.561,3960.01196,-171.98801,120.407,60.407,216.355,-2.645,4083.45093,-48.549,1238.45996,1178.45996,146.138,-72.862,3217.10107,-914.89899,1510.28296,1450.28296,136.2,-82.8,2991.37012,-1140.63,-0.05938,110169,-0.21801,404428,-0.15863,294259,-0.09106,168924,-0.03167,58755,-0.63378,1175807,-0.57439,1065638,-0.6321,1172695,-0.57272,1062526,-0.03427,63582,-0.13154,244002,-0.09727,180420,-0.05376,99725,-0.01948,36143,-0.4015,744859,-0.36723,681277,-0.40916,759070,-0.37489,695488,-15548,-56786,-41238,-26275,-10727,-205418,-189870,-313000,-297452,NA
