"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"8","E02003928","Cornwall 071",5279,4,18,83,5,65,3574,310,231,953,36,316.175994873047,85.1760025024414,927,-26,3522.498046875,-51.5019989013672,336.622009277344,105.622001647949,929.703002929688,-23.2970008850098,3503.0390625,-70.9609985351562,635.932983398438,404.933013916016,773.984985351562,-179.014999389648,3375.751953125,-198.248001098633,1050.89099121094,819.890991210938,654.77099609375,-298.22900390625,3116.00805664062,-457.992004394531,-0.254319995641708,471848,-0.304809987545013,565500,-0.0504800006747246,93652,-0.315059989690781,584530,-0.0607400014996529,112682,-0.30689999461174,569379,-0.0525799989700317,97531,-0.393799990415573,730608,-0.139479994773865,258760,-0.170120000839233,315626,-0.201499998569489,373817,-0.0313699990510941,58191,-0.208700001239777,387183,-0.0385700017213821,71557,-0.206630006432533,383350,-0.0365099981427193,67724,-0.275660008192062,511418,-0.105539999902248,195792,-101351,-124599,-23248,-138377,-37026,-149764,-48413,-282859,-181508,0.0341234916589633
"237","E02003949","Cornwall 068",2471,2,64,78,6,22,1094,140,57,984,24,99.6100006103516,42.6100006103516,960.758972167969,-23.2409992218018,1079.11694335938,-14.8830003738403,76.6989974975586,19.6989994049072,976.323974609375,-7.67600011825562,1084.78796386719,-9.21199989318848,362.747009277344,305.747009277344,796.007019042969,-187.99299621582,1003.14501953125,-90.8550033569336,582.721984863281,525.721984863281,690.655029296875,-293.345001220703,915.820007324219,-178.179992675781,-0.0142099997028708,26365,-0.0217000003904104,40252,-0.00749000022187829,13887,-0.0183700006455183,34076,-0.00416000001132488,7711,-0.0314100012183189,58268,-0.0172000005841255,31903,-0.0391599982976913,72645,-0.0249499995261431,46280,-0.00985000003129244,18278,-0.0144899999722838,26864,-0.00462999986484647,8586,-0.0127199999988079,23596,-0.00286999996751547,5318,-0.0226499997079372,42016,-0.0127999996766448,23738,-0.0321800000965595,59687,-0.0223200004547834,41409,-6205,-9846,-3641,-8726,-2521,-20887,-14682,-48040,-41835,0.0292025458629727
"238","E02003941","Cornwall 014",3178,0,17,29,24,31,2196,242,38,582,19,92.3850021362305,54.3849983215332,567.744995117188,-14.2550001144409,2161.64111328125,-34.359001159668,75.7200012207031,37.7200012207031,573.536010742188,-8.46399974822998,2170.63891601562,-25.3610000610352,429.701995849609,391.701995849609,472.066009521484,-109.93399810791,1955.4189453125,-240.580993652344,736.206970214844,698.206970214844,397.993011474609,-184.00700378418,1758.01196289062,-437.988006591797,-0.0161400008946657,29938,-0.0304199997335672,56421,-0.0142799997702241,26483,-0.0268300008028746,49770,-0.0106899999082088,19832,-0.0706399977207184,131045,-0.0544999986886978,101107,-0.0955799967050552,177318,-0.0794399976730347,147380,-0.00886000040918589,16429,-0.0173099990934134,32089,-0.00844999961555004,15660,-0.0147799998521805,27420,-0.00592999998480082,10991,-0.0447899997234344,83075,-0.0359300002455711,66646,-0.0641700029373169,119044,-0.0553099997341633,102615,-6972,-13683,-6711,-13589,-6617,-39806,-32834,-89121,-82149,0.0263537452782168
"355","E02003945","Cornwall 058",2108,3,31,94,11,32,1560,156,35,167,19,65.0110015869141,30.0109996795654,163.201995849609,-3.79800009727478,1539.97302246094,-20.0270004272461,62.4379997253418,27.4379997253418,163.279006958008,-3.72099995613098,1543.02197265625,-16.9780006408691,205.776992797852,170.776992797852,141.291000366211,-25.7089996337891,1452.85095214844,-107.149002075195,391.136993408203,356.136993408203,121.842002868652,-45.1580009460449,1323.36401367188,-236.636993408203,-0.023080000653863,42819,-0.0412399992346764,76505,-0.0181600004434586,33686,-0.0306599996984005,56873,-0.00757999997586012,14054,-0.0899199992418289,166820,-0.0668400004506111,124001,-0.138209998607635,256413,-0.115129999816418,213594,-0.015429999679327,28621,-0.0268500000238419,49790,-0.0114200003445148,21169,-0.0204499997198582,37938,-0.00502000004053116,9317,-0.0587400011718273,108965,-0.0433100014925003,80344,-0.0935899987816811,173628,-0.0781600028276443,145007,-9038,-16163,-7125,-13145,-4107,-37854,-28816,-92029,-82991,0.0316409584987951
"443","E02003915","Cornwall 062",2759,4,57,91,34,41,1494,170,75,755,38,119.647003173828,44.6469993591309,737.059020996094,-17.9409999847412,1474.19897460938,-19.8010005950928,136.119003295898,61.1189994812012,728.804016113281,-26.1959991455078,1468.07397460938,-25.9260005950928,354.239990234375,279.239990234375,628.908996582031,-126.091003417969,1380.83703613281,-113.16300201416,621.788024902344,546.788024902344,538.987976074219,-216.011993408203,1245.50500488281,-248.494995117188,-0.0260400008410215,48312,-0.0364100001752377,67526,-0.0103599997237325,19214,-0.0354400016367435,65750,-0.00939999986439943,17438,-0.0569900013506413,105729,-0.0309500005096197,57417,-0.0749199986457825,138985,-0.0488799996674061,90673,-0.0147799998521805,27425,-0.0214399993419647,39769,-0.00665999995544553,12344,-0.0205000005662441,38023,-0.00571000017225742,10598,-0.0370899997651577,68796,-0.022299999371171,41371,-0.0555200017988682,102994,-0.0407399982213974,75569,-11795,-16675,-4880,-18637,-6842,-31619,-19824,-73088,-61293,0.0335535128318403
"503","E02003932","Cornwall 002",2240,1,11,17,2,20,1882,131,32,123,21,63.7290000915527,31.7290000915527,120.337997436523,-2.66199994087219,1856.05297851562,-25.94700050354,54.4710006713867,22.4710006713867,121.633003234863,-1.36699998378754,1863.23901367188,-18.7609996795654,215.194000244141,183.194000244141,105.738998413086,-17.2609996795654,1734.05297851562,-147.947006225586,402.082000732422,370.082000732422,93.0339965820312,-29.9659996032715,1578.4990234375,-303.501007080078,-0.0219899993389845,40796,-0.0413799993693829,76757,-0.0193900000303984,35961,-0.0355999991297722,66046,-0.0136099997907877,25250,-0.109920002520084,203927,-0.0879300013184547,163131,-0.147679999470711,273991,-0.125689998269081,233195,-0.0120700001716614,22394,-0.0238600000739098,44256,-0.0117899999022484,21862,-0.0187299996614456,34739,-0.00665999995544553,12345,-0.0684200003743172,126931,-0.0563500002026558,104537,-0.094650000333786,175602,-0.0825800001621246,153208,-9113,-17316,-8203,-17144,-8031,-50685,-41572,-103742,-94629,NA
"516","E02003947","Cornwall 065",2266,2,33,101,4,34,1683,149,55,176,29,80.0419998168945,25.0419998168945,173.634002685547,-2.3659999370575,1664.4560546875,-18.5440006256104,98.3050003051758,43.3050003051758,173.800003051758,-2.20000004768372,1649.24499511719,-33.7550010681152,205.341995239258,150.341995239258,159.218994140625,-16.7810001373291,1574.6669921875,-108.333000183105,428.713012695312,373.713012695312,138.951995849609,-37.0480003356934,1407.85302734375,-275.147003173828,-0.0285400003194809,52953,-0.0407299995422363,75552,-0.0121799996122718,22599,-0.0464500002563,86164,-0.0178999993950129,33211,-0.0733800008893013,136137,-0.0448400005698204,83184,-0.122560001909733,227369,-0.0940100029110909,174416,-0.0182600002735853,33866,-0.0257200002670288,47710,-0.00747000006958842,13844,-0.0297100003808737,55108,-0.0114500001072884,21242,-0.0471599996089935,87479,-0.0288999993354082,53613,-0.0811899974942207,150612,-0.0629300028085709,116746,-11234,-15961,-4727,-21210,-9976,-30338,-19104,-74548,-63314,0.0427524243942559
"611","E02003910","Cornwall 044",2761,2,69,118,3,22,1379,92,66,996,14,117.156997680664,51.1570014953613,970.043029785156,-25.9570007324219,1358.64001464844,-20.3600006103516,110.291999816895,44.2919998168945,978.827026367188,-17.1730003356934,1358.73095703125,-20.2689990997314,421.953002929688,355.953002929688,793.260986328125,-202.738998413086,1253.13098144531,-125.869003295898,688.909973144531,622.909973144531,674.861999511719,-321.138000488281,1133.18103027344,-245.819000244141,-0.0234099999070168,43426,-0.03175999969244,58905,-0.00834999978542328,15479,-0.0351199992001057,65142,-0.0117100002244115,21716,-0.0405699983239174,75247,-0.0171600002795458,31821,-0.0507199987769127,94079,-0.0273100007325411,50653,-0.0138900000602007,25770,-0.0190399996936321,35308,-0.00515000009909272,9538,-0.0203499998897314,37742,-0.00645000021904707,11972,-0.0268500000238419,49802,-0.0129599999636412,24032,-0.0380499996244907,70582,-0.02415999956429,44812,-9447,-14036,-4589,-16335,-6888,-28682,-19235,-66213,-56766,0.0412597505995959
"629","E02003927","Cornwall 066",3103,8,41,73,4,46,2481,158,50,201,41,86.8209991455078,36.8209991455078,197.973999023438,-3.02600002288818,2451.39990234375,-29.6000003814697,79.3560028076172,29.3560009002686,198.787994384766,-2.21199989318848,2457.087890625,-23.9120006561279,254.511993408203,204.511993408203,180.561004638672,-20.4389991760254,2319.88598632812,-161.113998413086,532.572021484375,482.571990966797,160.768005371094,-40.2319984436035,2092.46801757812,-388.532012939453,-0.0336400009691715,62399,-0.0587400011718273,108968,-0.025110000744462,46569,-0.0501900017261505,93098,-0.016550000756979,30699,-0.128429993987083,238271,-0.0948000028729439,175872,-0.216499999165535,401655,-0.182870000600815,339256,-0.0200699996203184,37223,-0.0356400012969971,66095,-0.0155699998140335,28872,-0.0300600007176399,55759,-0.00999000016599894,18536,-0.0817200019955635,151589,-0.0616500005125999,114366,-0.14214999973774,263701,-0.122079998254776,226478,-13655,-23842,-10187,-23368,-9713,-56614,-42959,-146025,-132370,NA
"675","E02003894","Cornwall 013",3310,2,16,56,0,37,2421,189,26,532,31,57.8190002441406,31.8190002441406,521.968994140625,-10.0310001373291,2401.96899414062,-19.0310001373291,48.4729995727539,22.4729995727539,526.059020996094,-5.94099998474121,2406.89990234375,-14.1000003814697,216.376998901367,190.376998901367,458.972991943359,-73.0270004272461,2318.455078125,-102.544998168945,491.338989257812,465.338989257812,383.783996582031,-148.216003417969,2143.72192382812,-277.278015136719,-0.0247499998658895,45914,-0.0420200005173683,77923,-0.0172700006514788,32009,-0.0368300005793571,68321,-0.012079999782145,22407,-0.0691400021314621,128240,-0.0443900004029274,82326,-0.122400000691414,227054,-0.0976499989628792,181140,-0.0138400001451373,25675,-0.0240599997341633,44604,-0.010219999589026,18929,-0.0205700006335974,38158,-0.00673000002279878,12483,-0.0441300012171268,81833,-0.0302799995988607,56158,-0.0864000022411346,160274,-0.0725599974393845,134599,-10408,-18892,-8484,-17940,-7532,-43300,-32892,-131536,-121128,NA
"817","E02003948","Cornwall 067",2893,2,52,69,14,53,1657,177,86,759,24,138.192001342773,52.1920013427734,738.89599609375,-20.1040000915527,1631.40600585938,-25.5939998626709,144.341995239258,58.3419990539551,734.361999511719,-24.6380004882812,1630.01904296875,-26.9810009002686,429.670989990234,343.670989990234,615.111999511719,-143.888000488281,1498.25805664062,-158.742004394531,696.731018066406,610.731018066406,531.018981933594,-227.981002807617,1353.00695800781,-303.993011474609,-0.0169200003147125,31387,-0.0276399999856949,51269,-0.0107199996709824,19882,-0.0213900003582239,39684,-0.00447000004351139,8297,-0.0477200001478195,88518,-0.030799999833107,57131,-0.0661799982190132,122776,-0.049260001629591,91389,-0.0116499997675419,21614,-0.018130000680685,33625,-0.00647999998182058,12011,-0.0149400001391768,27714,-0.00328999990597367,6100,-0.032770000398159,60786,-0.0211200006306171,39172,-0.049710001796484,92224,-0.0380599983036518,70610,-7866,-12919,-5053,-11518,-3652,-28055,-20189,-65115,-57249,0.0290524176563128
"969","E02003964","Cornwall 041",2580,3,27,60,5,26,1994,145,31,263,26,63.4029998779297,32.4029998779297,257.141998291016,-5.85799980163574,1970.74304199219,-23.2569999694824,52.3790016174316,21.378999710083,258.533996582031,-4.46600008010864,1979.15698242188,-14.8430004119873,202.660995483398,171.660995483398,225.384994506836,-37.6150016784668,1876.8349609375,-117.165000915527,408.869995117188,377.869995117188,198.466995239258,-64.5329971313477,1719.06298828125,-274.93701171875,-0.0260600000619888,48342,-0.048930000513792,90766,-0.0228700004518032,42424,-0.0345599986612797,64112,-0.008500000461936,15770,-0.103730000555515,192442,-0.0776700004935265,144100,-0.166549995541573,308981,-0.140489995479584,260639,-0.0153000000864267,28378,-0.0293099991977215,54354,-0.0140100000426173,25976,-0.0208400003612041,38652,-0.00553999980911613,10274,-0.0666399970650673,123616,-0.0513399988412857,95238,-0.114610001444817,212627,-0.099310003221035,184249,-11642,-21647,-10005,-17250,-5608,-51855,-40213,-132427,-120785,NA
