"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"175071",1,1,1,6.938,3180,107,204,0.0294,1293,122,31573,"E02003892 E02003894",107
"175072",1,1,1,19.806,10520,389,801,0.04044,3692,485,106362,"E02003892 E02003895",389
"175073",1,1,1,20.34,10658,380,812,0.03992,3792,484,107630,"E02003892 E02003896",380
"175074",1,1,1,17.444,8592,385,681,0.03904,3252,369,71171,"E02003892 E02003897",385
"175075",1,1,1,23.677,11292,367,923,0.03898,4414,484,70975,"E02003892 E02003898",367
"175076",1,1,1,17.399,8432,380,690,0.03966,3243,363,70726,"E02003892 E02003899",380
"175077",1,1,1,17.979,8824,375,692,0.03849,3351,383,72631,"E02003892 E02003900",375
"175078",1,1,1,20.671,10568,279,785,0.03798,3853,468,105608,"E02003892 E02003935",279
"175079",1,1,1,20.276,9072,278,561,0.02767,3780,366,63274,"E02003892 E02003936",278
"175093",1,1,1,13.216,6940,281,549,0.04154,2464,319,28371,"E02003893 E02003894",281
"175094",1,1,1,4.976,2336,178,178,0.03577,928,98,10090,"E02003893 E02003895",178
"175095",1,1,1,5.131,2298,155,181,0.03528,956,90,10419,"E02003893 E02003896",155
"175096",1,1,1,22.467,10930,430,826,0.03677,4188,467,60707,"E02003893 E02003897",430
"175097",1,1,1,19.246,8412,468,644,0.03346,3588,330,35268,"E02003893 E02003898",468
"175098",1,1,1,23.435,11182,469,843,0.03597,4369,475,61904,"E02003893 E02003899",469
"175099",1,1,1,24.05,11588,462,845,0.03514,4483,496,64184,"E02003893 E02003900",462
"175100",1,1,1,16.814,9156,478,757,0.04502,3134,425,37258,"E02003893 E02003901",478
"175102",1,1,1,18.226,9556,776,822,0.0451,3398,441,52652,"E02003893 E02003904",776
"175103",1,1,1,19.952,11400,487,990,0.04962,3719,564,58890,"E02003893 E02003935",487
"175104",1,1,1,14.103,7742,359,716,0.05077,2629,376,35820,"E02003893 E02003936",359
"175105",1,1,1,24.328,14074,465,1285,0.05282,4535,690,64141,"E02003893 E02003940",465
"175106",1,1,1,22.83,11568,526,849,0.03719,4256,502,111400,"E02003893 E02003941",526
"175107",1,1,1,24.512,12328,575,894,0.03647,4569,537,115874,"E02003893 E02003942",575
"175127",1,1,1,13.325,7732,294,645,0.04841,2484,389,69880,"E02003894 E02003895",294
"175128",1,1,1,13.859,7870,285,656,0.04733,2583,387,71148,"E02003894 E02003896",285
"175129",1,1,1,14.062,6678,288,461,0.03278,2621,278,82535,"E02003894 E02003897",288
"175130",1,1,1,17.442,8942,349,805,0.04615,3251,406,43817,"E02003894 E02003898",349
"175131",1,1,1,14.597,6910,278,472,0.03234,2721,292,83995,"E02003894 E02003900",278
"175132",1,1,1,24.673,14978,722,1304,0.05285,4599,755,106698,"E02003894 E02003901",722
"175133",1,1,1,19.759,13872,380,707,0.03578,3683,404,87562,"E02003894 E02003902",380
"175134",1,1,1,27.86,14922,666,1290,0.0463,5193,706,84997,"E02003894 E02003903",666
"175135",1,1,1,25.575,14108,654,1183,0.04626,4767,668,80096,"E02003894 E02003904",654
"175136",1,1,1,16.999,8776,200,613,0.03606,3169,379,115702,"E02003894 E02003935",200
"175137",1,1,1,14.951,7106,158,473,0.03164,2787,301,54430,"E02003894 E02003936",158
"175151",1,1,1,1.487,728,90,57,0.03833,277,28,2896,"E02003895 E02003896",90
"175152",1,1,1,18.641,10258,476,888,0.04764,3475,488,57173,"E02003895 E02003897",476
"175153",1,1,1,15.946,7318,392,542,0.03399,2973,287,121940,"E02003895 E02003898",392
"175154",1,1,1,20.224,10916,508,907,0.04485,3770,517,60650,"E02003895 E02003900",508
"175155",1,1,1,11.966,7668,477,693,0.05791,2231,384,38140,"E02003895 E02003901",477
"175158",1,1,1,13.543,7446,588,648,0.04785,2525,345,43360,"E02003895 E02003904",588
"175160",1,1,1,19.146,10434,415,874,0.04565,3569,497,56447,"E02003895 E02003936",415
"175161",1,1,1,26.411,14154,716,1049,0.03972,4923,655,164853,"E02003895 E02003940",716
"175162",1,1,1,21.933,11632,637,841,0.03834,4089,518,143857,"E02003895 E02003941",637
"175163",1,1,1,23.615,12392,686,886,0.03752,4402,554,148331,"E02003895 E02003942",686
