"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",18,29.86,37.2,58.59,169.98,11,23.52,17.1,95.36,165.5,1
"2",0,0.26,0,0.67,3.66,NA,NA,NA,NA,NA,0
"3",18,29.6,37.2,57.92,166.32,NA,NA,NA,NA,NA,0
"4",9,12.9,18.27,22.05,63.61,10,16.4,11.9,60.2,111.99,1
"5",9,16.7,18.93,35.87,102.71,10,16.4,11.9,60.2,111.99,1
"6",8,14.67,16.89,30.68,87.42,NA,NA,NA,NA,NA,0
"7",1,2.03,2.04,5.19,15.29,NA,NA,NA,NA,NA,0
"8",13,23.51,23.03,58.8,150.07,NA,NA,NA,NA,NA,0
"9",5,8.84,6.14,28.12,62.65,NA,NA,NA,NA,NA,0
"10",6,10.87,8.18,33.31,77.94,NA,NA,NA,NA,NA,0
"11",59,90.9,108.6,239.78,517.26001,10,16.4,11.9,60.2,111.99,1
"12",8,14.67,16.89,30.68,87.42,25,35.54,39.65,97.04,149.99,1
"13",5,8.84,6.14,28.12,62.65,NA,NA,NA,NA,NA,0
"14",54,82.06,102.46,211.66,454.61001,NA,NA,NA,NA,NA,0
"15",15,21.6,27.32,27.04,91.82,25,35.54,39.65,97.04,149.99,1
"16",47,75.13,92.03,215.3,450.21001,25,35.54,39.65,97.04,149.99,1
"17",50,87.9,72.97,274.23,461.95999,14,22.23,28.09,71.89,110.59,1
"18",44,77.03,64.79,240.92,384.01999,NA,NA,NA,NA,NA,0
"19",8,14.05,16.89,29.27,80.17,25,35.54,39.65,97.04,149.99,1
"20",39,61.08,75.14,186.03,370.04001,25,35.54,39.65,97.04,149.99,1
"21",3,5.19,6.59,10.61,29.64,25,35.54,39.65,97.04,149.99,1
"22",5,8.86,10.3,18.66,50.53,25,35.54,39.65,97.04,149.99,1
"23",42,66.27,81.73,196.64,399.68001,25,35.54,39.65,97.04,149.99,1
"24",20,29.45,35.76,80.71,168.35001,25,35.54,39.65,97.04,149.99,1
"25",22,36.82,45.97,115.93,231.33,25,35.54,39.65,97.04,149.99,1
"26",3,5.19,6.59,10.61,29.64,25,35.54,39.65,97.04,149.99,1
"27",19,31.63,39.38,105.32,201.69,25,35.54,39.65,97.04,149.99,1
"28",23,34.64,42.35,91.32,197.99001,25,35.54,39.65,97.04,149.99,1
"29",24,40.49,49.68,123.98,252.22,NA,NA,NA,NA,NA,0
"30",40,58.27,71.69,119.64,276.20001,25,35.54,39.65,97.04,149.99,1
"31",20,29.45,35.76,80.71,168.35001,25,35.54,39.65,97.04,149.99,1
"32",3,5.19,6.59,10.61,29.64,25,35.54,39.65,97.04,149.99,1
"33",40,58.27,71.69,119.64,276.20001,25,35.54,39.65,97.04,149.99,1
"34",43,63.46,78.28,130.25,305.84,25,35.54,39.65,97.04,149.99,1
"35",3,5.19,6.59,10.61,29.64,25,35.54,39.65,97.04,149.99,1
"36",20,28.82,35.93,38.93,107.85,25,35.54,39.65,97.04,149.99,1
"37",57,101.7,103.42,360.06,529.46001,25,35.54,39.65,97.04,149.99,1
"38",54,96.51,96.83,349.45,499.82001,NA,NA,NA,NA,NA,0
"39",67,113.88,113.47,354.07,604.89999,6,24.24,8.2,168.28,253.61999,1
"40",43,73.39,63.79,230.09,352.67999,6,24.24,8.2,168.28,253.61999,1
"41",18,28.36,24.73,76.67,121.25,6,24.24,8.2,168.28,253.61999,1
