"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"175071",1,1,1,6932,3390,107,266,0.03837,1292,149,34242,"E02003892 E02003894"
"175072",1,1,1,19806,11126,389,947,0.04781,3692,562,113216,"E02003892 E02003895"
"175073",1,1,1,20340,11268,380,956,0.047,3792,562,114626,"E02003892 E02003896"
"175074",1,1,1,18647,9272,289,772,0.0414,3476,421,100086,"E02003892 E02003897"
"175075",1,1,1,23738,12876,381,1288,0.05426,4425,662,81714,"E02003892 E02003898"
"175076",1,1,1,18922,9008,314,704,0.03721,3527,395,102275,"E02003892 E02003899"
"175077",1,1,1,19502,9390,309,706,0.0362,3635,413,104129,"E02003892 E02003900"
"175078",1,1,1,20620,11300,273,945,0.04583,3844,542,98671,"E02003892 E02003935"
"175079",1,1,1,20276,9882,278,766,0.03778,3780,468,67779,"E02003892 E02003936"
"175093",1,1,1,13215,7210,282,623,0.04714,2463,365,29804,"E02003893 E02003894"
"175094",1,1,1,4976,2540,178,216,0.04341,928,122,10912,"E02003893 E02003895"
"175095",1,1,1,5131,2518,155,219,0.04268,956,115,11407,"E02003893 E02003896"
"175096",1,1,1,22521,11644,434,1015,0.04507,4198,556,65892,"E02003893 E02003897"
"175097",1,1,1,19246,9790,469,959,0.04983,3588,486,41684,"E02003893 E02003898"
"175098",1,1,1,23437,12016,466,1055,0.04501,4369,574,67489,"E02003893 E02003899"
"175099",1,1,1,24052,12410,459,1053,0.04378,4484,591,69779,"E02003893 E02003900"
"175100",1,1,1,16813,10042,479,962,0.05722,3134,534,40994,"E02003893 E02003901"
"175102",1,1,1,19218,11580,582,1238,0.06442,3582,640,80826,"E02003893 E02003904"
"175103",1,1,1,20734,12376,398,1158,0.05585,3865,648,51915,"E02003893 E02003935"
"175104",1,1,1,14102,8528,361,949,0.0673,2629,492,39215,"E02003893 E02003936"
"175105",1,1,1,24328,14530,465,1408,0.05788,4535,759,65466,"E02003893 E02003940"
"175106",1,1,1,23703,12934,508,1090,0.04599,4418,615,107978,"E02003893 E02003941"
"175107",1,1,1,25721,13794,455,1109,0.04312,4795,635,82536,"E02003893 E02003942"
"175127",1,1,1,13325,8096,294,733,0.05501,2484,440,74096,"E02003894 E02003895"
"175128",1,1,1,13859,8238,285,742,0.05354,2583,440,75506,"E02003894 E02003896"
"175129",1,1,1,13755,6974,260,562,0.04086,2564,318,81267,"E02003894 E02003897"
"175130",1,1,1,17503,10264,363,1104,0.06307,3263,556,52073,"E02003894 E02003898"
"175131",1,1,1,14610,7092,280,496,0.03395,2723,310,85310,"E02003894 E02003900"
"175132",1,1,1,25337,16190,667,1585,0.06256,4723,904,118157,"E02003894 E02003901"
