"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"101559","E02003965 E02003966","E02003965","E02003966",436,0,3,0,2,374,26,14,17,0,32.49,18.49,16.26,-0.74,357.60999,-16.39,22.82,8.82,16.63,-0.37,366.22,-7.78,112.21,98.21,13.02,-3.98,287.04001,-86.96,164.41,150.41,10.92,-6.08,240.75999,-133.24001,-0.01202,22304,-0.02782,51607,-0.01579,29303,-0.01706,31645,-0.00504,9341,-0.07556,140193,-0.06354,117889,-0.07082,131384,-0.05879,109080,-0.00785,14572,-0.01818,33737,-0.01033,19165,-0.01115,20684,-0.0033,6112,-0.04946,91757,-0.0416,77185,-0.0468,86832,-0.03895,72260,-3803,-8786,-4983,-6168,-2365,-30251,-26448,-44325,-40522,0,4.71346,"Allerdale 001","Allerdale 002",5.978,6.256,2920,3476,1.26828,1.0465,1.70626,1114,17942,0.0195,3.21101
"101560","E02003965 E02003967","E02003965","E02003967",604,0,21,0,3,490,53,7,25,2,19.43,12.43,24.48,-0.52,479.79999,-10.2,11.53,4.53,24.77,-0.23,486.29999,-3.7,53.43,46.43,23.07,-1.93,451.88,-38.12,112.61,105.61,20.59,-4.41,403.31,-86.69,-0.013,24111,-0.0362,67164,-0.02321,43053,-0.01855,34416,-0.00555,10305,-0.07683,142537,-0.06383,118426,-0.10311,191307,-0.09012,167196,-0.00888,16476,-0.02468,45784,-0.0158,29308,-0.01272,23592,-0.00384,7116,-0.05251,97429,-0.04363,80953,-0.07276,134984,-0.06388,118508,-3827,-10632,-6805,-6295,-2468,-29263,-25436,-61673,-57846,3,11.85056,"Allerdale 001","Allerdale 003",13.116,17.572,5850,7650,1.10678,1.33974,1.23513,2445,76658,0.01298,1.15894
"101565","E02003965 E02003989","E02003965","E02003989",105,0,1,0,0,98,5,1,0,0,2.06,1.06,0,0,97,-1,1.31,0.31,0,0,97.7,-0.3,2.52,1.52,0,0,96.57,-1.43,8.86,7.86,0,0,90.6,-7.4,-0.00341,6331,-0.00673,12488,-0.00332,6157,-0.00413,7667,-0.00072,1336,-0.00691,12824,-0.0035,6493,-0.01518,28157,-0.01176,21826,-0.00147,2722,-0.0029,5372,-0.00143,2650,-0.00178,3296,-0.00031,574,-0.00314,5824,-0.00167,3102,-0.00903,16752,-0.00756,14030,-1051,-2160,-1109,-1382,-331,-2643,-1592,-9293,-8242,0,17.45078,"Allerdale 001","Carlisle 003",21.926,23.394,9206,9796,1.25645,1.06695,1.20861,4087,59224,0.01261,0.95238
"101566","E02003965 E02003990","E02003965","E02003990",142,1,5,0,2,124,8,0,2,0,1.46,1.46,1.98,-0.02,122.73,-1.27,0,0,2,0,124,0,3.88,3.88,1.94,-0.06,120.62,-3.38,12.88,12.88,1.82,-0.18,112.76,-11.24,0,0,-0.00415,7698,-0.00415,7698,0,0,0,0,-0.00827,15347,-0.00827,15347,-0.01715,31813,-0.01715,31813,0,0,-0.00196,3639,-0.00196,3639,0,0,0,0,-0.00435,8062,-0.00435,8062,-0.01148,21301,-0.01148,21301,0,-1321,-1321,0,0,-3509,-3509,-11661,-11661,1,18.50069,"Allerdale 001","Carlisle 004",20.299,23.087,8904,9778,1.0972,1.13735,1.34489,3784,107485,0.0133,0
"101567","E02003965 E02003991","E02003965","E02003991",141,0,1,0,1,124,14,1,0,0,2.88,1.88,0,0,122.33,-1.67,1.95,0.95,0,0,123.12,-0.88,5.89,4.89,0,0,119.71,-4.29,16.17,15.17,0,0,110.6,-13.4,-0.00212,3935,-0.00667,12372,-0.00455,8437,-0.00315,5834,-0.00102,1899,-0.01172,21748,-0.0096,17813,-0.02151,39912,-0.01939,35977,-0.00111,2060,-0.00349,6479,-0.00238,4419,-0.00165,3054,-0.00054,994,-0.00653,12116,-0.00542,10056,-0.01358,25188,-0.01247,23128,-846,-2373,-1527,-1651,-805,-4778,-3932,-13120,-12274,0,14.20118,"Allerdale 001","Carlisle 005",17.998,19.38,7450,8024,1.26736,1.07679,1.06679,3355,49549,0.01166,0.70922
"101568","E02003965 E02003992","E02003965","E02003992",380,1,42,0,0,279,38,4,5,0,8.44,4.44,4.94,-0.06,275.70999,-3.29,9.97,5.97,4.91,-0.09,274.60001,-4.4,12.04,8.04,4.9,-0.1,273.01999,-5.98,36.98,32.98,4.57,-0.43,254.50999,-24.49,-0.01209,22439,-0.0252,46754,-0.01311,24315,-0.0242,44894,-0.0121,22455,-0.02933,54422,-0.01724,31983,-0.05645,104727,-0.04435,82288,-0.00581,10780,-0.01209,22434,-0.00628,11654,-0.01163,21568,-0.00581,10788,-0.01498,27795,-0.00917,17015,-0.03539,65664,-0.02958,54884,-3006,-6364,-3358,-7493,-4487,-9111,-6105,-27984,-24978,12,17.61166,"Allerdale 001","Carlisle 006",20.035,22.306,8496,9918,1.1376,1.11335,1.04317,3735,92556,0.01179,1.05263
"101570","E02003965 E02003994","E02003965","E02003994",231,0,6,0,0,208,11,1,4,1,4.15,3.15,3.95,-0.05,205.14999,-2.85,2.55,1.55,3.98,-0.02,206.57001,-1.43,10.35,9.35,3.83,-0.17,199.56,-8.44,27.83,26.83,3.53,-0.47,183.75,-24.25,-0.00263,4881,-0.01052,19514,-0.00789,14633,-0.00536,9938,-0.00273,5057,-0.02022,37514,-0.01759,32633,-0.03512,65151,-0.03249,60270,-0.00146,2703,-0.00586,10866,-0.0044,8163,-0.00297,5504,-0.00151,2801,-0.01209,22425,-0.01063,19722,-0.02324,43122,-0.02179,40419,-815,-3316,-2501,-2075,-1260,-8232,-7417,-22128,-21313,0,15.80584,"Allerdale 001","Carlisle 008",17.265,19.929,7344,8260,1.09232,1.1543,1.17579,3218,93021,0.01199,0.4329
"101571","E02003965 E02003995","E02003965","E02003995",74,0,3,0,0,65,3,1,2,0,2.1,1.1,1.97,-0.03,64.02,-0.98,1.62,0.62,1.99,-0.01,64.42,-0.58,3.78,2.78,1.91,-0.09,62.57,-2.43,9.65,8.65,1.75,-0.25,57.34,-7.66,-0.00189,3499,-0.00401,7447,-0.00213,3948,-0.00248,4602,-0.00059,1103,-0.0064,11879,-0.00452,8380,-0.01077,19979,-0.00888,16480,-0.0011,2037,-0.00236,4383,-0.00127,2346,-0.00144,2679,-0.00035,642,-0.00402,7460,-0.00292,5423,-0.00725,13455,-0.00615,11418,-786,-1606,-820,-1274,-488,-2835,-2049,-7236,-6450,0,14.94987,"Allerdale 001","Carlisle 009",16.432,18.91,7024,7872,1.09914,1.1508,1.13802,3063,89971,0.01211,1.35135
"101572","E02003965 E02003996","E02003965","E02003996",187,0,14,0,0,155,9,1,3,0,3.15,2.15,2.97,-0.03,153.21001,-1.79,1.86,0.86,3,0,154.21001,-0.79,5.8,4.8,2.91,-0.09,151.09,-3.91,18,17,2.71,-0.29,140.91,-14.09,-0.00237,4402,-0.00843,15644,-0.00606,11242,-0.0034,6316,-0.00103,1914,-0.01258,23331,-0.0102,18929,-0.02468,45793,-0.02231,41391,-0.00111,2060,-0.00402,7452,-0.00291,5392,-0.00159,2955,-0.00048,895,-0.00658,12208,-0.00547,10148,-0.01617,30000,-0.01506,27940,-944,-2779,-1835,-1753,-809,-4952,-4008,-15374,-14430,5,16.90326,"Allerdale 001","Carlisle 010",20.128,22.002,8728,10630,1.19078,1.0931,1.07313,3752,93071,0.01445,0.53476
"101573","E02003965 E02003997","E02003965","E02003997",74,0,2,0,0,69,1,0,2,0,0.73,0.73,1.98,-0.02,68.32,-0.68,0,0,2,0,69,0,1.67,1.67,1.95,-0.05,67.45,-1.55,6.05,6.05,1.84,-0.16,63.36,-5.64,0,0,-0.00228,4223,-0.00228,4223,0,0,0,0,-0.00384,7125,-0.00384,7125,-0.00858,15909,-0.00858,15909,0,0,-0.00098,1821,-0.00098,1821,0,0,0,0,-0.00185,3440,-0.00185,3440,-0.00593,11001,-0.00593,11001,0,-782,-782,0,0,-1780,-1780,-6465,-6465,0,18.56832,"Allerdale 001","Carlisle 011",22.547,25.014,9986,12114,1.21427,1.10942,1.18863,4203,104130,0.01519,0
