"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"105","E02004118","South Derbyshire 001",3006,5,32,84,4,24,2453,138,72,177,17,143.477996826172,71.4779968261719,167.490005493164,-9.51000022888184,2398.14306640625,-54.8569984436035,99.7900009155273,27.7900009155273,174.671997070312,-2.32800006866455,2430.60791015625,-22.3920001983643,388.378997802734,316.378997802734,127.139999389648,-49.8600006103516,2217.35595703125,-235.643997192383,582.161987304688,510.161987304688,116.705001831055,-60.2949981689453,2055.001953125,-397.997985839844,-0.0536499992012978,99521,-0.108980000019073,202140,-0.0553300008177757,102619,-0.0691599994897842,128298,-0.0155199998989701,28777,-0.201279997825623,373385,-0.147630006074905,273864,-0.264939993619919,491494,-0.211290001869202,391973,-0.0328500010073185,60944,-0.0661299973726273,122637,-0.0332800000905991,61693,-0.0422299988567829,78341,-0.00937999971210957,17397,-0.127189993858337,235929,-0.0943399965763092,174985,-0.173930004239082,322651,-0.141080006957054,261707,-23085,-46525,-23440,-33793,-10708,-103457,-80372,-203857,-180772,0.0126196393383111
"108","E02004058","Chesterfield 004",2962,1,23,332,46,27,1902,220,41,357,13,122.38200378418,81.3820037841797,344.485992431641,-12.5139999389648,1854.75305175781,-47.2470016479492,69.9020004272461,28.9020004272461,351.641998291016,-5.35799980163574,1885.81201171875,-16.1879997253418,562.744018554688,521.744018554688,269.519989013672,-87.4800033569336,1606.34204101562,-295.657989501953,837.869018554688,796.869018554688,234.988998413086,-122.011001586914,1431.8330078125,-470.1669921875,-0.0180500000715256,33488,-0.0540199987590313,100154,-0.0359699986875057,66666,-0.0256799999624491,47638,-0.0076299998909235,14150,-0.185939997434616,344906,-0.167879998683929,311418,-0.216959998011589,402467,-0.198909997940063,368979,-0.0119399996474385,22157,-0.0345299988985062,64005,-0.0225900001823902,41848,-0.0169300008565187,31409,-0.00498999981209636,9252,-0.121140003204346,224685,-0.109190002083778,202528,-0.145730003714561,270313,-0.133790001273155,248156,-5533,-16414,-10881,-8620,-3087,-63329,-57796,-121663,-116130,0.0245452167769547
"136","E02004074","Derbyshire Dales 007",2461,2,22,100,3,21,1804,135,25,331,18,39.3709983825684,14.371000289917,328.417999267578,-2.58200001716614,1793.93298339844,-10.0670003890991,44.2050018310547,19.2049999237061,326.177001953125,-4.82299995422363,1791.65002441406,-12.3500003814697,95.6009979248047,70.6009979248047,313.515014648438,-17.4850006103516,1759.11901855469,-44.8810005187988,312.501007080078,287.501007080078,266.587005615234,-64.4130020141602,1615.61596679688,-188.384002685547,-0.0133300004526973,24721,-0.0231500007212162,42902,-0.00982999987900257,18181,-0.0225000008940697,41732,-0.00917000044137239,17011,-0.0379900000989437,70446,-0.0246699992567301,45725,-0.0770900025963783,142985,-0.0637700036168098,118264,-0.00755000021308661,14005,-0.0128300003707409,23750,-0.00528000015765429,9745,-0.0125900004059076,23338,-0.00503000011667609,9333,-0.0228499993681908,42344,-0.0153000000864267,28339,-0.0514400005340576,95393,-0.0438899993896484,81388,-7821,-13395,-5574,-13758,-5937,-26088,-18267,-90800,-82979,0.0407835258663988
"219","E02004111","North East Derbyshire 007",2317,1,27,165,7,20,1748,155,17,166,11,58.0750007629395,41.0750007629395,161.632995605469,-4.36700010299683,1718.7490234375,-29.2509994506836,33.0379981994629,16.0380001068115,163.199996948242,-2.79999995231628,1737.73596191406,-10.2639999389648,270.317993164062,253.317993164062,136.546005249023,-29.4540004730225,1571.90795898438,-176.091995239258,497.115997314453,480.115997314453,117.637001037598,-48.3629989624023,1406.10595703125,-341.894012451172,-0.00565000018104911,10468,-0.0258499998599291,47902,-0.0202099997550249,37434,-0.00989999994635582,18357,-0.004250000230968,7889,-0.128509998321533,238359,-0.122859999537468,227891,-0.176990002393723,328312,-0.171350002288818,317844,-0.00374000007286668,6930,-0.016160000115633,29915,-0.0124300001189113,22985,-0.0065700002014637,12171,-0.00282999989576638,5241,-0.0830899998545647,154091,-0.0793500021100044,147161,-0.118909999728203,220547,-0.115170001983643,213617,-2894,-12873,-9979,-5147,-2253,-54769,-51875,-121525,-118631,0.0278379268709758
"247","E02004049","Bolsover 005",3284,5,18,197,11,29,2534,188,33,254,15,77.9000015258789,44.9000015258789,248.117004394531,-5.88299989700317,2501.13891601562,-32.8610000610352,52.0040016174316,19.003999710083,252.901000976562,-1.09899997711182,2519.31811523438,-14.6820001602173,281.473999023438,248.473999023438,209.662994384766,-44.3370018005371,2362.4169921875,-171.582992553711,568.278015136719,535.278015136719,178.078002929688,-75.9219970703125,2149.18701171875,-384.81298828125,-0.0421600006520748,78214,-0.088859997689724,164790,-0.0467000007629395,86576,-0.0655499994754791,121608,-0.0233900006860495,43394,-0.195759996771812,363111,-0.153589993715286,284897,-0.308180004358292,571688,-0.266019999980927,493474,-0.0263599995523691,48891,-0.0548599995672703,101705,-0.0285100005567074,52814,-0.0414200015366077,76840,-0.0150699997320771,27949,-0.125249996781349,232307,-0.0988999977707863,183416,-0.204050004482269,378492,-0.177689999341965,329601,-13776,-28725,-14949,-20961,-7185,-73730,-59954,-180508,-166732,0.0296578260147512
"298","E02006804","North East Derbyshire 014",3496,64,20,204,15,30,2532,304,18,297,12,56.3689994812012,38.3689994812012,291.903015136719,-5.09700012207031,2505.9619140625,-26.0380001068115,36.0470008850098,18.0470008850098,291.510009765625,-5.48999977111816,2521.94702148438,-10.0530004501343,258.040985107422,240.041000366211,255.796005249023,-41.2039985656738,2377.6279296875,-154.371994018555,584.7490234375,566.7490234375,217.438995361328,-79.5609970092773,2150.94409179688,-381.055999755859,-0.0109000001102686,20212,-0.034120000898838,63218,-0.0232200007885695,43006,-0.0166800003498793,30931,-0.00577999977394938,10719,-0.139249995350838,258279,-0.128360003232956,238067,-0.243939995765686,452513,-0.233050003647804,432301,-0.00680000009015203,12619,-0.0212900005280972,39415,-0.0144899999722838,26796,-0.0104099996387959,19305,-0.00361000001430511,6686,-0.09009999781847,167077,-0.0832900032401085,154458,-0.162310004234314,301064,-0.155509993433952,288445,-5603,-16377,-10774,-8722,-3119,-57787,-52184,-159650,-154047,0.0437855542147906
"366","E02002815","Derby 020",2524,3,43,252,79,12,1269,256,70,505,35,164.886993408203,94.8870010375977,480.820007324219,-24.1800003051758,1221.82202148438,-47.1780014038086,103.624000549316,33.6240005493164,497.778015136719,-7.22200012207031,1252.04504394531,-16.9549999237061,606.370971679688,536.370971679688,355.433990478516,-149.565994262695,1010.74200439453,-258.257995605469,781.390014648438,711.390014648438,319.746002197266,-185.253997802734,921.372985839844,-347.627014160156,-0.0302300006151199,56084,-0.060989998281002,113099,-0.0307599995285273,57015,-0.0388099998235703,71987,-0.00858000013977289,15903,-0.145300000905991,269521,-0.115070000290871,213437,-0.138209998607635,256359,-0.107969999313354,200275,-0.0189200006425381,35096,-0.0380400009453297,70506,-0.0191200003027916,35410,-0.0244699995964766,45378,-0.00554999988526106,10282,-0.0960199981927872,178077,-0.0771000012755394,142981,-0.0985099971294403,182706,-0.0795900002121925,147610,-8376,-18684,-10308,-11888,-3512,-52758,-44382,-86119,-77743,0.0146792662388613
"386","E02006920","South Derbyshire 013",3662,1,19,107,12,47,2963,254,48,201,10,111.947998046875,63.9480018615723,195.421005249023,-5.5789999961853,2913.6240234375,-49.3759994506836,90.6660003662109,42.6660003662109,198.365997314453,-2.6340000629425,2929.89892578125,-33.101001739502,406.628997802734,358.628997802734,159.686004638672,-41.3139991760254,2696.31689453125,-266.683013916016,718.64697265625,670.64697265625,138.470001220703,-62.5299987792969,2448.39599609375,-514.60400390625,-0.0346600003540516,64307,-0.0802799984812737,148898,-0.0456200018525124,84591,-0.0521200001239777,96682,-0.0174499992281199,32375,-0.189500004053116,351532,-0.154840007424355,287225,-0.271090000867844,502908,-0.236430004239082,438601,-0.0223600007593632,41475,-0.0498399995267391,92419,-0.0274800006300211,50944,-0.0337099991738796,62519,-0.0113500002771616,21044,-0.120489999651909,223489,-0.098130002617836,182014,-0.177420005202293,329113,-0.155059993267059,287638,-13642,-32081,-18439,-24909,-11267,-92713,-79071,-205698,-192056,NA
"400","E02004096","High Peak 004",4304,7,399,50,11,27,3254,148,47,336,25,94.0540008544922,47.0540008544922,329.528015136719,-6.47200012207031,3219.65991210938,-34.3400001525879,90.9779968261719,43.9780006408691,331.433990478516,-4.56599998474121,3221.7919921875,-32.2070007324219,320.352996826172,273.352996826172,284.183013916016,-51.8170013427734,3060.55395507812,-193.445999145508,667.281005859375,620.281005859375,243.25700378418,-92.7429962158203,2799.69506835938,-454.304992675781,-0.0519599989056587,96383,-0.0944700017571449,175159,-0.0425099991261959,78776,-0.0781899988651276,145051,-0.0262400005012751,48668,-0.156749993562698,290721,-0.10479000210762,194338,-0.302170008420944,560528,-0.250220000743866,464145,-0.0293700005859137,54468,-0.0520000010728836,96350,-0.0226300004869699,41882,-0.0442200005054474,82013,-0.0148499999195337,27545,-0.0925799980759621,171658,-0.0632100030779839,117190,-0.196109995245934,363733,-0.166740000247955,309265,-15665,-29258,-13593,-28326,-12661,-61057,-45392,-180666,-165001,0.046722633571565
"425","E02004069","Derbyshire Dales 002",2546,6,59,70,1,16,1958,139,22,257,18,49.5130004882812,27.5130004882812,251.52099609375,-5.47900009155273,1939.53796386719,-18.4619998931885,37.2690010070801,15.2690000534058,253.996994018555,-3.00300002098083,1947.9169921875,-10.0819997787476,181.072006225586,159.072006225586,220.563995361328,-36.4360008239746,1856.95300292969,-101.045997619629,378.880004882812,356.880004882812,186.587005615234,-70.4130020141602,1717.9580078125,-240.042007446289,-0.0112800002098083,20920,-0.0234999991953373,43551,-0.0122199999168515,22631,-0.0191399995237589,35497,-0.00786000024527311,14577,-0.0471599996089935,87450,-0.0358799993991852,66530,-0.0801400020718575,148644,-0.0688600018620491,127724,-0.00634999992325902,11776,-0.0132900001481175,24622,-0.00694999983534217,12846,-0.0107699995860457,19968,-0.00442000012844801,8192,-0.0295800007879734,54847,-0.0232400000095367,43071,-0.0558799989521503,103638,-0.0495299994945526,91862,-6535,-14135,-7600,-11426,-4891,-36288,-29753,-104280,-97745,0.0255186033522836
