"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"132708",1,1,1,1.447,502,73,33,0.02281,270,13,2112,"E02002796 E02002797",73
"132709",1,1,1,5.994,2746,309,115,0.01919,1117,103,27625,"E02002796 E02002799",309
"132710",1,1,1,2.597,1290,170,79,0.03042,484,42,13345,"E02002796 E02002800",170
"132711",1,1,1,5.757,2428,288,109,0.01893,1073,84,26743,"E02002796 E02002802",288
"132712",1,1,1,3.364,1688,202,102,0.03032,627,50,17361,"E02002796 E02002803",202
"132713",1,1,1,5.324,2290,270,105,0.01972,992,84,11207,"E02002796 E02002804",270
"132714",1,1,1,4.558,2136,197,133,0.02918,850,78,37656,"E02002796 E02002806",197
"132715",1,1,1,7.306,3106,370,123,0.01684,1362,113,15549,"E02002796 E02002807",370
"132716",1,1,1,5.85,2568,303,113,0.01932,1091,88,9271,"E02002796 E02002808",303
"132717",1,1,1,9.763,4262,452,160,0.01639,1820,158,68374,"E02002796 E02002809",452
"132718",1,1,1,6.616,3062,387,139,0.02101,1233,113,24329,"E02002796 E02002811",387
"132719",1,1,1,6.772,3582,329,186,0.02747,1262,141,65787,"E02002796 E02002812",329
"132720",1,1,1,6.617,3096,402,125,0.01889,1233,104,24982,"E02002796 E02002813",402
"132721",1,1,1,8.683,4436,442,243,0.02799,1619,170,66942,"E02002796 E02002816",442
"132722",1,1,1,10.037,3932,531,111,0.01106,1871,133,27008,"E02002796 E02002819",531
"132723",1,1,1,8.917,3538,445,107,0.012,1662,120,27842,"E02002796 E02002820",445
"132724",1,1,1,8.538,3504,447,116,0.01359,1592,119,30152,"E02002796 E02002821",447
"132725",1,1,1,10.399,4754,539,187,0.01798,1938,160,31342,"E02002796 E02002824",539
"132727",1,1,1,18.282,8610,577,321,0.01756,3408,339,55924,"E02002796 E02004032",577
"132728",1,1,1,15.443,7450,521,262,0.01697,2879,293,48031,"E02002796 E02004033",521
"132729",1,1,1,15.214,7262,522,253,0.01663,2836,287,46820,"E02002796 E02004036",522
"132730",1,1,1,9.115,4276,456,211,0.02315,1699,169,46829,"E02002796 E02004038",456
"132731",1,1,1,4.806,1952,245,94,0.01956,896,68,18389,"E02002796 E02004044",245
"132733",1,1,1,21.885,11712,610,647,0.02956,4080,534,54570,"E02002796 E02004075",610
"132734",1,1,1,20.239,10110,468,490,0.02421,3773,435,92974,"E02002796 E02004076",468
"132735",1,1,1,16.331,7670,539,376,0.02302,3044,299,62057,"E02002796 E02004080",539
"132736",1,1,1,6.097,3176,217,166,0.02723,1137,137,26136,"E02002796 E02004081",217
"132737",1,1,1,18.61,7692,617,260,0.01397,3469,272,53268,"E02002796 E02004118",617
"132738",1,1,1,15.389,6504,568,245,0.01592,2869,232,46325,"E02002796 E02004119",568
"132744",1,1,1,5.913,2996,311,132,0.02232,1102,126,12141,"E02002797 E02002799",311
"132745",1,1,1,2.27,1202,135,58,0.02555,423,43,5519,"E02002797 E02002800",135
"132746",1,1,1,5.676,2678,290,126,0.0222,1058,106,11259,"E02002797 E02002802",290
"132747",1,1,1,3.001,1496,170,44,0.01466,559,43,5692,"E02002797 E02002803",170
"132748",1,1,1,4.07,1876,213,75,0.01843,759,77,9239,"E02002797 E02002804",213
"132749",1,1,1,3.262,1554,148,61,0.0187,608,55,12341,"E02002797 E02002806",148
"132750",1,1,1,6.908,3306,353,99,0.01433,1288,111,24852,"E02002797 E02002807",353
"132751",1,1,1,4.477,2040,227,63,0.01407,835,68,6907,"E02002797 E02002808",227
"132752",1,1,1,9.296,4292,419,134,0.01441,1733,154,68994,"E02002797 E02002809",419
"132753",1,1,1,5.52,2726,202,100,0.01812,1029,114,14125,"E02002797 E02002810",202
"132754",1,1,1,5.446,2670,287,83,0.01524,1015,89,11912,"E02002797 E02002811",287
"132755",1,1,1,5.476,3000,280,114,0.02082,1021,118,40472,"E02002797 E02002812",280
"132756",1,1,1,6.15,3126,369,99,0.0161,1146,101,25602,"E02002797 E02002813",369
"132757",1,1,1,6.684,3226,247,115,0.01721,1246,129,16685,"E02002797 E02002814",247
"132758",1,1,1,7.387,3854,393,171,0.02315,1377,147,41627,"E02002797 E02002816",393
