"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",13,20.31,23.66,45.1,106.22,15,26.54,35.3,107.72,196.97,1
"2",29,42.97,51.2,113.63,276.98,15,26.54,35.3,107.72,196.97,1
"3",2,3.27,4.95,6.7,24.61,15,26.54,35.3,107.72,196.97,1
"4",29,42.16,52.25,110.23,261.37,NA,NA,NA,NA,NA,0
"5",5,7.76,10.3,15,49.73,NA,NA,NA,NA,NA,0
"6",24,34.4,41.95,95.23,211.64,3,8.44,6.73,50.25,89.58,1
"7",0,0.4,0,1.8,7.13,NA,NA,NA,NA,NA,0
"8",2,3.67,4.95,8.5,31.74,NA,NA,NA,NA,NA,0
"9",1,1.98,2.24,4.75,17.17,3,8.44,6.73,50.25,89.58,1
"10",23,32.42,39.71,90.48,194.47,3,8.44,6.73,50.25,89.58,1
"11",1,2.3,3,6.6,24.1,NA,NA,NA,NA,NA,0
"12",1,1.37,1.95,1.9,7.64,5,11.29,12.21,58.72,95.92,1
"13",20,29.55,35.01,57.24,144.36,NA,NA,NA,NA,NA,0
"14",25,37.31,45.31,72.24,194.09,NA,NA,NA,NA,NA,0
"15",12,18.91,24.34,43.31,100.76,NA,NA,NA,NA,NA,0
"16",25,39.22,48,88.41,206.98,NA,NA,NA,NA,NA,0
"17",1,2.38,2.24,6.55,24.3,3,8.44,6.73,50.25,89.58,1
"18",4,6.39,10.37,12.14,41.1,NA,NA,NA,NA,NA,0
"19",3,4.81,8.13,9.19,31.06,3,8.44,6.73,50.25,89.58,1
"20",26,37.23,47.84,99.67,225.53,3,8.44,6.73,50.25,89.58,1
"21",46,65.8,82.85,153.51,354.07,3,8.44,6.73,50.25,89.58,1
"22",13,18.4,20.97,28.93,93.33,3,8.44,6.73,50.25,89.58,1
"23",50,82.53,91.44,205.85,431.98,18,32.88,37.02,121.87,190.81,1
"24",22,33.8,41.51,79.98,172.14,18,32.88,37.02,121.87,190.81,1
"25",28,48.73,49.93,125.87,259.84,18,32.88,37.02,121.87,190.81,1
"26",25,38.89,48,87.42,202.39,18,32.88,37.02,121.87,190.81,1
"27",3,5.09,6.49,7.44,30.25,18,32.88,37.02,121.87,190.81,1
"28",0,0.33,0,0.99,4.59,NA,NA,NA,NA,NA,0
"29",31,59.8,56.37,215.12,365.28,15,22.96,31.96,76.4,125.2,1
"30",2,6.47,6.19,32.13,68.21,15,22.96,31.96,76.4,125.2,1
"31",33,66.27,62.56,247.25,433.49,15,22.96,31.96,76.4,125.2,1
"32",11,18.71,25.2,69.78,123.67,15,22.96,31.96,76.4,125.2,1
"33",5,7.74,9.39,13.61,48.18,18,32.88,37.02,121.87,190.81,1
"34",23,40.99,40.54,112.26,211.66,NA,NA,NA,NA,NA,0
"35",13,25.18,31.39,101.91,191.88,NA,NA,NA,NA,NA,0
"36",8,12.83,15.88,21.05,78.43,NA,NA,NA,NA,NA,0
"37",32,63.97,59.56,240.65,409.39,NA,NA,NA,NA,NA,0
"38",22,38.85,56.61,141.9,306.08,2,6.84,5.84,44.84,71.87,1
"39",9,13.67,25.22,39.99,114.2,NA,NA,NA,NA,NA,0
"40",11,22.67,22.18,92.64,159.7,5,11.29,12.21,58.72,95.92,1
"41",21,41.3,37.38,148.01,249.69,5,11.29,12.21,58.72,95.92,1
"42",21,40.89,37.38,146.73,242.05,NA,NA,NA,NA,NA,0
"43",0,0.41,0,1.28,7.64,NA,NA,NA,NA,NA,0
"44",9,28.29,15.81,167.53001,296.80001,5,11.29,12.21,58.72,95.92,1
"45",8,26.92,13.86,165.63001,289.16001,5,11.29,12.21,58.72,95.92,1
"46",8,27.33,13.86,166.91001,296.80001,5,11.29,12.21,58.72,95.92,1
"47",6,24.24,10.86,161.71001,276.57001,NA,NA,NA,NA,NA,0
"48",2,3.09,3,5.2,20.23,5,11.29,12.21,58.72,95.92,1
"49",11,31.67,22.85,173.91001,320.04001,9,26.01,20.77,162.64999,296.82001,1
"50",5,7.43,11.99,12.2,43.47,NA,NA,NA,NA,NA,0
"51",7,10.52,14.99,17.4,63.7,NA,NA,NA,NA,NA,0
"52",12,17.15,18.33,27.57,89.65,NA,NA,NA,NA,NA,0
"53",1,1.25,2.64,1.36,3.68,NA,NA,NA,NA,NA,0
"54",32,72.56,60.23,320.64,562.09001,9,26.01,20.77,162.64999,296.82001,1
"55",3,4.13,4.62,5.26,22.6,NA,NA,NA,NA,NA,0
"56",1,1.25,2.64,1.36,3.68,NA,NA,NA,NA,NA,0
"57",0,0.33,0,0.99,4.59,NA,NA,NA,NA,NA,0
"58",24,42.24,43.18,113.62,215.34,42,100.01,75.97,435.92001,649.69,1
"59",5,6.63,7.66,7.03,26,10,39.58,19.15,253.07001,383.42001,1
"60",3,6.2,8.22,14.02,52.43,10,39.58,19.15,253.07001,383.42001,1
"61",22,39.1,38.38,108.54,200.13,42,100.01,75.97,435.92001,649.69,1
"62",2,3.14,4.8,5.08,15.21,42,100.01,75.97,435.92001,649.69,1
"63",15,21.28,22.95,32.83,112.25,NA,NA,NA,NA,NA,0
"64",25,57.26,56.89,275.41,428.12,10,39.58,19.15,253.07001,383.42001,1
"65",30,63.89,64.55,282.44,454.11999,NA,NA,NA,NA,NA,0
"66",22,46.02,40.63,164.17,318.16,16,30.29,26.8,119.41,183.53,1
"67",52,109.91,105.18,446.61001,772.27999,16,30.29,26.8,119.41,183.53,1
"68",52,109.68,105.18,446.02001,768.46999,16,30.29,26.8,119.41,183.53,1
"69",0,0.23,0,0.59,3.81,16,30.29,26.8,119.41,183.53,1
"70",25,57.95,56.89,277.37,436.75,10,39.58,19.15,253.07001,383.42001,1
"71",0,0.69,0,1.96,8.63,10,39.58,19.15,253.07001,383.42001,1
"72",22,45.35,40.63,162.21,309.73,NA,NA,NA,NA,NA,0
"73",0,0.67,0,1.96,8.43,NA,NA,NA,NA,NA,0
"74",22,45.35,40.63,162.21,309.73,NA,NA,NA,NA,NA,0
"75",0,0.69,0,1.96,8.63,NA,NA,NA,NA,NA,0
"76",0,0,0,0,0,42,100.01,75.97,435.92001,649.69,1
"77",0,0,0,0,0,42,100.01,75.97,435.92001,649.69,1
