"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"132708",1,1,1,1.428,552,68,33,0.02311,266,13,2094,"E02002796 E02002797"
"132709",1,1,1,5.647,3346,330,173,0.03064,1053,123,10384,"E02002796 E02002799"
"132710",1,1,1,2.652,2208,161,61,0.023,494,37,4077,"E02002796 E02002800"
"132711",1,1,1,6.033,2848,308,133,0.02205,1125,103,8794,"E02002796 E02002802"
"132712",1,1,1,4.116,3140,236,84,0.02041,767,53,6756,"E02002796 E02002803"
"132713",1,1,1,5.446,2614,342,113,0.02075,1015,90,7945,"E02002796 E02002804"
"132714",1,1,1,4.475,2102,275,87,0.01944,834,64,6493,"E02002796 E02002806"
"132715",1,1,1,7.9,3536,393,161,0.02038,1473,133,12440,"E02002796 E02002807"
"132716",1,1,1,5.812,2930,328,95,0.01635,1083,76,8258,"E02002796 E02002808"
"132717",1,1,1,11.592,5358,630,192,0.01656,2161,193,16372,"E02002796 E02002809"
"132718",1,1,1,6.841,3262,391,117,0.0171,1275,99,10010,"E02002796 E02002811"
"132719",1,1,1,7.746,4016,529,176,0.02272,1444,152,13027,"E02002796 E02002812"
"132720",1,1,1,7.371,3542,390,117,0.01587,1374,99,10322,"E02002796 E02002813"
"132721",1,1,1,9.18,4424,561,211,0.02298,1711,167,13870,"E02002796 E02002816"
"132722",1,1,1,10.929,4594,587,145,0.01327,2037,154,12553,"E02002796 E02002819"
"132723",1,1,1,9.899,4326,519,141,0.01424,1845,140,11684,"E02002796 E02002820"
"132724",1,1,1,9.655,4250,511,144,0.01491,1800,142,12484,"E02002796 E02002821"
"132725",1,1,1,10.451,5026,530,167,0.01598,1948,147,16031,"E02002796 E02002824"
"132727",1,1,1,18.771,10188,703,355,0.01891,3499,360,39822,"E02002796 E02004032"
"132728",1,1,1,15.737,9020,612,290,0.01843,2934,310,35037,"E02002796 E02004033"
"132729",1,1,1,15.603,8350,631,387,0.0248,2909,340,33752,"E02002796 E02004036"
"132730",1,1,1,11.657,6040,503,337,0.02891,2173,239,24148,"E02002796 E02004038"
"132731",1,1,1,7.354,3504,383,134,0.01822,1371,114,12362,"E02002796 E02004044"
"132733",1,1,1,21.923,15800,625,711,0.03243,4087,556,47230,"E02002796 E02004075"
"132734",1,1,1,25.787,15038,595,678,0.02629,4807,555,48153,"E02002796 E02004076"
"132735",1,1,1,17.29,13092,571,426,0.02464,3223,330,39701,"E02002796 E02004080"
"132736",1,1,1,6.328,3684,280,172,0.02718,1180,145,16568,"E02002796 E02004081"
"132737",1,1,1,21.393,9132,700,236,0.01103,3988,291,30567,"E02002796 E02004118"
"132738",1,1,1,17.463,7720,650,231,0.01323,3255,246,23134,"E02002796 E02004119"
"132744",1,1,1,6.423,3334,348,144,0.02242,1197,139,9734,"E02002797 E02002799"
"132745",1,1,1,1.867,1834,102,50,0.02678,348,37,3483,"E02002797 E02002800"
"132746",1,1,1,5.712,2842,300,112,0.01961,1065,105,8354,"E02002797 E02002802"
"132747",1,1,1,3.274,1642,173,44,0.01344,610,44,5015,"E02002797 E02002803"
"132748",1,1,1,4.15,2180,264,81,0.01952,774,80,5855,"E02002797 E02002804"
"132749",1,1,1,3.179,1668,197,55,0.0173,593,54,4403,"E02002797 E02002806"
"132750",1,1,1,8.028,4306,457,95,0.01183,1497,121,10895,"E02002797 E02002807"
"132751",1,1,1,4.516,2496,250,63,0.01395,842,67,6168,"E02002797 E02002808"
"132752",1,1,1,12.178,6166,630,126,0.01035,2270,185,15221,"E02002797 E02002809"
"132753",1,1,1,6.408,3222,388,116,0.0181,1195,135,9085,"E02002797 E02002810"
"132754",1,1,1,5.545,2828,313,85,0.01533,1034,89,7920,"E02002797 E02002811"
"132755",1,1,1,6.45,3582,451,144,0.02233,1202,142,10937,"E02002797 E02002812"
