"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"105","E02004118","South Derbyshire 001",3006,5,32,84,4,24,2453,138,72,177,17,143.478,71.478,167.49001,2398.14307,-54.857,99.79,27.79,174.672,2430.60791,-22.392,388.379,316.379,127.14,2217.35596,-235.644,582.16199,510.16199,116.705,2055.00195,-397.99799,-0.06613,122637,-0.03328,61693,-0.04223,78341,-0.00938,17397,-0.12719,235929,-0.09434,174985,-0.17393,322651,-0.14108,261707,-46525,-23440,-33793,-10708,-103457,-80372,-203857,-180772,0.01262
"108","E02004058","Chesterfield 004",2962,1,23,332,46,27,1902,220,41,357,13,122.382,81.382,344.48599,1854.75305,-47.247,69.902,28.902,351.642,1885.81201,-16.188,562.74402,521.74402,269.51999,1606.34204,-295.65799,837.86902,796.86902,234.989,1431.83301,-470.16699,-0.03453,64005,-0.02259,41848,-0.01693,31409,-0.00499,9252,-0.12114,224685,-0.10919,202528,-0.14573,270313,-0.13379,248156,-16414,-10881,-8620,-3087,-63329,-57796,-121663,-116130,0.02455
"136","E02004074","Derbyshire Dales 007",2461,2,22,100,3,21,1804,135,25,331,18,39.371,14.371,328.418,1793.93298,-10.067,44.205,19.205,326.177,1791.65002,-12.35,95.601,70.601,313.51501,1759.11902,-44.881,312.50101,287.50101,266.58701,1615.61597,-188.384,-0.01283,23750,-0.00528,9745,-0.01259,23338,-0.00503,9333,-0.02285,42344,-0.0153,28339,-0.05144,95393,-0.04389,81388,-13395,-5574,-13758,-5937,-26088,-18267,-90800,-82979,0.04078
"219","E02004111","North East Derbyshire 007",2317,1,27,165,7,20,1748,155,17,166,11,58.075,41.075,161.633,1718.74902,-29.251,33.038,16.038,163.2,1737.73596,-10.264,270.31799,253.31799,136.54601,1571.90796,-176.092,497.116,480.116,117.637,1406.10596,-341.89401,-0.01616,29915,-0.01243,22985,-0.00657,12171,-0.00283,5241,-0.08309,154091,-0.07935,147161,-0.11891,220547,-0.11517,213617,-12873,-9979,-5147,-2253,-54769,-51875,-121525,-118631,0.02784
"247","E02004049","Bolsover 005",3284,5,18,197,11,29,2534,188,33,254,15,77.9,44.9,248.117,2501.13892,-32.861,52.004,19.004,252.901,2519.31812,-14.682,281.474,248.474,209.66299,2362.41699,-171.58299,568.27802,535.27802,178.078,2149.18701,-384.81299,-0.05486,101705,-0.02851,52814,-0.04142,76840,-0.01507,27949,-0.12525,232307,-0.0989,183416,-0.20405,378492,-0.17769,329601,-28725,-14949,-20961,-7185,-73730,-59954,-180508,-166732,0.02966
"298","E02006804","North East Derbyshire 014",3496,64,20,204,15,30,2532,304,18,297,12,56.369,38.369,291.90302,2505.96191,-26.038,36.047,18.047,291.51001,2521.94702,-10.053,258.04099,240.041,255.79601,2377.62793,-154.37199,584.74902,566.74902,217.439,2150.94409,-381.056,-0.02129,39415,-0.01449,26796,-0.01041,19305,-0.00361,6686,-0.0901,167077,-0.08329,154458,-0.16231,301064,-0.15551,288445,-16377,-10774,-8722,-3119,-57787,-52184,-159650,-154047,0.04379
"366","E02002815","Derby 020",2524,3,43,252,79,12,1269,256,70,505,35,164.88699,94.887,480.82001,1221.82202,-47.178,103.624,33.624,497.77802,1252.04504,-16.955,606.37097,536.37097,355.43399,1010.742,-258.258,781.39001,711.39001,319.746,921.37299,-347.62701,-0.03804,70506,-0.01912,35410,-0.02447,45378,-0.00555,10282,-0.09602,178077,-0.0771,142981,-0.09851,182706,-0.07959,147610,-18684,-10308,-11888,-3512,-52758,-44382,-86119,-77743,0.01468
"386","E02006920","South Derbyshire 013",3662,1,19,107,12,47,2963,254,48,201,10,111.948,63.948,195.42101,2913.62402,-49.376,90.666,42.666,198.366,2929.89893,-33.101,406.629,358.629,159.686,2696.31689,-266.68301,718.64697,670.64697,138.47,2448.396,-514.604,-0.04984,92419,-0.02748,50944,-0.03371,62519,-0.01135,21044,-0.12049,223489,-0.09813,182014,-0.17742,329113,-0.15506,287638,-32081,-18439,-24909,-11267,-92713,-79071,-205698,-192056,NA
"400","E02004096","High Peak 004",4304,7,399,50,11,27,3254,148,47,336,25,94.054,47.054,329.52802,3219.65991,-34.34,90.978,43.978,331.43399,3221.79199,-32.207,320.353,273.353,284.18301,3060.55396,-193.446,667.28101,620.28101,243.257,2799.69507,-454.30499,-0.052,96350,-0.02263,41882,-0.04422,82013,-0.01485,27545,-0.09258,171658,-0.06321,117190,-0.19611,363733,-0.16674,309265,-29258,-13593,-28326,-12661,-61057,-45392,-180666,-165001,0.04672
"425","E02004069","Derbyshire Dales 002",2546,6,59,70,1,16,1958,139,22,257,18,49.513,27.513,251.521,1939.53796,-18.462,37.269,15.269,253.99699,1947.91699,-10.082,181.07201,159.07201,220.564,1856.953,-101.046,378.88,356.88,186.58701,1717.95801,-240.04201,-0.01329,24622,-0.00695,12846,-0.01077,19968,-0.00442,8192,-0.02958,54847,-0.02324,43071,-0.05588,103638,-0.04953,91862,-14135,-7600,-11426,-4891,-36288,-29753,-104280,-97745,0.02552
"513","E02004081","Erewash 004",2419,3,25,130,4,25,1928,130,42,127,5,84.235,42.235,123.84,1895.01196,-32.988,69.431,27.431,124.356,1906.16101,-21.839,242.85201,200.85201,106.91,1776.38196,-151.618,461.703,419.703,92.969,1602.396,-325.604,-0.04518,83750,-0.02216,41043,-0.03624,67221,-0.01322,24514,-0.10987,203759,-0.08684,161052,-0.15962,296063,-0.1366,253356,-32392,-15982,-25804,-9394,-79405,-62995,-171321,-154911,0.0214
"523","E02004071","Derbyshire Dales 004",2225,5,24,89,1,14,1723,144,36,180,9,82.398,46.398,173.94701,1689.83203,-33.168,71.495,35.495,173.953,1699.05701,-23.943,296.728,260.728,142.48199,1540.86804,-182.132,484.03101,448.03101,124.248,1398.91699,-324.08301,-0.02005,37160,-0.01206,22347,-0.01522,28236,-0.00724,13423,-0.05665,105077,-0.04867,90264,-0.07454,138260,-0.06655,123447,-18611,-10655,-15553,-7597,-58497,-50541,-118416,-110460,0.02655
"593","E02002813","Derby 018",3159,2,75,387,74,10,1281,371,99,813,47,215.93401,116.934,772.284,1238.047,-42.953,132.25999,33.26,802.36298,1268.50598,-12.494,762.91498,663.91498,563.48199,1045.05896,-235.94099,964.98901,865.98901,511.047,962.71899,-318.28101,-0.03862,71577,-0.01839,34071,-0.02435,45157,-0.00413,7651,-0.08904,165123,-0.06881,127617,-0.09216,170920,-0.07193,133414,-19383,-9469,-12484,-2570,-49203,-39289,-81445,-71531,0.0112
"735","E02002823","Derby 028",3081,0,28,319,15,48,2064,200,185,209,13,342.03601,157.036,193.90199,1957.23206,-106.768,308.16699,123.167,195.284,1982.64001,-81.36,893.28198,708.28198,135.183,1589.354,-474.646,1075.59497,890.59497,128.696,1458.45203,-605.54797,-0.10568,195991,-0.05164,95749,-0.08216,152417,-0.02813,52175,-0.26541,492341,-0.21137,392099,-0.25551,473975,-0.20147,373733,-55695,-26325,-48396,-19026,-139395,-110025,-196939,-167569,0.00626
"794","E02004098","High Peak 006",3217,2,214,147,7,16,2188,181,52,396,14,84.169,32.169,390.01001,2167.56689,-20.433,95.881,43.881,388.48499,2160.61401,-27.387,227.467,175.467,350.496,2085.55688,-102.443,521.79303,469.793,296.51099,1895.13904,-292.86099,-0.04038,74834,-0.01568,29031,-0.03652,67737,-0.01183,21934,-0.0701,129963,-0.0454,84160,-0.13701,254117,-0.11231,208314,-21591,-8658,-23045,-10112,-43022,-30089,-123378,-110445,0.03807
"859","E02002808","Derby 013",5535,5,91,699,62,51,2255,410,266,1669,27,457.772,191.772,1594.52502,2181.83301,-73.167,402.04001,136.03999,1619.44604,2199.89893,-55.101,1288.56006,1022.56,1208.76794,1911.18201,-343.81799,1685.46704,1419.46704,1088.68506,1739.12402,-515.87598,-0.09507,176311,-0.03644,67539,-0.07736,143498,-0.01873,34726,-0.1806,334981,-0.12196,226209,-0.18671,346321,-0.12807,237549,-52647,-19880,-46382,-13615,-107434,-74667,-175053,-142286,0.01601
"881","E02004059","Chesterfield 005",3256,3,48,261,23,27,2399,217,43,230,5,106.463,63.463,224.162,2353.5769,-45.423,80.46,37.46,226.675,2373.78296,-25.217,443.435,400.435,188.19099,2118.552,-280.448,775.27899,732.27899,160.345,1878.83398,-520.16602,-0.04144,76814,-0.02456,45499,-0.02614,48478,-0.00925,17163,-0.13335,247337,-0.11647,216022,-0.17932,332614,-0.16243,301299,-21895,-12955,-15005,-6065,-76147,-67207,-155498,-146558,0.02515
"924","E02002805","Derby 010",2537,2,18,221,10,25,1851,140,80,180,10,152.272,72.272,173.698,1798.55396,-52.446,140.077,60.077,172.905,1804.23804,-46.762,446.24899,366.24899,138.12199,1596.97595,-254.024,675.71698,595.71698,120.746,1427.17297,-423.827,-0.07458,138298,-0.03473,64374,-0.0584,108329,-0.01855,34405,-0.18414,341558,-0.14429,267634,-0.21146,392248,-0.17161,318324,-40997,-18480,-37341,-14824,-99991,-77474,-170950,-148433,0.01543
"986","E02004070","Derbyshire Dales 003",2338,2,24,63,4,15,1707,128,26,353,16,60.665,34.665,343.42801,1685.625,-21.374,46.616,20.616,347.315,1694.63403,-12.366,218.94901,192.94901,293.57199,1593.93396,-113.066,396.401,370.401,250.396,1479.02502,-227.97501,-0.01745,32340,-0.0074,13701,-0.01666,30894,-0.00661,12255,-0.03205,59430,-0.022,40791,-0.04617,85631,-0.03612,66992,-19185,-8436,-17629,-6880,-42825,-32076,-103334,-92585,0.01865
"1016","E02004092","Erewash 015",4260,4,232,241,7,62,2999,219,255,230,11,433.20099,178.201,212.84801,2872.08594,-126.914,393.56799,138.56799,215.58299,2901.0979,-97.902,975.47198,720.47198,153.17,2491.29712,-507.703,1233.30005,978.29999,144.44299,2294.04492,-704.95502,-0.14591,270610,-0.06006,111349,-0.13663,253464,-0.05078,94203,-0.29242,542437,-0.20657,383176,-0.31888,591535,-0.23304,432274,-99510,-39672,-93617,-33779,-199677,-139839,-301819,-241981,0.00683
"1037","E02002796","Derby 001",2670,0,33,156,7,15,2049,135,110,157,8,174.01401,64.014,152.17799,1999.81995,-49.18,196.73,86.73,148.89799,1983.45996,-65.54,405.32901,295.32901,128.465,1828.56201,-220.438,658.703,548.703,112.337,1628.672,-420.32901,-0.08628,160006,-0.03091,57289,-0.08519,158025,-0.02982,55308,-0.1696,314589,-0.11423,211872,-0.21429,397512,-0.15892,294795,-49747,-17911,-55584,-23748,-98727,-66891,-180423,-148587,0.0211
"1118","E02004068","Derbyshire Dales 001",3175,8,109,88,7,24,2361,162,51,344,21,60.921,9.921,341.84299,2354.37207,-6.628,80.393,29.393,342.47299,2336.67798,-24.322,84.456,33.456,331.80801,2343.26001,-17.74,240.946,189.946,293.44601,2243.0481,-117.952,-0.03364,62367,-0.00382,7044,-0.04995,92656,-0.02013,37333,-0.03382,62698,-0.00399,7375,-0.05535,102641,-0.02552,47318,-35084,-4266,-52863,-22045,-38029,-7211,-94608,-63790,NA
"1121","E02002816","Derby 021",4272,11,52,221,15,25,3264,211,116,335,22,227.373,111.373,323.211,3179.40601,-84.593,201.312,85.312,323.09601,3202.31299,-61.687,731.36102,615.36102,259.76099,2809.56299,-454.43701,1136.84094,1020.841,221.63699,2496.97192,-767.02802,-0.08855,164205,-0.04287,79479,-0.06535,121215,-0.01967,36489,-0.23965,444546,-0.19397,359820,-0.28441,527596,-0.23873,442870,-53454,-25910,-43944,-16400,-146378,-118834,-257751,-230207,0.01938
"1125","E02004065","Chesterfield 011",3552,5,71,123,11,17,2808,240,34,230,13,119.695,85.695,221.38699,2743.73608,-64.264,64.447,30.447,226.592,2786.21289,-21.787,573.604,539.604,170.71201,2409.66895,-398.33099,863.07202,829.07202,149.944,2179.50806,-628.492,-0.03916,72588,-0.02815,52171,-0.01658,30750,-0.00557,10333,-0.14419,267447,-0.13318,247030,-0.18923,351010,-0.17822,330593,-22292,-16033,-10473,-4214,-89602,-83343,-177505,-171246,0.02741
"1142","E02002806","Derby 011",3035,4,47,297,25,23,1446,197,132,851,13,241.07001,109.07,807.53998,1401.39099,-44.609,201.07899,69.079,826.755,1416.44604,-29.554,710.97998,578.97998,590.92401,1233.10706,-212.89301,937.612,805.612,526.896,1118.53101,-327.46899,-0.05668,105092,-0.02066,38277,-0.04718,87515,-0.01116,20700,-0.10418,193235,-0.06817,126420,-0.10569,196025,-0.06967,129210,-32440,-12823,-27643,-8026,-68682,-49065,-114276,-94659,0.01796
"1159","E02002801","Derby 006",3333,2,23,362,36,40,2245,243,122,245,15,235.746,113.746,235.306,2169.6521,-75.348,245.746,123.746,230.68401,2165.69189,-79.308,719.21399,597.21399,185.367,1859.85596,-385.14401,1018.51099,896.51099,162.57201,1654.75806,-590.242,-0.08968,166303,-0.04212,78068,-0.07691,142664,-0.02934,54429,-0.23362,433367,-0.18606,345132,-0.25029,464296,-0.20273,376061,-46614,-21239,-44877,-19502,-119864,-94489,-193395,-168020,0.0173
"1219","E02002819","Derby 024",3673,2,43,393,27,42,2365,251,182,356,12,352.55499,170.55499,332.879,2257.21899,-107.781,290.345,108.345,341.67999,2296.52588,-68.474,998.10901,816.10901,234.843,1857.422,-507.578,1209.03796,1027.03796,225.457,1708.802,-656.19702,-0.10989,203793,-0.05476,101515,-0.08321,154350,-0.02807,52072,-0.27961,518681,-0.22448,416403,-0.27616,512286,-0.22103,410008,-57946,-27964,-49704,-19722,-146256,-116274,-214625,-184643,0.00544
"1224","E02004043","Amber Valley 015",3119,4,16,161,11,46,2511,197,30,133,10,77.794,47.794,130.29601,2473.32202,-37.678,57.949,27.949,131.959,2489.10205,-21.898,286.78799,256.78799,112.792,2314.60889,-196.39101,587.96899,557.96899,96.911,2074.69897,-436.30099,-0.04,74123,-0.02378,44046,-0.02719,50431,-0.01097,20354,-0.12223,226697,-0.10602,196620,-0.18993,352298,-0.17371,322221,-29329,-17313,-22680,-10664,-86186,-74170,-202076,-190060,0.02754
"1237","E02004038","Amber Valley 010",3590,3,113,164,14,35,2503,194,58,497,9,98.643,40.643,489.57401,2476.21191,-26.788,107.372,49.372,486.09299,2472.35107,-30.649,277.604,219.604,436.87299,2376.02295,-126.977,606.28601,548.28601,369.77301,2163.95703,-339.043,-0.0467,86570,-0.01766,32690,-0.04303,79816,-0.01399,25936,-0.08613,159725,-0.05708,105845,-0.15398,285618,-0.12494,231738,-34559,-13199,-35612,-14252,-63162,-41802,-163356,-141996,0.03705
"1257","E02004125","South Derbyshire 008",4050,2,15,193,24,64,3089,329,60,267,7,142.29601,82.296,260.70999,3028.15601,-60.844,125.463,65.463,260.754,3042.89795,-46.102,522.58398,462.58401,221.451,2757.18506,-331.815,917.172,857.172,189.905,2462.93799,-626.06201,-0.06063,112434,-0.03733,69228,-0.0373,69178,-0.014,25972,-0.16655,308943,-0.14326,265737,-0.21376,396527,-0.19046,353321,-37974,-23207,-28944,-14177,-120416,-105649,-238535,-223768,0.0227
