"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"32","E02003157","Torbay 004",2602,1,36,138,30,44,1489,181,24,643,16,63.132999420166,39.132999420166,631.440979003906,-11.5590000152588,1468.05798339844,-20.9419994354248,49.6710014343262,25.6709995269775,634.401977539062,-8.59799957275391,1475.62097167969,-13.378999710083,313.615997314453,289.615997314453,548.070983886719,-94.9290008544922,1341.42004394531,-147.580001831055,614.822021484375,590.822021484375,460.019989013672,-182.979995727539,1179.93298339844,-309.066986083984,-0.00899000000208616,16680,-0.0207400005310774,38467,-0.0117499995976686,21787,-0.0143299996852875,26580,-0.0053400001488626,9900,-0.0634699985384941,117729,-0.0544800013303757,101049,-0.0779500007629395,144600,-0.068960003554821,127920,-0.00604999996721745,11229,-0.0138299996033311,25627,-0.00777000002563,14398,-0.00968999974429607,17979,-0.00364000000990927,6750,-0.0430699996650219,79890,-0.0370200015604496,68661,-0.0557999983429909,103501,-0.0497400015592575,92272,-3545,-8229,-4684,-6364,-2819,-29872,-26327,-67290,-63745,0.0380845223207614
"85","E02003150","Plymouth 029",4789,4,51,566,43,69,2085,261,152,1494,64,275.199005126953,123.198997497559,1438.24597167969,-55.7540016174316,2040.35998535156,-44.6399993896484,220.22900390625,68.2289962768555,1468.81799316406,-25.181999206543,2056.15405273438,-28.8460006713867,917.4580078125,765.4580078125,1122.373046875,-371.627014160156,1823.58703613281,-261.412994384766,1369.0849609375,1217.0849609375,976.89501953125,-517.10498046875,1621.59899902344,-463.401000976562,-0.0335199981927872,62183,-0.0542499981820583,100624,-0.0207299999892712,38441,-0.0422200001776218,78323,-0.00870000012218952,16140,-0.123759999871254,229576,-0.0902400016784668,167393,-0.128250002861023,237924,-0.0947299972176552,175741,-0.0222800001502037,41324,-0.0365500003099442,67781,-0.0142700001597404,26457,-0.0280200000852346,51970,-0.00573999993503094,10646,-0.0878700017929077,162989,-0.065590001642704,121665,-0.0964099988341331,178831,-0.0741299986839294,137507,-14198,-24186,-9988,-20918,-6720,-64673,-50475,-121772,-107574,0.0313819834045809
"146","E02003154","Torbay 001",2571,4,12,140,15,49,1734,210,30,369,8,67.3970031738281,37.3969993591309,361.894989013672,-7.10500001907349,1710.43896484375,-23.5610008239746,62.3940010070801,32.3940010070801,363.683013916016,-5.31699991226196,1713.4560546875,-20.5440006256104,291.574005126953,261.574005126953,314.615997314453,-54.3839988708496,1573.5,-160.5,584.176025390625,554.176025390625,265.31298828125,-103.686996459961,1382.98303222656,-351.016998291016,-0.0191500000655651,35515,-0.0332500003278255,61654,-0.0141000002622604,26139,-0.0341099984943867,63275,-0.0149699999019504,27760,-0.0893900021910667,165819,-0.0702399984002113,130304,-0.124269999563694,230543,-0.10513000190258,195028,-0.0127600003033876,23661,-0.0219500008970499,40697,-0.00918999966233969,17036,-0.0228300001472235,42352,-0.0100800003856421,18691,-0.0597600005567074,110852,-0.047010000795126,87191,-0.0853900015354156,158396,-0.0726300030946732,134735,-7158,-12752,-5594,-13754,-6596,-39196,-32038,-90141,-82983,0.0422198648141683
"188","E02004202","Teignbridge 002",3417,2,90,226,5,57,2488,155,152,220,22,221.481994628906,69.4820022583008,213.024993896484,-6.97499990463257,2438.02197265625,-49.9780006408691,241.595001220703,89.5950012207031,211.940994262695,-8.05900001525879,2425.84594726562,-62.1539993286133,452.519012451172,300.519012451172,175.828002929688,-44.1720008850098,2278.662109375,-209.337997436523,786.421997070312,634.421997070312,153.100997924805,-66.8990020751953,2029.70397949219,-458.295989990234,-0.119949996471405,222526,-0.165490001440048,306988,-0.0455400012433529,84462,-0.162780001759529,301990,-0.0428300015628338,79464,-0.248530000448227,461071,-0.128590002655983,238545,-0.323669999837875,600482,-0.203730002045631,377956,-0.0732799991965294,135940,-0.102009996771812,189217,-0.0287399999797344,53277,-0.0990699976682663,183793,-0.0258000008761883,47853,-0.156709998846054,290714,-0.0834399983286858,154774,-0.208409994840622,386626,-0.135130003094673,250686,-45100,-62557,-17457,-72966,-27866,-108747,-63647,-207073,-161973,0.0352071254516427
"243","E02003126","Plymouth 005",3310,3,9,371,25,65,2059,219,66,461,32,116.911003112793,50.9109992980957,453.131988525391,-7.86800003051758,2027.43505859375,-31.5650005340576,101.967002868652,35.9669990539551,456.279998779297,-4.71999979019165,2035.96398925781,-23.0359992980957,393.411987304688,327.411987304688,399.031005859375,-61.9690017700195,1866.13000488281,-192.869995117188,795.546997070312,729.546997070312,334.907989501953,-126.092002868652,1618.95397949219,-440.045989990234,-0.0381800010800362,70834,-0.060929998755455,113014,-0.022749999538064,42180,-0.0491800010204315,91215,-0.0109900003299117,20381,-0.160699993371964,298111,-0.122510001063347,227277,-0.219530001282692,407256,-0.181339994072914,336422,-0.0245200004428625,45473,-0.0394000001251698,73064,-0.0148799996823072,27591,-0.0313399992883205,58124,-0.00681999977678061,12651,-0.105590000748634,195872,-0.0810799971222878,150399,-0.147430002689362,273488,-0.122910000383854,228015,-15451,-24213,-8762,-23965,-8514,-61495,-46044,-131347,-115896,0.040849659898648
"245","E02004150","Exeter 002",3072,0,35,432,14,49,1635,209,182,505,11,263.420013427734,81.4199981689453,488.846008300781,-16.1539993286133,1592.2939453125,-42.7060012817383,295.397003173828,113.397003173828,480.394989013672,-24.6049995422363,1577.76501464844,-57.2350006103516,596.140991210938,414.140991210938,418.0419921875,-86.9580001831055,1422.03601074219,-212.964004516602,951.224975585938,769.224975585938,349.233001708984,-155.766998291016,1233.18505859375,-401.815002441406,-0.0513300001621246,95212,-0.0730900019407272,135554,-0.0217599999159575,40342,-0.0711300000548363,131951,-0.0198100004345179,36739,-0.157499998807907,292163,-0.106169998645782,196951,-0.170790001749992,316832,-0.119460001587868,221620,-0.034170001745224,63385,-0.0483900010585785,89739,-0.0142200002446771,26354,-0.0477299988269806,88533,-0.0135599998757243,25148,-0.10487999767065,194543,-0.0707100033760071,131158,-0.116889998316765,216833,-0.0827199965715408,153448,-22397,-31758,-9361,-35661,-13264,-64839,-42442,-111155,-88758,0.0269166074988988
"324","E02003165","Torbay 012",2995,4,42,127,13,64,2026,199,52,452,16,94.3519973754883,42.3520011901855,442.216003417969,-9.78400039672852,1999.85998535156,-26.1399993896484,105.948997497559,53.9490013122559,443.871002197266,-8.12899971008301,1989.61596679688,-36.3839988708496,320.826995849609,268.826995849609,377.524993896484,-74.4749984741211,1870.33996582031,-155.660003662109,652.93798828125,600.93798828125,317.002014160156,-134.998001098633,1650.25305175781,-375.747009277344,-0.029839999973774,55356,-0.0478900000452995,88831,-0.0180500000715256,33475,-0.0530599988996983,98423,-0.0232200007885695,43067,-0.106200002133846,197013,-0.0763600021600723,141657,-0.150969997048378,280075,-0.121129997074604,224719,-0.0193199999630451,35845,-0.031199999153614,57850,-0.0118699995800853,22005,-0.0342499986290932,63534,-0.0149299995973706,27689,-0.0707599967718124,131257,-0.0514400005340576,95412,-0.103299997746944,191628,-0.0839800015091896,155783,-11201,-18392,-7191,-21547,-10346,-47644,-36443,-110892,-99691,0.0388437047747349
"382","E02003151","Plymouth 030",2973,4,8,205,3,78,2163,170,86,221,35,139.774002075195,53.773998260498,216.462005615234,-4.53800010681152,2124.40405273438,-38.5960006713867,167.591003417969,81.5910034179688,211.466995239258,-9.53299999237061,2107.27294921875,-55.726001739502,374.625,288.625,189.878005981445,-31.1219997406006,1962.35205078125,-200.647994995117,721.171020507812,635.171020507812,160.473999023438,-60.5260009765625,1707.63000488281,-455.369995117188,-0.0523700006306171,97147,-0.0832300037145615,154375,-0.030859999358654,57228,-0.0727699995040894,134995,-0.0204099994152784,37848,-0.202999994158745,376598,-0.150629997253418,279451,-0.28192999958992,523045,-0.229570001363754,425898,-0.0340999998152256,63249,-0.0541100017726421,100357,-0.0200100000947714,37108,-0.047410000115633,87942,-0.0133100003004074,24693,-0.132229998707771,245287,-0.098130002617836,182038,-0.185320004820824,343790,-0.151219993829727,280541,-21340,-33699,-12359,-37560,-16220,-79066,-57726,-166028,-144688,0.0383554529458269
"384","E02003127","Plymouth 006",2932,0,9,404,33,94,1867,213,58,240,14,108.930000305176,50.9300003051758,234.253997802734,-5.74599981307983,1835.26599121094,-31.7339992523193,100.287002563477,42.2869987487793,235.175994873047,-4.82399988174438,1841.46899414062,-25.5310001373291,368.450988769531,310.450988769531,198.65299987793,-41.3470001220703,1678.4189453125,-188.580993652344,722.903015136719,664.903015136719,168.378997802734,-71.6210021972656,1453.333984375,-413.665985107422,-0.0290200002491474,53838,-0.0535500012338161,99309,-0.0245200004428625,45471,-0.0401999987661839,74568,-0.0111800003796816,20730,-0.169980004429817,315337,-0.140959993004799,261499,-0.236809998750687,439326,-0.207780003547668,385488,-0.0190399996936321,35310,-0.0348200015723705,64568,-0.0157800000160933,29258,-0.026350000873208,48878,-0.00731999985873699,13568,-0.110809996724129,205562,-0.091779999434948,170252,-0.156499996781349,290330,-0.137470006942749,255020,-10556,-19390,-8834,-18444,-7888,-59121,-48565,-127173,-116617,0.0366350601957737
"404","E02003137","Plymouth 016",3348,3,19,286,17,63,2200,173,129,414,44,186.641006469727,57.640998840332,406.295013427734,-7.70499992370605,2160.95190429688,-39.0480003356934,211.86799621582,82.8679962158203,403.614990234375,-10.3850002288818,2141.69091796875,-58.3089981079102,467.037994384766,338.037994384766,359.143005371094,-54.8569984436035,1981.81396484375,-218.186004638672,890.817993164062,761.817993164062,302.148986816406,-111.850997924805,1696.2919921875,-503.7080078125,-0.0571100004017353,105939,-0.0769200026988983,142678,-0.0198100004345179,36739,-0.0724600031971931,134405,-0.0153500000014901,28466,-0.157600000500679,292369,-0.100500002503395,186430,-0.215959995985031,400648,-0.158859997987747,294709,-0.0371700003743172,68951,-0.0499499998986721,92641,-0.0127800004556775,23690,-0.0471500009298325,87465,-0.00999000016599894,18514,-0.10283999890089,190769,-0.0656699985265732,121818,-0.142550006508827,264443,-0.105379998683929,195492,-23814,-32330,-8516,-36825,-13011,-65590,-41776,-129922,-106108,0.0371521990794276
