"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"145542",1,1,1,1.782,590,42,47,0.02637,332,14,2145,"E02003122 E02003123",42
"145543",1,1,1,5.278,2654,115,238,0.04509,984,113,12444,"E02003122 E02003124",115
"145544",1,1,1,6.308,3184,200,341,0.05406,1176,142,12744,"E02003122 E02003125",200
"145545",1,1,1,3.714,1600,127,107,0.02881,692,53,7450,"E02003122 E02003126",127
"145546",1,1,1,6.487,2806,203,166,0.02559,1209,91,20813,"E02003122 E02003127",203
"145547",1,1,1,4.994,2166,196,149,0.02984,931,69,18558,"E02003122 E02003128",196
"145548",1,1,1,3.931,1898,140,113,0.02875,733,67,16470,"E02003122 E02003129",140
"145549",1,1,1,8.363,3738,271,266,0.03181,1559,128,26056,"E02003122 E02003130",271
"145550",1,1,1,6.527,3120,199,257,0.03937,1217,126,12877,"E02003122 E02003131",199
"145551",1,1,1,5.814,2734,202,179,0.03079,1084,101,25496,"E02003122 E02003132",202
"145552",1,1,1,6.611,2954,233,205,0.03101,1232,105,26231,"E02003122 E02003134",233
"145553",1,1,1,7.966,3602,275,256,0.03214,1485,120,28388,"E02003122 E02003135",275
"145554",1,1,1,6.63,3262,171,322,0.04857,1236,133,13314,"E02003122 E02003136",171
"145555",1,1,1,5.482,2948,194,181,0.03302,1022,105,29777,"E02003122 E02003137",194
"145556",1,1,1,5.882,2644,187,206,0.03502,1096,93,24829,"E02003122 E02003138",187
"145557",1,1,1,7.532,3184,185,229,0.0304,1404,97,11855,"E02003122 E02003140",185
"145558",1,1,1,7.815,3740,279,299,0.03826,1457,142,33277,"E02003122 E02003142",279
"145559",1,1,1,6.874,3068,225,241,0.03506,1281,109,26612,"E02003122 E02003144",225
"145560",1,1,1,7.542,3542,235,244,0.03235,1406,125,33181,"E02003122 E02003145",235
"145561",1,1,1,7.42,3836,250,263,0.03544,1383,135,38066,"E02003122 E02003146",250
"145562",1,1,1,8.665,4022,302,289,0.03335,1615,143,35174,"E02003122 E02003147",302
"145563",1,1,1,7.496,3786,253,282,0.03762,1397,129,37987,"E02003122 E02003148",253
"145564",1,1,1,8.021,4092,264,301,0.03753,1495,137,39213,"E02003122 E02003149",264
"145565",1,1,1,8.549,3644,257,261,0.03053,1594,117,34441,"E02003122 E02003150",257
"145566",1,1,1,11.832,4970,415,304,0.02569,2206,169,32271,"E02003122 E02003152",415
"145569",1,1,1,2.649,1260,141,79,0.02982,494,53,5234,"E02003122 E02004189",141
"145570",1,1,1,18.86,8826,409,528,0.028,3516,338,164126,"E02003122 E02004193",409
"145571",1,1,1,20.673,11270,506,923,0.04465,3854,515,60533,"E02003122 E02004196",506
"145572",1,1,1,16.317,7770,317,491,0.03009,3042,316,87218,"E02003122 E02004233",317
"145573",1,1,1,8.786,4204,190,336,0.03824,1638,174,33903,"E02003122 E02004235",190
"145575",1,1,1,3.634,2174,89,199,0.05476,677,105,10483,"E02003123 E02003124",89
"145576",1,1,1,4.995,2798,147,310,0.06206,931,137,11659,"E02003123 E02003125",147
"145577",1,1,1,5.079,2672,139,172,0.03386,947,112,12544,"E02003123 E02003126",139
"145578",1,1,1,5.072,2652,144,217,0.04278,945,116,11876,"E02003123 E02003127",144
"145579",1,1,1,3.881,2132,141,202,0.05205,723,98,10056,"E02003123 E02003128",141
"145580",1,1,1,3.815,2358,109,186,0.04875,711,111,12159,"E02003123 E02003129",109
"145581",1,1,1,6.948,3584,212,317,0.04562,1295,153,17119,"E02003123 E02003130",212
"145582",1,1,1,6.292,3766,174,340,0.05404,1173,179,17514,"E02003123 E02003131",174
"145583",1,1,1,5.964,3320,187,258,0.04326,1112,151,21231,"E02003123 E02003132",187
"145584",1,1,1,5.776,3586,160,350,0.0606,1077,171,16288,"E02003123 E02003133",160
"145585",1,1,1,6.761,3540,218,284,0.04201,1260,154,21966,"E02003123 E02003134",218
"145586",1,1,1,8.116,4188,260,335,0.04128,1513,169,24123,"E02003123 E02003135",260
"145587",1,1,1,7.995,4334,183,387,0.04841,1490,192,18408,"E02003123 E02003136",183
"145588",1,1,1,5.632,3534,179,260,0.04616,1050,155,25512,"E02003123 E02003137",179
"145589",1,1,1,6.032,3230,172,285,0.04725,1124,143,20564,"E02003123 E02003138",172
"145590",1,1,1,10.507,6238,300,483,0.04597,1959,291,26942,"E02003123 E02003139",300
"145591",1,1,1,8.897,4256,197,294,0.03304,1658,156,16949,"E02003123 E02003140",197
"145592",1,1,1,7.965,4326,264,378,0.04746,1485,192,29012,"E02003123 E02003142",264
"145593",1,1,1,7.024,3654,210,320,0.04556,1309,159,22347,"E02003123 E02003144",210
"145594",1,1,1,7.692,4128,220,323,0.04199,1434,175,28916,"E02003123 E02003145",220
