"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"145542",1,1,1,1.782,590,42,47,0.02637,332,14,2145,"E02003122 E02003123"
"145543",1,1,1,5.541,2950,185,272,0.04909,1033,134,10809,"E02003122 E02003124"
"145544",1,1,1,6.308,3184,200,341,0.05406,1176,142,12744,"E02003122 E02003125"
"145545",1,1,1,3.714,1600,127,107,0.02881,692,53,7450,"E02003122 E02003126"
"145546",1,1,1,6.693,3284,165,260,0.03885,1248,124,13285,"E02003122 E02003127"
"145547",1,1,1,6.016,2564,266,171,0.02842,1121,91,11210,"E02003122 E02003128"
"145548",1,1,1,4.855,2254,217,133,0.02739,905,87,10108,"E02003122 E02003129"
"145549",1,1,1,7.877,4422,272,426,0.05408,1468,182,17101,"E02003122 E02003130"
"145550",1,1,1,6.063,3240,216,325,0.0536,1130,156,12763,"E02003122 E02003131"
"145551",1,1,1,8.562,3978,361,247,0.02885,1596,158,15978,"E02003122 E02003132"
"145552",1,1,1,9.359,4198,392,273,0.02917,1745,162,16713,"E02003122 E02003134"
"145553",1,1,1,10.714,4846,434,324,0.03024,1997,177,18870,"E02003122 E02003135"
"145554",1,1,1,6.617,3250,175,320,0.04836,1233,133,13272,"E02003122 E02003136"
"145555",1,1,1,6.84,3994,300,253,0.03699,1275,150,14685,"E02003122 E02003137"
"145556",1,1,1,7.993,4032,308,302,0.03778,1490,155,15549,"E02003122 E02003138"
"145557",1,1,1,7.532,3184,185,229,0.0304,1404,97,11855,"E02003122 E02003140"
"145558",1,1,1,8.784,4074,264,271,0.03085,1637,143,14393,"E02003122 E02003142"
"145559",1,1,1,8.784,4436,358,337,0.03837,1637,170,16913,"E02003122 E02003144"
"145560",1,1,1,10.779,5012,430,336,0.03117,2009,197,19855,"E02003122 E02003145"
"145561",1,1,1,10.935,5068,306,295,0.02698,2038,186,16851,"E02003122 E02003146"
"145562",1,1,1,12.074,5460,463,367,0.0304,2251,210,21111,"E02003122 E02003147"
"145563",1,1,1,11.697,5206,335,292,0.02496,2180,178,17013,"E02003122 E02003148"
"145564",1,1,1,10.396,4592,272,255,0.02453,1938,145,14927,"E02003122 E02003149"
"145565",1,1,1,13.375,6720,433,321,0.024,2493,197,19639,"E02003122 E02003150"
"145566",1,1,1,11.903,5366,333,306,0.02571,2219,174,16173,"E02003122 E02003152"
"145569",1,1,1,2.649,1260,141,79,0.02982,494,53,5234,"E02003122 E02004189"
"145570",1,1,1,18.354,9634,521,652,0.03552,3421,393,31480,"E02003122 E02004193"
"145571",1,1,1,21.092,12042,549,991,0.04698,3932,551,46324,"E02003122 E02004196"
"145572",1,1,1,21.269,11348,580,789,0.0371,3965,503,37735,"E02003122 E02004233"
"145573",1,1,1,9.587,4924,277,420,0.04381,1787,215,23220,"E02003122 E02004235"
"145575",1,1,1,4.069,2716,130,241,0.05923,759,126,9162,"E02003123 E02003124"
"145576",1,1,1,4.836,2950,145,310,0.0641,901,135,11097,"E02003123 E02003125"
"145577",1,1,1,4.904,2826,141,142,0.02896,914,98,11702,"E02003123 E02003126"
"145578",1,1,1,5.049,2804,139,221,0.04377,941,116,11324,"E02003123 E02003127"
"145579",1,1,1,3.843,2232,141,204,0.05308,716,97,9495,"E02003123 E02003128"
"145580",1,1,1,3.777,2458,109,188,0.04977,704,111,11598,"E02003123 E02003129"
"145581",1,1,1,6.405,4188,217,395,0.06167,1194,174,15454,"E02003123 E02003130"
"145582",1,1,1,6.233,3868,171,344,0.05519,1162,179,16436,"E02003123 E02003131"
"145583",1,1,1,6.389,3646,236,280,0.04383,1191,165,14263,"E02003123 E02003132"
"145584",1,1,1,5.738,3686,160,352,0.06135,1070,171,15727,"E02003123 E02003133"
"145585",1,1,1,7.186,3866,267,306,0.04258,1340,169,14998,"E02003123 E02003134"
"145586",1,1,1,8.541,4514,309,357,0.0418,1592,184,17155,"E02003123 E02003135"
"145587",1,1,1,7.807,4476,189,355,0.04547,1455,178,17524,"E02003123 E02003136"
"145588",1,1,1,5.762,4198,192,308,0.05345,1074,174,16175,"E02003123 E02003137"
"145589",1,1,1,6.696,3710,250,313,0.04674,1248,161,14740,"E02003123 E02003138"
"145590",1,1,1,10.518,6654,317,457,0.04345,1961,280,24121,"E02003123 E02003139"
"145591",1,1,1,8.722,4410,199,264,0.03027,1626,142,16107,"E02003123 E02003140"
"145592",1,1,1,6.876,5016,191,420,0.06108,1282,199,18037,"E02003123 E02003142"
"145593",1,1,1,7.77,4210,292,356,0.04582,1448,181,16850,"E02003123 E02003144"
"145594",1,1,1,8.606,4680,305,369,0.04288,1604,204,18140,"E02003123 E02003145"
"145595",1,1,1,7.555,4816,237,460,0.06089,1408,228,19563,"E02003123 E02003146"
"145596",1,1,1,9.901,5128,338,400,0.0404,1846,217,19396,"E02003123 E02003147"
"145597",1,1,1,9.081,4994,316,427,0.04702,1693,215,19369,"E02003123 E02003148"
"145598",1,1,1,11.586,5818,286,290,0.02503,2160,190,19179,"E02003123 E02003149"
"145599",1,1,1,9.541,4952,350,378,0.03962,1779,192,18021,"E02003123 E02003150"
