"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"73","E02003200","Poole 007",4182,5,30,284,16,117,2868,283,193,359,27,327.079986572266,134.080001831055,346.703002929688,-12.2969999313354,2773.2939453125,-94.7060012817383,342.463989257812,149.464004516602,341.098999023438,-17.9009990692139,2765.58911132812,-102.411003112793,863.611999511719,670.611999511719,288.9169921875,-70.0830001831055,2400.88989257812,-467.109985351562,1290.07397460938,1097.07397460938,246.526992797852,-112.472999572754,2097.49609375,-770.505004882812,-0.0815099999308586,151198,-0.140349999070168,260345,-0.0588500015437603,109147,-0.129480004310608,240183,-0.047970000654459,88985,-0.346230000257492,642300,-0.264719992876053,491102,-0.367810010910034,682353,-0.286309987306595,531155,-0.0522399991750717,96909,-0.0899600014090538,166853,-0.0377199985086918,69944,-0.0830300003290176,154008,-0.0307800006121397,57099,-0.224619999527931,416688,-0.172380000352859,319779,-0.241769999265671,448507,-0.189530000090599,351598,-38741,-66398,-27657,-65607,-26866,-160947,-122206,-255228,-216487,0.0199069060971177
"79","E02004273","West Dorset 005",2070,10,29,53,7,22,1365,104,21,439,20,36.7550010681152,15.7550001144409,432.75,-6.25,1357.03503417969,-7.96500015258789,28.82200050354,7.82200002670288,438.777008056641,-0.223000004887581,1358.34704589844,-6.65299987792969,124.212997436523,103.212997436523,391.158996582031,-47.8409996032715,1319.16101074219,-45.8380012512207,290.839996337891,269.839996337891,332.272003173828,-106.727996826172,1228.43395996094,-136.565994262695,-0.0127600003033876,23674,-0.0174400005489588,32338,-0.00467999977990985,8664,-0.0205899998545647,38201,-0.00782999955117702,14527,-0.0216400008648634,40132,-0.00887999963015318,16458,-0.0279099997133017,51776,-0.0151500003412366,28102,-0.00855999998748302,15885,-0.0115799997001886,21475,-0.00301999994553626,5590,-0.0136900003999472,25385,-0.00511999987065792,9500,-0.0153200002387166,28417,-0.00675999978557229,12532,-0.022639999166131,41995,-0.0140800001099706,26110,-6402,-9608,-3206,-10910,-4508,-20382,-13980,-59957,-53555,NA
"221","E02003202","Poole 009",2755,7,57,203,4,45,1834,150,130,303,22,212.917007446289,82.9169998168945,291.683990478516,-11.3159999847412,1776.99096679688,-57.0089988708496,214.332000732422,84.3320007324219,292.380004882812,-10.6199998855591,1773.04602050781,-60.9539985656738,557.435974121094,427.436004638672,238.205993652344,-64.7939987182617,1546.35095214844,-287.648986816406,836.111999511719,706.111999511719,202.964004516602,-100.036003112793,1353.45397949219,-480.545989990234,-0.0498199984431267,92405,-0.0810900032520294,150388,-0.0312700010836124,57983,-0.0757799968123436,140565,-0.0259600002318621,48160,-0.195580005645752,362808,-0.145759999752045,270403,-0.208179995417595,386190,-0.15837000310421,293785,-0.0308299995958805,57176,-0.0508899986743927,94356,-0.0200599990785122,37180,-0.0474799983203411,88053,-0.0166500005871058,30877,-0.126010000705719,233733,-0.0951799973845482,176557,-0.136089995503426,252433,-0.105259999632835,195257,-25117,-40768,-15651,-40970,-15853,-97555,-72438,-154876,-129759,0.0187743568669472
"403","E02003210","Poole 017",3644,10,100,202,5,34,2582,160,196,328,27,320.467987060547,124.468002319336,311.148010253906,-16.8519992828369,2493.63110351562,-88.3690032958984,298.936004638672,102.935997009277,316.210998535156,-11.7889995574951,2506.45190429688,-75.5479965209961,798.033996582031,602.033996582031,237.619995117188,-90.379997253418,2162.34301757812,-419.657012939453,1101.88903808594,905.888977050781,210.998992919922,-117.000999450684,1929.47705078125,-652.523010253906,-0.0694599971175194,128857,-0.111199997365475,206264,-0.0417400002479553,77407,-0.103660002350807,192298,-0.0342000015079975,63441,-0.245340004563332,455121,-0.175870001316071,326264,-0.273380011320114,507162,-0.203920006752014,378305,-0.0441699996590614,81929,-0.0707300007343292,131177,-0.0265599992126226,49248,-0.066380001604557,123127,-0.0222100000828505,41198,-0.15862999856472,294253,-0.114459998905659,212324,-0.178949996829033,331955,-0.134780004620552,250026,-35998,-57731,-21733,-56773,-20775,-126767,-90769,-204167,-168169,0.0173447769045471
"494","E02004249","East Dorset 007",2233,6,19,39,1,21,1873,112,52,95,15,103.44100189209,51.4410018920898,91.7160034179688,-3.28399991989136,1829.92700195312,-43.0730018615723,88.0550003051758,36.0550003051758,93.2070007324219,-1.79299998283386,1842.84301757812,-30.1569995880127,319.486999511719,267.486999511719,74.3209991455078,-20.6790008544922,1652.93603515625,-220.063995361328,511.873992919922,459.873992919922,65.1389999389648,-29.8610000610352,1487.62194824219,-385.377990722656,-0.0241199992597103,44742,-0.0487900003790855,90490,-0.0246699992567301,45748,-0.0408399999141693,75750,-0.016720000654459,31008,-0.103639997541904,192240,-0.0795200020074844,147498,-0.131500005722046,243941,-0.107380002737045,199199,-0.0153299998492002,28435,-0.0308299995958805,57149,-0.0154999997466803,28714,-0.0259899999946356,48198,-0.0106600001454353,19763,-0.0665000006556511,123341,-0.0511699989438057,94906,-0.0855299979448318,158633,-0.070200003683567,130198,-14974,-30280,-15306,-25385,-10411,-79480,-64506,-150813,-135839,0.0201209165444774
"572","E02003209","Poole 016",2752,4,45,150,6,50,1733,183,207,350,24,335.459014892578,128.458999633789,324.713012695312,-25.2870006561279,1654.83703613281,-78.1630020141602,326.805999755859,119.805999755859,315.660003662109,-34.3400001525879,1667.5810546875,-65.4189987182617,759.882995605469,552.882995605469,240.393997192383,-109.606002807617,1395.77697753906,-337.222991943359,938.497009277344,731.497009277344,223.311004638672,-126.689002990723,1266.04504394531,-466.954986572266,-0.0542099997401237,100570,-0.0931999981403351,172872,-0.0389899984002113,72302,-0.0753199979662895,139725,-0.0211100000888109,39155,-0.214819997549057,398515,-0.160600006580353,297945,-0.214279994368553,397512,-0.160060003399849,296942,-0.0350699983537197,65059,-0.060139998793602,111532,-0.0250700004398823,46473,-0.0489000007510185,90701,-0.0138299996033311,25642,-0.140259996056557,260182,-0.105190001428127,195123,-0.141660004854202,262781,-0.106590002775192,197722,-28232,-48143,-19911,-41832,-13600,-109559,-81327,-161219,-132987,0.0118434810364914
"626","E02004286","Weymouth and Portland 006",2243,1,31,90,8,42,1446,130,83,392,20,132.139007568359,49.1389999389648,380.358001708984,-11.6420001983643,1415.49597167969,-30.503999710083,128.690002441406,45.689998626709,379.829010009766,-12.1709995269775,1418.39196777344,-27.6079998016357,357.875,274.875,317.072998046875,-74.927001953125,1285.083984375,-160.916000366211,576.549987792969,493.549987792969,268.363006591797,-123.637001037598,1147.31701660156,-298.683013916016,-0.031920000910759,59210,-0.0519400015473366,96361,-0.0200299993157387,37151,-0.0427399985492229,79281,-0.0108200004324317,20071,-0.099930003285408,185401,-0.0680200010538101,126191,-0.116410002112389,215962,-0.0844900012016296,156752,-0.0211299993097782,39202,-0.0339800007641315,63039,-0.0128499995917082,23837,-0.0283199995756149,52529,-0.00718999980017543,13327,-0.0661600008606911,122733,-0.0450300015509129,83531,-0.0794499963521957,147398,-0.0583200007677078,108196,-12695,-20568,-7873,-19739,-7044,-48195,-35500,-91398,-78703,0.0282513575367707
"632","E02004254","East Dorset 012",4578,4,26,120,2,55,3799,245,137,162,28,260.631988525391,123.63200378418,155.927001953125,-6.07299995422363,3695.12890625,-103.871002197266,232.949996948242,95.9499969482422,159.102996826172,-2.8970000743866,3717.6630859375,-81.3369979858398,740.947998046875,603.947998046875,122.115997314453,-39.8839988708496,3302.13305664062,-496.867004394531,1149.15698242188,1012.15698242188,109.569000244141,-52.4309997558594,2950.07690429688,-848.922973632812,-0.0756699964404106,140382,-0.138569995760918,257032,-0.062890000641346,116650,-0.129850000143051,240877,-0.0541799999773502,100495,-0.276829987764359,513555,-0.201159998774529,373173,-0.326799988746643,606263,-0.251120001077652,465881,-0.0471699982881546,87500,-0.086669996380806,160739,-0.0394899994134903,73239,-0.0811199992895126,150464,-0.033950001001358,62964,-0.17645999789238,327330,-0.129280000925064,239830,-0.210869997739792,391178,-0.163699999451637,303678,-45789,-83548,-37759,-78562,-32773,-202037,-156248,-353128,-307339,0.0224195779392844
"696","E02003197","Poole 004",3354,2,38,157,5,60,2449,204,190,234,15,318.253997802734,128.253997802734,221.626998901367,-12.3730001449585,2354.09106445312,-94.9089965820312,324.269012451172,134.268997192383,217.990005493164,-16.0100002288818,2350.07397460938,-98.9260025024414,801.036010742188,611.036010742188,170.044006347656,-63.9560012817383,2002.93505859375,-446.065002441406,1085.88500976562,895.885009765625,152.348999023438,-81.6510009765625,1777.21997070312,-671.780029296875,-0.0680200010538101,126183,-0.118709996342659,220188,-0.0506899990141392,94005,-0.107040002942085,198561,-0.0390199981629848,72378,-0.293410003185272,544315,-0.225390002131462,418132,-0.313360005617142,581320,-0.245340004563332,455137,-0.0432900004088879,80304,-0.0754799991846085,139980,-0.0321899987757206,59676,-0.0685399994254112,127138,-0.0252500008791685,46834,-0.188909992575645,350437,-0.145620003342628,270133,-0.203370004892349,377262,-0.160080000758171,296958,-34607,-59760,-25153,-57962,-23355,-143229,-108622,-220704,-186097,0.0171517398147637
"728","E02004266","Purbeck 004",3685,7,128,32,3,65,2541,163,167,536,43,279.019989013672,112.019996643066,507.920989990234,-28.0790004730225,2470.15405273438,-70.8460006713867,251.611999511719,84.6119995117188,512.3759765625,-23.6240005493164,2489.7109375,-51.2879981994629,619.057983398438,452.058013916016,416.046997070312,-119.953002929688,2261.8291015625,-279.170989990234,866.666015625,699.666015625,372.614013671875,-163.386001586914,2087.041015625,-453.959014892578,-0.0480699986219406,89175,-0.0862300023436546,159957,-0.0381599999964237,70782,-0.0786200016736984,145851,-0.0305499993264675,56676,-0.1596499979496,296170,-0.11157999932766,206995,-0.177169993519783,328684,-0.129099994897842,239509,-0.029109999537468,54009,-0.0516300015151501,95765,-0.022520000115037,41756,-0.0485399998724461,90044,-0.0194300003349781,36035,-0.10147999972105,188244,-0.0723600015044212,134235,-0.125579997897148,232960,-0.0964599996805191,178951,-36326,-63734,-27408,-53035,-16709,-126564,-90238,-224950,-188624,NA
"767","E02004263","Purbeck 001",2447,1,27,40,2,29,2019,128,32,152,17,75.3280029296875,43.3279991149902,147.468994140625,-4.5310001373291,1984.09802246094,-34.9020004272461,61.2649993896484,29.2649993896484,149.539993286133,-2.46000003814697,1994.62902832031,-24.371000289917,234.095993041992,202.095993041992,121.333000183105,-30.6669998168945,1865.61303710938,-153.386993408203,432.865997314453,400.865997314453,108.726997375488,-43.2729988098145,1697.60498046875,-321.394989013672,-0.0253299996256828,46981,-0.0559299997985363,103724,-0.0306000001728535,56743,-0.0643400028347969,119367,-0.0390199981629848,72386,-0.133029997348785,246783,-0.107709996402264,199802,-0.188219994306564,349175,-0.162900000810623,302194,-0.0147099997848272,27290,-0.0331900008022785,61529,-0.0184700004756451,34239,-0.0357999987900257,66414,-0.0210900008678436,39124,-0.0840900018811226,155977,-0.0693800002336502,128687,-0.12270999699831,227620,-0.107989996671677,200330,-15908,-34701,-18793,-33509,-17601,-86264,-70356,-185577,-169669,0.0202752728497822
"849","E02003186","Bournemouth 015",4202,5,93,406,20,49,2390,324,233,661,21,434.923004150391,201.923004150391,613.359985351562,-47.6399993896484,2281.48901367188,-108.511001586914,344.523986816406,111.524002075195,636.723022460938,-24.2770004272461,2330.5810546875,-59.4189987182617,1222.89599609375,989.89599609375,414.454986572266,-246.544998168945,1867.67297363281,-522.327026367188,1489.15600585938,1256.15600585938,385.990997314453,-275.009002685547,1697.05895996094,-692.940979003906,-0.0597399994730949,110809,-0.108130000531673,200544,-0.0483900010585785,89735,-0.0796099975705147,147657,-0.0198699999600649,36848,-0.306270003318787,568174,-0.246539995074272,457365,-0.294519990682602,546370,-0.234779998660088,435561,-0.0394399985671043,73161,-0.0708900019526482,131476,-0.0314499996602535,58315,-0.0524099990725517,97212,-0.0129699995741248,24051,-0.202800005674362,376212,-0.163359999656677,303051,-0.198239997029305,367742,-0.15879000723362,294581,-29181,-53317,-24136,-42573,-13392,-133194,-104013,-196000,-166819,0.0131078418377108
