"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02003172 E02003173","E02003172","E02003173","Bournemouth 001","Bournemouth 002",144,9,33,85,12,0,0,5,0,0,0,6.25,19.08,10.08,30.55,78.65,-6.35,16.45,7.45,31.43,80.22,-4.78,64.05,55.05,19.44,50.38,-34.62,69.9,60.9,18.02,46.69,-38.31,-0.00108,2004,-0.00055,1024,-0.00085,1578,-0.00032,598,-0.00415,7705,-0.00362,6725,-0.00234,4341,-0.00181,3361,-1112,-584,-968,-440,-3717,-3189,-4056,-3528,1.60945,1.812,2.35,1.12585,1.29691,1.49007,1.31915,962,1390
"2","E02003172 E02003174","E02003172","E02003174","Bournemouth 001","Bournemouth 003",81,3,26,48,3,0,0,1,0,0,0,3.7037,7.31,4.31,24.56,45.35,-2.65,8.8,5.8,23.96,44.71,-3.29,31.01,28.01,16.67,30.73,-17.27,35.77,32.77,15.09,27.8,-20.2,-0.00019,359,-0.00012,215,-0.00018,330,-1e-04,186,-0.00098,1815,-9e-04,1671,-0.00027,500,-0.00019,356,-296,-176,-340,-220,-1276,-1156,-1472,-1352,1.10762,1.316,1.443,1.18814,1.0965,2.27964,1.9404,846,880
"3","E02003172 E02003175","E02003172","E02003175","Bournemouth 001","Bournemouth 004",23,1,0,22,0,0,0,0,0,0,0,4.34783,2.4,1.4,0,20.6,-1.4,3,2,0,20,-2,8.64,7.64,0,14.36,-7.64,10.6,9.6,0,12.4,-9.6,-5e-04,926,-0.00029,540,-5e-04,932,-0.00029,546,-0.00218,4047,-0.00197,3661,-0.00198,3678,-0.00178,3292,-448,-261,-561,-374,-1614,-1427,-1980,-1793,3.10214,3.649,3.945,1.17628,1.08112,1.47986,2.43346,1890,2246
"4","E02003172 E02003176","E02003172","E02003176","Bournemouth 001","Bournemouth 005",77,0,9,56,5,0,0,4,0,3,0,0,5.48,5.48,8.36,52.01,-3.99,0,0,9,56,0,33.87,33.87,5.04,31.37,-24.63,37.77,37.77,4.58,28.53,-27.47,-0.00056,1045,-0.00056,1045,0,0,0,0,-0.0043,7971,-0.0043,7971,-0.00303,5615,-0.00303,5615,-474,-474,0,0,-2932,-2932,-3271,-3271,1.77709,2.342,2.269,1.31788,0.96883,2.22032,1.93918,1318,1562
"5","E02003172 E02003177","E02003172","E02003177","Bournemouth 001","Bournemouth 006",50,1,2,37,2,0,0,3,0,1,4,2,3.8,2.8,1.89,34.88,-2.12,3.86,2.86,2,34.36,-2.64,18.37,17.37,1.26,23.99,-13.01,22.78,21.78,1.09,20.65,-16.35,-0.00059,1098,-0.00043,793,-5e-04,923,-0.00033,618,-0.00345,6398,-0.00328,6093,-0.00301,5584,-0.00285,5279,-451,-315,-527,-391,-2073,-1937,-2572,-2436,2.13098,2.954,3.703,1.38622,1.25355,2.16655,1.13422,1808,1918
"6","E02003172 E02003178","E02003172","E02003178","Bournemouth 001","Bournemouth 007",67,5,13,40,2,0,0,7,0,0,0,7.46269,9.09,4.09,12.15,37.34,-2.66,22.67,17.67,9.74,27.82,-12.18,26.92,21.92,8.29,26.05,-13.95,31.46,26.46,7.35,23.1,-16.9,-0.00074,1364,-0.00031,580,-0.00144,2678,-0.00102,1894,-0.00242,4483,-0.00199,3699,-0.00166,3079,-0.00124,2295,-703,-301,-1786,-1384,-1986,-1584,-2321,-1919,1.75109,2.231,2.338,1.27406,1.04796,2.46526,1.92472,1280,1562
"7","E02003172 E02003179","E02003172","E02003179","Bournemouth 001","Bournemouth 008",94,3,4,67,7,0,0,11,0,1,1,3.19149,8.88,5.88,3.74,62.69,-4.31,4.67,1.67,3.92,65.81,-1.19,33.47,30.47,2.66,44.59,-22.41,41.66,38.66,2.3,38.54,-28.46,-0.00237,4403,-0.00158,2927,-0.00111,2055,-0.00031,579,-0.01072,19893,-0.00993,18417,-0.0084,15592,-0.00761,14116,-1702,-1137,-879,-314,-6487,-5922,-8087,-7522,4.69345,5.196,6.707,1.10707,1.2908,1.25096,2.4303,2574,3324
"8","E02003172 E02003180","E02003172","E02003180","Bournemouth 001","Bournemouth 009",77,5,6,48,6,0,0,11,0,1,0,6.49351,10.52,5.52,5.54,44.33,-3.67,5,0,6,48,0,32.3,27.3,3.69,29.71,-18.29,37.35,32.35,3.28,26.36,-21.64,-0.0018,3338,-0.00093,1729,-0.00087,1609,0,0,-0.00655,12149,-0.00568,10540,-0.00531,9858,-0.00445,8249,-1237,-661,-576,0,-3872,-3296,-4478,-3902,2.76938,3.559,4.238,1.28513,1.19078,1.2363,1.03823,1738,1974
"9","E02003172 E02003181","E02003172","E02003181","Bournemouth 001","Bournemouth 010",26,1,1,22,2,0,0,0,0,0,0,3.84615,2.73,1.73,0.94,20.48,-1.52,1.89,0.89,1,21.22,-0.78,9.9,8.9,0.65,14.17,-7.83,11.97,10.97,0.56,12.35,-9.65,-0.00069,1280,-0.00043,792,-0.00043,795,-0.00017,307,-0.00295,5478,-0.00269,4990,-0.00255,4732,-0.00229,4244,-567,-360,-391,-184,-2061,-1854,-2493,-2286,3.51214,4.635,5.209,1.31971,1.12384,1.4671,1.61259,2144,2406
"10","E02003172 E02003182","E02003172","E02003182","Bournemouth 001","Bournemouth 011",141,8,2,97,5,0,0,28,0,1,0,5.67376,14.53,6.53,1.9,92.26,-4.74,15,7,1.89,92.03,-4.97,35.62,27.62,1.59,76.8,-20.2,50.78,42.78,1.36,65.75,-31.25,-0.00607,11262,-0.00273,5066,-0.00541,10030,-0.00207,3834,-0.0174,32282,-0.01406,26086,-0.01707,31668,-0.01373,25472,-3998,-1820,-4084,-1906,-9945,-7767,-14195,-12017,5.99891,7.562,9.659,1.26056,1.27731,1.07115,1.1906,3668,4232
