"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"147093",1,1,1,1.811,886,52,16,0.00883,338,36,6745,"E02003172 E02003173",52
"147094",1,1,1,1.317,748,60,19,0.01443,246,32,3598,"E02003172 E02003174",60
"147095",1,1,1,2.341,1158,70,22,0.0094,436,49,6673,"E02003172 E02003176",70
"147096",1,1,1,2.953,1692,95,47,0.01592,550,57,17383,"E02003172 E02003177",95
"147097",1,1,1,2.234,1170,103,30,0.01343,416,50,4999,"E02003172 E02003178",103
"147098",1,1,1,5.174,2494,160,47,0.00908,964,71,27065,"E02003172 E02003179",160
"147099",1,1,1,3.563,1632,116,32,0.00898,664,62,8043,"E02003172 E02003180",116
"147100",1,1,1,4.659,2030,142,34,0.0073,868,74,9390,"E02003172 E02003181",142
"147101",1,1,1,7.542,3638,229,75,0.00994,1406,110,35335,"E02003172 E02003182",229
"147102",1,1,1,4.008,1902,153,38,0.00948,747,77,9530,"E02003172 E02003183",153
"147103",1,1,1,5.248,2390,188,44,0.00838,978,93,13486,"E02003172 E02003184",188
"147104",1,1,1,6.546,2982,239,53,0.0081,1220,107,19221,"E02003172 E02003186",239
"147105",1,1,1,8.66,3750,254,65,0.00751,1614,133,15961,"E02003172 E02003187",254
"147106",1,1,1,5.829,2654,203,46,0.00789,1087,94,13866,"E02003172 E02003188",203
"147107",1,1,1,9.834,4212,280,78,0.00793,1833,145,18088,"E02003172 E02003189",280
"147108",1,1,1,8.001,3532,268,58,0.00725,1491,125,21582,"E02003172 E02003190",268
"147109",1,1,1,6.763,3056,260,50,0.00739,1261,107,16559,"E02003172 E02003192",260
"147110",1,1,1,5.886,2672,209,52,0.00883,1097,100,18332,"E02003172 E02003194",209
"147111",1,1,1,3.289,1634,123,37,0.01125,613,64,12057,"E02003172 E02003195",123
"147112",1,1,1,7.166,3428,247,138,0.01926,1336,132,17308,"E02003172 E02003197",247
"147113",1,1,1,9.886,4520,319,164,0.01659,1843,167,24522,"E02003172 E02003199",319
"147114",1,1,1,4.669,2422,188,98,0.02099,870,105,11341,"E02003172 E02003200",188
"147115",1,1,1,6.13,3050,172,91,0.01485,1143,127,17878,"E02003172 E02003201",172
"147116",1,1,1,4.569,2502,211,92,0.02014,852,100,10585,"E02003172 E02003202",211
"147117",1,1,1,5.507,3164,244,142,0.02579,1027,134,19548,"E02003172 E02003203",244
"147118",1,1,1,7.115,3460,208,117,0.01644,1326,140,20366,"E02003172 E02003204",208
