"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"73","E02003200","Poole 007",4182,5,30,284,16,117,2868,283,193,359,27,327.07999,134.08,346.703,-12.297,2773.29395,-94.706,342.46399,149.464,341.099,-17.901,2765.58911,-102.411,863.612,670.612,288.91699,-70.083,2400.88989,-467.10999,1290.07397,1097.07397,246.52699,-112.473,2097.49609,-770.505,-0.08151,151198,-0.14035,260345,-0.05885,109147,-0.12948,240183,-0.04797,88985,-0.34623,642300,-0.26472,491102,-0.36781,682353,-0.28631,531155,-0.05224,96909,-0.08996,166853,-0.03772,69944,-0.08303,154008,-0.03078,57099,-0.22462,416688,-0.17238,319779,-0.24177,448507,-0.18953,351598,-38741,-66398,-27657,-65607,-26866,-160947,-122206,-255228,-216487,0.01991
"79","E02004273","West Dorset 005",2070,10,29,53,7,22,1365,104,21,439,20,36.755,15.755,432.75,-6.25,1357.03503,-7.965,28.822,7.822,438.77701,-0.223,1358.34705,-6.653,124.213,103.213,391.159,-47.841,1319.16101,-45.838,290.84,269.84,332.272,-106.728,1228.43396,-136.56599,-0.01276,23674,-0.01744,32338,-0.00468,8664,-0.02059,38201,-0.00783,14527,-0.02164,40132,-0.00888,16458,-0.02791,51776,-0.01515,28102,-0.00856,15885,-0.01158,21475,-0.00302,5590,-0.01369,25385,-0.00512,9500,-0.01532,28417,-0.00676,12532,-0.02264,41995,-0.01408,26110,-6402,-9608,-3206,-10910,-4508,-20382,-13980,-59957,-53555,NA
"221","E02003202","Poole 009",2755,7,57,203,4,45,1834,150,130,303,22,212.91701,82.917,291.68399,-11.316,1776.99097,-57.009,214.332,84.332,292.38,-10.62,1773.04602,-60.954,557.43597,427.436,238.20599,-64.794,1546.35095,-287.64899,836.112,706.112,202.964,-100.036,1353.45398,-480.54599,-0.04982,92405,-0.08109,150388,-0.03127,57983,-0.07578,140565,-0.02596,48160,-0.19558,362808,-0.14576,270403,-0.20818,386190,-0.15837,293785,-0.03083,57176,-0.05089,94356,-0.02006,37180,-0.04748,88053,-0.01665,30877,-0.12601,233733,-0.09518,176557,-0.13609,252433,-0.10526,195257,-25117,-40768,-15651,-40970,-15853,-97555,-72438,-154876,-129759,0.01877
"403","E02003210","Poole 017",3644,10,100,202,5,34,2582,160,196,328,27,320.46799,124.468,311.14801,-16.852,2493.6311,-88.369,298.936,102.936,316.211,-11.789,2506.4519,-75.548,798.034,602.034,237.62,-90.38,2162.34302,-419.65701,1101.88904,905.88898,210.99899,-117.001,1929.47705,-652.52301,-0.06946,128857,-0.1112,206264,-0.04174,77407,-0.10366,192298,-0.0342,63441,-0.24534,455121,-0.17587,326264,-0.27338,507162,-0.20392,378305,-0.04417,81929,-0.07073,131177,-0.02656,49248,-0.06638,123127,-0.02221,41198,-0.15863,294253,-0.11446,212324,-0.17895,331955,-0.13478,250026,-35998,-57731,-21733,-56773,-20775,-126767,-90769,-204167,-168169,0.01734
"494","E02004249","East Dorset 007",2233,6,19,39,1,21,1873,112,52,95,15,103.441,51.441,91.716,-3.284,1829.927,-43.073,88.055,36.055,93.207,-1.793,1842.84302,-30.157,319.487,267.487,74.321,-20.679,1652.93604,-220.064,511.87399,459.87399,65.139,-29.861,1487.62195,-385.37799,-0.02412,44742,-0.04879,90490,-0.02467,45748,-0.04084,75750,-0.01672,31008,-0.10364,192240,-0.07952,147498,-0.1315,243941,-0.10738,199199,-0.01533,28435,-0.03083,57149,-0.0155,28714,-0.02599,48198,-0.01066,19763,-0.0665,123341,-0.05117,94906,-0.08553,158633,-0.0702,130198,-14974,-30280,-15306,-25385,-10411,-79480,-64506,-150813,-135839,0.02012
"572","E02003209","Poole 016",2752,4,45,150,6,50,1733,183,207,350,24,335.45901,128.459,324.71301,-25.287,1654.83704,-78.163,326.806,119.806,315.66,-34.34,1667.58105,-65.419,759.883,552.883,240.394,-109.606,1395.77698,-337.22299,938.49701,731.49701,223.311,-126.689,1266.04504,-466.95499,-0.05421,100570,-0.0932,172872,-0.03899,72302,-0.07532,139725,-0.02111,39155,-0.21482,398515,-0.1606,297945,-0.21428,397512,-0.16006,296942,-0.03507,65059,-0.06014,111532,-0.02507,46473,-0.0489,90701,-0.01383,25642,-0.14026,260182,-0.10519,195123,-0.14166,262781,-0.10659,197722,-28232,-48143,-19911,-41832,-13600,-109559,-81327,-161219,-132987,0.01184
"626","E02004286","Weymouth and Portland 006",2243,1,31,90,8,42,1446,130,83,392,20,132.13901,49.139,380.358,-11.642,1415.49597,-30.504,128.69,45.69,379.82901,-12.171,1418.39197,-27.608,357.875,274.875,317.073,-74.927,1285.08398,-160.916,576.54999,493.54999,268.36301,-123.637,1147.31702,-298.68301,-0.03192,59210,-0.05194,96361,-0.02003,37151,-0.04274,79281,-0.01082,20071,-0.09993,185401,-0.06802,126191,-0.11641,215962,-0.08449,156752,-0.02113,39202,-0.03398,63039,-0.01285,23837,-0.02832,52529,-0.00719,13327,-0.06616,122733,-0.04503,83531,-0.07945,147398,-0.05832,108196,-12695,-20568,-7873,-19739,-7044,-48195,-35500,-91398,-78703,0.02825
"632","E02004254","East Dorset 012",4578,4,26,120,2,55,3799,245,137,162,28,260.63199,123.632,155.927,-6.073,3695.12891,-103.871,232.95,95.95,159.103,-2.897,3717.66309,-81.337,740.948,603.948,122.116,-39.884,3302.13306,-496.867,1149.15698,1012.15698,109.569,-52.431,2950.0769,-848.92297,-0.07567,140382,-0.13857,257032,-0.06289,116650,-0.12985,240877,-0.05418,100495,-0.27683,513555,-0.20116,373173,-0.3268,606263,-0.25112,465881,-0.04717,87500,-0.08667,160739,-0.03949,73239,-0.08112,150464,-0.03395,62964,-0.17646,327330,-0.12928,239830,-0.21087,391178,-0.1637,303678,-45789,-83548,-37759,-78562,-32773,-202037,-156248,-353128,-307339,0.02242
"696","E02003197","Poole 004",3354,2,38,157,5,60,2449,204,190,234,15,318.254,128.254,221.627,-12.373,2354.09106,-94.909,324.26901,134.269,217.99001,-16.01,2350.07397,-98.926,801.03601,611.03601,170.04401,-63.956,2002.93506,-446.065,1085.88501,895.88501,152.349,-81.651,1777.21997,-671.78003,-0.06802,126183,-0.11871,220188,-0.05069,94005,-0.10704,198561,-0.03902,72378,-0.29341,544315,-0.22539,418132,-0.31336,581320,-0.24534,455137,-0.04329,80304,-0.07548,139980,-0.03219,59676,-0.06854,127138,-0.02525,46834,-0.18891,350437,-0.14562,270133,-0.20337,377262,-0.16008,296958,-34607,-59760,-25153,-57962,-23355,-143229,-108622,-220704,-186097,0.01715
"728","E02004266","Purbeck 004",3685,7,128,32,3,65,2541,163,167,536,43,279.01999,112.02,507.92099,-28.079,2470.15405,-70.846,251.612,84.612,512.37598,-23.624,2489.71094,-51.288,619.05798,452.05801,416.047,-119.953,2261.8291,-279.17099,866.66602,699.66602,372.61401,-163.386,2087.04102,-453.95901,-0.04807,89175,-0.08623,159957,-0.03816,70782,-0.07862,145851,-0.03055,56676,-0.15965,296170,-0.11158,206995,-0.17717,328684,-0.1291,239509,-0.02911,54009,-0.05163,95765,-0.02252,41756,-0.04854,90044,-0.01943,36035,-0.10148,188244,-0.07236,134235,-0.12558,232960,-0.09646,178951,-36326,-63734,-27408,-53035,-16709,-126564,-90238,-224950,-188624,NA
