"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02003491 E02003492","E02003491","E02003492","Brighton and Hove 001","Brighton and Hove 002",154,7,8,90,10,3,0,35,0,1,0,4.54545,8.99,1.99,7.89,88.78,-1.22,14.84,7.84,7.66,84.81,-5.19,16.55,9.55,7.35,84.75,-5.25,41.07,34.07,6.04,69.63,-20.37,-0.00136,2525,-3e-04,549,-0.00181,3356,-0.00074,1380,-0.00322,5980,-0.00216,4004,-0.00637,11808,-0.0053,9832,-1156,-233,-1910,-987,-1949,-1026,-4851,-3928,2.37982,3.677,4.326,1.54508,1.1765,7.17977,6.84235,2550,2962
"2","E02003491 E02003493","E02003491","E02003493","Brighton and Hove 001","Brighton and Hove 003",202,4,64,108,14,0,0,10,1,1,0,1.9802,11.44,7.44,61.55,103.96,-4.04,7.64,3.64,62.41,106.23,-1.77,56.42,52.42,47.25,79.31,-28.69,81.24,77.24,39.21,65.78,-42.22,-0.00037,686,-3e-04,547,-0.00012,218,-4e-05,79,-0.0033,6123,-0.00323,5984,-0.00111,2058,-0.00103,1919,-765,-508,-491,-234,-3855,-3598,-5555,-5298,1.56452,2.751,2.68,1.75837,0.97419,3.70774,4.40299,1400,1448
"3","E02003491 E02003494","E02003491","E02003494","Brighton and Hove 001","Brighton and Hove 004",203,3,64,114,11,0,0,9,0,2,0,1.47783,6.46,3.46,62.9,112.01,-1.99,3,0,64,114,0,31.65,28.65,54.94,97.52,-16.48,63.08,60.08,44.87,79.63,-34.37,-2e-04,370,-0.00011,203,-9e-05,167,0,0,-0.00144,2670,-0.00135,2503,-0.00079,1473,-7e-04,1306,-337,-183,-154,0,-1676,-1522,-3319,-3165,1.12399,1.925,1.948,1.71265,1.01195,6.5974,6.2115,1598,1580
"4","E02003491 E02003495","E02003491","E02003495","Brighton and Hove 001","Brighton and Hove 005",55,0,6,44,2,0,0,3,0,0,0,0,0.58,0.58,5.94,43.54,-0.46,0,0,6,44,0,3.51,3.51,5.62,41.2,-2.8,10.09,10.09,4.9,35.93,-8.07,-2e-04,363,-2e-04,363,0,0,0,0,-0.00178,3297,-0.00178,3297,-0.003,5557,-0.003,5557,-206,-206,0,0,-1248,-1248,-3597,-3597,6.26007,8.539,9.309,1.36404,1.09017,5.90233,4.81255,5326,5422
"5","E02003491 E02003496","E02003491","E02003496","Brighton and Hove 001","Brighton and Hove 006",46,1,1,35,3,0,0,5,0,1,0,2.17391,1.57,0.57,0.99,34.56,-0.44,2.28,1.28,1,33.98,-1.02,4.07,3.07,0.91,32.64,-2.36,10.68,9.68,0.77,27.49,-7.51,-0.00041,759,-0.00015,269,-0.00048,884,-0.00021,394,-0.00144,2672,-0.00118,2182,-0.0026,4813,-0.00233,4323,-379,-134,-558,-313,-974,-729,-2559,-2314,4.30907,5.944,6.45,1.37942,1.08513,5.73688,4.60465,3916,3858
"6","E02003491 E02003497","E02003491","E02003497","Brighton and Hove 001","Brighton and Hove 007",73,2,5,48,9,0,0,7,0,2,0,2.73973,3.36,1.36,4.9,47.08,-0.92,6,4,4,46,-2,10.21,8.21,4.74,42.13,-5.87,21.47,19.47,3.89,34.58,-13.42,-0.00046,852,-0.00025,458,-0.00048,890,-0.00027,496,-0.00274,5086,-0.00253,4692,-0.00407,7546,-0.00386,7152,-459,-224,-706,-471,-1677,-1442,-3522,-3287,3.31032,4.992,4.921,1.50801,0.98578,4.78766,5.18187,2812,2862
"7","E02003491 E02003498","E02003491","E02003498","Brighton and Hove 001","Brighton and Hove 008",119,3,11,65,8,2,0,26,1,3,0,2.52101,4.72,1.72,10.83,64.03,-0.97,4.78,1.78,10.78,63.98,-1.02,13.72,10.72,9.99,59,-6,32.45,29.45,8.21,48.5,-16.5,-0.00072,1328,-0.00026,488,-0.00062,1147,-0.00017,307,-0.00299,5536,-0.00253,4696,-0.00498,9229,-0.00452,8389,-583,-210,-600,-227,-1677,-1304,-3960,-3587,2.38694,3.987,3.984,1.67034,0.99925,5.94432,5.999,2660,2672
"8","E02003491 E02003499","E02003491","E02003499","Brighton and Hove 001","Brighton and Hove 009",103,1,5,54,6,0,0,36,0,1,0,0.97087,2.93,1.93,4.9,52.99,-1.01,2.31,1.31,4.93,53.34,-0.66,12.76,11.76,4.42,47.79,-6.21,27.36,26.36,3.71,40.07,-13.93,-0.00081,1497,-0.00053,984,-0.00051,937,-0.00023,424,-0.00514,9533,-0.00486,9020,-0.00691,12815,-0.00663,12302,-517,-345,-399,-227,-2290,-2118,-4929,-4757,3.10607,6.441,6.438,2.07368,0.99953,5.23211,5.26561,3958,3970
"9","E02003491 E02003500","E02003491","E02003500","Brighton and Hove 001","Brighton and Hove 010",118,5,15,74,3,0,0,20,0,0,1,4.23729,7.63,2.63,14.66,72.26,-1.74,13.82,8.82,14.09,67.58,-6.42,20.99,15.99,12.81,63.69,-10.31,39.28,34.28,10.39,51.69,-22.31,-0.00089,1641,-0.00029,543,-0.00127,2348,-0.00067,1250,-0.00326,6055,-0.00267,4957,-0.00415,7697,-0.00356,6599,-916,-299,-1744,-1127,-2382,-1765,-4447,-3830,2.14958,3.082,3.074,1.43377,0.9974,5.84036,5.53025,2118,2170
"10","E02003491 E02003501","E02003491","E02003501","Brighton and Hove 001","Brighton and Hove 011",112,3,6,75,7,0,0,19,1,1,0,2.67857,8.01,5.01,5.73,71.55,-3.45,9.29,6.29,5.78,70.51,-4.49,33.08,30.08,4.33,54.31,-20.69,46.19,43.19,3.61,45.3,-29.7,-0.00132,2441,-0.00082,1516,-0.00119,2199,-0.00069,1274,-0.00806,14943,-0.00756,14018,-0.0079,14650,-0.0074,13725,-1171,-728,-1412,-969,-4809,-4366,-6713,-6270,2.60534,4.35,3.927,1.66965,0.90276,2.8046,3.41227,2026,2180
