"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"160112",1,1,1,3.673,2208,84,197,0.05363,685,99,12737,"E02003491 E02003492",84
"160113",1,1,1,2.598,1112,80,67,0.02579,484,36,4328,"E02003491 E02003493",80
"160114",1,1,1,1.921,1362,48,84,0.04373,358,68,4949,"E02003491 E02003494",48
"160115",1,1,1,4.839,2476,114,194,0.04009,902,103,9499,"E02003491 E02003497",114
"160116",1,1,1,4.406,2486,156,201,0.04562,821,114,10183,"E02003491 E02003498",156
"160117",1,1,1,6.478,3596,186,258,0.03983,1208,146,17761,"E02003491 E02003499",186
"160118",1,1,1,3.503,1910,101,132,0.03768,653,84,8194,"E02003491 E02003500",101
"160119",1,1,1,4.246,1708,116,84,0.01978,792,51,6494,"E02003491 E02003501",116
"160120",1,1,1,8.186,4268,199,351,0.04288,1526,186,26504,"E02003491 E02003502",199
"160121",1,1,1,6.559,3448,142,263,0.0401,1223,148,23737,"E02003491 E02003503",142
"160122",1,1,1,3.992,1760,74,156,0.03908,744,64,8059,"E02003491 E02003504",74
"160123",1,1,1,5.147,2428,150,203,0.03944,959,97,10233,"E02003491 E02003505",150
"160124",1,1,1,6.609,2892,145,192,0.02905,1232,99,11038,"E02003491 E02003506",145
"160125",1,1,1,9.377,5654,223,413,0.04404,1748,273,51122,"E02003491 E02003507",223
"160126",1,1,1,5.452,3092,174,239,0.04384,1016,134,12243,"E02003491 E02003508",174
"160127",1,1,1,6.146,2756,140,192,0.03124,1146,96,10313,"E02003491 E02003509",140
"160128",1,1,1,5.918,2598,147,145,0.0245,1103,80,9870,"E02003491 E02003510",147
"160129",1,1,1,7.835,3896,173,298,0.03803,1461,152,26867,"E02003491 E02003511",173
"160130",1,1,1,6.459,2798,172,108,0.01672,1204,80,11021,"E02003491 E02003512",172
"160131",1,1,1,5.866,2762,156,116,0.01977,1093,88,12348,"E02003491 E02003514",156
"160132",1,1,1,8.162,4684,200,394,0.04827,1521,216,20261,"E02003491 E02003515",200
"160133",1,1,1,6.099,2640,142,164,0.02689,1137,79,9630,"E02003491 E02003516",142
"160134",1,1,1,5.973,2440,167,96,0.01607,1113,63,10529,"E02003491 E02003517",167
"160135",1,1,1,6.846,2880,157,171,0.02498,1276,82,10800,"E02003491 E02003518",157
"160136",1,1,1,6.651,2852,173,167,0.02511,1240,87,11276,"E02003491 E02003519",173
"160137",1,1,1,6.827,2990,186,122,0.01787,1273,90,10299,"E02003491 E02003520",186
"160138",1,1,1,7.73,3388,211,132,0.01708,1441,97,12056,"E02003491 E02003521",211
"160139",1,1,1,8.832,3854,239,150,0.01698,1646,112,14101,"E02003491 E02003522",239
"160140",1,1,1,12.259,5942,274,414,0.03377,2285,241,85289,"E02003491 E02004381",274
"160141",1,1,1,10.894,5400,225,363,0.03332,2031,230,82193,"E02003491 E02004383",225
"160142",1,1,1,17.659,8664,402,449,0.02543,3292,334,32084,"E02003491 E02004385",402
"160157",1,1,1,5.559,3196,145,238,0.04281,1036,142,13951,"E02003492 E02003493",145
"160158",1,1,1,4.429,2934,66,197,0.04448,826,148,11096,"E02003492 E02003494",66
"160159",1,1,1,7.786,4106,161,185,0.02376,1451,141,16871,"E02003492 E02003497",161
"160160",1,1,1,2.67,1864,91,72,0.02697,498,59,5694,"E02003492 E02003498",91
"160161",1,1,1,2.805,1390,104,61,0.02175,523,47,5024,"E02003492 E02003499",104
"160162",1,1,1,4.432,2548,120,101,0.02279,826,94,9108,"E02003492 E02003500",120
"160163",1,1,1,6.159,3086,134,99,0.01607,1148,89,13347,"E02003492 E02003501",134
"160164",1,1,1,10.878,5554,246,202,0.01857,2028,161,34738,"E02003492 E02003502",246
"160165",1,1,1,9.568,4886,212,168,0.01756,1784,150,26893,"E02003492 E02003503",212
"160166",1,1,1,5.056,2410,132,117,0.02314,942,74,9426,"E02003492 E02003504",132
"160167",1,1,1,3.508,1606,78,44,0.01254,654,32,5780,"E02003492 E02003505",78
"160168",1,1,1,7.861,3846,176,147,0.0187,1465,103,20281,"E02003492 E02003506",176
"160169",1,1,1,6.273,3776,176,218,0.03475,1169,179,16341,"E02003492 E02003507",176
"160170",1,1,1,3.828,2182,81,86,0.02247,714,69,6689,"E02003492 E02003508",81
"160171",1,1,1,7.056,3694,167,143,0.02027,1315,96,19007,"E02003492 E02003509",167
"160172",1,1,1,5.937,3092,140,118,0.01988,1107,84,14857,"E02003492 E02003510",140
"160173",1,1,1,9.929,4654,210,161,0.01622,1851,127,23411,"E02003492 E02003511",210
"160174",1,1,1,4.006,2044,85,77,0.01922,747,56,6214,"E02003492 E02003512",85
"160175",1,1,1,8.811,4178,185,157,0.01782,1642,109,21147,"E02003492 E02003513",185
"160176",1,1,1,5.26,2998,124,107,0.02034,981,90,14943,"E02003492 E02003514",124
"160177",1,1,1,6.178,3626,119,243,0.03933,1152,149,13350,"E02003492 E02003515",119
"160178",1,1,1,6.921,3432,150,135,0.01951,1290,85,15978,"E02003492 E02003516",150
"160179",1,1,1,4.993,2404,109,83,0.01662,931,61,10945,"E02003492 E02003517",109
"160180",1,1,1,7.792,3846,176,156,0.02002,1453,99,20002,"E02003492 E02003518",176
"160181",1,1,1,6.113,3212,158,142,0.02323,1140,87,15604,"E02003492 E02003519",158
"160182",1,1,1,4.941,2590,99,117,0.02368,921,82,8087,"E02003492 E02003520",99
"160183",1,1,1,5.479,2850,112,147,0.02683,1021,92,9075,"E02003492 E02003521",112
"160184",1,1,1,6.581,3316,140,165,0.02507,1227,107,11120,"E02003492 E02003522",140
"160185",1,1,1,10.561,5684,258,380,0.03598,1969,255,25576,"E02003492 E02003523",258
"160186",1,1,1,12.662,7340,203,489,0.03862,2360,315,30142,"E02003492 E02004380",203
"160187",1,1,1,9.087,4098,195,219,0.0241,1694,145,63054,"E02003492 E02004381",195
"160188",1,1,1,7.722,3556,146,168,0.02176,1439,134,59958,"E02003492 E02004383",146
"160189",1,1,1,17.833,8030,354,400,0.02243,3324,297,83802,"E02003492 E02004386",354
"160197",1,1,1,1.887,1638,48,107,0.0567,352,92,6445,"E02003493 E02003494",48
"160198",1,1,1,4.073,2808,93,226,0.05549,759,140,12471,"E02003493 E02003496",93
"160199",1,1,1,2.784,1748,54,161,0.05783,519,87,6328,"E02003493 E02003497",54
"160200",1,1,1,4.006,2328,127,154,0.03844,747,108,8990,"E02003493 E02003498",127
"160201",1,1,1,3.012,1748,68,91,0.03021,561,81,6793,"E02003493 E02003500",68
"160202",1,1,1,1.78,1268,38,75,0.04213,332,40,3788,"E02003493 E02003501",38
"160203",1,1,1,6.314,3500,166,298,0.0472,1177,158,18432,"E02003493 E02003502",166
"160204",1,1,1,4.687,2680,109,210,0.0448,874,120,15665,"E02003493 E02003503",109
"160205",1,1,1,3.111,1238,88,47,0.01511,580,34,4678,"E02003493 E02003504",88
