"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"125","E02003518","Brighton and Hove 028",3609,304,741,1282,115,474,18,607,20,23,25,408.147,104.147,703.07599,1251.265,-30.736,396.72699,92.727,715.27899,1257.884,-24.117,720.88202,416.88199,557.51898,1163.6071,-118.393,964.12097,660.12097,497.02802,1080.65,-201.35001,-0.04253,78860,-0.00941,17421,-0.03995,74106,-0.00683,12667,-0.07073,131180,-0.03761,69741,-0.08112,150471,-0.048,89032,-30552,-7680,-29619,-6747,-47041,-24169,-77133,-54261,1.59987
"258","E02004356","Eastbourne 001",3159,73,209,2162,255,101,4,287,21,27,20,213.01401,140.01401,198.01601,2067.251,-94.749,139.2,66.2,204.85899,2116.1499,-45.85,813.08197,740.08197,143.505,1665.715,-496.285,1038.094,965.09399,128.925,1505.593,-656.40698,-0.06219,115350,-0.04163,77209,-0.03877,71910,-0.0182,33769,-0.22637,419948,-0.20581,381807,-0.20698,383973,-0.18642,345832,-39927,-26209,-27228,-13510,-141586,-127868,-198244,-184526,1.16683
"457","E02004416","Wealden 014",2417,21,112,2019,75,114,5,27,3,25,16,52.336,31.336,108.615,1993.411,-25.589,42.638,21.638,109.898,2001.014,-17.986,170.174,149.174,90.376,1902.7061,-116.294,325.22699,304.22699,80.344,1769.1949,-249.80499,-0.02264,41966,-0.01301,24105,-0.02028,37611,-0.01065,19750,-0.0522,96810,-0.04257,78949,-0.08786,162974,-0.07823,145113,-23487,-13411,-22550,-12474,-57055,-46979,-139575,-129499,1.93031
"459","E02004419","Wealden 017",2159,56,301,1472,159,49,0,78,11,18,15,115.024,59.024,286.94101,1435.045,-36.955,99.144,43.144,289.759,1445.834,-26.166,366.918,310.918,215.46001,1286.692,-185.308,514.99298,458.99301,191.46201,1185.6071,-286.39301,-0.02574,47726,-0.01283,23782,-0.022,40799,-0.00909,16855,-0.05678,105319,-0.04387,81375,-0.06951,128939,-0.0566,104995,-23855,-11727,-21421,-9293,-57732,-45604,-104935,-92807,1.05999
"502","E02004366","Eastbourne 011",2721,74,890,1094,125,285,6,192,27,9,19,170.879,96.879,845.52698,1058.434,-35.566,110.168,36.168,876.91199,1078.332,-15.668,635.23102,561.23102,599.01398,910.15302,-183.847,771.79999,697.79999,557.26703,847.37097,-246.629,-0.02244,41612,-0.01156,21424,-0.01577,29243,-0.00488,9055,-0.05365,99511,-0.04277,79323,-0.0534,99041,-0.04251,78853,-15645,-8321,-11307,-3983,-41556,-34232,-66089,-58765,1.44207
"506","E02004362","Eastbourne 007",3950,164,650,2326,294,255,6,188,29,25,13,372.659,208.659,601.34497,2203.1069,-122.893,275.91901,111.919,624.07898,2260.457,-65.543,1235.963,1071.963,392.439,1701.366,-624.63397,1409.427,1245.427,373.30801,1582.4351,-743.565,-0.05073,94076,-0.02839,52639,-0.03465,64274,-0.01231,22837,-0.14811,274756,-0.12577,233319,-0.13335,247374,-0.11101,205937,-38883,-21750,-28404,-11271,-113470,-96337,-153944,-136811,0.82413
"630","E02004382","Lewes 004",2638,76,219,1839,130,168,6,166,6,22,6,127.509,51.509,211.284,1804.319,-34.681,106.809,30.809,216.286,1816.932,-22.068,308.95999,232.96001,181.84399,1685.749,-153.25101,494.74701,418.74701,163.605,1552.413,-286.58701,-0.04462,82726,-0.0182,33725,-0.03582,66450,-0.00941,17449,-0.07867,145900,-0.05225,96899,-0.11332,210198,-0.08691,161197,-33343,-13462,-29870,-9989,-65811,-45930,-135583,-115702,1.6927
"705","E02004358","Eastbourne 003",2951,78,226,2049,216,85,3,237,24,23,10,243.58701,165.58701,210.83701,1935.264,-113.736,137.74699,59.747,217.431,2010.23,-38.77,917.03497,839.03497,143.45799,1475.681,-573.31897,1080.556,1002.556,132.08299,1354.233,-694.76703,-0.05764,106906,-0.04044,75005,-0.02633,48828,-0.00913,16927,-0.2136,396258,-0.1964,364357,-0.18341,340252,-0.16621,308351,-39322,-26875,-19509,-7062,-141269,-128822,-184550,-172103,0.77612
"792","E02004388","Lewes 010",2556,35,164,1600,147,81,2,467,19,32,9,81.398,46.398,156.272,1573.176,-26.824,67.141,32.141,157.304,1582.588,-17.412,289.67599,254.67599,116.675,1454.106,-145.894,478.76501,443.76501,106.498,1338.993,-261.00699,-0.02943,54562,-0.01477,27365,-0.02173,40302,-0.00707,13105,-0.06537,121234,-0.0507,94037,-0.10324,191505,-0.08858,164308,-16644,-8562,-13401,-5319,-44501,-36419,-102020,-93938,1.73025
"854","E02004411","Wealden 009",3862,56,591,2695,189,177,3,98,9,26,18,114.396,58.396,574.37903,2658.9121,-36.088,104.749,48.749,570.60699,2670.334,-24.666,406.73999,350.73999,471.59,2494.6851,-200.315,712.95898,656.95898,400.883,2291.0381,-403.96201,-0.02474,45850,-0.01268,23478,-0.01702,31562,-0.00496,9190,-0.05465,101346,-0.04259,78974,-0.08874,164603,-0.07668,142231,-27354,-13570,-20760,-6976,-64693,-50909,-154889,-141105,3.09743
"914","E02004420","Wealden 018",3810,44,235,3024,188,189,5,80,5,18,22,126.788,82.788,224.808,2959.428,-64.572,78.373,34.373,230.414,2997.3601,-26.64,495.26501,451.26501,170.002,2681.0649,-342.935,723.27002,679.27002,156.875,2490.1819,-533.81799,-0.02988,55390,-0.02224,41232,-0.01408,26110,-0.00645,11952,-0.0916,169911,-0.08396,155753,-0.12971,240615,-0.12207,226457,-27882,-21240,-13001,-6359,-94368,-87726,-197541,-190899,1.51679
"999","E02004409","Wealden 007",1990,12,110,1469,93,239,10,24,3,16,14,30.411,18.411,107.471,1455.162,-13.838,19.256,7.256,108.928,1463.606,-5.394,102.844,90.844,93.457,1404.793,-64.207,221.748,209.748,82.178,1310.36,-158.64,-0.01242,23007,-0.00724,13402,-0.0078,14465,-0.00262,4860,-0.02937,54460,-0.02419,44855,-0.05568,103263,-0.0505,93658,-12071,-7262,-7500,-2691,-31194,-26385,-87997,-83188,2.80499
"1229","E02003507","Brighton and Hove 017",4096,45,236,2636,273,118,2,700,14,56,16,92.055,47.055,232.07899,2607.7561,-28.244,90.183,45.183,232.754,2609.4529,-26.547,321.65701,276.65701,204.741,2475.5349,-160.465,749.125,704.125,173.242,2217.447,-418.55301,-0.02596,48108,-0.01283,23770,-0.02052,38047,-0.00739,13709,-0.11091,205737,-0.09779,181399,-0.19096,354236,-0.17783,329898,-20374,-10948,-18563,-9137,-62711,-53285,-162729,-153303,3.66947
"1232","E02004398","Rother 007",3091,74,481,1992,207,193,5,68,20,38,13,159.174,85.174,460.754,1941.217,-50.783,156.98399,82.984,459.04099,1944.248,-47.752,575.55298,501.55301,349.155,1702.684,-289.31601,822.53101,748.53101,307.34201,1540.047,-451.95401,-0.03725,69088,-0.01992,36934,-0.03051,56584,-0.01317,24430,-0.08899,165084,-0.07166,132930,-0.1075,199426,-0.09017,167272,-23472,-12483,-19426,-8437,-67276,-56287,-124772,-113783,2.20674
