"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"27517","E02000753 E02004537","E02000753","E02004537",20,3,0,0,0,13,3,0,0,0,0.46,0.46,0,0,12.7,-0.3,0,0,0,0,13,0,3.02,3.02,0,0,11.04,-1.96,5.86,5.86,0,0,9.19,-3.81,0,0,-0.00026,481,-0.00026,481,0,0,0,0,-0.00161,2981,-0.00161,2981,-0.00199,3688,-0.00199,3688,0,0,-0.00017,309,-0.00017,309,0,0,0,0,-0.00103,1916,-0.00103,1916,-0.00128,2370,-0.00128,2370,0,-100,-100,0,0,-655,-655,-1271,-1271,4,5.14189,"Redbridge 003","Epping Forest 011",6.564,7.463,3226,5150,1.27657,1.13696,3.01645,1224,21793,0.0276,0
"27518","E02000753 E02004538","E02000753","E02004538",17,1,2,0,0,13,1,0,0,0,0.36,0.36,0,0,12.72,-0.28,0,0,0,0,13,0,2.27,2.27,0,0,11.26,-1.74,4.62,4.62,0,0,9.47,-3.53,0,0,-0.00023,422,-0.00023,422,0,0,0,0,-0.00136,2526,-0.00136,2526,-0.00177,3282,-0.00177,3282,0,0,-0.00015,271,-0.00015,271,0,0,0,0,-0.00088,1624,-0.00088,1624,-0.00114,2110,-0.00114,2110,0,-100,-100,0,0,-639,-639,-1302,-1302,1,5.35012,"Redbridge 003","Epping Forest 012",7.253,6.565,3792,4952,1.35567,0.90514,3.03323,1352,25131,0.03138,0
"27519","E02000753 E02004542","E02000753","E02004542",24,2,0,0,0,18,1,0,1,0,0.94,0.94,0.96,-0.04,17.3,-0.7,0,0,1,0,18,0,6.99,6.99,0.71,-0.29,12.77,-5.23,9.85,9.85,0.59,-0.41,10.62,-7.38,0,0,-0.00019,350,-0.00019,350,0,0,0,0,-0.00137,2532,-0.00137,2532,-0.00133,2464,-0.00133,2464,0,0,-0.00012,227,-0.00012,227,0,0,0,0,-0.00088,1637,-0.00088,1637,-0.00086,1596,-0.00086,1596,0,-90,-90,0,0,-675,-675,-954,-954,4,1.76571,"Redbridge 003","Epping Forest 016",2.54,2.482,1180,1440,1.43851,0.97717,2.51969,473,5033,0.02498,0
"27520","E02000753 E02004543","E02000753","E02004543",16,1,2,0,0,6,0,0,7,0,0.49,0.49,6.79,-0.21,5.82,-0.18,0,0,7,0,6,0,3.97,3.97,5.3,-1.7,4.5,-1.5,6.08,6.08,4.36,-2.64,3.71,-2.29,0,0,-2e-05,28,-2e-05,28,0,0,0,0,-9e-05,177,-9e-05,177,0.00016,-305,0.00016,-305,0,0,-1e-05,22,-1e-05,22,0,0,0,0,-8e-05,155,-8e-05,155,7e-05,-130,7e-05,-130,0,-18,-18,0,0,-154,-154,-235,-235,1,0.95599,"Redbridge 003","Epping Forest 017",2.006,1.849,1198,1458,2.09835,0.92173,3.24028,374,4177,0.02866,0
"88172","E02003279 E02003280","E02003279","E02003280",421,0,27,0,5,273,26,18,67,2,46.48,28.48,62.24,-4.76,253.72,-19.28,30.54,12.54,64.76,-2.24,264.60999,-8.39,171.22,153.22,41.97,-25.03,168.89999,-104.1,201.36,183.36,36.88,-30.12,148.53999,-124.46,-0.00401,7444,-0.0111,20589,-0.00709,13145,-0.00611,11342,-0.0021,3898,-0.04223,78347,-0.03822,70903,-0.0299,55481,-0.02589,48037,-0.00269,4985,-0.00738,13697,-0.0047,8712,-0.00409,7577,-0.0014,2592,-0.02802,51986,-0.02533,47001,-0.02025,37575,-0.01757,32590,-2056,-5420,-3364,-3520,-1464,-20220,-18164,-23775,-21719,3,2.85128,"Southend-on-Sea 001","Southend-on-Sea 002",3.423,3.554,1596,2016,1.20051,1.03827,1.05171,638,10913,0.01351,4.27553
"88173","E02003279 E02003281","E02003279","E02003281",129,0,6,0,2,84,5,11,20,1,17.7,6.7,18.89,-1.11,79.22,-4.78,15.39,4.39,19.13,-0.87,80.97,-3.03,48.01,37.01,13.72,-6.28,57.66,-26.34,57.22,46.22,12.13,-7.87,51.13,-32.87,-0.00129,2394,-0.00206,3817,-0.00077,1423,-0.00161,2986,-0.00032,592,-0.00545,10110,-0.00416,7716,-0.00419,7763,-0.00289,5369,-0.00085,1583,-0.00136,2526,-0.00051,943,-0.00107,1979,-0.00021,396,-0.00362,6708,-0.00276,5125,-0.00283,5241,-0.00197,3658,-634,-1017,-383,-878,-244,-2748,-2114,-3274,-2640,0,1.24291,"Southend-on-Sea 001","Southend-on-Sea 003",1.55,1.536,772,850,1.24707,0.99097,1.48387,289,4350,0.01367,8.52713
"88174","E02003279 E02003282","E02003279","E02003282",217,0,22,0,1,146,18,13,17,0,26.9,13.9,15.84,-1.16,136.13,-9.87,30.14,17.14,15.61,-1.39,133.19,-12.81,83.87,70.87,11.1,-5.9,95.21,-50.79,101.33,88.33,9.65,-7.35,82.67,-63.33,-0.00449,8327,-0.00926,17183,-0.00477,8856,-0.00856,15881,-0.00407,7554,-0.02876,53349,-0.02427,45022,-0.02433,45143,-0.01984,36816,-0.00292,5421,-0.00603,11184,-0.00311,5763,-0.00557,10334,-0.00265,4913,-0.01872,34730,-0.0158,29309,-0.01593,29546,-0.013,24125,-1712,-3598,-1886,-4131,-2419,-11400,-9688,-13791,-12079,0,3.22571,"Southend-on-Sea 001","Southend-on-Sea 004",3.708,4.455,1656,2118,1.14951,1.20146,1.2945,691,10102,0.01392,5.99078
"88175","E02003279 E02003283","E02003279","E02003283",122,0,5,1,0,80,9,4,22,0,11.36,7.36,20.62,-1.38,75.02,-4.98,5.93,1.93,21.9,-0.1,78.26,-1.74,47.45,43.45,13.95,-8.05,50.46,-29.54,56.98,52.98,12.16,-9.84,44.01,-35.99,-0.00071,1317,-0.0021,3892,-0.00139,2575,-0.00108,2001,-0.00037,684,-0.00886,16434,-0.00815,15117,-0.00604,11201,-0.00533,9884,-0.00048,883,-0.0014,2599,-0.00093,1716,-0.00072,1325,-0.00024,442,-0.00591,10969,-0.00544,10086,-0.00414,7686,-0.00367,6803,-364,-1065,-701,-609,-245,-4525,-4161,-5433,-5069,1,2.07624,"Southend-on-Sea 001","Southend-on-Sea 005",2.776,3.246,1372,1578,1.33703,1.16931,1.4049,517,8689,0.01633,3.27869
"88176","E02003279 E02003284","E02003279","E02003284",180,0,12,0,0,152,8,4,2,0,14.38,10.38,1.88,-0.12,143.03999,-8.96,4.95,0.95,1.99,-0.01,151.17999,-0.82,55.56,51.56,1.41,-0.59,107.5,-44.5,72.26,68.26,1.22,-0.78,93.08,-58.92,-0.00298,5530,-0.0107,19841,-0.00771,14311,-0.00348,6445,-0.00049,915,-0.04058,75278,-0.03759,69748,-0.0343,63634,-0.03132,58104,-0.00193,3579,-0.00692,12844,-0.00499,9265,-0.00225,4171,-0.00032,592,-0.02628,48752,-0.02435,45173,-0.0223,41373,-0.02037,37794,-1222,-4378,-3156,-1512,-290,-16902,-15680,-21987,-20765,2,5.84336,"Southend-on-Sea 001","Southend-on-Sea 006",6.994,7.678,2994,3386,1.19691,1.0978,0.65771,1304,38254,0.01094,2.22222
"88177","E02003279 E02003285","E02003279","E02003285",98,0,21,0,2,63,4,7,1,0,12.52,5.52,0.94,-0.06,59.18,-3.82,9.75,2.75,1,0,61.18,-1.82,33.78,26.78,0.64,-0.36,44.27,-18.73,43.26,36.26,0.55,-0.45,37.75,-25.25,-0.00335,6222,-0.00593,11009,-0.00258,4787,-0.00427,7927,-0.00092,1705,-0.01586,29418,-0.0125,23196,-0.01538,28528,-0.01202,22306,-0.00216,4000,-0.00382,7082,-0.00166,3082,-0.00275,5096,-0.00059,1096,-0.01021,18937,-0.00805,14937,-0.0099,18372,-0.00775,14372,-1027,-1871,-844,-1430,-403,-5172,-4145,-6618,-5591,0,3.50637,"Southend-on-Sea 001","Southend-on-Sea 007",4.335,5.19,2020,2472,1.23632,1.19723,1.22261,808,12592,0.01676,7.14286
