"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id","nv"
"41598",1,1,1,6.564,3226,134,198,0.03016,1224,129,21793,"E02000753 E02004537",134
"41599",1,1,1,7.253,3792,138,220,0.03033,1352,162,25131,"E02000753 E02004538",138
"41600",1,1,1,2.54,1180,50,64,0.0252,473,43,5033,"E02000753 E02004542",50
"41601",1,1,1,2.006,1198,50,65,0.0324,374,48,4177,"E02000753 E02004543",50
"151176",1,1,1,3.423,1596,99,36,0.01052,638,38,10913,"E02003279 E02003280",99
"151177",1,1,1,1.55,772,46,23,0.01484,289,31,4350,"E02003279 E02003281",46
"151178",1,1,1,3.708,1656,82,48,0.01294,691,49,10102,"E02003279 E02003282",82
"151179",1,1,1,2.776,1372,69,39,0.01405,517,48,8689,"E02003279 E02003283",69
"151180",1,1,1,6.994,2994,210,46,0.00658,1304,92,38254,"E02003279 E02003284",210
"151181",1,1,1,4.335,2020,92,53,0.01223,808,66,12592,"E02003279 E02003285",92
"151182",1,1,1,3.748,1902,108,57,0.01521,699,69,10955,"E02003279 E02003286",108
"151183",1,1,1,8.604,3580,219,52,0.00604,1604,109,40611,"E02003279 E02003287",219
"151184",1,1,1,5.683,2620,125,66,0.01161,1059,82,20261,"E02003279 E02003288",125
"151185",1,1,1,3.741,1690,66,53,0.01417,697,65,7741,"E02003279 E02003289",66
"151186",1,1,1,4.756,2232,92,71,0.01493,887,71,15858,"E02003279 E02003290",92
"151187",1,1,1,12.084,4980,411,79,0.00654,2253,146,66528,"E02003279 E02003291",411
"151188",1,1,1,7.841,3348,222,51,0.0065,1462,101,39793,"E02003279 E02003292",222
"151189",1,1,1,6.238,2806,124,58,0.0093,1163,95,21024,"E02003279 E02003293",124
"151190",1,1,1,11.208,4692,328,77,0.00687,2089,134,61456,"E02003279 E02003295",328
"151193",1,1,1,9.628,4348,233,140,0.01454,1795,146,42358,"E02003279 E02004430",233
"151194",1,1,1,11.593,4804,177,140,0.01208,2161,165,95457,"E02003279 E02004434",177
"151195",1,1,1,13.652,5844,221,167,0.01223,2545,203,111003,"E02003279 E02004435",221
"151196",1,1,1,18.473,7968,252,233,0.01261,3444,281,183385,"E02003279 E02004437",252
"151197",1,1,1,15.108,6508,266,176,0.01165,2816,224,123379,"E02003279 E02004438",266
"151198",1,1,1,16.722,7310,333,203,0.01214,3117,259,123080,"E02003279 E02004443",333
"151199",1,1,1,5.463,2782,113,72,0.01318,1018,113,28407,"E02003279 E02004474",113
"151200",1,1,1,7.538,3760,179,114,0.01512,1405,149,32646,"E02003279 E02004476",179
"151201",1,1,1,5.07,2662,103,92,0.01815,945,110,27554,"E02003279 E02004477",103
"151202",1,1,1,5.232,2952,124,86,0.01644,975,114,12064,"E02003279 E02004478",124
"151206",1,1,1,5.105,3284,121,113,0.02214,952,97,11173,"E02003279 E02004565",121
"151207",1,1,1,7.252,2874,175,56,0.00772,1352,86,15663,"E02003279 E02004566",175
"151208",1,1,1,5.357,2606,127,81,0.01512,999,100,17813,"E02003279 E02004567",127
"151209",1,1,1,5.531,2630,161,101,0.01826,1031,91,25915,"E02003279 E02004568",161
"151210",1,1,1,6.049,2380,151,45,0.00744,1128,70,13764,"E02003279 E02004569",151
"151211",1,1,1,3.627,1982,91,48,0.01323,676,77,19060,"E02003279 E02004570",91
"151212",1,1,1,2.556,1344,58,30,0.01174,476,53,12186,"E02003279 E02004571",58
"151214",1,1,1,4.493,2146,95,43,0.00957,838,83,31037,"E02003280 E02003281",95
"151215",1,1,1,1.554,708,24,16,0.0103,290,27,2950,"E02003280 E02003282",24
"151216",1,1,1,3.652,1792,50,45,0.01232,681,69,7420,"E02003280 E02003283",50
"151217",1,1,1,4.156,1782,102,28,0.00674,775,63,11829,"E02003280 E02003284",102
"151218",1,1,1,2.507,1184,37,33,0.01316,467,46,4872,"E02003280 E02003285",37
"151219",1,1,1,6.083,2876,127,59,0.0097,1134,109,16451,"E02003280 E02003286",127
"151220",1,1,1,5.766,2368,111,34,0.0059,1075,80,14186,"E02003280 E02003287",111
"151221",1,1,1,3.118,1542,62,40,0.01283,581,55,11912,"E02003280 E02003288",62
"151222",1,1,1,4.966,2240,89,53,0.01067,926,88,8681,"E02003280 E02003289",89
"151223",1,1,1,3.525,1570,51,53,0.01504,657,58,6325,"E02003280 E02003290",51
"151224",1,1,1,9.246,3768,303,61,0.0066,1724,117,40103,"E02003280 E02003291",303
"151225",1,1,1,5.003,2136,114,33,0.0066,933,72,13368,"E02003280 E02003292",114
"151226",1,1,1,3.782,1792,63,42,0.01111,705,69,6744,"E02003280 E02003293",63
"151227",1,1,1,6.482,2642,128,52,0.00802,1208,83,15115,"E02003280 E02003294",128
"151228",1,1,1,8.37,3480,220,59,0.00705,1560,105,35031,"E02003280 E02003295",220
"151230",1,1,1,14.862,6584,225,172,0.01157,2770,225,138144,"E02003280 E02004430",225
"151231",1,1,1,15.39,6546,227,170,0.01105,2869,228,142704,"E02003280 E02004434",227
"151232",1,1,1,17.449,7586,271,197,0.01129,3253,266,158250,"E02003280 E02004435",271
"151233",1,1,1,22.27,9710,302,263,0.01181,4151,344,230632,"E02003280 E02004437",302
"151234",1,1,1,18.905,8250,316,206,0.0109,3524,288,170626,"E02003280 E02004438",316
"151235",1,1,1,20.519,9052,383,233,0.01136,3825,322,170327,"E02003280 E02004443",383
"151237",1,1,1,9.26,4524,163,102,0.01102,1726,176,75654,"E02003280 E02004474",163
"151238",1,1,1,7.668,4050,168,106,0.01382,1429,155,37379,"E02003280 E02004477",168
"151239",1,1,1,8.68,4250,196,92,0.0106,1618,167,30896,"E02003280 E02004478",196
"151240",1,1,1,15.105,6624,418,202,0.01337,2816,242,45587,"E02003280 E02004482",418
"151241",1,1,1,16.175,7006,436,201,0.01243,3015,254,47596,"E02003280 E02004483",436
"151244",1,1,1,17.367,7884,301,221,0.01273,3237,268,149348,"E02003280 E02004505",301
"151245",1,1,1,5.714,2432,135,41,0.00718,1065,85,10791,"E02003280 E02004564",135
"151246",1,1,1,6.68,3406,195,89,0.01332,1245,123,19156,"E02003280 E02004565",195
"151247",1,1,1,4.129,1714,104,32,0.00775,770,56,7576,"E02003280 E02004566",104
"151248",1,1,1,8.811,4474,226,119,0.01351,1642,164,30058,"E02003280 E02004567",226
"151249",1,1,1,8.985,4498,260,139,0.01547,1675,154,38160,"E02003280 E02004568",260
"151250",1,1,1,3.754,1576,102,33,0.00879,700,51,7019,"E02003280 E02004569",102
"151251",1,1,1,7.081,3850,190,86,0.01215,1320,140,31305,"E02003280 E02004570",190
"151252",1,1,1,6.01,3212,157,68,0.01131,1120,117,24431,"E02003280 E02004571",157
"151253",1,1,1,9.922,3832,148,51,0.00514,1850,126,16915,"E02003280 E02004572",148
"151256",1,1,1,3.499,1396,71,47,0.01343,652,35,5549,"E02003281 E02003282",71
"151257",1,1,1,2.002,886,44,32,0.01598,373,26,3672,"E02003281 E02003283",44
"151258",1,1,1,6.811,2878,142,69,0.01013,1270,82,10845,"E02003281 E02003284",142
"151259",1,1,1,3.859,1640,84,62,0.01607,719,51,6556,"E02003281 E02003285",84
"151260",1,1,1,2.412,1226,69,38,0.01575,450,42,6930,"E02003281 E02003286",69
"151261",1,1,1,8.421,3464,151,75,0.00891,1570,98,13202,"E02003281 E02003287",151
"151262",1,1,1,5.242,2406,103,73,0.01393,977,66,15031,"E02003281 E02003288",103
"151263",1,1,1,2.705,1138,45,36,0.01331,504,40,4470,"E02003281 E02003289",45
"151264",1,1,1,4.161,1802,76,82,0.01971,776,58,6976,"E02003281 E02003290",76
"151265",1,1,1,12.303,5012,407,88,0.00715,2293,143,70717,"E02003281 E02003291",407
"151266",1,1,1,7.251,3088,188,92,0.01269,1352,95,13520,"E02003281 E02003292",188
"151267",1,1,1,5.628,2366,114,65,0.01155,1049,77,9965,"E02003281 E02003293",114
"151268",1,1,1,11.427,4724,324,86,0.00753,2130,130,65645,"E02003281 E02003295",324
"151270",1,1,1,11.391,4908,167,147,0.0129,2123,159,98961,"E02003281 E02004430",167
"151271",1,1,1,11.919,4870,169,145,0.01217,2222,162,103521,"E02003281 E02004434",169
"151272",1,1,1,13.978,5910,213,172,0.01231,2606,200,119067,"E02003281 E02004435",213
"151273",1,1,1,18.799,8034,244,238,0.01266,3504,278,191449,"E02003281 E02004437",244
"151274",1,1,1,15.434,6574,258,181,0.01173,2877,221,131443,"E02003281 E02004438",258
"151275",1,1,1,17.048,7376,325,208,0.0122,3178,256,131144,"E02003281 E02004443",325
"151278",1,1,1,5.109,2670,117,57,0.01116,952,99,9449,"E02003281 E02004474",117
"151279",1,1,1,7.879,3816,202,150,0.01904,1469,135,24188,"E02003281 E02004475",202
"151280",1,1,1,6.309,3404,163,109,0.01728,1176,126,19474,"E02003281 E02004476",163
"151281",1,1,1,3.389,2000,80,67,0.01977,632,76,6667,"E02003281 E02004477",80
"151282",1,1,1,3.896,2276,85,67,0.0172,726,87,8039,"E02003281 E02004478",85
"151283",1,1,1,11.391,5032,325,176,0.01545,2123,174,24739,"E02003281 E02004483",325
"151285",1,1,1,8.044,3562,211,108,0.01343,1499,125,27908,"E02003281 E02004565",211
"151286",1,1,1,8.075,3128,182,55,0.00681,1505,88,24754,"E02003281 E02004566",182
"151287",1,1,1,6.816,3050,186,124,0.01819,1271,103,25528,"E02003281 E02004568",186
"151288",1,1,1,6.872,2634,158,44,0.0064,1281,72,22855,"E02003281 E02004569",158
"151289",1,1,1,4.912,2402,116,71,0.01445,916,89,18673,"E02003281 E02004570",116
"151290",1,1,1,3.994,1852,78,55,0.01377,745,68,18012,"E02003281 E02004571",78
"151291",1,1,1,12.757,5180,330,94,0.00737,2378,148,69879,"E02003281 E02004572",330
"151295",1,1,1,2.113,1134,30,25,0.01183,394,42,3956,"E02003282 E02003283",30
"151296",1,1,1,3.514,1450,84,20,0.00569,655,49,5252,"E02003282 E02003284",84
"151297",1,1,1,1.2,570,16,17,0.01417,224,22,2129,"E02003282 E02003285",16
"151298",1,1,1,4.55,2250,97,49,0.01077,848,85,14166,"E02003282 E02003286",97
"151299",1,1,1,5.124,2036,93,26,0.00507,955,65,7609,"E02003282 E02003287",93
"151300",1,1,1,1.945,978,45,24,0.01234,363,33,9438,"E02003282 E02003288",45
"151301",1,1,1,3.433,1614,59,43,0.01253,640,65,6396,"E02003282 E02003289",59
"151302",1,1,1,2.218,956,30,37,0.01668,413,34,3582,"E02003282 E02003290",30
"151303",1,1,1,9.042,3562,283,55,0.00608,1686,113,17350,"E02003282 E02003291",283
"151304",1,1,1,3.724,1714,107,37,0.00994,694,53,15347,"E02003282 E02003292",107
"151305",1,1,1,2.609,1228,46,26,0.00997,486,46,4270,"E02003282 E02003293",46
"151306",1,1,1,5.269,2238,120,54,0.01025,982,60,17836,"E02003282 E02003294",120
"151307",1,1,1,8.166,3274,200,53,0.00649,1522,100,12278,"E02003282 E02003295",200
"151309",1,1,1,14.192,6260,208,172,0.01212,2646,212,130629,"E02003282 E02004430",208
"151310",1,1,1,14.72,6222,210,170,0.01155,2744,215,135189,"E02003282 E02004434",210
"151311",1,1,1,16.779,7262,254,197,0.01174,3128,253,150735,"E02003282 E02004435",254
"151312",1,1,1,21.6,9386,285,263,0.01218,4026,331,223117,"E02003282 E02004437",285
"151313",1,1,1,18.235,7926,299,206,0.0113,3399,274,163111,"E02003282 E02004438",299
"151314",1,1,1,19.849,8728,366,233,0.01174,3700,309,162812,"E02003282 E02004443",366
"151317",1,1,1,8.59,4200,146,102,0.01187,1601,163,68139,"E02003282 E02004474",146
"151318",1,1,1,9.082,4754,211,126,0.01387,1693,178,24636,"E02003282 E02004476",211
"151319",1,1,1,6.669,3626,133,84,0.0126,1243,138,13201,"E02003282 E02004478",133
"151321",1,1,1,7.206,3434,208,97,0.01346,1343,126,25971,"E02003282 E02004565",208
"151322",1,1,1,4.872,1964,119,40,0.00821,908,60,8765,"E02003282 E02004566",119
"151323",1,1,1,4.497,1826,117,41,0.00912,838,56,8208,"E02003282 E02004569",117
"151324",1,1,1,7.655,3708,164,96,0.01254,1427,142,36501,"E02003282 E02004570",164
"151325",1,1,1,6.737,3158,126,80,0.01187,1256,121,35840,"E02003282 E02004571",126
"151326",1,1,1,9.496,3730,206,61,0.00642,1770,118,16512,"E02003282 E02004572",206
"151331",1,1,1,5.369,2098,146,43,0.00801,1001,68,6971,"E02003283 E02003284",146
"151332",1,1,1,2.135,872,54,32,0.01499,398,29,3199,"E02003283 E02003285",54
"151333",1,1,1,2.655,1362,52,30,0.0113,495,47,9395,"E02003283 E02003286",52
"151334",1,1,1,6.979,2684,155,49,0.00702,1301,85,9328,"E02003283 E02003287",155
"151335",1,1,1,3.8,1626,107,47,0.01237,708,52,11157,"E02003283 E02003288",107
"151336",1,1,1,1.568,740,20,24,0.01531,292,26,2452,"E02003283 E02003289",20
"151337",1,1,1,2.349,996,35,52,0.02214,438,34,3571,"E02003283 E02003290",35
