"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",0,1.22,0,4.53,12.46,2,12.09,4.68,75.17,79.24,1
"2",3,8.1,5.89,19.94,52.13,2,12.09,4.68,75.17,79.24,1
"3",3,6.88,5.89,15.41,39.67,2,12.09,4.68,75.17,79.24,1
"4",3,7.22,5.15,23.87,44.29,2,12.09,4.68,75.17,79.24,1
"5",6,14.1,11.04,39.28,83.96,NA,NA,NA,NA,NA,0
"6",0,1.22,0,4.53,12.46,NA,NA,NA,NA,NA,0
"7",3,7.22,5.15,23.87,44.29,2,12.09,4.68,75.17,79.24,1
"8",6,15.32,11.04,43.81,96.42,NA,NA,NA,NA,NA,0
"9",4,9.21,9.81,27.9,57.62,2,12.09,4.68,75.17,79.24,1
"10",5,9.65,9.33,22.23,48.47,NA,NA,NA,NA,NA,0
"11",3,5.08,8.1,12.01,26.03,NA,NA,NA,NA,NA,0
"12",19,66.28,48.68,320.42,382.91,NA,NA,NA,NA,NA,0
"13",24,75.93,58.01,342.65,431.38,1,9.96,1,64.77,69.56,1
"14",6,34.36,16.8,178.25999,223.66,1,9.96,1,64.77,69.56,1
"15",18,41.57,41.21,164.39,207.72,NA,NA,NA,NA,NA,0
"16",11,48.65,36.06,245.66,287.74,NA,NA,NA,NA,NA,0
"17",9,26.47,25.6,116.08,155.94,NA,NA,NA,NA,NA,0
"18",11,31.16,33.65,132.52,187.38,7,20.04,15.12,98.32,107.5,1
"19",29,72.73,74.86,296.91,395.1,7,20.04,15.12,98.32,107.5,1
"20",6,16.87,14.39,65.12,123.3,NA,NA,NA,NA,NA,0
"21",3,8.1,5.89,19.94,52.13,5,20.3,9.75,104.43,118.15,1
"22",3,7.22,5.15,23.87,44.29,NA,NA,NA,NA,NA,0
"23",14,29.38,25.96,78.86,152.76,5,20.3,9.75,104.43,118.15,1
"24",17,36.6,31.11,102.73,197.05,5,20.3,9.75,104.43,118.15,1
"25",11,49.87,36.06,250.19,300.2,1,9.96,1,64.77,69.56,1
"26",1,4.25,2.67,15.28,31.48,1,9.96,1,64.77,69.56,1
"27",10,45.62,33.39,234.91,268.72,1,9.96,1,64.77,69.56,1
"28",0,2.78,0,16.89,31.81,1,9.96,1,64.77,69.56,1
"29",1,7.03,2.67,32.17,63.29,1,9.96,1,64.77,69.56,1
"30",0,0.1,0,0.23,0.96,NA,NA,NA,NA,NA,0
"31",14,29.28,25.96,78.63,151.8,5,20.3,9.75,104.43,118.15,1
