"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"15","E02003313","Thurrock 018",5219,130,381,3079,381,770,82,279,44,48,25,295.90302,165.903,360.26801,2977.009,-101.991,222.798,92.798,366.68301,3024.093,-54.907,945.25598,815.25598,261.97501,2590.969,-488.03,1239.802,1109.802,243.10201,2392.446,-686.55402,-0.09687,179631,-0.05628,104346,-0.06344,117692,-0.02286,42407,-0.25622,475285,-0.21564,4e+05,-0.2822,523486,-0.24162,448201,-57625,-34210,-38527,-15112,-159483,-136068,-262081,-238666,1.14283
"72","E02003308","Thurrock 013",3214,38,122,2240,144,572,22,31,12,23,10,123.606,85.606,114.791,2176.135,-63.865,65.719,27.719,121.145,2218.6499,-21.35,443.88101,405.88101,82.448,1939.5389,-300.461,651.06299,613.06299,76.493,1777.943,-462.05701,-0.05841,108304,-0.04087,75761,-0.03121,57885,-0.01366,25342,-0.18044,334698,-0.1629,302155,-0.20764,385169,-0.1901,352626,-38190,-27415,-20332,-9557,-125669,-114894,-217391,-206616,0.85488
"161","E02003295","Southend-on-Sea 017",3937,85,387,2321,207,615,12,242,12,41,15,243.561,158.561,361.41901,2219.1831,-101.817,139.48399,54.484,376.42401,2284.9741,-36.026,912.12402,827.12402,243.838,1799.671,-521.32898,1117.3,1032.3,233.021,1651.827,-669.17297,-0.06872,127462,-0.04706,87286,-0.03057,56692,-0.00891,16516,-0.24283,450495,-0.22117,410319,-0.2259,419069,-0.20424,378893,-40667,-28063,-20831,-8227,-144620,-132016,-206897,-194293,0.62978
"164","E02004464","Brentwood 001",4022,20,135,2953,179,477,104,61,28,46,19,88.017,68.017,129.448,2898.585,-54.415,43.529,23.529,132.91299,2933.3469,-19.653,357.073,337.073,100.88,2688.667,-264.33301,609.23499,589.23499,90.306,2479.0979,-473.90201,-0.04536,84041,-0.03457,64035,-0.01887,35000,-0.00808,14994,-0.12584,233367,-0.11505,213361,-0.17554,325561,-0.16475,305555,-36153,-26573,-22448,-12868,-116908,-107328,-244005,-234425,1.49769
"170","E02004516","Colchester 011",5745,305,1769,2499,295,347,8,373,28,87,34,518.75299,213.75301,1679.318,2413.187,-85.813,426.746,121.746,1732.855,2443.2419,-55.758,1390.009,1085.009,1286.822,2080.738,-418.26199,1824.505,1519.505,1130.677,1887.033,-611.96698,-0.05411,100354,-0.02398,44452,-0.05005,92841,-0.01991,36939,-0.12774,236963,-0.09761,181061,-0.10425,193371,-0.07411,137469,-51640,-22526,-45079,-15965,-121037,-91923,-188932,-159818,1.28704
"309","E02004475","Castle Point 003",2930,21,150,2014,141,449,14,75,24,23,19,88.737,67.737,143.834,1962.593,-51.407,27.077,6.077,149.914,2009.532,-4.467,401.34,380.34,107.469,1732.4301,-281.57001,599.47803,578.47803,97.387,1576.3101,-437.69,-0.03405,63107,-0.02758,51117,-0.01016,18831,-0.00369,6841,-0.11516,213598,-0.10869,201608,-0.1332,247066,-0.12673,235076,-22318,-18442,-5694,-1818,-91506,-87630,-160578,-156702,1.72403
"395","E02004524","Colchester 019",3588,56,152,2766,171,318,4,64,9,30,18,132.373,76.373,146.40401,2703.4951,-62.505,86.349,30.349,150.845,2740.593,-25.407,420.621,364.621,124.332,2468.6631,-297.33701,668.63898,612.63898,111.292,2261.781,-504.21899,-0.05887,109194,-0.03535,65564,-0.03735,69274,-0.01383,25644,-0.18145,336613,-0.15793,292983,-0.21737,403257,-0.19385,359627,-44205,-26679,-29193,-11667,-130476,-112950,-235959,-218433,1.14493
"421","E02004500","Chelmsford 016",3742,48,137,2783,164,390,18,136,6,35,25,115.335,67.335,131.52499,2730.708,-52.292,74.885,26.885,135.002,2762.3831,-20.617,364.78201,316.78201,105.178,2543.761,-239.239,616.146,568.146,94.097,2338.834,-444.16501,-0.05137,95246,-0.02994,55496,-0.03025,56115,-0.00882,16365,-0.13029,241661,-0.10886,201911,-0.17844,331003,-0.15701,291253,-42142,-25017,-25681,-8556,-114369,-97244,-233920,-216795,1.44614
"547","E02003280","Southend-on-Sea 002",4205,113,446,2752,257,320,11,239,11,46,10,292.616,179.616,420.23401,2630.3291,-121.671,199.94701,86.947,432.535,2694.062,-57.938,1102.0811,989.08099,293.66501,2094.189,-657.81097,1348.932,1235.932,268.323,1914.832,-837.16803,-0.06374,118210,-0.04097,75972,-0.03492,64776,-0.01215,22538,-0.22653,420231,-0.20375,377993,-0.20683,383686,-0.18406,341448,-41595,-26977,-25978,-11360,-148006,-133388,-205816,-191198,1.03946
"555","E02004567","Rochford 005",3500,42,214,2209,135,733,13,102,13,31,8,103.869,61.869,207.412,2163.4431,-45.557,95.374,53.374,203.783,2174.032,-34.968,384.07901,342.07901,166.936,1967.2791,-241.72099,628.47498,586.47498,143.914,1784.951,-424.04901,-0.03206,59422,-0.02004,37115,-0.01931,35814,-0.00728,13507,-0.08869,164487,-0.07666,142180,-0.11447,212320,-0.10245,190013,-27266,-17433,-18559,-8726,-85063,-75230,-164873,-155040,2.27699
