"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"12","E02004633","Forest of Dean 008",3399,4,45,38,1,55,2808,244,27,165,12,63.0999984741211,36.0999984741211,161.727005004883,-3.27300000190735,2778.90502929688,-29.0949993133545,49.1860008239746,22.1860008239746,163.88200378418,-1.11800003051758,2789.40502929688,-18.5949993133545,251.453994750977,224.453994750977,140.339004516602,-24.6609992980957,2630.97900390625,-177.02099609375,510.772003173828,483.772003173828,120.970001220703,-44.0299987792969,2418.34301757812,-389.657012939453,-0.0185300000011921,34383,-0.0404900014400482,75114,-0.021959999576211,40731,-0.0335199981927872,62176,-0.0149800004437566,27793,-0.107569999992847,199576,-0.0890400037169456,165193,-0.157890006899834,292931,-0.139359995722771,258548,-0.0120900003239512,22423,-0.0261000003665686,48417,-0.0140100000426173,25994,-0.021849999204278,40541,-0.00977000035345554,18118,-0.0699900016188622,129843,-0.0579000003635883,107420,-0.10436999797821,193627,-0.0922800004482269,171204,-7859,-17420,-9561,-15049,-7190,-58365,-50506,-135708,-127849,0.0315297781237836
"17","E02004603","Cheltenham 004",3544,7,39,247,9,19,1478,167,211,1356,11,378.191986083984,167.192001342773,1269.98596191406,-86.0139999389648,1417.71203613281,-60.2879981994629,276.053985595703,65.0540008544922,1335.51293945312,-20.4869995117188,1445.97399902344,-32.0260009765625,1051.89599609375,840.89697265625,886.328979492188,-469.670989990234,1200.42797851562,-277.571990966797,1226.36096191406,1015.36102294922,830.161010742188,-525.838989257812,1115.0419921875,-362.9580078125,-0.0423099994659424,78482,-0.0620599985122681,115101,-0.0197500009089708,36619,-0.0562100000679493,104271,-0.0138999996706843,25789,-0.0909100025892258,168649,-0.0486100018024445,90167,-0.0635000020265579,117787,-0.0211900006979704,39305,-0.025280000641942,46891,-0.0389499999582767,72228,-0.0136700002476573,25337,-0.0340799987316132,63220,-0.00880999956279993,16329,-0.0642599985003471,119196,-0.0389799997210503,72305,-0.0526699982583523,97692,-0.0273899994790554,50801,-24909,-38880,-13971,-34215,-9306,-77615,-52706,-113718,-88809,0.00905025139434477
"215","E02004674","Tewkesbury 009",4100,1,17,280,2,59,3038,214,139,334,16,297.860992431641,158.860992431641,315.266998291016,-18.7329998016357,2923.84204101562,-114.157997131348,237.315002441406,98.3150024414062,321.027008056641,-12.9729995727539,2968.35693359375,-69.6429977416992,912.440002441406,773.440002441406,228.151992797852,-105.847999572754,2495.9599609375,-542.039978027344,1212.62097167969,1073.62097167969,211.087005615234,-122.91300201416,2261.912109375,-776.088012695312,-0.0775900036096573,143944,-0.168369993567467,312326,-0.090769998729229,168382,-0.131720006465912,244350,-0.0541200004518032,100406,-0.45058000087738,835919,-0.372979998588562,691975,-0.45100000500679,836709,-0.373409986495972,692765,-0.049380000680685,91588,-0.107560001313686,199500,-0.0581800006330013,107912,-0.0843700021505356,156491,-0.0349900014698505,64903,-0.292010009288788,541722,-0.242630004882812,450134,-0.299080014228821,554834,-0.249699994921684,463246,-32921,-70920,-37999,-56316,-23395,-197857,-164936,-302053,-269132,NA
"233","E02004602","Cheltenham 003",2940,2,19,268,7,24,1917,203,186,299,15,331.894012451172,145.893997192383,278.536010742188,-20.4640007019043,1823.57995605469,-93.4199981689453,297.447998046875,111.447998046875,278.489013671875,-20.5109996795654,1849.77294921875,-67.2269973754883,852.330993652344,666.330993652344,204.126998901367,-94.8730010986328,1493.92700195312,-423.072998046875,1052.50805664062,866.507995605469,184.770004272461,-114.230003356934,1352.92297363281,-564.077026367188,-0.0646499991416931,119933,-0.115699999034405,214610,-0.0510499998927116,94677,-0.0945999994874001,175479,-0.0299500003457069,55546,-0.270940005779266,502633,-0.206290006637573,382700,-0.254739999771118,472590,-0.190090000629425,352657,-0.0397300012409687,73699,-0.0723299980163574,134157,-0.032600000500679,60458,-0.0569400005042553,105608,-0.0172099992632866,31909,-0.174810007214546,324284,-0.135079994797707,250585,-0.166769996285439,309371,-0.12703999876976,235672,-31473,-55814,-24341,-50379,-18906,-131465,-99992,-184292,-152819,0.00899237468476922
"284","E02004671","Tewkesbury 006",2577,4,23,102,5,41,2109,122,81,78,12,163.287002563477,82.2870025634766,74.3430023193359,-3.65700006484985,2041.833984375,-67.1660003662109,127.357002258301,46.3569984436035,75.3320007324219,-2.66799998283386,2072.48803710938,-36.5120010375977,446.657989501953,365.657989501953,58.1319999694824,-19.8680000305176,1814.80004882812,-294.200012207031,637.044006347656,556.044006347656,53.5,-24.5,1652.46301269531,-456.536987304688,-0.0553000010550022,102581,-0.114289999008179,211998,-0.0589900016784668,109417,-0.0831800028681755,154315,-0.0278900004923344,51734,-0.268889993429184,498829,-0.213589996099472,396248,-0.308880001306534,573036,-0.253589987754822,470455,-0.0338199995458126,62732,-0.0701100006699562,130036,-0.0362900011241436,67304,-0.0505100004374981,93698,-0.0166900008916855,30966,-0.17077000439167,316794,-0.136950001120567,254062,-0.199379995465279,369873,-0.165560007095337,307141,-23886,-49456,-25570,-36413,-12527,-121791,-97905,-205950,-182064,0.00832390870109663
"352","E02004614","Cheltenham 015",2254,5,49,57,1,14,1527,110,192,288,11,284.691009521484,92.6910018920898,269.278015136719,-18.7220001220703,1464.14099121094,-62.859001159668,262.188995361328,70.1890029907227,275.144989013672,-12.8549995422363,1477.77795410156,-49.2220001220703,571.859985351562,379.859985351562,201,-87,1279.47204589844,-247.52799987793,716.361022949219,524.361022949219,182.598007202148,-105.402000427246,1169.5009765625,-357.498992919922,-0.0527400001883507,97843,-0.0803899988532066,149110,-0.0276500005275011,51267,-0.0706899985671043,131139,-0.0179500002413988,33296,-0.142810001969337,264924,-0.0900700017809868,167081,-0.152469992637634,282841,-0.0997299998998642,184998,-0.0339800007641315,63036,-0.0514199994504452,95361,-0.0174400005489588,32325,-0.0451399981975555,83725,-0.0111600002273917,20689,-0.0924300029873848,171445,-0.058449998497963,108409,-0.100340001285076,186123,-0.0663599967956543,123087,-28529,-43695,-15166,-41447,-12918,-81198,-52669,-123911,-95382,0.014842136996884
"391","E02004632","Forest of Dean 007",4217,0,19,93,6,45,3246,266,64,457,21,111.981002807617,47.9809989929199,448.089996337891,-8.90999984741211,3211.73510742188,-34.2649993896484,125.86499786377,61.8650016784668,443.337005615234,-13.6630001068115,3204.06591796875,-41.9339981079102,371.191986083984,307.191986083984,394.441009521484,-62.5589981079102,3031.38891601562,-214.610992431641,745.809997558594,681.809997558594,332,-125,2757.52392578125,-488.476013183594,-0.0171399991959333,31791,-0.0358299985527992,66471,-0.0186999998986721,34680,-0.0309399999678135,57388,-0.0137999998405576,25597,-0.0888900011777878,164910,-0.0717500001192093,133119,-0.13672000169754,253646,-0.119580000638962,221855,-0.0113599998876452,21083,-0.023369999602437,43346,-0.0120000001043081,22263,-0.0205199997872114,38068,-0.00915999989956617,16985,-0.0588899999856949,109250,-0.047520000487566,88167,-0.0931999981403351,172915,-0.0818400010466576,151832,-8312,-17021,-8709,-16032,-7720,-53161,-44849,-131488,-123176,0.0354851504318153
"406","E02004635","Forest of Dean 010",2901,5,54,57,8,46,2155,158,63,321,34,93.1660003662109,30.1660003662109,311.635009765625,-9.36499977111816,2138.06201171875,-16.9379997253418,92.9130020141602,29.9130001068115,312.139007568359,-8.86100006103516,2137.2509765625,-17.7490005493164,189.774993896484,126.775001525879,276.222991943359,-44.7770004272461,2089.39990234375,-65.5999984741211,319.580993652344,256.580993652344,246.697998046875,-74.302001953125,2005.32800292969,-149.671997070312,-0.0257399994879961,47758,-0.0414699986577034,76903,-0.0157200004905462,29145,-0.0423500016331673,78571,-0.016610000282526,30813,-0.0558900013566017,103669,-0.0301500000059605,55911,-0.0788799971342087,146322,-0.0531399995088577,98564,-0.0159799996763468,29652,-0.024490000680089,45409,-0.00851000007241964,15757,-0.0251299999654293,46616,-0.00915000028908253,16964,-0.0350099988281727,64922,-0.0190200004726648,35270,-0.0532499998807907,98774,-0.0372699983417988,69122,-14158,-22398,-8240,-24257,-10099,-39446,-25288,-90331,-76173,NA
"676","E02004634","Forest of Dean 009",4263,0,86,85,3,35,3140,278,100,525,11,157.511993408203,57.5120010375977,512.219970703125,-12.7799997329712,3100.64111328125,-39.359001159668,178.970001220703,78.9700012207031,503.088989257812,-21.9109992980957,3089.64208984375,-50.3580017089844,413.582000732422,313.582000732422,452.367004394531,-72.6330032348633,2928.419921875,-211.580001831055,759.715026855469,659.715026855469,384.067993164062,-140.932006835938,2683.62109375,-456.378997802734,-0.0272599998861551,50574,-0.0496699996292591,92145,-0.022409999743104,41571,-0.0442299991846085,82050,-0.0169699992984533,31476,-0.103409998118877,191847,-0.0761500000953674,141273,-0.137290000915527,254708,-0.110030002892017,204134,-0.0182900000363588,33930,-0.0325900018215179,60459,-0.014299999922514,26529,-0.029839999973774,55358,-0.0115499999374151,21428,-0.0689300000667572,127882,-0.0506399981677532,93952,-0.0955699980258942,177308,-0.0772799998521805,143378,-15468,-26852,-11384,-27094,-11626,-67582,-52114,-148308,-132840,NA
"688","E02004626","Forest of Dean 001",3640,1,38,74,6,38,3045,199,59,161,19,118.684997558594,59.685001373291,156.617004394531,-4.38299989700317,2995.6640625,-49.3359985351562,79.0530014038086,20.05299949646,160.481002807617,-0.518999993801117,3027.67407226562,-17.326000213623,324.299987792969,265.299987792969,137.175994873047,-23.8239994049072,2830.36791992188,-214.63200378418,552.14501953125,493.144989013672,127.225997924805,-33.773998260498,2635.81298828125,-409.18701171875,-0.0420400016009808,77993,-0.09791000187397,181612,-0.0558700002729893,103619,-0.065820001065731,122106,-0.0237799994647503,44113,-0.184400007128716,342087,-0.142360001802444,264094,-0.271979987621307,504574,-0.229939997196198,426581,-0.023369999602437,43360,-0.0548200011253357,101667,-0.0314400009810925,58307,-0.0352500006556511,65377,-0.0118699995800853,22017,-0.111830003559589,207435,-0.0884499996900558,164075,-0.176960006356239,328282,-0.153589993715286,284922,-18528,-42899,-24371,-30212,-11684,-99408,-80880,-224785,-206257,0.0195633686587762
"1126","E02004673","Tewkesbury 008",2051,3,15,113,1,28,1577,115,80,111,8,151.908996582031,71.9089965820312,106.162002563477,-4.83799982070923,1521.51696777344,-55.4830017089844,132.608001708984,52.6080017089844,108.608001708984,-2.39199995994568,1535.8330078125,-41.1669998168945,407.399993896484,327.399993896484,88.4589996337891,-22.5410003662109,1325.39196777344,-251.608001708984,565.401000976562,485.401000976562,81.0630035400391,-29.9370002746582,1198.63793945312,-378.361999511719,-0.048369999974966,89725,-0.0929199978709221,172354,-0.0445500016212463,82629,-0.0852300003170967,158105,-0.0368600003421307,68380,-0.221139997243881,410236,-0.172769993543625,320511,-0.231619998812675,429682,-0.183249995112419,339957,-0.0315000005066395,58434,-0.0600199997425079,111311,-0.0285100005567074,52877,-0.0553600005805492,102687,-0.0238600000739098,44253,-0.143580004572868,266344,-0.112080000340939,207910,-0.154899999499321,287357,-0.123400002717972,228923,-21194,-40169,-18975,-37079,-15885,-98016,-76822,-154706,-133512,0.0107663077897403
"1185","E02004645","Gloucester 010",5116,5,22,299,5,55,3953,294,203,263,17,409.861999511719,206.861999511719,249.800003051758,-13.1999998092651,3793.22094726562,-159.779006958008,340.088012695312,137.087997436523,256.069000244141,-6.93100023269653,3847.0419921875,-105.958000183105,1219.64294433594,1016.64300537109,187.986999511719,-75.0130004882812,3180.39794921875,-772.601989746094,1598.30395507812,1395.30395507812,172.076995849609,-90.9229965209961,2876.5400390625,-1076.4599609375,-0.103809997439384,192589,-0.219840005040169,407836,-0.116030000150204,215247,-0.177780002355576,329812,-0.0739699974656105,137223,-0.631829977035522,1172194,-0.528010010719299,979605,-0.638400018215179,1184395,-0.534590005874634,991806,-0.066380001604557,123143,-0.140039995312691,259773,-0.0736600011587143,136630,-0.11387000232935,211246,-0.0474900007247925,88103,-0.407640010118484,756256,-0.341259986162186,633113,-0.416810005903244,773265,-0.350430011749268,650122,-40877,-85322,-44445,-68196,-27319,-235701,-194824,-356873,-315996,0.0160487179346672
"1431","E02004612","Cheltenham 013",4412,3,57,291,6,48,3160,259,260,322,6,475.85400390625,215.85400390625,299.782989501953,-22.2169990539551,3005.89208984375,-154.108001708984,439.756988525391,179.75700378418,301.114013671875,-20.8859996795654,3035.71801757812,-124.281997680664,1273.27502441406,1013.27502441406,209.533004760742,-112.467002868652,2443.79809570312,-716.202026367188,1530.52697753906,1270.52697753906,195.300003051758,-126.699996948242,2239.23193359375,-920.768005371094,-0.0809900015592575,150249,-0.154919996857643,287387,-0.0739300027489662,137138,-0.118050001561642,218992,-0.0370600000023842,68743,-0.385639995336533,715440,-0.304650008678436,565191,-0.375869989395142,697325,-0.294889986515045,547076,-0.0512499995529652,95083,-0.0978100001811981,181426,-0.0465499982237816,86343,-0.0748199969530106,138790,-0.0235600005835295,43707,-0.247419998049736,458997,-0.1961600035429,363914,-0.244080007076263,452812,-0.192829996347427,357729,-39673,-75316,-35643,-64006,-24333,-189718,-150045,-269362,-229689,0.00954174273551198
"1472","E02004670","Tewkesbury 005",5654,5,37,399,5,62,4170,275,199,490,12,414.221984863281,215.22200012207,460.809997558594,-29.1900005340576,4017.55493164062,-152.445007324219,334.621002197266,135.621002197266,475.029998779297,-14.9700002670288,4067.93896484375,-102.060997009277,1241.23205566406,1042.23205566406,331.864990234375,-158.134994506836,3454.13305664062,-715.867004394531,1658.80102539062,1459.80102539062,305.941986083984,-184.057998657227,3131.85595703125,-1038.14404296875,-0.115369997918606,214033,-0.234500005841255,435019,-0.119130000472069,220986,-0.211329996585846,392063,-0.0959599986672401,178030,-0.590300023555756,1095144,-0.474929988384247,881111,-0.593169987201691,1100481,-0.477800011634827,886448,-0.0743900015950203,137997,-0.150000005960464,278243,-0.0756099969148636,140246,-0.133080005645752,246872,-0.0586900003254414,108875,-0.382239997386932,709129,-0.307850003242493,571132,-0.392120003700256,727456,-0.317730009555817,589459,-53153,-104292,-51139,-97417,-44264,-266290,-213137,-407656,-354503,0.00878999049730757
