"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"109660","E02004600 E02004601","E02004600","E02004601",128,0,2,0,1,92,8,14,10,1,21.66,7.66,9.34,-0.66,85.81,-6.19,16.67,2.67,9.64,-0.36,89.93,-2.07,48.79,34.79,6.79,-3.21,64.03,-27.97,59.4,45.4,5.88,-4.12,55.46,-36.54,-0.00346,6418,-0.00528,9799,-0.00182,3381,-0.00387,7187,-0.00041,769,-0.01154,21405,-0.00808,14987,-0.01033,19169,-0.00687,12751,-0.00225,4167,-0.00343,6369,-0.00119,2202,-0.00252,4671,-0.00027,504,-0.00751,13940,-0.00527,9773,-0.00676,12541,-0.00451,8374,-1812,-2791,-979,-2139,-327,-6236,-4424,-7592,-5780,0,2.74767,"Cheltenham 001","Cheltenham 002",3.126,3.126,1628,1628,1.13769,1,1.40755,583,7728,0.01408,10.9375
"109661","E02004600 E02004602","E02004600","E02004602",292,0,17,0,2,147,27,31,68,0,54.01,23.01,62,-6,134.05,-12.95,40.35,9.35,65.84,-2.16,141.35001,-5.65,131.57001,100.57,41.92,-26.08,90.18,-56.82,146.42999,115.43,38.03,-29.97,81.84,-65.16,-0.00426,7895,-0.00749,13898,-0.00324,6003,-0.00535,9924,-0.00109,2029,-0.01804,33475,-0.01379,25580,-0.01027,19048,-0.00601,11153,-0.00293,5436,-0.00515,9556,-0.00222,4120,-0.00367,6809,-0.00074,1373,-0.01242,23046,-0.00949,17610,-0.00752,13945,-0.00459,8509,-2825,-4950,-2125,-3752,-927,-12155,-9330,-13524,-10699,0,2.17453,"Cheltenham 001","Cheltenham 003",3.219,3.217,1408,1408,1.48032,0.99938,0.62131,600,6136,0.00622,10.61644
"109662","E02004600 E02004603","E02004600","E02004603",315,0,17,0,4,143,19,42,90,0,68.22,26.22,81.36,-8.64,129.27,-13.73,56.17,14.17,85.37,-4.63,135.52,-7.48,153.74001,111.74,53.17,-36.83,84.47,-58.53,160.86,118.86,50.82,-39.18,80.74,-62.26,-0.00257,4763,-0.00417,7737,-0.0016,2974,-0.00322,5969,-0.00065,1206,-0.00902,16738,-0.00645,11975,-0.00319,5924,-0.00063,1161,-0.00185,3436,-0.00301,5582,-0.00116,2146,-0.00232,4303,-0.00047,867,-0.00655,12153,-0.0047,8717,-0.00284,5265,-0.00099,1829,-2236,-3631,-1395,-2996,-760,-8187,-5951,-8565,-6329,0,1.23133,"Cheltenham 001","Cheltenham 004",1.997,1.788,922,1016,1.62183,0.89534,0.45068,372,3621,0.00503,13.33333
"109663","E02004600 E02004604","E02004600","E02004604",424,0,15,0,5,197,35,54,115,2,89.51,35.51,103.94,-11.06,178.11,-18.89,75.12,21.12,108.9,-6.1,185.39999,-11.6,201.34,147.34,69.45,-45.55,118.37,-78.63,217.31,163.31,64.45,-50.55,109.89,-87.11,-0.00497,9221,-0.00836,15513,-0.00339,6292,-0.00664,12324,-0.00167,3103,-0.01855,34410,-0.01358,25189,-0.00795,14752,-0.00298,5531,-0.00355,6580,-0.00595,11044,-0.00241,4464,-0.00471,8745,-0.00117,2165,-0.01323,24542,-0.00968,17962,-0.00652,12099,-0.00297,5519,-4062,-6758,-2696,-5714,-1652,-15282,-11220,-16492,-12430,1,1.77459,"Cheltenham 001","Cheltenham 005",2.795,2.956,1292,1366,1.57501,1.0576,0.46512,521,5757,0.00507,12.73585
"109664","E02004600 E02004605","E02004600","E02004605",190,0,15,0,2,119,9,29,15,0,42.58,13.58,13.73,-1.27,108.97,-10.03,41.72,12.72,13.77,-1.23,109.6,-9.4,77.56,48.56,10.56,-4.44,83.1,-35.9,90.82,61.82,9.31,-5.69,73.3,-45.7,-0.00892,16544,-0.01313,24365,-0.00422,7821,-0.01181,21915,-0.0029,5371,-0.02396,44451,-0.01504,27907,-0.02132,39552,-0.0124,23008,-0.00582,10794,-0.00857,15893,-0.00275,5099,-0.00771,14297,-0.00189,3503,-0.01563,28989,-0.00981,18195,-0.01397,25911,-0.00815,15117,-4510,-6622,-2112,-6489,-1979,-12070,-7560,-14133,-9623,1,2.68428,"Cheltenham 001","Cheltenham 006",4.139,3.871,1876,1968,1.54194,0.93525,0.82145,772,8500,0.01188,15.26316
"109665","E02004600 E02004606","E02004600","E02004606",425,0,9,3,5,214,18,66,110,0,102.34,36.34,98.83,-11.17,192.38,-21.62,88.67,22.67,103.19,-6.81,200.3,-13.7,203.69,137.69,68.03,-41.97,131.63,-82.37,218.86,152.86,63.33,-46.67,122.66,-91.34,-0.00646,11982,-0.01005,18652,-0.0036,6670,-0.00814,15106,-0.00168,3124,-0.01954,36242,-0.01308,24260,-0.00947,17564,-0.00301,5582,-0.00459,8516,-0.00714,13241,-0.00255,4725,-0.00578,10717,-0.00119,2201,-0.0139,25785,-0.00931,17269,-0.00753,13967,-0.00294,5451,-5723,-8869,-3146,-7680,-1957,-17632,-11909,-18946,-13223,0,1.63455,"Cheltenham 001","Cheltenham 007",2.563,2.383,1336,1560,1.56801,0.92977,0.4682,478,4955,0.00504,15.52941
"109666","E02004600 E02004607","E02004600","E02004607",283,0,36,0,3,144,20,35,44,1,56.14,21.14,40.25,-3.75,131.78,-12.22,50.29,15.29,41.3,-2.7,135.22,-8.78,121.93,86.93,28.6,-15.4,93.75,-50.25,138.99001,103.99,25.56,-18.44,83.74,-60.26,-0.00729,13521,-0.01168,21672,-0.00439,8151,-0.00962,17853,-0.00234,4332,-0.02504,46454,-0.01775,32933,-0.01896,35172,-0.01167,21651,-0.00484,8988,-0.00777,14405,-0.00292,5417,-0.0064,11866,-0.00155,2878,-0.01666,30907,-0.01181,21919,-0.01283,23803,-0.00799,14815,-3646,-5833,-2187,-5209,-1563,-12640,-8994,-14449,-10803,0,2.26062,"Cheltenham 001","Cheltenham 008",3.293,3.572,1598,1846,1.45668,1.08473,0.63772,614,6117,0.0126,12.36749
"109667","E02004600 E02004608","E02004600","E02004608",547,1,81,0,4,255,41,45,117,1,88.37,43.37,106.9,-10.1,232.92999,-22.07,70.65,25.65,110.93,-6.07,242.53,-12.47,245.74001,200.74001,70.17,-46.83,153.3,-101.7,274.04999,229.05,63.57,-53.43,138.89,-116.11,-0.00752,13958,-0.01471,27296,-0.00719,13338,-0.0106,19659,-0.00307,5701,-0.03987,73963,-0.03234,60005,-0.02403,44578,-0.0165,30620,-0.00509,9451,-0.00997,18488,-0.00487,9037,-0.00718,13320,-0.00209,3869,-0.02707,50224,-0.02198,40773,-0.01706,31642,-0.01196,22191,-4040,-7852,-3812,-6182,-2142,-21600,-17560,-24091,-20051,3,2.33445,"Cheltenham 001","Cheltenham 009",3.377,3.538,1652,1894,1.4466,1.04768,0.65147,630,6904,0.01357,8.22669
"109668","E02004600 E02004609","E02004600","E02004609",281,0,18,0,6,163,22,44,27,1,60.3,16.3,25.11,-1.89,151.85001,-11.15,64.06,20.06,24.3,-2.7,149.85001,-13.15,92.01,48.01,21.87,-5.13,129.46001,-33.54,118.56,74.56,18.81,-8.19,111.26,-51.74,-0.01775,32927,-0.02449,45440,-0.00674,12513,-0.02358,43749,-0.00583,10822,-0.03731,69228,-0.01957,36301,-0.03364,62414,-0.01589,29487,-0.01211,22474,-0.01669,30960,-0.00457,8486,-0.01612,29902,-0.004,7428,-0.02535,47027,-0.01323,24553,-0.02338,43379,-0.01127,20905,-8761,-12075,-3314,-12680,-3919,-18715,-9954,-24125,-15364,0,3.37137,"Cheltenham 001","Cheltenham 010",5.87,5.814,2552,2562,1.74113,0.99046,0.91993,1094,12599,0.00998,15.65836
"109669","E02004600 E02004610","E02004600","E02004610",126,0,7,0,1,88,6,16,8,0,25.43,9.43,7.31,-0.69,80.46,-7.54,25.23,9.23,7.3,-0.7,80.63,-7.37,53.16,37.16,5.31,-2.69,58.26,-29.74,61.2,45.2,4.73,-3.27,51.83,-36.17,-0.0051,9458,-0.00811,15049,-0.00301,5591,-0.00726,13472,-0.00216,4014,-0.01691,31376,-0.01181,21918,-0.01466,27192,-0.00956,17734,-0.00331,6145,-0.00527,9776,-0.00196,3631,-0.00472,8753,-0.00141,2608,-0.01099,20385,-0.00768,14240,-0.00956,17728,-0.00624,11583,-2631,-4182,-1551,-4146,-1515,-8755,-6124,-10079,-7448,0,2.96377,"Cheltenham 001","Cheltenham 011",4.046,4.524,1936,2160,1.36515,1.11814,0.71676,754,8469,0.01127,12.69841
