"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"109660","E02004600 E02004601","E02004600","E02004601",128,0,2,0,1,92,8,14,10,1,21.6599998474121,7.65999984741211,9.34000015258789,-0.660000026226044,85.8099975585938,-6.19000005722046,16.6700000762939,2.67000007629395,9.64000034332275,-0.360000014305115,89.9300003051758,-2.0699999332428,48.7900009155273,34.7900009155273,6.78999996185303,-3.21000003814697,64.0299987792969,-27.9699993133545,59.4000015258789,45.4000015258789,5.88000011444092,-4.11999988555908,55.4599990844727,-36.5400009155273,-0.00346000003628433,6418,-0.00528000015765429,9799,-0.00182000000495464,3381,-0.0038699998985976,7187,-0.000410000007832423,769,-0.0115400003269315,21405,-0.00808000005781651,14987,-0.010329999960959,19169,-0.00687000015750527,12751,-0.00224999990314245,4167,-0.00343000004068017,6369,-0.00118999998085201,2202,-0.00252000009641051,4671,-0.000269999989541247,504,-0.00750999990850687,13940,-0.00527000008150935,9773,-0.00675999978557229,12541,-0.00450999988242984,8374,-1812,-2791,-979,-2139,-327,-6236,-4424,-7592,-5780,0,2.74767402175076,"Cheltenham 001","Cheltenham 002",3.126,3.126,1628,1628,1.13768954222895,1,1.40754958413308,583,7728,0.0140754958413308,10.9375
"109661","E02004600 E02004602","E02004600","E02004602",292,0,17,0,2,147,27,31,68,0,54.0099983215332,23.0100002288818,62,-6,134.050003051758,-12.9499998092651,40.3499984741211,9.35000038146973,65.8399963378906,-2.16000008583069,141.350006103516,-5.65000009536743,131.570007324219,100.569999694824,41.9199981689453,-26.0799999237061,90.1800003051758,-56.8199996948242,146.429992675781,115.430000305176,38.0299987792969,-29.9699993133545,81.8399963378906,-65.1600036621094,-0.00425999984145164,7895,-0.00749000022187829,13898,-0.00323999999091029,6003,-0.00535000022500753,9924,-0.00109000003430992,2029,-0.0180399995297194,33475,-0.0137900002300739,25580,-0.0102700004354119,19048,-0.006010000128299,11153,-0.00292999995872378,5436,-0.00515000009909272,9556,-0.00221999990753829,4120,-0.00367000000551343,6809,-0.000739999988581985,1373,-0.012419999577105,23046,-0.00949000008404255,17610,-0.0075199999846518,13945,-0.00459000002592802,8509,-2825,-4950,-2125,-3752,-927,-12155,-9330,-13524,-10699,0,2.17453175493081,"Cheltenham 001","Cheltenham 003",3.219,3.217,1408,1408,1.48031869054146,0.999378689033862,0.621310966138552,600,6136,0.00621697233447311,10.6164383561644
"109662","E02004600 E02004603","E02004600","E02004603",315,0,17,0,4,143,19,42,90,0,68.2200012207031,26.2199993133545,81.3600006103516,-8.64000034332275,129.270004272461,-13.7299995422363,56.1699981689453,14.1700000762939,85.370002746582,-4.63000011444092,135.520004272461,-7.48000001907349,153.740005493164,111.73999786377,53.1699981689453,-36.8300018310547,84.4700012207031,-58.5299987792969,160.860000610352,118.860000610352,50.8199996948242,-39.1800003051758,80.7399978637695,-62.2599983215332,-0.00257000001147389,4763,-0.00417000008746982,7737,-0.0015999999595806,2974,-0.00322000007145107,5969,-0.000650000001769513,1206,-0.00901999976485968,16738,-0.00645000021904707,11975,-0.00319000007584691,5924,-0.000630000024102628,1161,-0.00185000000055879,3436,-0.00301000010222197,5582,-0.00115999998524785,2146,-0.0023199999704957,4303,-0.000469999999040738,867,-0.00655000004917383,12153,-0.00469999993219972,8717,-0.00283999997191131,5265,-0.000989999971352518,1829,-2236,-3631,-1395,-2996,-760,-8187,-5951,-8565,-6329,0,1.23132629324262,"Cheltenham 001","Cheltenham 004",1.997,1.788,922,1016,1.62182843894369,0.895343014521783,0.450676014021032,372,3621,0.00503355704697987,13.3333333333333
"109663","E02004600 E02004604","E02004600","E02004604",424,0,15,0,5,197,35,54,115,2,89.5100021362305,35.5099983215332,103.940002441406,-11.0600004196167,178.110000610352,-18.8899993896484,75.120002746582,21.1200008392334,108.900001525879,-6.09999990463257,185.399993896484,-11.6000003814697,201.339996337891,147.339996337891,69.4499969482422,-45.5499992370605,118.370002746582,-78.629997253418,217.309997558594,163.309997558594,64.4499969482422,-50.5499992370605,109.889999389648,-87.1100006103516,-0.00497000012546778,9221,-0.0083600003272295,15513,-0.00338999996893108,6292,-0.00663999980315566,12324,-0.00167000002693385,3103,-0.0185499992221594,34410,-0.0135800000280142,25189,-0.00795000046491623,14752,-0.00298000010661781,5531,-0.0035500000230968,6580,-0.00595000013709068,11044,-0.00240999995730817,4464,-0.00471000000834465,8745,-0.00116999994497746,2165,-0.0132299996912479,24542,-0.00968000013381243,17962,-0.00651999982073903,12099,-0.00297000003047287,5519,-4062,-6758,-2696,-5714,-1652,-15282,-11220,-16492,-12430,1,1.77459271928205,"Cheltenham 001","Cheltenham 005",2.795,2.956,1292,1366,1.57500927938597,1.05760286225403,0.465116279069767,521,5757,0.0050744248985115,12.7358490566038
"109664","E02004600 E02004605","E02004600","E02004605",190,0,15,0,2,119,9,29,15,0,42.5800018310547,13.5799999237061,13.7299995422363,-1.26999998092651,108.970001220703,-10.0299997329712,41.7200012207031,12.7200002670288,13.7700004577637,-1.23000001907349,109.599998474121,-9.39999961853027,77.5599975585938,48.560001373291,10.5600004196167,-4.44000005722046,83.0999984741211,-35.9000015258789,90.8199996948242,61.8199996948242,9.3100004196167,-5.69000005722046,73.3000030517578,-45.7000007629395,-0.00891999993473291,16544,-0.0131299998611212,24365,-0.0042200000025332,7821,-0.0118100000545382,21915,-0.00289999996311963,5371,-0.0239599999040365,44451,-0.0150399999693036,27907,-0.0213200002908707,39552,-0.0124000003561378,23008,-0.00582000007852912,10794,-0.00856999959796667,15893,-0.00274999998509884,5099,-0.00771000003442168,14297,-0.00188999995589256,3503,-0.0156299993395805,28989,-0.0098099997267127,18195,-0.0139699997380376,25911,-0.00815000012516975,15117,-4510,-6622,-2112,-6489,-1979,-12070,-7560,-14133,-9623,1,2.68427646743097,"Cheltenham 001","Cheltenham 006",4.139,3.871,1876,1968,1.5419425123379,0.935250060401063,0.821454457598454,772,8500,0.0118832343063808,15.2631578947368
"109665","E02004600 E02004606","E02004600","E02004606",425,0,9,3,5,214,18,66,110,0,102.339996337891,36.3400001525879,98.8300018310547,-11.1700000762939,192.380004882812,-21.6200008392334,88.6699981689453,22.6700000762939,103.190002441406,-6.80999994277954,200.300003051758,-13.6999998092651,203.690002441406,137.690002441406,68.0299987792969,-41.9700012207031,131.630004882812,-82.370002746582,218.860000610352,152.860000610352,63.3300018310547,-46.6699981689453,122.660003662109,-91.3399963378906,-0.00645999982953072,11982,-0.010049999691546,18652,-0.00359999993816018,6670,-0.00813999958336353,15106,-0.00167999998666346,3124,-0.0195400007069111,36242,-0.0130799999460578,24260,-0.00946999993175268,17564,-0.00301000010222197,5582,-0.00459000002592802,8516,-0.00713999988511205,13241,-0.00255000009201467,4725,-0.00577999977394938,10717,-0.00118999998085201,2201,-0.0138999996706843,25785,-0.00930999964475632,17269,-0.00753000006079674,13967,-0.00294000003486872,5451,-5723,-8869,-3146,-7680,-1957,-17632,-11909,-18946,-13223,0,1.63455105973087,"Cheltenham 001","Cheltenham 007",2.563,2.383,1336,1560,1.56801464520906,0.929769801014436,0.468201326570425,478,4955,0.00503566932438103,15.5294117647059
"109666","E02004600 E02004607","E02004600","E02004607",283,0,36,0,3,144,20,35,44,1,56.1399993896484,21.1399993896484,40.25,-3.75,131.779998779297,-12.2200002670288,50.2900009155273,15.289999961853,41.2999992370605,-2.70000004768372,135.220001220703,-8.77999973297119,121.930000305176,86.9300003051758,28.6000003814697,-15.3999996185303,93.75,-50.25,138.990005493164,103.98999786377,25.5599994659424,-18.4400005340576,83.7399978637695,-60.2599983215332,-0.00729000009596348,13521,-0.011680000461638,21672,-0.00438999990001321,8151,-0.00961999967694283,17853,-0.00233999988995492,4332,-0.0250400006771088,46454,-0.0177500005811453,32933,-0.0189599990844727,35172,-0.0116699999198318,21651,-0.00484000006690621,8988,-0.00777000002563,14405,-0.00292000011540949,5417,-0.0063999998383224,11866,-0.00155000004451722,2878,-0.0166599992662668,30907,-0.0118100000545382,21919,-0.0128300003707409,23803,-0.00798999983817339,14815,-3646,-5833,-2187,-5209,-1563,-12640,-8994,-14449,-10803,0,2.2606206384162,"Cheltenham 001","Cheltenham 008",3.293,3.572,1598,1846,1.45667961445627,1.08472517461282,0.637716368053447,614,6117,0.0125979843225084,12.3674911660777
"109667","E02004600 E02004608","E02004600","E02004608",547,1,81,0,4,255,41,45,117,1,88.370002746582,43.3699989318848,106.900001525879,-10.1000003814697,232.929992675781,-22.0699996948242,70.6500015258789,25.6499996185303,110.930000305176,-6.07000017166138,242.529998779297,-12.4700002670288,245.740005493164,200.740005493164,70.1699981689453,-46.8300018310547,153.300003051758,-101.699996948242,274.049987792969,229.050003051758,63.5699996948242,-53.4300003051758,138.889999389648,-116.110000610352,-0.0075199999846518,13958,-0.0147099997848272,27296,-0.00718999980017543,13338,-0.0105999996885657,19659,-0.00307000009343028,5701,-0.0398700013756752,73963,-0.0323400013148785,60005,-0.0240299999713898,44578,-0.016499999910593,30620,-0.00509000010788441,9451,-0.00997000001370907,18488,-0.00486999982967973,9037,-0.00718000018969178,13320,-0.00209000008180737,3869,-0.0270700007677078,50224,-0.0219800006598234,40773,-0.017060000449419,31642,-0.0119599997997284,22191,-4040,-7852,-3812,-6182,-2142,-21600,-17560,-24091,-20051,3,2.33444620046121,"Cheltenham 001","Cheltenham 009",3.377,3.538,1652,1894,1.44659577047988,1.04767545158425,0.651465798045603,630,6904,0.0135669869983041,8.22669104204753
"109668","E02004600 E02004609","E02004600","E02004609",281,0,18,0,6,163,22,44,27,1,60.2999992370605,16.2999992370605,25.1100006103516,-1.88999998569489,151.850006103516,-11.1499996185303,64.0599975585938,20.0599994659424,24.2999992370605,-2.70000004768372,149.850006103516,-13.1499996185303,92.0100021362305,48.0099983215332,21.8700008392334,-5.13000011444092,129.460006713867,-33.5400009155273,118.559997558594,74.5599975585938,18.8099994659424,-8.1899995803833,111.26000213623,-51.7400016784668,-0.0177500005811453,32927,-0.024490000680089,45440,-0.00674000009894371,12513,-0.0235799998044968,43749,-0.00583000015467405,10822,-0.0373100005090237,69228,-0.0195700004696846,36301,-0.0336400009691715,62414,-0.0158900003880262,29487,-0.0121099995449185,22474,-0.0166900008916855,30960,-0.00456999987363815,8486,-0.0161199998110533,29902,-0.00400000018998981,7428,-0.0253500007092953,47027,-0.0132299996912479,24553,-0.0233800001442432,43379,-0.0112699996680021,20905,-8761,-12075,-3314,-12680,-3919,-18715,-9954,-24125,-15364,0,3.37136938096879,"Cheltenham 001","Cheltenham 010",5.87,5.814,2552,2562,1.74113226309044,0.99045996592845,0.919931856899489,1094,12599,0.00997592019263846,15.6583629893238
"109669","E02004600 E02004610","E02004600","E02004610",126,0,7,0,1,88,6,16,8,0,25.4300003051758,9.43000030517578,7.30999994277954,-0.689999997615814,80.4599990844727,-7.53999996185303,25.2299995422363,9.22999954223633,7.30000019073486,-0.699999988079071,80.629997253418,-7.36999988555908,53.1599998474121,37.1599998474121,5.30999994277954,-2.69000005722046,58.2599983215332,-29.7399997711182,61.2000007629395,45.2000007629395,4.73000001907349,-3.26999998092651,51.8300018310547,-36.1699981689453,-0.00510000018402934,9458,-0.00810999982059002,15049,-0.00301000010222197,5591,-0.00725999986752868,13472,-0.00215999991632998,4014,-0.0169099997729063,31376,-0.0118100000545382,21918,-0.0146599998697639,27192,-0.0095600001513958,17734,-0.00331000005826354,6145,-0.00527000008150935,9776,-0.00196000002324581,3631,-0.00472000008448958,8753,-0.00141000002622604,2608,-0.0109900003299117,20385,-0.00767999980598688,14240,-0.0095600001513958,17728,-0.00624000001698732,11583,-2631,-4182,-1551,-4146,-1515,-8755,-6124,-10079,-7448,0,2.96376970912953,"Cheltenham 001","Cheltenham 011",4.046,4.524,1936,2160,1.36515330038525,1.11814137419674,0.716757291151755,754,8469,0.0112732095490716,12.6984126984127
"109670","E02004600 E02004611","E02004600","E02004611",170,0,9,0,4,121,15,19,2,0,29.5100002288818,10.5100002288818,1.86000001430511,-0.140000000596046,112.569999694824,-8.43000030517578,33.7700004577637,14.7700004577637,1.87999999523163,-0.119999997317791,109.419998168945,-11.5799999237061,59.6100006103516,40.6100006103516,1.48000001907349,-0.519999980926514,88.5199966430664,-32.4799995422363,74.6600036621094,55.6599998474121,1.27999997138977,-0.720000028610229,76.4599990844727,-44.5400009155273,-0.00915000028908253,16981,-0.0142400003969669,26411,-0.00508000003173947,9430,-0.0144899999722838,26882,-0.0053400001488626,9901,-0.0283199995756149,52535,-0.0191600006073713,35554,-0.0256299991160631,47558,-0.0164800006896257,30577,-0.0059000002220273,10950,-0.00918000005185604,17029,-0.00328000006265938,6079,-0.00934000033885241,17326,-0.00343999988399446,6376,-0.0182600002735853,33870,-0.0123500004410744,22920,-0.016550000756979,30696,-0.0106399999931455,19746,-4174,-6472,-2298,-7339,-3165,-13030,-8856,-16321,-12147,0,4.19626443943819,"Cheltenham 001","Cheltenham 012",5.397,5.949,2770,3008,1.28614392107342,1.10227904391329,0.889382990550306,1006,21705,0.0131114473020676,11.1764705882353
"109671","E02004600 E02004612","E02004600","E02004612",163,0,8,0,7,122,6,14,6,0,25.2299995422363,11.2299995422363,5.55999994277954,-0.439999997615814,112.790000915527,-9.21000003814697,20.0900001525879,6.09000015258789,5.51999998092651,-0.479999989271164,117.319999694824,-4.67999982833862,61.8899993896484,47.8899993896484,4.11999988555908,-1.87999999523163,82.7300033569336,-39.2700004577637,74.4400024414062,60.439998626709,3.59999990463257,-2.40000009536743,72.4700012207031,-49.5299987792969,-0.00621999986469746,11532,-0.0112100001424551,20788,-0.00498999981209636,9256,-0.00807000044733286,14963,-0.00185000000055879,3431,-0.0268900003284216,49894,-0.0206799991428852,38362,-0.021959999576211,40741,-0.0157399997115135,29209,-0.00402999995276332,7477,-0.00725999986752868,13477,-0.00322999991476536,6000,-0.00524999992921948,9736,-0.00121999997645617,2259,-0.0174400005489588,32356,-0.0134100001305342,24879,-0.014299999922514,26535,-0.0102700004354119,19058,-3041,-5481,-2440,-4303,-1262,-13454,-10413,-16175,-13134,0,3.86232644499753,"Cheltenham 001","Cheltenham 013",5.589,5.715,2564,2696,1.44705531228176,1.02254428341385,0.805152979066022,1042,9153,0.0120734908136483,8.58895705521472
"109672","E02004600 E02004613","E02004600","E02004613",84,0,7,0,2,63,4,4,4,0,9.22999954223633,5.23000001907349,3.74000000953674,-0.259999990463257,58.8800010681152,-4.11999988555908,9.73999977111816,5.73999977111816,3.66000008583069,-0.340000003576279,58.7400016784668,-4.26000022888184,29.3400001525879,25.3400001525879,2.72000002861023,-1.27999997138977,43.0900001525879,-19.9099998474121,36.7200012207031,32.7200012207031,2.35999989509583,-1.63999998569489,37.2599983215332,-25.7399997711182,-0.00185000000055879,3434,-0.00425999984145164,7902,-0.00240999995730817,4468,-0.00377000006847084,6990,-0.00191999995149672,3556,-0.0131700001657009,24433,-0.0113199995830655,20999,-0.0105400001630187,19560,-0.0086899995803833,16126,-0.00121000001672655,2238,-0.002779999980703,5153,-0.00156999996397644,2915,-0.0024600001052022,4566,-0.00126000004820526,2328,-0.00860000029206276,15954,-0.00738999992609024,13716,-0.00694999983534217,12884,-0.00573999993503094,10646,-897,-2053,-1156,-2102,-1205,-6496,-5599,-8133,-7236,0,4.00457138742419,"Cheltenham 001","Cheltenham 014",5.58,5.872,2744,2858,1.39340754856393,1.05232974910394,0.824372759856631,1040,14189,0.0115803814713896,4.76190476190476
"109673","E02004600 E02004614","E02004600","E02004614",102,0,5,0,0,75,6,11,3,2,17.7199993133545,6.71999979019165,2.77999997138977,-0.219999998807907,69.4499969482422,-5.55000019073486,16,5,2.83999991416931,-0.159999996423721,70.870002746582,-4.13000011444092,37.1100006103516,26.1100006103516,2.07999992370605,-0.920000016689301,53.5699996948242,-21.4300003051758,45.4700012207031,34.4700012207031,1.80999994277954,-1.19000005722046,46.6699981689453,-28.3299999237061,-0.0053400001488626,9902,-0.00853999983519316,15839,-0.0031999999191612,5937,-0.00708999997004867,13158,-0.00176000001374632,3256,-0.0173300001770258,32155,-0.0119899995625019,22253,-0.0150100002065301,27847,-0.00966999959200621,17945,-0.00344999996013939,6407,-0.00553000019863248,10256,-0.00208000000566244,3849,-0.00459000002592802,8517,-0.0011399999493733,2110,-0.0112399999052286,20852,-0.00779000017791986,14445,-0.00977000035345554,18124,-0.00632000016048551,11717,-2581,-4131,-1550,-3733,-1152,-8565,-5984,-10495,-7914,0,4.07293106653374,"Cheltenham 001","Cheltenham 015",5.451,5.654,2666,2792,1.33834820942331,1.03724087323427,0.733810310034856,1016,10213,0.012380615493456,10.7843137254902
