"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",3,8.13,6.22,20.69,58.72,36,57.31,55.99,138.73,203.88001,1
"2",3,7.45,6.22,19,50.35,36,57.31,55.99,138.73,203.88001,1
"3",0,0.68,0,1.69,8.37,NA,NA,NA,NA,NA,0
"4",12,31.49,24.45,130.3,255.03001,5,9.3,10.33,34.16,53.74,1
"5",0,0.2,0,0.47,2.41,NA,NA,NA,NA,NA,0
"6",12,31.29,24.45,129.83,252.62001,NA,NA,NA,NA,NA,0
"7",3,7.91,5.74,24.42,63.68,NA,NA,NA,NA,NA,0
"8",9,23.38,18.71,105.41,188.94001,41,69.32,85.3,244.55,442.29999,1
"9",0,0.48,0,1.22,5.96,NA,NA,NA,NA,NA,0
"10",32,68.58,64.02,231.57,547.77001,41,69.32,85.3,244.55,442.29999,1
"11",11,27.55,21.91,116.74,219.8,41,69.32,85.3,244.55,442.29999,1
"12",21,41.03,42.11,114.83,327.97001,41,69.32,85.3,244.55,442.29999,1
"13",15,29.45,30,83.02,218.85001,41,69.32,85.3,244.55,442.29999,1
"14",6,11.58,12.11,31.81,109.12,41,69.32,85.3,244.55,442.29999,1
"15",3,8.1,5.56,26.55,70.95,NA,NA,NA,NA,NA,0
"16",1,3.93,2.36,15.22,40.09,41,69.32,85.3,244.55,442.29999,1
"17",16,33.38,32.36,98.24,258.94001,41,69.32,85.3,244.55,442.29999,1
"18",16,32.9,32.36,97.02,252.98001,NA,NA,NA,NA,NA,0
"19",6,11.58,12.11,31.81,109.12,NA,NA,NA,NA,NA,0
"20",1,3.93,2.36,15.22,40.09,41,69.32,85.3,244.55,442.29999,1
"21",6,16.01,11.3,50.97,134.63,5,9.3,10.33,34.16,53.74,1
"22",3,6.97,6.22,17.29,43.76,NA,NA,NA,NA,NA,0
"23",0,0.48,0,1.71,6.59,NA,NA,NA,NA,NA,0
"24",9,17.93,18.01,43.6,148.34,5,9.3,10.33,34.16,53.74,1
"25",3,6.35,5.9,11.79,39.22,NA,NA,NA,NA,NA,0
"26",6,11.58,12.11,31.81,109.12,NA,NA,NA,NA,NA,0
"27",3,6.35,5.9,11.79,39.22,5,9.3,10.33,34.16,53.74,1
