"","plan","start","finish","length","time","waypoint","change_elev","av_incline","co2_saving","calories","busyness","id"
"196856",1,1,1,3.126,1628,109,44,0.01408,583,65,7728,"E02004600 E02004601"
"196857",1,1,1,3.217,1408,152,20,0.00622,600,40,5261,"E02004600 E02004602"
"196858",1,1,1,1.788,1016,68,9,0.00503,333,29,3189,"E02004600 E02004603"
"196859",1,1,1,2.956,1366,136,15,0.00507,551,40,4828,"E02004600 E02004604"
"196860",1,1,1,3.871,1968,177,46,0.01188,722,74,5985,"E02004600 E02004605"
"196861",1,1,1,2.383,1560,80,12,0.00504,444,34,4130,"E02004600 E02004606"
"196862",1,1,1,3.572,1846,162,45,0.0126,666,69,5473,"E02004600 E02004607"
"196863",1,1,1,3.538,1894,167,48,0.01357,660,68,5267,"E02004600 E02004608"
"196864",1,1,1,5.814,2562,279,58,0.00998,1084,83,8727,"E02004600 E02004609"
"196865",1,1,1,4.524,2160,202,51,0.01127,843,79,6491,"E02004600 E02004610"
"196866",1,1,1,5.949,3008,217,78,0.01311,1109,114,11089,"E02004600 E02004611"
"196867",1,1,1,5.715,2696,207,69,0.01207,1065,95,7917,"E02004600 E02004612"
"196868",1,1,1,5.872,2858,222,68,0.01158,1095,114,8645,"E02004600 E02004613"
"196869",1,1,1,5.654,2792,215,70,0.01238,1054,112,8419,"E02004600 E02004614"
"196871",1,1,1,19.819,12290,446,731,0.03688,3694,550,47651,"E02004600 E02004618"
"196872",1,1,1,15.445,6808,548,127,0.00822,2879,196,19524,"E02004600 E02004637"
"196873",1,1,1,17.097,7706,629,126,0.00737,3187,215,21819,"E02004600 E02004639"
"196874",1,1,1,15.836,6900,584,127,0.00802,2952,214,20386,"E02004600 E02004642"
"196875",1,1,1,17.758,7938,639,122,0.00687,3310,225,22862,"E02004600 E02004644"
"196876",1,1,1,22.472,11562,843,160,0.00712,4189,295,29327,"E02004600 E02004650"
"196879",1,1,1,14.761,8956,363,88,0.00596,2752,178,25017,"E02004600 E02004666"
"196880",1,1,1,15.374,7486,425,73,0.00475,2866,177,24795,"E02004600 E02004667"
"196881",1,1,1,13.111,7394,353,428,0.03264,2444,331,32227,"E02004600 E02004668"
"196882",1,1,1,9.36,4624,207,48,0.00513,1745,113,16468,"E02004600 E02004669"
"196883",1,1,1,5.054,2478,141,47,0.0093,942,83,12880,"E02004600 E02004670"
"196884",1,1,1,10.483,4688,411,96,0.00916,1954,137,14193,"E02004600 E02004672"
"196885",1,1,1,8.981,4296,353,88,0.0098,1674,139,14127,"E02004600 E02004673"
"196886",1,1,1,14.341,6636,488,175,0.0122,2673,221,21791,"E02004600 E02004674"
"196890",1,1,1,2.69,1250,92,23,0.00855,501,26,4608,"E02004601 E02004603"
"196891",1,1,1,6.107,2732,213,57,0.00933,1138,74,8791,"E02004601 E02004604"
"196892",1,1,1,1.269,724,53,12,0.00946,237,14,1798,"E02004601 E02004605"
"196893",1,1,1,5.003,2302,179,50,0.00999,933,61,7317,"E02004601 E02004606"
"196894",1,1,1,2.155,1068,75,19,0.00882,402,26,3988,"E02004601 E02004607"
"196895",1,1,1,3.662,1954,111,34,0.00928,683,46,6283,"E02004601 E02004608"
"196896",1,1,1,7.575,3540,256,84,0.01109,1412,89,10887,"E02004601 E02004609"
"196897",1,1,1,4.648,2220,146,37,0.00796,866,56,7507,"E02004601 E02004610"
"196898",1,1,1,4.075,2100,116,44,0.0108,760,64,8147,"E02004601 E02004611"
"196899",1,1,1,4.732,2308,132,42,0.00888,882,74,7853,"E02004601 E02004613"
"196900",1,1,1,5.277,2534,157,46,0.00872,984,82,8663,"E02004601 E02004614"
"196901",1,1,1,18.276,12340,309,773,0.0423,3407,520,44728,"E02004601 E02004618"
"196902",1,1,1,17.532,7788,535,155,0.00884,3268,206,21968,"E02004601 E02004637"
"196903",1,1,1,19.184,8686,616,154,0.00803,3576,225,24263,"E02004601 E02004639"
"196904",1,1,1,17.923,7880,571,155,0.00865,3341,224,22830,"E02004601 E02004642"
"196905",1,1,1,24.559,12542,830,188,0.00766,4578,306,31771,"E02004601 E02004650"
"196906",1,1,1,16.528,8290,432,196,0.01186,3081,210,28493,"E02004601 E02004666"
"196907",1,1,1,17.395,8694,489,189,0.01087,3243,215,28358,"E02004601 E02004667"
"196908",1,1,1,11.263,6286,325,442,0.03924,2100,296,27904,"E02004601 E02004668"
"196909",1,1,1,9.033,3534,195,116,0.01284,1684,109,16849,"E02004601 E02004669"
"196910",1,1,1,5.697,2356,143,87,0.01527,1062,84,11545,"E02004601 E02004670"
"196911",1,1,1,12.57,5668,398,124,0.00986,2343,147,16637,"E02004601 E02004672"
"196912",1,1,1,11.068,5276,340,116,0.01048,2063,149,16571,"E02004601 E02004673"
"196913",1,1,1,16.428,7616,475,203,0.01236,3062,231,24235,"E02004601 E02004674"
"196916",1,1,1,3.655,1880,149,33,0.00903,681,63,6513,"E02004602 E02004603"
"196917",1,1,1,1.122,546,41,17,0.01515,209,22,2115,"E02004602 E02004604"
"196918",1,1,1,5.549,2862,221,44,0.00793,1034,97,9298,"E02004602 E02004605"
"196919",1,1,1,1.969,932,82,18,0.00914,367,35,3536,"E02004602 E02004606"
"196920",1,1,1,4.809,2652,213,41,0.00853,896,87,8511,"E02004602 E02004607"
"196921",1,1,1,4.625,2344,187,44,0.00951,862,84,6534,"E02004602 E02004608"
"196922",1,1,1,3.652,1600,165,52,0.01424,681,59,5599,"E02004602 E02004609"
"196923",1,1,1,4.395,2146,177,45,0.01024,819,79,6673,"E02004602 E02004610"
"196924",1,1,1,8.2,4426,290,88,0.01073,1529,150,12518,"E02004602 E02004611"
"196925",1,1,1,4.305,2158,179,49,0.01138,802,76,6495,"E02004602 E02004612"
"196926",1,1,1,6.63,3308,225,64,0.00965,1236,125,9479,"E02004602 E02004613"
"196927",1,1,1,6.412,3242,218,66,0.01029,1195,123,9253,"E02004602 E02004614"
"196928",1,1,1,20.577,12740,449,727,0.03533,3836,561,48485,"E02004602 E02004618"
"196930",1,1,1,28.009,13350,827,365,0.01303,5221,426,38191,"E02004602 E02004626"
"196931",1,1,1,13.283,5846,434,121,0.00911,2476,172,16396,"E02004602 E02004637"
"196932",1,1,1,14.935,6744,515,120,0.00803,2784,191,18691,"E02004602 E02004639"
"196933",1,1,1,13.515,6170,470,111,0.00821,2519,177,17000,"E02004602 E02004640"
"196934",1,1,1,13.674,5938,470,121,0.00885,2549,190,17258,"E02004602 E02004642"
"196935",1,1,1,15.596,6976,525,116,0.00744,2907,202,19734,"E02004602 E02004644"
"196936",1,1,1,19.764,10356,690,148,0.00749,3684,260,25080,"E02004602 E02004649"
"196937",1,1,1,20.31,10600,729,154,0.00758,3786,272,26199,"E02004602 E02004650"
"196939",1,1,1,13.026,8894,323,78,0.00599,2428,161,22538,"E02004602 E02004666"
"196940",1,1,1,13.639,7424,385,63,0.00462,2542,160,22316,"E02004602 E02004667"
"196941",1,1,1,16.124,8592,430,442,0.02741,3006,374,35195,"E02004602 E02004668"
"196942",1,1,1,7.625,4562,167,38,0.00498,1421,96,13989,"E02004602 E02004669"
"196943",1,1,1,8.067,3676,218,61,0.00756,1504,126,15848,"E02004602 E02004670"
"196944",1,1,1,8.321,3726,297,90,0.01082,1551,113,11065,"E02004602 E02004672"
