"","geo_code","all","light_rail","train","bus","taxi","motorbike","car_driver","car_passenger","bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","geo_label.y","avslope"
"1","E02000984",24014,0,0,1616,0,0,8361,0,1319,12718,0,1704.427,385.427,12463.785,-254.215,8250.9092,-110.091,1475.626,156.62601,12579.413,-138.58701,8344.4141,-16.586,4980.8159,3661.8159,10133.851,-2584.1499,7439.624,-921.37598,7843.9058,6524.9058,8529.3281,-4188.6709,6389.686,-1971.314,-0.02889,53594,-0.03313,61424,-0.00425,7830,-0.02683,49775,0.00206,-3819,-0.01464,27109,0.01425,-26485,0.10563,-196027,0.13452,-249621,-0.02622,48652,-0.03003,55673,-0.00381,7021,-0.02512,46593,0.00111,-2059,-0.03039,56335,-0.00417,7683,0.03179,-59023,0.05801,-107675,-30373,-36169,-5796,-30659,-286,-72752,-42379,-141265,-110892,"Bolton 001",280.18995
"2","E02000985",18282,0,0,3327,0,0,9459,0,323,5173,0,610.27502,287.27499,5068.2998,-104.7,9326.2266,-132.77299,617.539,294.539,5034.2959,-138.703,9348.2207,-110.779,3822.127,3499.127,3823.324,-1349.676,7891.7988,-1567.201,5884.4019,5561.4019,3221.6001,-1951.4,6787.6172,-2671.384,-0.0212,39327,-0.04132,76592,-0.02012,37265,-0.0265,49147,-0.00529,9820,-0.25463,472355,-0.23343,433028,-0.2574,477482,-0.23619,438155,-0.0144,26709,-0.0274,50771,-0.013,24062,-0.01839,34103,-0.00399,7394,-0.17167,318430,-0.15727,291721,-0.17988,333658,-0.16547,306949,-8324,-15225,-6901,-11864,-3540,-84654,-76330,-157460,-149136,"Bolton 002",254.66041
"3","E02000986",8424,0,0,1000,0,0,4007,0,165,3252,0,294.65201,129.65199,3194.063,-57.936,3950.335,-56.665,251.737,86.737,3201.3291,-50.671,3973.207,-33.793,1745.71,1580.71,2522.4021,-729.59802,3346.9041,-660.09601,2792.897,2627.897,2091.293,-1160.707,2842.79,-1164.21,-0.0078,14456,-0.01341,24834,-0.00562,10378,-0.0088,16316,-0.001,1860,-0.06919,128318,-0.06139,113862,-0.03925,72773,-0.03145,58317,-0.00548,10155,-0.00929,17181,-0.00381,7026,-0.00634,11744,-0.00086,1589,-0.04959,91947,-0.04411,81792,-0.03398,62998,-0.0285,52843,-4288,-6962,-2674,-5663,-1375,-34313,-30025,-63278,-58990,"Bolton 003",263.69724
"4","E02000987",4237,0,0,505,0,0,1801,0,131,1800,0,204.30499,73.305,1758.0341,-41.966,1776.554,-24.446,206.09599,75.096,1752.837,-47.163,1779.9771,-21.023,878.638,747.638,1342.3361,-457.664,1574.858,-226.142,1358.707,1227.707,1132.865,-667.13501,1366.496,-434.504,-0.01373,25466,-0.01598,29613,-0.00225,4147,-0.01465,27164,-0.00092,1698,-0.02522,46744,-0.01148,21278,-0.01892,35072,-0.00519,9606,-0.00978,18138,-0.01146,21214,-0.00167,3076,-0.01055,19563,-0.00077,1425,-0.01993,36941,-0.01015,18803,-0.01801,33374,-0.00823,15236,-5323,-6534,-1211,-6159,-836,-15164,-9841,-29554,-24231,"Bolton 004",247.52659
"5","E02000988",14629,0,0,1024,0,0,9030,0,230,4345,0,487.004,257.004,4251.8618,-93.138,8883.7002,-146.3,411.73599,181.73599,4269.6479,-75.351,8932.4443,-97.556,3371.6431,3141.6431,3223.7759,-1121.224,7243.4561,-1786.5439,5141.5752,4911.5752,2703.7451,-1641.255,6110.9448,-2919.0549,-0.01394,25854,-0.02584,47892,-0.0119,22038,-0.01891,35074,-0.00497,9220,-0.17471,324091,-0.16077,298237,-0.14039,260430,-0.12645,234576,-0.00941,17453,-0.01747,32351,-0.00805,14898,-0.01292,23949,-0.0035,6496,-0.11993,222456,-0.11051,205003,-0.10194,189093,-0.09253,171640,-6544,-12408,-5864,-9974,-3430,-77465,-70921,-134509,-127965,"Bolton 005",259.03512
"6","E02000989",19623,0,0,1604,0,0,9733,0,682,7604,0,1025.209,343.20901,7426.4502,-177.55,9592.2832,-140.717,910.04102,228.041,7458.2622,-145.73801,9655.958,-77.042,4254.0952,3572.094,5773.397,-1830.603,8244.4785,-1488.521,6617.062,5935.062,4894.0962,-2709.9041,6974.0918,-2758.908,-0.03508,65076,-0.04662,86438,-0.01153,21362,-0.03814,70744,-0.00305,5668,-0.16375,303759,-0.12867,238683,-0.11413,211690,-0.07905,146614,-0.02503,46422,-0.03325,61653,-0.00823,15231,-0.02746,50932,-0.00243,4510,-0.11895,220646,-0.09393,174224,-0.09496,176135,-0.06993,129713,-17992,-24863,-6871,-21259,-3267,-89747,-71755,-164346,-146354,"Bolton 006",267.81685
"7","E02000990",31614,0,0,3182,0,0,16676,0,684,11072,0,1306.365,622.36499,10762.87,-309.13,16409.041,-266.95901,1004.481,320.48099,10900.136,-171.864,16558.537,-117.462,6496.585,5812.585,8234.8281,-2837.1709,14154.668,-2521.332,9912.2461,9228.2461,7071.6909,-4000.3081,12270.434,-4405.5659,-0.06419,119074,-0.09169,170037,-0.0275,50963,-0.07309,135584,-0.0089,16510,-0.35587,660176,-0.29168,541102,-0.38406,712484,-0.31987,593410,-0.044,81625,-0.06235,115600,-0.01834,33975,-0.05023,93178,-0.00623,11553,-0.24392,452483,-0.19992,370858,-0.27387,508044,-0.22987,426419,-25636,-37565,-11929,-29998,-4362,-135780,-110144,-261656,-236020,"Bolton 007",235.65204
"8","E02000991",17560,0,0,1282,0,0,5502,0,609,10167,0,965.73999,356.73999,9925.2217,-241.77901,5411.1401,-90.86,919.80499,310.80499,9933.3018,-233.698,5453.4648,-48.535,4189.833,3580.833,7786.0381,-2380.9619,4597.5381,-904.46198,6182.6079,5573.6079,6652.5942,-3514.406,3892.5691,-1609.431,-0.01272,23591,-0.01299,24050,-0.00027,459,-0.01117,20720,0.00155,-2871,-0.00341,6296,0.0093,-17295,0.10305,-191227,0.11577,-214818,-0.01208,22412,-0.01323,24513,-0.00115,2101,-0.01156,21434,0.00053,-978,-0.0176,32612,-0.00552,10200,0.04228,-78485,0.05437,-100897,-13208,-16779,-3571,-14372,-1164,-46708,-33500,-82523,-69315,"Bolton 008",255.81626
"9","E02000992",8369,0,0,839,0,0,3194,0,973,3363,0,1116.137,143.13699,3278.897,-84.103,3145.533,-48.467,1026.958,53.958,3323.6609,-39.339,3181.2749,-12.725,1937.9659,964.966,2843.303,-519.69702,2805.446,-388.55399,2699.158,1726.158,2513.739,-849.26099,2449.104,-744.896,0.02891,-53654,0.0275,-51074,-0.00141,2580,0.02955,-54833,0.00063,-1179,-0.00806,14913,-0.03697,68567,0.02147,-39881,-0.00744,13773,-0.015,27821,-0.01772,32823,-0.00272,5002,-0.01471,27280,0.00029,-541,-0.04217,78186,-0.02716,50365,-0.02954,54762,-0.01454,26941,-22554,-25607,-3053,-22885,-331,-44562,-22008,-70005,-47451,"Bolton 009",206.0321
"10","E02000993",12253,0,0,960,0,0,5114,0,455,5724,0,722.53003,267.53,5565.3408,-158.659,5023.083,-90.916,1321.401,866.401,5043.3892,-680.61102,4957.8398,-156.159,3272.1299,2817.1299,4138.5869,-1585.413,4103.8262,-1010.174,4591.3428,4136.3428,3540.2561,-2183.7439,3490.2439,-1623.756,-0.00202,3744,-0.00425,7850,-0.00223,4106,0.0058,-10779,0.00783,-14523,-0.03007,55749,-0.02805,52005,0.04358,-80899,0.04561,-84643,-0.00327,6066,-0.0054,9968,-0.00212,3902,0.00064,-1196,0.00391,-7262,-0.03055,56629,-0.02727,50563,0.01214,-22571,0.01542,-28637,-8221,-11912,-3691,-10698,-2477,-48218,-39997,-80723,-72502,"Bolton 010",241.85857
