"","Bicycle","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",297,80,214.82001,167.73,1041.78003,1317.22998,1
"2",87,80,214.82001,167.73,1041.78003,1317.22998,1
"3",39,NA,NA,NA,NA,NA,0
"4",258,80,214.82001,167.73,1041.78003,1317.22998,1
"5",5,80,214.82001,167.73,1041.78003,1317.22998,1
"6",92,NA,NA,NA,NA,NA,0
"7",87,80,214.82001,167.73,1041.78003,1317.22998,1
"8",0,80,214.82001,167.73,1041.78003,1317.22998,1
"9",87,80,214.82001,167.73,1041.78003,1317.22998,1
"10",0,NA,NA,NA,NA,NA,0
"11",5,NA,NA,NA,NA,NA,0
"12",0,24,72,37.54,389.57999,473.92001,1
"13",5,24,72,37.54,389.57999,473.92001,1
"14",92,45,124.51,66.52,602.84003,727.13,1
"15",0,45,124.51,66.52,602.84003,727.13,1
"16",304,45,124.51,66.52,602.84003,727.13,1
"17",396,NA,NA,NA,NA,NA,0
"18",39,NA,NA,NA,NA,NA,0
"19",35,NA,NA,NA,NA,NA,0
"20",223,NA,NA,NA,NA,NA,0
"21",39,622,701.94,1493.32996,646.42999,756.22998,1
"22",0,622,701.94,1493.32996,646.42999,756.22998,1
"23",23,24,72,37.54,389.57999,473.92001,1
"24",362,NA,NA,NA,NA,NA,0
"25",34,28,78.73,47.36,380.48001,442,1
"26",18,24,72,37.54,389.57999,473.92001,1
"27",18,NA,NA,NA,NA,NA,0
"28",31,622,701.94,1493.32996,646.42999,756.22998,1
"29",8,622,701.94,1493.32996,646.42999,756.22998,1
"30",12,622,701.94,1493.32996,646.42999,756.22998,1
"31",4,622,701.94,1493.32996,646.42999,756.22998,1
"32",35,NA,NA,NA,NA,NA,0
"33",23,622,701.94,1493.32996,646.42999,756.22998,1
"34",31,622,701.94,1493.32996,646.42999,756.22998,1
"35",4,622,701.94,1493.32996,646.42999,756.22998,1
"36",35,24,72,37.54,389.57999,473.92001,1
"37",54,622,701.94,1493.32996,646.42999,756.22998,1
"38",0,NA,NA,NA,NA,NA,0
"39",109,NA,NA,NA,NA,NA,0
"40",4,622,701.94,1493.32996,646.42999,756.22998,1
"41",45,NA,NA,NA,NA,NA,0
"42",178,NA,NA,NA,NA,NA,0
"43",4,NA,NA,NA,NA,NA,0
"44",0,622,701.94,1493.32996,646.42999,756.22998,1
"45",109,67,218.41,142.92999,1245.93994,1458.28003,1
"46",44,69,252.09,149.45,1444.47998,1679.56006,1
"47",79,69,252.09,149.45,1444.47998,1679.56006,1
"48",40,NA,NA,NA,NA,NA,0
"49",41,622,701.94,1493.32996,646.42999,756.22998,1
"50",13,622,701.94,1493.32996,646.42999,756.22998,1
"51",0,622,701.94,1493.32996,646.42999,756.22998,1
"52",13,622,701.94,1493.32996,646.42999,756.22998,1
"53",41,622,701.94,1493.32996,646.42999,756.22998,1
"54",23,622,701.94,1493.32996,646.42999,756.22998,1
"55",0,622,701.94,1493.32996,646.42999,756.22998,1
"56",13,622,701.94,1493.32996,646.42999,756.22998,1
"57",205,NA,NA,NA,NA,NA,0
"58",0,NA,NA,NA,NA,NA,0
"59",0,622,701.94,1493.32996,646.42999,756.22998,1
"60",0,622,701.94,1493.32996,646.42999,756.22998,1
"61",40,622,701.94,1493.32996,646.42999,756.22998,1
"62",0,622,701.94,1493.32996,646.42999,756.22998,1
"63",0,622,701.94,1493.32996,646.42999,756.22998,1
"64",23,622,701.94,1493.32996,646.42999,756.22998,1
"65",18,622,701.94,1493.32996,646.42999,756.22998,1
"66",53,622,701.94,1493.32996,646.42999,756.22998,1
"67",33,622,701.94,1493.32996,646.42999,756.22998,1
"68",10,622,701.94,1493.32996,646.42999,756.22998,1
"69",0,622,701.94,1493.32996,646.42999,756.22998,1
"70",136,622,701.94,1493.32996,646.42999,756.22998,1
"71",154,622,701.94,1493.32996,646.42999,756.22998,1
"72",5,NA,NA,NA,NA,NA,0
"73",173,NA,NA,NA,NA,NA,0
"74",109,67,218.41,142.92999,1245.93994,1458.28003,1
"75",0,67,218.41,142.92999,1245.93994,1458.28003,1
"76",0,67,218.41,142.92999,1245.93994,1458.28003,1
"77",0,67,218.41,142.92999,1245.93994,1458.28003,1
"78",51,67,218.41,142.92999,1245.93994,1458.28003,1
"79",58,67,218.41,142.92999,1245.93994,1458.28003,1
"80",63,69,252.09,149.45,1444.47998,1679.56006,1
"81",10,622,701.94,1493.32996,646.42999,756.22998,1
"82",136,622,701.94,1493.32996,646.42999,756.22998,1
"83",58,67,218.41,142.92999,1245.93994,1458.28003,1
"84",13,622,701.94,1493.32996,646.42999,756.22998,1
"85",23,622,701.94,1493.32996,646.42999,756.22998,1
"86",10,622,701.94,1493.32996,646.42999,756.22998,1
"87",126,622,701.94,1493.32996,646.42999,756.22998,1
"88",0,67,218.41,142.92999,1245.93994,1458.28003,1
"89",58,67,218.41,142.92999,1245.93994,1458.28003,1
"90",63,67,218.41,142.92999,1245.93994,1458.28003,1
"91",2,67,218.41,142.92999,1245.93994,1458.28003,1
"92",116,67,218.41,142.92999,1245.93994,1458.28003,1
"93",2,67,218.41,142.92999,1245.93994,1458.28003,1
"94",60,67,218.41,142.92999,1245.93994,1458.28003,1
"95",2,67,218.41,142.92999,1245.93994,1458.28003,1
"96",114,67,218.41,142.92999,1245.93994,1458.28003,1
"97",59,67,218.41,142.92999,1245.93994,1458.28003,1
"98",55,67,218.41,142.92999,1245.93994,1458.28003,1
"99",23,NA,NA,NA,NA,NA,0
"100",192,NA,NA,NA,NA,NA,0
"101",174,67,218.41,142.92999,1245.93994,1458.28003,1
"102",108,67,218.41,142.92999,1245.93994,1458.28003,1
"103",168,67,218.41,142.92999,1245.93994,1458.28003,1
"104",149,622,701.94,1493.32996,646.42999,756.22998,1
"105",205,NA,NA,NA,NA,NA,0
"106",0,10,31.17,18.41,164.17999,195.3,1
"107",60,NA,NA,NA,NA,NA,0
"108",108,NA,NA,NA,NA,NA,0
"109",567,NA,NA,NA,NA,NA,0
"110",20,10,31.17,18.41,164.17999,195.3,1
"111",547,10,31.17,18.41,164.17999,195.3,1
"112",20,10,31.17,18.41,164.17999,195.3,1
"113",59,67,218.41,142.92999,1245.93994,1458.28003,1
"114",0,67,218.41,142.92999,1245.93994,1458.28003,1
"115",108,67,218.41,142.92999,1245.93994,1458.28003,1
"116",41,622,701.94,1493.32996,646.42999,756.22998,1
"117",108,67,218.41,142.92999,1245.93994,1458.28003,1
"118",167,67,218.41,142.92999,1245.93994,1458.28003,1
"119",59,67,218.41,142.92999,1245.93994,1458.28003,1
"120",163,67,218.41,142.92999,1245.93994,1458.28003,1
"121",207,34,108.89,64.02,605.20001,695.20001,1
"122",20,NA,NA,NA,NA,NA,0
"123",11,NA,NA,NA,NA,NA,0
"124",70,NA,NA,NA,NA,NA,0
"125",11,NA,NA,NA,NA,NA,0
"126",59,74,345.5,136.57001,2060.91992,2238.61011,1
"127",342,10,31.17,18.41,164.17999,195.3,1
"128",205,10,31.17,18.41,164.17999,195.3,1
"129",101,NA,NA,NA,NA,NA,0
"130",35,NA,NA,NA,NA,NA,0
"131",15,10,31.17,18.41,164.17999,195.3,1
"132",11,10,31.17,18.41,164.17999,195.3,1
"133",4,10,31.17,18.41,164.17999,195.3,1
"134",776,10,31.17,18.41,164.17999,195.3,1
"135",0,34,108.89,64.02,605.20001,695.20001,1
"136",27,34,108.89,64.02,605.20001,695.20001,1
"137",180,NA,NA,NA,NA,NA,0
"138",18,74,345.5,136.57001,2060.91992,2238.61011,1
"139",83,74,345.5,136.57001,2060.91992,2238.61011,1
"140",13,74,345.5,136.57001,2060.91992,2238.61011,1
"141",10,74,345.5,136.57001,2060.91992,2238.61011,1
"142",3,74,345.5,136.57001,2060.91992,2238.61011,1
"143",13,74,345.5,136.57001,2060.91992,2238.61011,1
"144",16,74,345.5,136.57001,2060.91992,2238.61011,1
"145",14,NA,NA,NA,NA,NA,0
"146",2,NA,NA,NA,NA,NA,0
"147",78,74,345.5,136.57001,2060.91992,2238.61011,1
"148",71,74,345.5,136.57001,2060.91992,2238.61011,1
"149",23,74,345.5,136.57001,2060.91992,2238.61011,1
"150",94,74,345.5,136.57001,2060.91992,2238.61011,1
"151",68,74,345.5,136.57001,2060.91992,2238.61011,1
"152",45,74,345.5,136.57001,2060.91992,2238.61011,1
"153",11,74,345.5,136.57001,2060.91992,2238.61011,1
"154",1,NA,NA,NA,NA,NA,0
"155",62,NA,NA,NA,NA,NA,0
"156",18,74,345.5,136.57001,2060.91992,2238.61011,1
"157",4,34,108.89,64.02,605.20001,695.20001,1
"158",15,35,102.23,77.62,518.51001,573.5,1
"159",14,NA,NA,NA,NA,NA,0
"160",1,35,102.23,77.62,518.51001,573.5,1
"161",14,35,102.23,77.62,518.51001,573.5,1
"162",123,74,345.5,136.57001,2060.91992,2238.61011,1
"163",297,35,102.23,77.62,518.51001,573.5,1
"164",235,35,102.23,77.62,518.51001,573.5,1
"165",283,35,102.23,77.62,518.51001,573.5,1
"166",2,35,102.23,77.62,518.51001,573.5,1
"167",237,NA,NA,NA,NA,NA,0
"168",284,35,102.23,77.62,518.51001,573.5,1
"169",0,35,102.23,77.62,518.51001,573.5,1
"170",284,35,102.23,77.62,518.51001,573.5,1
"171",36,34,108.89,64.02,605.20001,695.20001,1
"172",59,74,345.5,136.57001,2060.91992,2238.61011,1
"173",0,74,345.5,136.57001,2060.91992,2238.61011,1
"174",981,10,31.17,18.41,164.17999,195.3,1
"175",0,34,108.89,64.02,605.20001,695.20001,1
"176",36,34,108.89,64.02,605.20001,695.20001,1
"177",0,34,108.89,64.02,605.20001,695.20001,1
"178",18,74,345.5,136.57001,2060.91992,2238.61011,1
"179",22,74,345.5,136.57001,2060.91992,2238.61011,1
"180",22,74,345.5,136.57001,2060.91992,2238.61011,1
"181",0,NA,NA,NA,NA,NA,0
"182",7,NA,NA,NA,NA,NA,0
"183",7,47,205.49,129.14,1286.93994,1474.18005,1
"184",36,34,108.89,64.02,605.20001,695.20001,1
"185",236,64,183.38001,135.95,905.29999,1021.82001,1
"186",1,64,183.38001,135.95,905.29999,1021.82001,1
"187",241,64,183.38001,135.95,905.29999,1021.82001,1
"188",17,64,183.38001,135.95,905.29999,1021.82001,1
"189",80,64,183.38001,135.95,905.29999,1021.82001,1
"190",63,64,183.38001,135.95,905.29999,1021.82001,1
"191",291,35,102.23,77.62,518.51001,573.5,1
"192",7,35,102.23,77.62,518.51001,573.5,1
"193",289,NA,NA,NA,NA,NA,0
"194",63,64,183.38001,135.95,905.29999,1021.82001,1
"195",17,64,183.38001,135.95,905.29999,1021.82001,1
"196",195,64,183.38001,135.95,905.29999,1021.82001,1
"197",178,NA,NA,NA,NA,NA,0
"198",186,17,51.56,46,262.63,294.95001,1
"199",165,NA,NA,NA,NA,NA,0
"200",178,64,183.38001,135.95,905.29999,1021.82001,1
"201",17,64,183.38001,135.95,905.29999,1021.82001,1
"202",100,34,108.89,64.02,605.20001,695.20001,1
"203",100,34,108.89,64.02,605.20001,695.20001,1
"204",36,NA,NA,NA,NA,NA,0
"205",104,NA,NA,NA,NA,NA,0
"206",3,47,205.49,129.14,1286.93994,1474.18005,1
"207",17,47,205.49,129.14,1286.93994,1474.18005,1
"208",0,NA,NA,NA,NA,NA,0
"209",17,64,183.38001,135.95,905.29999,1021.82001,1
"210",7,NA,NA,NA,NA,NA,0
"211",100,NA,NA,NA,NA,NA,0
"212",107,47,205.49,129.14,1286.93994,1474.18005,1
"213",60,NA,NA,NA,NA,NA,0
"214",697,NA,NA,NA,NA,NA,0
"215",113,47,205.49,129.14,1286.93994,1474.18005,1
"216",289,74,345.5,136.57001,2060.91992,2238.61011,1
"217",26,17,51.56,46,262.63,294.95001,1
"218",130,NA,NA,NA,NA,NA,0
"219",45,74,345.5,136.57001,2060.91992,2238.61011,1
"220",23,74,345.5,136.57001,2060.91992,2238.61011,1
"221",165,NA,NA,NA,NA,NA,0
"222",63,74,345.5,136.57001,2060.91992,2238.61011,1
"223",119,74,345.5,136.57001,2060.91992,2238.61011,1
"224",0,64,183.38001,135.95,905.29999,1021.82001,1
"225",17,NA,NA,NA,NA,NA,0
"226",65,74,345.5,136.57001,2060.91992,2238.61011,1
"227",2,74,345.5,136.57001,2060.91992,2238.61011,1
"228",311,74,345.5,136.57001,2060.91992,2238.61011,1
"229",25,17,51.56,46,262.63,294.95001,1
"230",0,NA,NA,NA,NA,NA,0
"231",25,17,51.56,46,262.63,294.95001,1
"232",59,74,345.5,136.57001,2060.91992,2238.61011,1
"233",60,74,345.5,136.57001,2060.91992,2238.61011,1
"234",1,17,51.56,46,262.63,294.95001,1
"235",5,74,345.5,136.57001,2060.91992,2238.61011,1
"236",25,74,345.5,136.57001,2060.91992,2238.61011,1
"237",2,74,345.5,136.57001,2060.91992,2238.61011,1
"238",23,74,345.5,136.57001,2060.91992,2238.61011,1
"239",26,NA,NA,NA,NA,NA,0
"240",309,74,345.5,136.57001,2060.91992,2238.61011,1
"241",165,42,127.17,74.34,639.88,707.06,1
"242",0,42,127.17,74.34,639.88,707.06,1
"243",1,64,183.38001,135.95,905.29999,1021.82001,1
"244",463,63,227.49,150.13001,1354.93994,1597.21997,1
"245",234,63,227.49,150.13001,1354.93994,1597.21997,1
"246",182,NA,NA,NA,NA,NA,0
"247",25,42,127.17,74.34,639.88,707.06,1
"248",1,NA,NA,NA,NA,NA,0
"249",285,NA,NA,NA,NA,NA,0
"250",292,NA,NA,NA,NA,NA,0
"251",36,63,227.49,150.13001,1354.93994,1597.21997,1
"252",463,63,227.49,150.13001,1354.93994,1597.21997,1
"253",25,42,127.17,74.34,639.88,707.06,1
"254",285,63,227.49,150.13001,1354.93994,1597.21997,1
"255",0,63,227.49,150.13001,1354.93994,1597.21997,1
"256",178,63,227.49,150.13001,1354.93994,1597.21997,1
"257",0,63,227.49,150.13001,1354.93994,1597.21997,1
"258",0,63,227.49,150.13001,1354.93994,1597.21997,1
"259",306,74,345.5,136.57001,2060.91992,2238.61011,1
"260",3,74,345.5,136.57001,2060.91992,2238.61011,1
"261",26,74,345.5,136.57001,2060.91992,2238.61011,1
"262",119,NA,NA,NA,NA,NA,0
"263",303,NA,NA,NA,NA,NA,0
"264",0,63,227.49,150.13001,1354.93994,1597.21997,1
"265",28,63,227.49,150.13001,1354.93994,1597.21997,1
"266",28,NA,NA,NA,NA,NA,0
"267",28,63,227.49,150.13001,1354.93994,1597.21997,1
"268",0,63,227.49,150.13001,1354.93994,1597.21997,1
"269",42,42,127.17,74.34,639.88,707.06,1
"270",17,NA,NA,NA,NA,NA,0
"271",5,74,345.5,136.57001,2060.91992,2238.61011,1
"272",26,74,345.5,136.57001,2060.91992,2238.61011,1
"273",45,NA,NA,NA,NA,NA,0
"274",165,64,183.38001,135.95,905.29999,1021.82001,1
"275",0,63,227.49,150.13001,1354.93994,1597.21997,1
"276",311,NA,NA,NA,NA,NA,0
"277",166,NA,NA,NA,NA,NA,0
"278",85,NA,NA,NA,NA,NA,0
"279",36,63,227.49,150.13001,1354.93994,1597.21997,1
"280",0,63,227.49,150.13001,1354.93994,1597.21997,1
"281",270,63,227.49,150.13001,1354.93994,1597.21997,1
"282",270,63,227.49,150.13001,1354.93994,1597.21997,1
"283",270,63,227.49,150.13001,1354.93994,1597.21997,1
"284",28,NA,NA,NA,NA,NA,0
"285",283,47,205.49,129.14,1286.93994,1474.18005,1
"286",0,NA,NA,NA,NA,NA,0
"287",270,63,227.49,150.13001,1354.93994,1597.21997,1
"288",208,42,127.17,74.34,639.88,707.06,1
"289",4,NA,NA,NA,NA,NA,0
"290",31,34,83.97,84.35,401.42001,526.98999,1
"291",230,63,227.49,150.13001,1354.93994,1597.21997,1
"292",230,63,227.49,150.13001,1354.93994,1597.21997,1
"293",40,NA,NA,NA,NA,NA,0
"294",25,47,205.49,129.14,1286.93994,1474.18005,1
"295",60,47,205.49,129.14,1286.93994,1474.18005,1
"296",283,47,205.49,129.14,1286.93994,1474.18005,1
"297",60,NA,NA,NA,NA,NA,0
"298",28,NA,NA,NA,NA,NA,0
"299",280,47,205.49,129.14,1286.93994,1474.18005,1
"300",258,NA,NA,NA,NA,NA,0
"301",23,NA,NA,NA,NA,NA,0
"302",88,NA,NA,NA,NA,NA,0
"303",5,42,127.17,74.34,639.88,707.06,1
"304",67,14,50.22,30.83,285.28,325.37,1
"305",62,14,50.22,30.83,285.28,325.37,1
"306",63,42,127.17,74.34,639.88,707.06,1
"307",145,42,127.17,74.34,639.88,707.06,1
"308",377,14,50.22,30.83,285.28,325.37,1
"309",28,14,50.22,30.83,285.28,325.37,1
"310",122,NA,NA,NA,NA,NA,0
"311",63,NA,NA,NA,NA,NA,0
"312",0,42,127.17,74.34,639.88,707.06,1
"313",145,42,127.17,74.34,639.88,707.06,1
"314",345,14,50.22,30.83,285.28,325.37,1
"315",509,14,50.22,30.83,285.28,325.37,1
"316",1,42,127.17,74.34,639.88,707.06,1
"317",4,42,127.17,74.34,639.88,707.06,1
