"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"1","E02001245","Tameside 017",20352,540,10012,8609,0,0,0,1191,0,0,0,967.71503,427.715,9776.9521,8439.2051,-169.795,937.078,397.078,9785.9297,8457.2744,-151.72501,5307.4038,4767.4038,7483.2549,6652.9819,-1956.0179,7616.1079,7076.1079,6357.6982,5605.9512,-3003.0491,-0.01476,27332,-0.00367,6764,-0.01193,22130,-0.00084,1562,-0.05416,100441,-0.04307,79873,0.03176,-58955,0.04284,-79523,-16400,-5328,-15400,-4328,-71465,-60393,-111498,-100426,223.51373
"2","E02001073","Manchester 029",18661,669,6842,8607,0,0,0,2543,0,0,0,1486.298,817.29797,6442.1899,8283.2715,-323.729,2010.918,1341.918,6027.479,8173.4399,-433.56,7756.1011,7087.1011,3698.1121,5587.752,-3019.248,8572.2373,7903.2368,3599.0991,5043.3652,-3563.635,-0.06899,127904,-0.02866,53092,-0.05016,93018,-0.00982,18206,-0.37973,704433,-0.33939,629621,-0.22432,416089,-0.18398,341277,-33308,-14327,-34287,-15306,-156471,-137490,-193885,-174904,44.42039
"3","E02001019","Bury 001",17512,553,10242,5404,0,0,0,1313,0,0,0,920.703,367.703,9963.6182,5328.7051,-75.296,793.28198,240.282,10032.668,5377.792,-26.208,4133.5791,3580.5791,7485.8721,4700.834,-703.16498,5983.543,5430.543,6385.9512,4075.104,-1328.896,-0.03179,58920,-0.00184,3351,-0.02671,49559,0.00324,-6010,-0.01968,36470,0.01027,-19099,0.02776,-51552,0.05771,-107121,-23638,-4276,-20046,-684,-56533,-37171,-101767,-82405,266.17402
"4","E02001261","Trafford 003",27550,503,8836,14720,0,0,0,3491,0,0,0,1565.729,1062.729,8419.2344,14198.737,-521.263,1241.6899,738.69,8453.7031,14403.19,-316.81,11189.137,10686.137,4813.0171,9354.792,-5365.208,12513.76,12010.76,4610.4858,8457.627,-6262.374,-0.04297,79626,-0.0295,54651,-0.01783,33072,-0.00437,8097,-0.37659,698605,-0.36312,673630,-0.23815,441762,-0.22468,416787,-33933,-22481,-20865,-9413,-244313,-232861,-305312,-293860,46.33113
"5","E02001001","Bolton 018",9409,225,2775,5299,0,0,0,1110,0,0,0,389.32901,164.32899,2725.562,5204.3848,-94.615,336.53601,111.536,2712.6479,5255.564,-43.436,2275.012,2050.012,2122.2019,4162.437,-1136.563,3382.165,3157.165,1767.562,3526.3169,-1772.683,-0.01673,30976,-0.00569,10518,-0.01173,21750,-7e-04,1292,-0.08144,151045,-0.07041,130587,-0.06113,113363,-0.0501,92905,-11151,-3731,-8942,-1522,-49694,-42274,-80659,-73239,257.73615
"6","E02001255","Tameside 027",9917,828,5442,2778,0,0,0,869,0,0,0,959.31201,131.312,5357.0039,2741.582,-36.419,996.95599,168.95599,5303.8188,2754.894,-23.106,1894.193,1066.193,4706.0352,2518.1111,-259.88901,3208.7849,2380.7849,3896.176,2120.885,-657.11499,0.00068,-1305,-0.00044,797,0.00395,-7343,0.00283,-5241,0.00447,-8324,0.00334,-6222,0.05864,-108820,0.05751,-106718,-15727,-1822,-14340,-435,-26162,-12257,-48132,-34227,310.46315
"7","E02001039","Bury 021",5300,209,2088,1533,0,0,0,1470,0,0,0,330.39301,121.393,2030.026,1501.541,-31.459,311.508,102.508,2009.522,1517.224,-15.776,1513.51,1304.51,1462.385,1197.912,-335.08801,2045.093,1836.093,1268.52,1029.876,-503.12399,-0.00556,10282,-0.00312,5761,-0.00123,2279,0.00121,-2242,-0.03894,72206,-0.0365,67685,-0.02253,41760,-0.02009,37239,-3658,-1343,-2582,-267,-16872,-14557,-26821,-24506,175.04639
"8","E02006915","Manchester 058",14398,300,5441,7137,0,0,0,1520,0,0,0,657.27899,357.27899,5270.731,6985.2158,-151.784,399.659,99.659,5375.5249,7111.7358,-25.264,4109.6792,3809.678,3696.7429,5475.4878,-1661.512,5508.2451,5208.2451,3231.499,4706.8652,-2430.135,-0.02583,47860,-0.01245,23051,-0.01276,23665,0.00062,-1144,-0.16906,313590,-0.15568,288781,-0.10867,201555,-0.09529,176746,-14497,-6969,-8052,-524,-84972,-77444,-132360,-124832,NA
"9","E02001321","Wigan 035",16169,786,9941,4779,0,0,0,663,0,0,0,1328.408,542.40802,9541.0547,4656.8511,-122.149,1053.078,267.078,9717.6387,4743.416,-35.585,5603.436,4817.436,6398.2432,3688.5669,-1090.433,6663.9941,5877.9941,5809.9888,3270.5471,-1508.453,-0.00459,8481,0.00051,-977,-0.00129,2391,0.00381,-7067,0.01111,-20647,0.01621,-30105,0.08988,-166803,0.09499,-176261,-23940,-6025,-18602,-687,-69846,-51931,-101104,-83189,107.04158
"10","E02001260","Trafford 002",100466,1152,21498,66693,0,0,0,11123,0,0,0,5017.144,3865.144,20482.328,64175.031,-2517.968,4107.9961,2955.9961,20508.533,64889.176,-1803.824,38023.676,36871.676,11948.699,42828.824,-23864.174,42783.949,41631.949,11340.378,39533.727,-27159.273,-0.15336,284410,-0.12047,223404,-0.07297,135370,-0.04008,74364,-1.49394,2771627,-1.46106,2710621,-1.08285,2008924,-1.04996,1947918,-114204,-84350,-80037,-50183,-883851,-853997,-1150941,-1121087,32.42789
"11","E02001131","Oldham 034",9554,194,4088,4297,0,0,0,975,0,0,0,526.65198,332.65201,3891.167,4185.3062,-111.694,334.431,140.431,3974.385,4274.999,-22.001,3279.0391,3085.0391,2450.7681,3117.021,-1179.979,3948.7219,3754.7219,2277.552,2720.4231,-1576.578,-0.0132,24446,-0.00726,13424,-0.00477,8846,0.00117,-2176,-0.11073,205394,-0.10479,194372,-0.07145,132519,-0.06551,121497,-9370,-4927,-4879,-436,-58398,-53955,-84086,-79643,124.17387
"12","E02001059","Manchester 015",21497,658,8649,9309,0,0,0,2881,0,0,0,1299.188,641.18799,8339.7891,9067.585,-241.41499,1901.901,1243.901,7862.0581,8999.2725,-309.728,7535.4819,6877.4819,5349.6812,6739.8091,-2569.1909,9145.0107,8487.0107,4797.3042,5906.2139,-3402.7849,-0.05597,103721,-0.02087,38629,-0.03468,64304,0.00042,-788,-0.26433,490313,-0.22924,425221,-0.10309,191150,-0.06799,126058,-31691,-12355,-30207,-10871,-146198,-126862,-202228,-182892,84.27887
"13","E02001032","Bury 014",10692,350,3668,5596,0,0,0,1078,0,0,0,591.31598,241.31599,3558.1479,5486.1792,-109.821,517.98401,167.983,3562.488,5544.9199,-51.08,3001.0659,2651.0659,2449.365,4405.5112,-1190.489,4059.2329,3709.2329,2135.2419,3777.6851,-1818.3149,-0.02009,37214,-0.00741,13707,-0.01189,22040,0.00079,-1467,-0.0923,171171,-0.07962,147664,-0.06407,118813,-0.05139,95306,-15610,-5507,-11395,-1292,-67962,-57859,-107469,-97366,203.89424
"14","E02001129","Oldham 032",15667,249,5657,8391,0,0,0,1370,0,0,0,808.75201,559.75201,5365,8161.397,-229.603,739.26501,490.26501,5288.709,8286.3633,-104.637,5240.375,4991.375,3349.9761,6118.8179,-2272.1819,6344.8018,6095.8018,3140.209,5356.231,-3034.769,-0.02487,46059,-0.01401,25925,-0.00856,15873,0.00229,-4261,-0.20721,384358,-0.19635,364224,-0.16177,300071,-0.15092,279937,-15419,-8833,-8812,-2226,-100732,-94146,-150044,-143458,118.86709
"15","E02001231","Tameside 003",21846,1127,11181,8256,0,0,0,1282,0,0,0,1395.145,268.14499,11026.391,8157.7832,-98.217,1519.899,392.89899,10858.104,8195.835,-60.165,3748.321,2621.321,9521.6113,7436.9492,-819.05103,6672.2632,5545.2632,7913.7988,6291.2832,-1964.717,-0.04949,91749,-0.00619,11440,-0.04048,75096,0.00281,-5213,-0.0761,141130,-0.03281,60821,3e-05,-119,0.04333,-80428,-40806,-5604,-36849,-1647,-77439,-42237,-144786,-109584,297.87298
"16","E02001092","Manchester 048",22740,722,8581,11942,0,0,0,1495,0,0,0,1531.5699,809.57001,8217.1504,11545.048,-396.952,1916.802,1194.802,7942.4458,11461.094,-480.90701,8923.2285,8201.2285,4875.6919,7944.502,-3997.498,10164.311,9442.3105,4559.0342,7126.9258,-4815.0742,-0.06817,126386,-0.02913,53983,-0.04628,85843,-0.00724,13440,-0.34873,646929,-0.3097,574526,-0.17304,320965,-0.134,248562,-38578,-17696,-36754,-15872,-195781,-174899,-250199,-229317,64.18846
"17","E02001052","Manchester 008",17556,420,6063,8385,0,0,0,2688,0,0,0,848.69397,428.694,5872.999,8207.2666,-177.73399,603.927,183.927,5962.1069,8329.626,-55.374,4964.3511,4544.3511,4164.6538,6413.8052,-1971.1949,6777.5,6357.5,3609.0339,5455.73,-2929.27,-0.0399,73939,-0.01597,29565,-0.02455,45525,-0.00062,1151,-0.23143,429293,-0.2075,384919,-0.16077,298198,-0.13684,253824,-18242,-7964,-11877,-1599,-100101,-89823,-153525,-143247,145.53194
"18","E02000996","Bolton 013",11725,346,5094,5266,0,0,0,1019,0,0,0,549.41498,203.41499,4977.1318,5191.9712,-74.029,605.60101,259.60101,4936.5811,5192.8262,-73.174,2393.479,2047.479,3982.3259,4481.1221,-784.87799,3899.105,3553.105,3337.2771,3756.865,-1509.135,-0.01079,19980,-0.00319,5881,-0.00865,16032,-0.00104,1933,-0.05074,94105,-0.04314,80006,-0.03116,57769,-0.02356,43670,-11371,-3387,-10263,-2279,-44402,-36418,-83148,-75164,278.13594
"19","E02001101","Oldham 004",11630,476,5745,4751,0,0,0,658,0,0,0,722.60999,246.61,5595.4341,4665.6299,-85.37,573.05902,97.059,5669.083,4732.7661,-18.234,3002.2061,2526.2061,4206.4258,3883.6011,-867.39899,4323.0449,3847.0449,3582.1899,3268.2781,-1482.722,-0.02162,40056,-0.00336,6190,-0.01729,32065,0.00097,-1801,-0.04652,86266,-0.02826,52400,0.00677,-12607,0.02503,-46473,-16525,-3919,-13136,-530,-51960,-39354,-85106,-72500,227.68764
"20","E02001109","Oldham 012",13000,323,5096,6394,0,0,0,1187,0,0,0,534.15198,211.15199,5005.9932,6291.6118,-102.388,849.94897,526.94897,4696.9629,6308.9341,-85.066,2826.1321,2503.1321,4008.219,5200.5078,-1193.4919,4445.8682,4122.8682,3354.3879,4388.0361,-2005.964,-0.0231,42810,-0.00707,13071,-0.0083,15378,0.00774,-14361,-0.10115,187620,-0.08512,157881,-0.06872,127454,-0.05269,97715,-13295,-4429,-10752,-1886,-59241,-50375,-99998,-91132,275.0699
"21","E02001056","Manchester 012",13223,675,6037,4437,0,0,0,2074,0,0,0,1066.943,391.94299,5824.939,4322.73,-114.269,868.26099,193.261,5896.605,4393.0088,-43.991,4401.4819,3726.4819,4063.1489,3314.7881,-1122.212,5517.771,4842.771,3578.6479,2872.1689,-1564.8311,-0.01945,36016,-0.00844,15598,-0.00959,17787,0.00142,-2631,-0.10427,193404,-0.09326,172986,-0.00171,3119,0.0093,-17299,-15879,-5428,-11917,-1466,-63882,-53431,-91528,-81077,121.05151
"22","E02001071","Manchester 027",15127,427,6862,5185,0,0,0,2653,0,0,0,1034.9,607.90002,6533.4771,4996.9561,-188.045,806.44202,379.44199,6671.415,5042.4619,-142.53799,6097.21,5670.21,3947.4819,3332.8679,-1852.132,6945.6631,6518.6631,3658.603,2968.3101,-2216.6899,-0.03123,57883,-0.01146,21221,-0.02483,46058,-0.00506,9396,-0.15681,290868,-0.13704,254206,-0.0225,41689,-0.00274,5027,-16836,-7292,-14745,-5201,-83913,-74369,-103601,-94057,75.37318
