"","id","msoa1","msoa2","geo_label1","geo_label2","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","clc","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","dist","dist_fast","dist_quiet","cirquity","distq_f","avslope","avslope_q","time_fast","time_quiet"
"1","E02000984 E02000985","E02000984","E02000985","Bolton 001","Bolton 002",171,1,28,119,15,1,0,4,3,0,0,0.5848,8.19,7.19,26.81,113.97,-5.03,3.03,2.03,27.56,117.67,-1.33,53.44,52.44,19.4,82.26,-36.74,71.78,70.78,16.37,69.43,-49.57,-0.00088,1629,-0.00079,1457,-0.00023,419,-0.00013,247,-0.00609,11301,-0.006,11129,-0.00479,8893,-0.0047,8721,-628,-556,-219,-147,-4144,-4072,-5566,-5494,2.12202,2.178,2.178,1.02638,1,2.98439,2.98439,858,858
"2","E02000984 E02000986","E02000984","E02000986","Bolton 001","Bolton 003",146,0,31,102,8,1,0,2,1,0,1,0,4,4,30.15,99.2,-2.8,0,0,31,102,0,33.09,33.09,23.97,78.88,-23.12,53.45,53.45,19.65,64.66,-37.34,-0.00037,690,-0.00037,690,0,0,0,0,-0.00319,5921,-0.00319,5921,-0.00265,4911,-0.00265,4911,-303,-303,0,0,-2511,-2511,-4057,-4057,1.46307,2.069,2.352,1.41415,1.13678,4.88159,6.59014,1116,1596
"3","E02000984 E02000987","E02000984","E02000987","Bolton 001","Bolton 004",33,1,1,29,2,0,0,0,0,0,0,3.0303,1.34,0.34,0.99,28.7,-0.3,1.5,0.5,1,28.6,-0.4,2.43,1.43,0.95,27.67,-1.33,5.2,4.2,0.84,25.11,-3.89,-0.00108,2007,-0.00027,495,-0.0011,2047,-0.00029,535,-0.00195,3622,-0.00114,2110,-0.00296,5489,-0.00214,3977,-625,-172,-679,-226,-1206,-753,-2662,-2209,7.83194,11.101,11.721,1.4174,1.05585,3.89154,4.59005,6056,7352
"4","E02000984 E02000988","E02000984","E02000988","Bolton 001","Bolton 005",166,0,20,113,21,0,1,7,1,0,3,0,4.94,4.94,19.41,109.65,-3.35,0,0,20,113,0,37.65,37.65,15.47,87.48,-25.52,61.31,61.31,12.62,71.34,-41.66,-0.00091,1678,-0.00091,1678,0,0,0,0,-0.00723,13413,-0.00723,13413,-0.0074,13733,-0.0074,13733,-555,-555,0,0,-4236,-4236,-6925,-6925,2.34816,3.289,3.702,1.40067,1.12557,3.67893,5.26742,1530,2202
"5","E02000984 E02000989","E02000984","E02000989","Bolton 001","Bolton 006",49,1,1,44,1,0,0,1,1,0,0,2.04082,2.61,1.61,0.97,42.52,-1.48,2,1,0.96,43.13,-0.87,11.08,10.08,0.81,34.72,-9.28,17.83,16.83,0.66,28.54,-15.46,-0.00085,1578,-0.00053,991,-0.00054,1003,-0.00022,416,-0.00386,7156,-0.00354,6569,-0.00447,8296,-0.00416,7709,-561,-353,-416,-208,-2434,-2226,-3916,-3708,3.94367,4.713,4.738,1.19508,1.0053,2.97051,2.95483,2240,2246
"6","E02000984 E02000990","E02000984","E02000990","Bolton 001","Bolton 007",87,1,0,74,7,0,0,3,1,1,0,1.14943,1.95,0.95,0,73.18,-0.82,2.5,1.5,0,72.5,-1.5,5.68,4.68,0,70.01,-3.99,14.3,13.3,0,62.65,-11.35,-0.00156,2897,-0.00076,1416,-0.00165,3055,-0.00085,1574,-0.00457,8471,-0.00377,6990,-0.00782,14514,-0.00703,13033,-1010,-456,-1386,-832,-2776,-2222,-6872,-6318,7.6852,10.914,11.534,1.42013,1.05681,3.87576,4.58644,6000,7296
"7","E02000984 E02000991","E02000984","E02000991","Bolton 001","Bolton 008",60,0,2,46,7,0,0,2,2,1,0,0,1.4,1.4,1.95,44.93,-1.07,0,0,2,46,0,10.18,10.18,1.66,38.21,-7.79,19.2,19.2,1.36,31.29,-14.71,-0.00046,856,-0.00046,856,0,0,0,0,-0.00353,6551,-0.00353,6551,-0.00464,8608,-0.00464,8608,-260,-260,0,0,-1900,-1900,-3592,-3592,3.43887,4.739,6.205,1.37807,1.30935,3.88268,4.64142,2662,3874
"8","E02000984 E02000993","E02000984","E02000993","Bolton 001","Bolton 010",105,2,9,77,6,2,0,6,3,0,0,1.90476,6.95,4.95,8.57,73.29,-3.71,3.82,1.82,8.85,75.52,-1.48,32.16,30.16,6.36,54.54,-22.46,43.99,41.99,5.33,45.68,-31.32,-0.00178,3310,-0.00127,2351,-0.00085,1577,-0.00033,618,-0.00863,16005,-0.00811,15046,-0.00794,14726,-0.00742,13767,-1135,-790,-659,-314,-5139,-4794,-7029,-6684,3.50867,4.237,4.442,1.20758,1.04838,2.52537,2.5439,1778,2010
"9","E02000984 E02000994","E02000984","E02000994","Bolton 001","Bolton 011",39,0,2,31,3,0,0,2,1,0,0,0,1.1,1.1,1.95,30.12,-0.88,0,0,2,31,0,7.94,7.94,1.64,24.65,-6.35,13.63,13.63,1.34,20.14,-10.86,-0.00032,585,-0.00032,585,0,0,0,0,-0.00241,4466,-0.00241,4466,-0.00281,5222,-0.00281,5222,-191,-191,0,0,-1389,-1389,-2377,-2377,3.37547,4.238,5.504,1.25553,1.29873,3.51581,4.70567,2222,3214
"10","E02000984 E02000995","E02000984","E02000995","Bolton 001","Bolton 012",29,0,0,24,0,0,0,5,0,0,0,0,0.66,0.66,0,23.45,-0.55,0,0,0,24,0,4.47,4.47,0,20.3,-3.7,8.65,8.65,0,16.84,-7.16,-3e-04,547,-3e-04,547,0,0,0,0,-0.00205,3810,-0.00205,3810,-0.00254,4707,-0.00254,4707,-169,-169,0,0,-1143,-1143,-2213,-2213,4.39366,6.022,7.281,1.37061,1.20907,3.52043,4.36753,3392,5538
