"","Bicycle","govtarget_slc","gendereq_slc","dutch_slc","ebike_slc","Bicycle_upto","govtarget_slc_upto","gendereq_slc_upto","dutch_slc_upto","ebike_slc_upto","Singlezone"
"1",39,98.63,75.34,372.57,553.82999,5,18.39,11.77,108.04,139.86,1
"2",10,40.33,23.27,175.59,272.70999,5,18.39,11.77,108.04,139.86,1
"3",23,65.47,39.88,273.35,397.64,NA,NA,NA,NA,NA,0
"4",16,33.16,35.46,99.22,156.19,5,18.39,11.77,108.04,139.86,1
"5",7,14.32,13.88,46.97,76.55,5,18.39,11.77,108.04,139.86,1
"6",9,23.7,17.71,90.75,150.66,NA,NA,NA,NA,NA,0
"7",2,9.38,3.83,43.78,74.11,5,18.39,11.77,108.04,139.86,1
"8",9,34.29,22.27,144.86,220.45,5,18.39,11.77,108.04,139.86,1
"9",11,43.67,26.1,188.64,294.55999,5,18.39,11.77,108.04,139.86,1
"10",1,3.34,2.83,13.05,21.85,NA,NA,NA,NA,NA,0
"11",16,48.61,36.15,191.83,297,NA,NA,NA,NA,NA,0
"12",9,34.29,22.27,144.86,220.45,14,25.54,21.44,93.64,114.05,1
"13",7,14.32,13.88,46.97,76.55,14,25.54,21.44,93.64,114.05,1
"14",2,5.85,2.65,21.59,40.57,6,17.25,8.87,85.27,102.96,1
"15",7,17.85,15.06,69.16,110.09,6,17.25,8.87,85.27,102.96,1
"16",3,18.69,5.82,100.68,133.37,6,17.25,8.87,85.27,102.96,1
"17",5,24.54,8.47,122.27,173.94,NA,NA,NA,NA,NA,0
"18",21,94.36,43.3,426.76,608.53,NA,NA,NA,NA,NA,0
"19",7,12.67,17.07,36.35,52.12,NA,NA,NA,NA,NA,0
"20",9,20.49,18.39,62.87,104.07,NA,NA,NA,NA,NA,0
"21",23,63.47,39.88,261.17,379.49,8,18.07,19.21,81.46,95.39,1
"22",0,2,0,12.18,18.15,8,18.07,19.21,81.46,95.39,1
"23",24,65.51,39.54,259.23,368.01,14,25.54,21.44,93.64,114.05,1
"24",1,12.33,1,70.89,102.35,NA,NA,NA,NA,NA,0
"25",4,12.21,7.47,51.38,71.59,1,6.5,2.37,41.78,48.56,1
"26",17,51.19,25.66,212.26,291.46,14,25.54,21.44,93.64,114.05,1
"27",26,85.48,47.93,357.12,511.91,NA,NA,NA,NA,NA,0
"28",7,31.03,14.23,151.14,225.58,8,18.07,19.21,81.46,95.39,1
"29",16,32.44,25.65,110.03,153.91,8,18.07,19.21,81.46,95.39,1
"30",25,54.99,41.64,195.1,269.13,8,18.07,19.21,81.46,95.39,1
"31",9,22.55,15.99,85.07,115.22,8,18.07,19.21,81.46,95.39,1
"32",50,103.62,86.42,353.72,476.51,NA,NA,NA,NA,NA,0
"33",26,51.97,47.61,171.67,229.23,8,18.07,19.21,81.46,95.39,1
"34",7,31.03,14.23,151.14,225.58,8,18.07,19.21,81.46,95.39,1
"35",9,22.55,15.99,85.07,115.22,8,18.07,19.21,81.46,95.39,1
"36",41,88.73,72.48,314.6,419.02,14,25.54,21.44,93.64,114.05,1
"37",33,83,61.84,322.81,454.81,8,18.07,19.21,81.46,95.39,1
"38",9,14.89,13.94,39.12,57.49,NA,NA,NA,NA,NA,0
"39",52,109.97,91.03,370.07,494.54,NA,NA,NA,NA,NA,0
